Station ID Number:,94040,-,-.1,-.2,-.3,Type of Measurement:,GHI,GHI_Flag,GHI_Tilt,GHI_Tilt_Flag,DrHI_Calc,DrHI_Calc_Flag,DNI,DNI_Flag,DHI,DHI_Flag,PV_Power,PV_Power_Flag,PV_Power.1,PV_Power_Flag.1,Wind_Speed,Wind_Speed_Flag,TEMPERATURE,TEMPERATURE_Flag,GHI_original,GHI_original_Flag,GHI_Tilt_original,GHI_Tilt_original_Flag,DNI_original,DNI_original_Flag,DHI_original,DHI_original_Flag,NOTES
Station Name:,ASO,-,-,-,-,Element:,1000,-,1160,-,2000,-,2010,-,3000,-,5161,-,5162,-,9210,-,9300,-,1000_original,-,1160_original,-,2010_original,-,3000_original,-,Contact Info: http://solardat.uoregon.edu
Station Location:,Ashland_Oregon_USA,-,-,-,-,Instrument Serial Number:,RSP(PY35965_GHI),-,LICOR(PY35962),-,RSP(PY35965_DNI),-,RSP(PY35965_DNI),-,RSP(PY35965_DHI),-,PV5kw,-,PV15kw,-,WS,-,TEMP,-,RSP(PY35965_GHI),-,LICOR(PY35962),-,RSP(PY35965_DNI),-,RSP(PY35965_DHI),-,Element description at: http://solardat.uoregon.edu/DataElementNumbers.html
Latitude:,42.19441,-,-,-,-,Instrument Shorthand Name:,RSP,-,GHI_TILT,-,,-,RSP,-,RSP,-,PV5kw,-,PV15kw,-,WS,-,TEMP(ASO),-,RSP,-,GHI_TILT,-,RSP,-,RSP,-,Flag description at: http://solardat.uoregon.edu/QualityControlFlags.html
Longitude (+ East):,-122.69814,-,-,-,-,Responsivity:,10.328600000000002,microV/(W/m^2),9.439430000000002,microV/(W/m^2),,-,10.328600000000002,microV/(W/m^2),10.328600000000002,microV/(W/m^2),160.,Varies,2.7777800000000004,Varies,1308.9005200000001,microV?/m/s,1000.0000000000001,microV?/C,10.328600000000002,microV/(W/m^2),9.439430000000002,microV/(W/m^2),10.328600000000002,microV/(W/m^2),10.328600000000002,microV/(W/m^2),Data has been calibrated using the responsivity values listed 
Altitude (m):,594.,-,-,-,-,Estimated Uncertainty (U95%):,3.137,-,9.332,-,3.137,-,3.137,-,3.137,-,1.999,-,2.191,-,4.383,-,2.2,-,5,-,9.332,-,10,-,30,-,The phrase (_original) means the data has not had the nighttime offset subtracted.
Time Zone (+ East):,-8.,-,-,-,-,Sample Method:,Avg,-,Avg,-,-,-,Avg,-,Avg,-,Avg,-,Avg,-,Avg,-,Avg,-,Avg,-,Avg,-,Avg,-,Avg,-,Data that has been (computed) was calculated from measured columns.
Time Interval (Minutes):,5,-,-,-,-,Units:,W/m^2,-,W/m^2,-,W/m^2,-,W/m^2,-,W/m^2,-,Watts,-,Watts,-,m/s,-,C,-,W/m^2,-,W/m^2,-,W/m^2,-,W/m^2,-,Date this file was created: 2018-4-6
Year//Month,2008//01,-,-,-,-,Column Notes:,AdjustedColumn,-,AdjustedColumn,-,CalculatedColumn,-,AdjustedColumn,-,AdjustedColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,-
-,-,-,-,-,-,-,After_Adjustments,-,-,-,-,-,After_Adjustments,-,After_Adjustments,-,-,-,-,-,-,-,-,-,Before_Adjustments,-,-,-,Before_Adjustments,-,Before_Adjustments,-,-
YYYY//MM//DD,Day of year,Time Sunrise (HH::MM:SS),Time Sunset (HH::MM:SS),Time Solar Noon (HH::MM:SS),Daily Total Energy ETR (kW h/m^2),Daily Total Energy ETRn (kW h/m^2),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh),Daily Total Uncertainty (U95%),Daily Total Energy (kWh),Daily Total Uncertainty (U95%),Average daily value,Maximum daily value,Minimum daily value,Maximum daily value,Average Nighttime Value,Standard Deviation Nighttime,Average Nighttime Value,Standard Deviation Nighttime,Average Nighttime Value,Standard Deviation Nighttime,Average Nighttime Value,Standard Deviation Nighttime,Assorted Daily Values (Rows 12 - 42)
2008//1//1,1,07::40:24,16::48:40,12::14:15,3.488,12.784,2.1550000000000002,3.138,2.728,9.332,0.631,3.1350000000000002,1.837,3.137,1.5250000000000001,3.137,5.964,11.913,35.996,2.87,4.129375,7.01,5.13,12.64,0.,0.,0.,0.,0.,0.,0.,0.,-
2008//1//2,2,07::40:27,16::49:15,12::14:44,3.504,12.9,2.077,3.137,3.06,9.333,1.145,3.138,3.307,3.137,0.932,3.137,8.02,8.554,41.181,2.61,2.505659722222222,5.37,0.5,14.83,0.,0.,0.,0.,0.,0.,0.,0.,-
2008//1//3,3,07::40:29,16::49:56,12::15:11,3.5220000000000002,12.9,0.74,3.136,0.766,9.327,0.043000000000000003,3.119,0.212,3.144,0.6970000000000001,3.137,-3.579,-13.235,6.611,10.253,2.895416666666667,5.74,4.41,10.77,0.,0.,0.,0.,0.,0.,0.,0.,-
2008//1//4,4,07::40:30,16::50:47,12::15:39,3.541,12.899000000000001,0.687,3.1350000000000002,0.771,9.331,0.116,3.146,0.28500000000000003,3.137,0.5700000000000001,3.138,-2.831,-8.943,8.55,6.325,2.849791666666667,12.700000000000001,2.06,9.83,0.,0.,0.,0.,0.,0.,0.,0.,-
2008//1//5,5,07::40:28,16::51:53,12::16:06,3.561,12.9,1.049,3.137,1.098,9.333,0.052000000000000005,3.16,0.132,3.142,0.997,3.136,-1.322,-48.802,12.717,6.187,0.5225000000000001,3.21,-0.41000000000000003,5.07,0.,0.,0.,0.,0.,0.,0.,0.,-
2008//1//6,6,07::40:25,16::53:12,12::16:32,3.583,12.901,1.683,3.137,2.103,9.33,0.298,3.133,0.989,3.138,1.385,3.138,3.416,19.604,25.139,3.399,1.1310416666666665,3.84,-2.23,4.5200000000000005,0.,0.,0.,0.,0.,0.,0.,0.,-
2008//1//7,7,07::40:19,16::54:04,12::16:59,3.606,13.02,2.012,3.137,2.931,9.331,1.01,3.136,2.99,3.137,1.002,3.1390000000000002,4.293,14.458,28.585,3.297,0.1078472222222222,2.18,-1.19,5.55,0.,0.,0.,0.,0.,0.,0.,0.,-
2008//1//8,8,07::40:12,16::54:50,12::17:24,3.6310000000000002,13.023,1.036,3.138,1.166,9.328,0.129,3.145,0.486,3.136,0.907,3.137,-1.32,-37.121,13.754,4.764,2.168993055555555,5.92,1.6600000000000001,5.53,0.,0.,0.,0.,0.,0.,0.,0.,-
2008//1//9,9,07::40:02,16::55:46,12::17:49,3.657,13.025,0.787,3.137,0.776,9.338000000000001,0.003,2.699,0.018000000000000002,3.16,0.784,3.1390000000000002,-2.962,-16.819,8.040000000000001,7.618,0.5654166666666667,4.11,1.22,6.3100000000000005,0.,0.,0.,0.,0.,0.,0.,0.,-
2008//1//10,10,07::39:51,16::57:02,12::18:14,3.684,13.029,1.8900000000000001,3.137,2.318,9.334,0.547,3.138,1.339,3.138,1.343,3.137,5.091,13.796000000000001,30.421,3.208,0.16090277777777778,2.68,1.49,12.81,0.,0.,0.,0.,0.,0.,0.,0.,-
2008//1//11,11,07::39:36,16::58:28,12::18:38,3.713,13.034,2.086,3.137,2.801,9.332,0.9560000000000001,3.137,2.44,3.137,1.1300000000000001,3.138,8.244,7.727,38.326,2.963,0.09010416666666667,0.85,3.43,9.81,0.,0.,0.,0.,0.,0.,0.,0.,-
2008//1//12,12,07::39:18,16::59:18,12::19:01,3.742,13.158,1.544,3.137,1.86,9.333,0.364,3.1350000000000002,0.892,3.137,1.18,3.138,3.294,19.09,24.539,3.6350000000000002,0.16416666666666663,2.48,3.79,8.49,0.,0.,0.,0.,0.,0.,0.,0.,-
2008//1//13,13,07::38:56,17::00:11,12::19:24,3.774,13.165000000000001,2.45,3.136,3.7,9.332,1.833,3.136,4.816,3.137,0.617,3.137,11.502,5.68,50.802,2.6,0.1187847222222222,1.01,-0.35000000000000003,9.61,0.,0.,0.,0.,0.,0.,0.,0.,-
2008//1//14,14,07::38:30,17::01:20,12::19:46,3.806,13.174,1.199,3.136,1.23,9.334,0.027,3.097,0.094,3.144,1.172,3.137,-0.673,-103.145,14.301,5.546,0.19923611111111109,2.44,-1.21,5.75,0.,0.,0.,0.,0.,0.,0.,0.,-
2008//1//15,15,07::37:56,17::02:52,12::20:08,3.84,13.185,2.703,3.137,4.125,9.332,2.085,3.137,5.773,3.137,0.618,3.136,14.246,4.987,56.93,2.4050000000000002,0.6425347222222222,2.37,-3.38,5.58,0.,0.,0.,0.,0.,0.,0.,0.,-
2008//1//16,16,07::37:17,17::04:00,12::20:29,3.875,13.312000000000001,2.685,3.136,4.037,9.333,2.047,3.137,5.68,3.137,0.637,3.138,13.627,5.573,55.726,2.482,0.09635416666666667,0.8200000000000001,-5.65,3.83,0.,0.,0.,0.,0.,0.,0.,0.,-
2008//1//17,17,07::36:38,17::04:53,12::20:49,3.912,13.31,2.697,3.4250000000000003,4.1930000000000005,10.201,2.2720000000000002,3.395,6.482,3.617,0.425,3.587,13.691,5.19,54.730000000000004,2.499,0.07388888888888889,0.67,-5.28,6.58,0.,0.,0.,0.,0.,0.,0.,0.,-
2008//1//18,18,07::36:10,17::06:01,12::21:08,3.9490000000000003,13.339,2.709,3.416,4.188,10.162,2.267,3.383,6.3660000000000005,3.587,0.443,3.5780000000000003,13.65,5.205,56.482,2.5020000000000002,0.056076388888888884,0.4,-4.84,7.43,0.,0.,0.,0.,0.,0.,0.,0.,-
2008//1//19,19,07::35:46,17::07:35,12::21:27,3.988,13.346,2.464,3.137,3.565,9.331,1.694,3.137,4.82,3.137,0.77,3.137,10.972,6.6240000000000006,48.174,2.569,0.09989583333333334,1.1500000000000001,-4.23,8.68,0.,0.,0.,0.,0.,0.,0.,0.,-
2008//1//20,20,07::35:18,17::08:53,12::21:45,4.0280000000000005,13.473,1.814,3.136,2.318,9.332,0.6980000000000001,3.136,1.99,3.138,1.116,3.136,2.0460000000000003,22.752,25.324,2.989,0.0809375,1.22,-1.36,5.88,0.,0.,0.,0.,0.,0.,0.,0.,-
2008//1//21,21,07::34:46,17::09:47,12::22:02,4.07,13.483,2.7760000000000002,3.137,4.23,9.332,2.27,3.137,5.856,3.137,0.506,3.136,14.739,4.821,59.918,2.501,2.7535416666666666,6.37,-0.79,2.95,0.,0.,0.,0.,0.,0.,0.,0.,-
2008//1//22,22,07::34:06,17::10:55,12::22:19,4.112,13.496,3.012,3.137,4.644,9.333,2.601,3.137,7.238,3.137,0.41000000000000003,3.141,16.629,4.42,63.352000000000004,2.357,3.193159722222222,5.14,-0.77,6.13,0.,0.,0.,0.,0.,0.,0.,0.,-
2008//1//23,23,07::33:17,17::12:32,12::22:35,4.156,13.512,2.942,3.137,4.5,9.332,2.486,3.137,6.807,3.137,0.456,3.1350000000000002,16.017,4.589,60.881,2.379,2.9485069444444445,5.,1.45,8.72,0.,0.,0.,0.,0.,0.,0.,0.,-
2008//1//24,24,07::32:14,17::13:52,12::22:50,4.2010000000000005,13.646,1.239,3.137,1.299,9.331,0.007,3.063,0.02,3.124,1.232,3.137,-0.463,-126.998,13.909,5.578,1.8370486111111113,4.08,0.05,4.39,0.,0.,0.,0.,0.,0.,0.,0.,-
2008//1//25,25,07::31:19,17::14:48,12::23:04,4.247,13.67,1.595,3.136,1.929,9.334,0.28600000000000003,3.141,0.861,3.138,1.308,3.137,3.403,21.599,25.148,3.448,2.796076388888889,6.,-3.11,8.42,0.,0.,0.,0.,0.,0.,0.,0.,-
2008//1//26,26,07::30:45,17::15:59,12::23:17,4.2940000000000005,13.68,1.3960000000000001,3.137,1.544,9.333,0.066,3.153,0.17200000000000001,3.128,1.33,3.136,0.834,80.296,18.483,4.75,2.7971527777777774,4.69,7.8,12.48,0.,0.,0.,0.,0.,0.,0.,0.,-
2008//1//27,27,07::30:06,17::17:38,12::23:30,4.3420000000000005,13.692,0.516,3.137,0.501,9.338000000000001,0.,100,0.,100,0.516,3.136,-4.577,-5.531,3.891,13.013,1.264375,4.8500000000000005,-3.54,10.18,0.,0.,0.,0.,0.,0.,0.,0.,-
2008//1//28,28,07::29:18,17::18:56,12::23:41,4.391,13.825000000000001,1.7750000000000001,3.137,1.934,9.333,0.327,3.133,0.804,3.138,1.448,3.138,-6.126,0.,0.,100,0.03413194444444445,0.46,-3.63,4.23,0.,0.,0.,0.,0.,0.,0.,0.,-
2008//1//29,29,07::28:16,17::19:54,12::23:52,4.442,13.846,1.419,3.136,1.437,9.334,0.069,3.152,0.34,3.134,1.349,3.138,-6.1240000000000006,0.,0.,100,0.6975694444444444,4.82,-1.34,3.61,0.,0.,0.,0.,0.,0.,0.,0.,-
2008//1//30,30,07::26:58,17::21:08,12::24:03,4.493,13.86,1.7810000000000001,3.137,1.992,9.333,0.182,3.136,0.39,3.137,1.599,3.137,-6.123,0.,0.,100,0.32756944444444447,3.8000000000000003,-1.75,4.24,0.,0.,0.,0.,0.,0.,0.,0.,-
