Station ID Number:,94040,-,-.1,-.2,-.3,Type of Measurement:,GHI,GHI_Flag,GHI_Tilt,GHI_Tilt_Flag,DrHI_Calc,DrHI_Calc_Flag,DNI,DNI_Flag,DHI,DHI_Flag,PV_Power,PV_Power_Flag,PV_Power.1,PV_Power_Flag.1,Wind_Speed,Wind_Speed_Flag,TEMPERATURE,TEMPERATURE_Flag,GHI_original,GHI_original_Flag,GHI_Tilt_original,GHI_Tilt_original_Flag,DNI_original,DNI_original_Flag,DHI_original,DHI_original_Flag,NOTES
Station Name:,ASO,-,-,-,-,Element:,1000,-,1160,-,2000,-,2010,-,3000,-,5161,-,5162,-,9210,-,9300,-,1000_original,-,1160_original,-,2010_original,-,3000_original,-,Contact Info: http://solardat.uoregon.edu
Station Location:,Ashland_Oregon_USA,-,-,-,-,Instrument Serial Number:,RSP(PY35965_GHI),-,LICOR(PY35962),-,RSP(PY35965_DNI),-,RSP(PY35965_DNI),-,RSP(PY35965_DHI),-,PV5kw,-,PV15kw,-,WS,-,TEMP,-,RSP(PY35965_GHI),-,LICOR(PY35962),-,RSP(PY35965_DNI),-,RSP(PY35965_DHI),-,Element description at: http://solardat.uoregon.edu/DataElementNumbers.html
Latitude:,42.19441,-,-,-,-,Instrument Shorthand Name:,RSP,-,GHI_TILT,-,,-,RSP,-,RSP,-,PV5kw,-,PV15kw,-,WS,-,TEMP(ASO),-,RSP,-,GHI_TILT,-,RSP,-,RSP,-,Flag description at: http://solardat.uoregon.edu/QualityControlFlags.html
Longitude (+ East):,-122.69814,-,-,-,-,Responsivity:,10.328600000000002,microV/(W/m^2),9.439430000000002,microV/(W/m^2),,-,10.328600000000002,microV/(W/m^2),10.328600000000002,microV/(W/m^2),160.,Varies,2.7777800000000004,Varies,1308.9005200000001,microV?/m/s,1000.0000000000001,microV?/C,10.328600000000002,microV/(W/m^2),9.439430000000002,microV/(W/m^2),10.328600000000002,microV/(W/m^2),10.328600000000002,microV/(W/m^2),Data has been calibrated using the responsivity values listed 
Altitude (m):,594.,-,-,-,-,Estimated Uncertainty (U95%):,3.137,-,9.332,-,3.137,-,3.137,-,3.137,-,1.999,-,2.191,-,4.383,-,1.963,-,5,-,9.332,-,10,-,30,-,The phrase (_original) means the data has not had the nighttime offset subtracted.
Time Zone (+ East):,-8.,-,-,-,-,Sample Method:,Avg,-,Avg,-,-,-,Avg,-,Avg,-,Avg,-,Avg,-,Avg,-,Avg,-,Avg,-,Avg,-,Avg,-,Avg,-,Data that has been (computed) was calculated from measured columns.
Time Interval (Minutes):,5,-,-,-,-,Units:,W/m^2,-,W/m^2,-,W/m^2,-,W/m^2,-,W/m^2,-,Watts,-,Watts,-,m/s,-,C,-,W/m^2,-,W/m^2,-,W/m^2,-,W/m^2,-,Date this file was created: 2018-4-3
Year//Month,2001//01,-,-,-,-,Column Notes:,AdjustedColumn,-,AdjustedColumn,-,CalculatedColumn,-,AdjustedColumn,-,AdjustedColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,-
-,-,-,-,-,-,-,After_Adjustments,-,-,-,-,-,After_Adjustments,-,After_Adjustments,-,-,-,-,-,-,-,-,-,Before_Adjustments,-,-,-,Before_Adjustments,-,Before_Adjustments,-,-
YYYY//MM//DD,Day of year,Time Sunrise (HH::MM:SS),Time Sunset (HH::MM:SS),Time Solar Noon (HH::MM:SS),Daily Total Energy ETR (kW h/m^2),Daily Total Energy ETRn (kW h/m^2),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh),Daily Total Uncertainty (U95%),Daily Total Energy (kWh),Daily Total Uncertainty (U95%),Average daily value,Maximum daily value,Minimum daily value,Maximum daily value,Average Nighttime Value,Standard Deviation Nighttime,Average Nighttime Value,Standard Deviation Nighttime,Average Nighttime Value,Standard Deviation Nighttime,Average Nighttime Value,Standard Deviation Nighttime,Assorted Daily Values (Rows 12 - 42)
2001//1//1,1,07::40:27,16::49:04,12::14:36,3.499,12.9,2.238,3.137,3.5300000000000002,9.332,1.708,3.138,4.844,3.137,0.53,3.136,11.52,6.026,48.112,2.531,0.32743055555555556,2.0100000000000002,-0.19,14.99,0.,0.,0.,0.,0.,0.,0.,0.,-
2001//1//2,2,07::40:30,16::49:44,12::15:04,3.516,12.899000000000001,2.34,3.137,3.7760000000000002,9.332,1.911,3.137,5.521,3.137,0.429,3.138,12.376,5.4110000000000005,51.079,2.43,1.1057291666666667,4.36,4.04,19.93,0.,0.,0.,0.,0.,0.,0.,0.,-
2001//1//3,3,07::40:31,16::50:31,12::15:32,3.535,12.899000000000001,1.175,3.136,1.2690000000000001,9.33,0.09,3.146,0.311,3.133,1.084,3.138,-0.528,-119.09700000000001,14.817,5.532,0.33336805555555554,1.87,3.2800000000000002,12.89,0.,0.,0.,0.,0.,0.,0.,0.,-
2001//1//4,4,07::40:30,16::51:32,12::15:59,3.555,12.899000000000001,2.277,3.137,3.69,9.332,1.811,3.137,5.478,3.137,0.466,3.138,11.811,6.223,48.871,2.433,0.1663194444444444,0.81,0.51,13.700000000000001,0.,0.,0.,0.,0.,0.,0.,0.,-
2001//1//5,5,07::40:27,16::52:50,12::16:26,3.576,12.9,1.589,3.136,1.863,9.33,0.216,3.141,0.651,3.137,1.372,3.138,2.7760000000000002,24.123,23.650000000000002,3.508,0.20180555555555557,1.42,1.72,12.43,0.,0.,0.,0.,0.,0.,0.,0.,-
2001//1//6,6,07::40:22,16::53:52,12::16:52,3.599,13.02,1.795,3.137,2.601,9.33,0.995,3.137,2.869,3.137,0.8,3.138,6.041,10.68,34.699,2.7680000000000002,0.7439930555555556,6.5,1.03,15.06,0.,0.,0.,0.,0.,0.,0.,0.,-
2001//1//7,7,07::40:15,16::54:36,12::17:18,3.623,13.022,1.165,3.136,1.589,9.332,0.425,3.14,1.254,3.137,0.739,3.138,0.853,69.891,19.324,3.786,4.167187500000001,8.03,12.01,16.09,0.,0.,0.,0.,0.,0.,0.,0.,-
2001//1//8,8,07::40:07,16::55:28,12::17:43,3.649,13.025,0.8240000000000001,3.1390000000000002,0.8,9.328,0.,100,0.002,3.1950000000000003,0.8240000000000001,3.138,-2.688,-20.356,8.688,8.366,1.0852430555555557,4.36,3.1,12.07,0.,0.,0.,0.,0.,0.,0.,0.,-
2001//1//9,9,07::39:55,16::56:37,12::18:08,3.676,13.028,0.857,3.1390000000000002,0.866,9.332,0.018000000000000002,3.145,0.054,3.129,0.839,3.138,-2.483,-21.708000000000002,9.482,7.924,2.147708333333333,8.03,-1.12,8.14,0.,0.,0.,0.,0.,0.,0.,0.,-
2001//1//10,10,07::39:42,16::58:04,12::18:32,3.704,13.033,0.905,3.137,0.896,9.336,0.011,3.2560000000000002,0.028,3.141,0.894,3.136,-2.123,-25.389,10.028,6.515000000000001,4.199583333333333,8.81,3.63,10.03,0.,0.,0.,0.,0.,0.,0.,0.,-
2001//1//11,11,07::39:25,16::59:04,12::18:55,3.733,13.156,0.594,3.1350000000000002,0.598,9.331,0.031,3.093,0.134,3.136,0.5630000000000001,3.137,-3.962,-10.925,5.591,9.056000000000001,1.115,5.51,2.42,8.16,0.,0.,0.,0.,0.,0.,0.,0.,-
2001//1//12,12,07::39:05,16::59:54,12::19:18,3.7640000000000002,13.163,2.415,3.137,3.736,9.331,1.873,3.136,5.094,3.137,0.542,3.1390000000000002,13.255,5.175,51.541000000000004,2.519,0.3166319444444444,1.98,-0.96,8.81,0.,0.,0.,0.,0.,0.,0.,0.,-
2001//1//13,13,07::38:40,17::00:58,12::19:41,3.797,13.171000000000001,0.791,3.1350000000000002,0.752,9.329,0.001,2.172,0.005,2.973,0.79,3.136,-2.6390000000000002,-18.258,8.952,7.1160000000000005,0.04798611111111112,0.96,1.44,5.3100000000000005,0.,0.,0.,0.,0.,0.,0.,0.,-
2001//1//14,14,07::38:09,17::02:26,12::20:02,3.83,13.182,1.17,3.137,1.278,9.333,0.181,3.1350000000000002,0.47600000000000003,3.1390000000000002,0.989,3.137,2.358,26.322,22.243000000000002,3.7070000000000003,0.1079513888888889,1.01,-0.6900000000000001,5.22,0.,0.,0.,0.,0.,0.,0.,0.,-
2001//1//15,15,07::37:29,17::03:46,12::20:24,3.865,13.314,1.48,3.137,1.661,9.33,0.338,3.142,1.17,3.136,1.141,3.138,2.351,29.179000000000002,22.587,3.477,0.09586805555555555,1.,-2.08,4.04,0.,0.,0.,0.,0.,0.,0.,0.,-
2001//1//16,16,07::36:52,17::04:37,12::20:44,3.9010000000000002,13.312000000000001,2.721,3.137,4.114,9.333,2.093,3.137,5.819,3.137,0.628,3.138,15.363,4.731,57.729,2.365,0.29819444444444443,2.25,-6.16,6.24,0.,0.,0.,0.,0.,0.,0.,0.,-
2001//1//17,17,07::36:17,17::05:39,12::21:04,3.938,13.338000000000001,2.645,3.137,3.967,9.331,1.9060000000000001,3.136,5.223,3.137,0.739,3.138,14.477,5.359,55.449,2.529,0.2117013888888889,1.57,-4.79,6.61,0.,0.,0.,0.,0.,0.,0.,0.,-
2001//1//18,18,07::35:54,17::07:04,12::21:23,3.977,13.345,1.281,3.136,1.335,9.334,0.06,3.121,0.16,3.128,1.221,3.137,0.36,165.602,16.989,4.389,0.18913194444444445,2.0300000000000002,-1.6300000000000001,6.97,0.,0.,0.,0.,0.,0.,0.,0.,-
2001//1//19,19,07::35:28,17::08:38,12::21:41,4.016,13.353,2.825,3.137,4.355,9.333,2.366,3.137,6.603,3.137,0.459,3.138,16.257,4.672,59.212,2.341,0.23996527777777776,2.11,-1.28,10.41,0.,0.,0.,0.,0.,0.,0.,0.,-
2001//1//20,20,07::34:57,17::09:30,12::21:58,4.057,13.481,0.833,3.136,0.809,9.329,0.,100,0.002,2.737,0.833,3.1350000000000002,-2.837,-18.999,8.079,9.098,2.447048611111111,5.58,-1.99,12.200000000000001,0.,0.,0.,0.,0.,0.,0.,0.,-
2001//1//21,21,07::34:20,17::10:33,12::22:15,4.1,13.493,1.089,3.136,1.059,9.333,0.002,2.57,0.007,3.091,1.087,3.137,-1.234,-49.635,12.377,5.675,0.6209027777777777,3.58,4.36,11.74,0.,0.,0.,0.,0.,0.,0.,0.,-
2001//1//22,22,07::33:34,17::11:59,12::22:31,4.143,13.508000000000001,2.572,3.137,3.875,9.332,1.939,3.137,5.051,3.137,0.633,3.136,13.780000000000001,5.3340000000000005,52.012,2.449,0.7544097222222221,3.54,2.91,16.12,0.,0.,0.,0.,0.,0.,0.,0.,-
2001//1//23,23,07::32:34,17::13:38,12::22:46,4.187,13.529,1.956,3.136,2.231,9.33,0.28500000000000003,3.142,0.668,3.1350000000000002,1.67,3.137,5.5520000000000005,12.062,30.197,3.017,3.130173611111111,10.620000000000001,4.92,13.11,0.,0.,0.,0.,0.,0.,0.,0.,-
2001//1//24,24,07::31:33,17::14:31,12::23:01,4.233,13.645,1.694,3.137,1.7810000000000001,9.332,0.27,3.137,0.656,3.1390000000000002,1.424,3.137,4.063,15.879,27.457,3.4170000000000003,0.1990277777777778,1.26,-0.21,8.44,0.,0.,0.,0.,0.,0.,0.,0.,-
2001//1//25,25,07::30:56,17::15:36,12::23:14,4.28,13.679,1.554,3.138,1.711,9.33,0.251,3.137,0.601,3.1350000000000002,1.303,3.138,2.4,24.882,22.479,4.163,3.2372916666666667,6.42,-1.28,7.08,0.,0.,0.,0.,0.,0.,0.,0.,-
2001//1//26,26,07::30:19,17::17:06,12::23:27,4.328,13.69,2.87,3.137,4.154,9.331,2.149,3.138,5.188,3.137,0.72,3.138,16.523,4.646,59.612,2.599,2.0858333333333334,4.94,0.34,10.27,0.,0.,0.,0.,0.,0.,0.,0.,-
2001//1//27,27,07::29:34,17::18:41,12::23:39,4.377,13.822000000000001,3.1830000000000003,3.137,4.878,9.333,2.754,3.137,7.331,3.137,0.429,3.138,19.188,4.128,65.999,2.343,0.5619097222222222,4.09,-4.41,12.450000000000001,0.,0.,0.,0.,0.,0.,0.,0.,-
2001//1//28,28,07::28:38,17::19:36,12::23:50,4.4270000000000005,13.841000000000001,2.664,3.138,3.5100000000000002,9.332,1.274,3.137,2.9050000000000002,3.137,1.3900000000000001,3.138,12.784,6.26,49.735,2.7,0.6336458333333334,4.8100000000000005,-4.38,9.32,0.,0.,0.,0.,0.,0.,0.,0.,-
2001//1//29,29,07::27:21,17::20:44,12::24:00,4.478,13.864,1.617,3.137,1.992,9.332,0.584,3.1350000000000002,1.469,3.137,1.033,3.138,4.088,16.182,27.147000000000002,3.4090000000000003,0.46177083333333335,1.75,-1.24,6.8100000000000005,0.,0.,0.,0.,0.,0.,0.,0.,-
