Station ID Number:,94040,-,-.1,-.2,-.3,Type of Measurement:,GHI,GHI_Flag,GHI_Tilt,GHI_Tilt_Flag,DrHI_Calc,DrHI_Calc_Flag,DNI,DNI_Flag,DHI,DHI_Flag,PV_Power,PV_Power_Flag,PV_Power.1,PV_Power_Flag.1,Wind_Speed,Wind_Speed_Flag,TEMPERATURE,TEMPERATURE_Flag,GHI_original,GHI_original_Flag,GHI_Tilt_original,GHI_Tilt_original_Flag,DNI_original,DNI_original_Flag,DHI_original,DHI_original_Flag,NOTES
Station Name:,ASO,-,-,-,-,Element:,1000,-,1160,-,2000,-,2010,-,3000,-,5161,-,5162,-,9210,-,9300,-,1000_original,-,1160_original,-,2010_original,-,3000_original,-,Contact Info: http://solardat.uoregon.edu
Station Location:,Ashland_Oregon_USA,-,-,-,-,Instrument Serial Number:,RSP(PY35965_GHI),-,LICOR(PY35962),-,RSP(PY35965_DNI),-,RSP(PY35965_DNI),-,RSP(PY35965_DHI),-,PV5kw,-,PV15kw,-,WS,-,TEMP,-,RSP(PY35965_GHI),-,LICOR(PY35962),-,RSP(PY35965_DNI),-,RSP(PY35965_DHI),-,Element description at: http://solardat.uoregon.edu/DataElementNumbers.html
Latitude:,42.19441,-,-,-,-,Instrument Shorthand Name:,RSP,-,GHI_TILT,-,,-,RSP,-,RSP,-,PV5kw,-,PV15kw,-,WS,-,TEMP(ASO),-,RSP,-,GHI_TILT,-,RSP,-,RSP,-,Flag description at: http://solardat.uoregon.edu/QualityControlFlags.html
Longitude (+ East):,-122.69814,-,-,-,-,Responsivity:,10.328600000000002,microV/(W/m^2),9.439430000000002,microV/(W/m^2),,-,10.328600000000002,microV/(W/m^2),10.328600000000002,microV/(W/m^2),160.,Varies,2.7777800000000004,Varies,1308.9005200000001,microV?/m/s,1000.0000000000001,microV?/C,10.328600000000002,microV/(W/m^2),9.439430000000002,microV/(W/m^2),10.328600000000002,microV/(W/m^2),10.328600000000002,microV/(W/m^2),Data has been calibrated using the responsivity values listed 
Altitude (m):,594.,-,-,-,-,Estimated Uncertainty (U95%):,3.137,-,9.332,-,3.137,-,3.137,-,3.137,-,1.999,-,2.191,-,4.383,-,2.2,-,5,-,9.332,-,10,-,30,-,The phrase (_original) means the data has not had the nighttime offset subtracted.
Time Zone (+ East):,-8.,-,-,-,-,Sample Method:,Avg,-,Avg,-,-,-,Avg,-,Avg,-,Avg,-,Avg,-,Avg,-,Avg,-,Avg,-,Avg,-,Avg,-,Avg,-,Data that has been (computed) was calculated from measured columns.
Time Interval (Minutes):,5,-,-,-,-,Units:,W/m^2,-,W/m^2,-,W/m^2,-,W/m^2,-,W/m^2,-,Watts,-,Watts,-,m/s,-,C,-,W/m^2,-,W/m^2,-,W/m^2,-,W/m^2,-,Date this file was created: 2018-4-3
Year//Month,2004//01,-,-,-,-,Column Notes:,AdjustedColumn,-,AdjustedColumn,-,CalculatedColumn,-,AdjustedColumn,-,AdjustedColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,-
-,-,-,-,-,-,-,After_Adjustments,-,-,-,-,-,After_Adjustments,-,After_Adjustments,-,-,-,-,-,-,-,-,-,Before_Adjustments,-,-,-,Before_Adjustments,-,Before_Adjustments,-,-
YYYY//MM//DD,Day of year,Time Sunrise (HH::MM:SS),Time Sunset (HH::MM:SS),Time Solar Noon (HH::MM:SS),Daily Total Energy ETR (kW h/m^2),Daily Total Energy ETRn (kW h/m^2),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh),Daily Total Uncertainty (U95%),Daily Total Energy (kWh),Daily Total Uncertainty (U95%),Average daily value,Maximum daily value,Minimum daily value,Maximum daily value,Average Nighttime Value,Standard Deviation Nighttime,Average Nighttime Value,Standard Deviation Nighttime,Average Nighttime Value,Standard Deviation Nighttime,Average Nighttime Value,Standard Deviation Nighttime,Assorted Daily Values (Rows 12 - 42)
2004//1//1,1,07::40:24,16::48:39,12::14:15,3.488,12.784,0.739,3.137,0.679,9.326,0.008,3.1590000000000003,0.021,3.116,0.731,3.137,-2.866,-15.672,2.083,11.370000000000001,1.153923611111111,5.7700000000000005,0.1,6.3100000000000005,0.,0.,0.,0.,0.,0.,0.,0.,-
2004//1//2,2,07::40:28,16::49:14,12::14:43,3.504,12.9,1.094,3.136,1.111,9.333,0.221,3.137,0.643,3.136,0.873,3.136,-3.622,-8.793000000000001,0.,100,0.04590277777777778,0.84,-1.62,3.2,0.0037,0.0434,0.,0.,0.,0.,0.0037,0.0434,-
2004//1//3,3,07::40:30,16::49:55,12::15:11,3.521,12.899000000000001,1.5110000000000001,3.136,1.53,9.335,0.147,3.141,0.441,3.137,1.363,3.138,2.445,27.055,0.,100,0.13499999999999998,1.8800000000000001,-2.41,4.68,0.,0.,0.,0.,0.,0.,0.,0.,-
2004//1//4,4,07::40:30,16::50:46,12::15:39,3.54,12.899000000000001,1.114,3.137,1.077,9.335,0.003,3.499,0.009000000000000001,3.137,1.111,3.136,-1.5050000000000001,-30.388,0.,100,0.03670138888888889,1.25,-0.8200000000000001,4.95,0.017400000000000002,0.12510000000000002,0.,0.,0.,0.,0.014400000000000001,0.12290000000000001,-
2004//1//5,5,07::40:29,16::51:51,12::16:06,3.561,12.9,1.641,3.138,1.98,9.333,0.297,3.138,0.809,3.138,1.344,3.138,-5.921,0.,5.557,4.3420000000000005,0.6248611111111111,4.22,-2.11,6.5600000000000005,0.,0.,0.,0.,0.,0.,0.,0.,-
2004//1//6,6,07::40:25,16::53:10,12::16:32,3.5820000000000003,12.901,0.602,3.14,0.551,9.335,0.,100,0.005,2.868,0.602,3.1390000000000002,-5.91,0.,4.488,14.375,1.8859027777777781,4.88,1.42,9.48,0.,0.,0.,0.,0.,0.,0.,0.,-
2004//1//7,7,07::40:20,16::54:03,12::16:58,3.606,13.02,2.349,3.137,3.396,9.333,1.321,3.137,3.795,3.137,1.028,3.138,11.552,6.292,45.945,2.64,3.4933680555555555,5.29,3.74,10.36,0.,0.,0.,0.,0.,0.,0.,0.,-
2004//1//8,8,07::40:13,16::54:49,12::17:24,3.63,13.022,1.2610000000000001,3.138,1.405,9.333,0.152,3.144,0.371,3.133,1.109,3.137,1.1340000000000001,51.852000000000004,18.115000000000002,4.378,2.8956250000000003,6.8500000000000005,6.88,12.780000000000001,0.,0.,0.,0.,0.,0.,0.,0.,-
2004//1//9,9,07::40:03,16::55:45,12::17:49,3.656,13.025,1.002,3.137,1.129,9.331,0.189,3.144,0.6970000000000001,3.136,0.8130000000000001,3.136,-0.8190000000000001,-62.821,12.354000000000001,6.606,3.2018402777777784,7.63,5.37,15.950000000000001,0.,0.,0.,0.,0.,0.,0.,0.,-
2004//1//10,10,07::39:52,16::57:00,12::18:14,3.6830000000000003,13.029,1.457,3.137,1.7910000000000001,9.334,0.319,3.137,0.93,3.138,1.1380000000000001,3.137,3.219,21.057000000000002,23.414,3.7560000000000002,0.7897916666666666,3.86,2.67,12.540000000000001,0.,0.,0.,0.,0.,0.,0.,0.,-
2004//1//11,11,07::39:37,16::58:27,12::18:38,3.712,13.033,2.235,3.137,3.3890000000000002,9.333,1.588,3.137,4.545,3.137,0.647,3.138,10.416,7.37,44.216,2.748,0.983298611111111,3.42,0.48,16.830000000000002,0.,0.,0.,0.,0.,0.,0.,0.,-
2004//1//12,12,07::39:19,16::59:16,12::19:01,3.741,13.157,1.459,3.136,1.701,9.33,0.219,3.13,0.707,3.1350000000000002,1.24,3.138,2.439,29.466,21.307000000000002,4.0520000000000005,2.444340277777778,4.86,8.78,15.01,0.,0.,0.,0.,0.,0.,0.,0.,-
2004//1//13,13,07::38:58,17::00:10,12::19:24,3.773,13.164,2.177,3.137,3.27,9.333,1.49,3.137,3.994,3.137,0.687,3.136,10.578,6.871,43.84,2.726,1.9756249999999997,5.62,2.95,16.64,0.,0.,0.,0.,0.,0.,0.,0.,-
2004//1//14,14,07::38:32,17::01:18,12::19:46,3.805,13.173,0.533,3.1350000000000002,0.515,9.335,0.,100,0.002,3.8360000000000003,0.533,3.1350000000000002,-4.2010000000000005,-7.776,4.122,14.067,1.2015277777777778,5.04,6.8500000000000005,14.42,0.,0.,0.,0.,0.,0.,0.,0.,-
2004//1//15,15,07::37:58,17::02:50,12::20:08,3.839,13.184000000000001,1.872,3.138,2.492,9.332,0.806,3.138,2.308,3.136,1.066,3.138,5.4910000000000005,12.344,32.333,3.0380000000000003,0.12486111111111112,1.,3.06,10.27,0.,0.,0.,0.,0.,0.,0.,0.,-
2004//1//16,16,07::37:19,17::03:59,12::20:29,3.874,13.312000000000001,1.938,3.137,2.495,9.333,0.592,3.1390000000000002,1.702,3.138,1.346,3.136,6.5040000000000004,11.175,34.338,2.798,0.41104166666666664,3.33,0.8300000000000001,11.86,0.,0.,0.,0.,0.,0.,0.,0.,-
2004//1//17,17,07::36:40,17::04:52,12::20:49,3.911,13.31,1.357,3.136,1.5150000000000001,9.33,0.162,3.142,0.382,3.14,1.194,3.138,1.6,42.365,19.609,4.4670000000000005,0.15020833333333333,1.54,-1.84,8.23,0.,0.,0.,0.,0.,0.,0.,0.,-
2004//1//18,18,07::36:11,17::05:59,12::21:08,3.948,13.339,1.422,3.136,1.655,9.332,0.275,3.132,0.613,3.1350000000000002,1.147,3.137,2.557,24.912,21.973,3.958,0.11760416666666668,1.,3.21,9.27,0.,0.,0.,0.,0.,0.,0.,0.,-
2004//1//19,19,07::35:47,17::07:33,12::21:27,3.987,13.346,1.231,3.137,1.29,9.334,0.105,3.13,0.256,3.138,1.1260000000000001,3.138,0.6930000000000001,91.919,16.983,4.572,0.16065972222222222,1.41,3.22,10.03,0.,0.,0.,0.,0.,0.,0.,0.,-
2004//1//20,20,07::35:20,17::08:51,12::21:45,4.027,13.472,1.284,3.137,1.528,9.333,0.289,3.1350000000000002,0.937,3.138,0.995,3.138,0.935,73.379,17.999,4.377,0.05333333333333333,1.03,-0.07,7.38,0.,0.,0.,0.,0.,0.,0.,0.,-
2004//1//21,21,07::34:47,17::09:46,12::22:02,4.0680000000000005,13.482000000000001,2.594,3.137,3.783,9.332,1.7750000000000001,3.137,4.488,3.137,0.8190000000000001,3.136,12.667,5.351,50.487,2.572,0.1646875,1.1,-0.92,7.9,0.,0.,0.,0.,0.,0.,0.,0.,-
2004//1//22,22,07::34:08,17::10:53,12::22:19,4.111,13.495000000000001,2.995,3.137,4.477,9.333,2.371,3.137,6.471,3.137,0.624,3.1350000000000002,16.278,4.816,59.466,2.482,0.11770833333333333,0.92,-3.14,9.4,0.,0.,0.,0.,0.,0.,0.,0.,-
2004//1//23,23,07::33:19,17::12:29,12::22:35,4.154,13.511000000000001,0.777,3.138,0.736,9.336,0.,100,0.002,2.936,0.777,3.137,-2.858,-22.288,7.589,9.9,0.0945138888888889,1.32,-0.93,6.140000000000001,0.,0.,0.,0.,0.,0.,0.,0.,-
2004//1//24,24,07::32:16,17::13:51,12::22:50,4.199,13.646,0.912,3.136,0.915,9.331,0.057,3.1510000000000002,0.162,3.132,0.854,3.1390000000000002,-1.897,-27.122,10.895,7.096,0.23628472222222227,2.,-0.68,6.1000000000000005,0.,0.,0.,0.,0.,0.,0.,0.,-
2004//1//25,25,07::31:20,17::14:47,12::23:04,4.245,13.67,1.97,3.138,2.476,9.333,0.587,3.136,1.841,3.137,1.3840000000000001,3.136,6.628,10.227,32.747,2.9130000000000003,0.10510416666666668,1.25,-1.3900000000000001,6.42,0.,0.,0.,0.,0.,0.,0.,0.,-
2004//1//26,26,07::30:47,17::15:57,12::23:17,4.292,13.68,0.765,3.138,0.719,9.336,0.002,2.606,0.004,3.095,0.764,3.1350000000000002,-3.166,-16.509,6.97,11.365,1.8470138888888892,5.36,-1.22,5.11,0.,0.,0.,0.,0.,0.,0.,0.,-
2004//1//27,27,07::30:07,17::17:36,12::23:30,4.34,13.692,1.165,3.138,1.296,9.331,0.155,3.1310000000000002,0.362,3.134,1.0110000000000001,3.136,0.43,127.248,16.747,4.282,1.0580208333333334,4.6000000000000005,3.77,10.57,0.,0.,0.,0.,0.,0.,0.,0.,-
2004//1//28,28,07::29:20,17::18:55,12::23:42,4.39,13.824,1.415,3.136,1.467,9.335,0.053,3.162,0.12,3.138,1.361,3.137,1.6,40.323,19.912,4.148,0.11607638888888888,1.08,2.17,8.07,0.,0.,0.,0.,0.,0.,0.,0.,-
2004//1//29,29,07::28:19,17::19:53,12::23:53,4.44,13.845,2.253,3.137,2.7640000000000002,9.331,0.708,3.1390000000000002,1.684,3.137,1.545,3.136,7.812,9.095,37.160000000000004,2.83,0.5718055555555556,4.22,4.18,12.530000000000001,0.,0.,0.,0.,0.,0.,0.,0.,-
