Station ID Number:,94040,-,-.1,-.2,-.3,Type of Measurement:,GHI,GHI_Flag,GHI_Tilt,GHI_Tilt_Flag,DrHI_Calc,DrHI_Calc_Flag,DNI,DNI_Flag,DHI,DHI_Flag,PV_Power,PV_Power_Flag,PV_Power.1,PV_Power_Flag.1,Wind_Speed,Wind_Speed_Flag,TEMPERATURE,TEMPERATURE_Flag,GHI_original,GHI_original_Flag,GHI_Tilt_original,GHI_Tilt_original_Flag,DNI_original,DNI_original_Flag,DHI_original,DHI_original_Flag,NOTES
Station Name:,ASO,-,-,-,-,Element:,1000,-,1160,-,2000,-,2010,-,3000,-,5161,-,5162,-,9210,-,9300,-,1000_original,-,1160_original,-,2010_original,-,3000_original,-,Contact Info: http://solardat.uoregon.edu
Station Location:,Ashland_Oregon_USA,-,-,-,-,Instrument Serial Number:,RSP(PY35965_GHI),-,LICOR(PY35962),-,RSP(PY35965_DNI),-,RSP(PY35965_DNI),-,RSP(PY35965_DHI),-,PV5kw,-,PV15kw,-,WS,-,TEMP,-,RSP(PY35965_GHI),-,LICOR(PY35962),-,RSP(PY35965_DNI),-,RSP(PY35965_DHI),-,Element description at: http://solardat.uoregon.edu/DataElementNumbers.html
Latitude:,42.19441,-,-,-,-,Instrument Shorthand Name:,RSP,-,GHI_TILT,-,,-,RSP,-,RSP,-,PV5kw,-,PV15kw,-,WS,-,TEMP(ASO),-,RSP,-,GHI_TILT,-,RSP,-,RSP,-,Flag description at: http://solardat.uoregon.edu/QualityControlFlags.html
Longitude (+ East):,-122.69814,-,-,-,-,Responsivity:,10.328600000000002,microV/(W/m^2),9.439430000000002,microV/(W/m^2),,-,10.328600000000002,microV/(W/m^2),10.328600000000002,microV/(W/m^2),160.,Varies,2.7777800000000004,Varies,1308.9005200000001,microV?/m/s,1000.0000000000001,microV?/C,10.328600000000002,microV/(W/m^2),9.439430000000002,microV/(W/m^2),10.328600000000002,microV/(W/m^2),10.328600000000002,microV/(W/m^2),Data has been calibrated using the responsivity values listed 
Altitude (m):,594.,-,-,-,-,Estimated Uncertainty (U95%):,3.137,-,9.332,-,3.137,-,3.137,-,3.137,-,1.999,-,2.191,-,4.383,-,2.2,-,5,-,9.332,-,10,-,30,-,The phrase (_original) means the data has not had the nighttime offset subtracted.
Time Zone (+ East):,-8.,-,-,-,-,Sample Method:,Avg,-,Avg,-,-,-,Avg,-,Avg,-,Avg,-,Avg,-,Avg,-,Avg,-,Avg,-,Avg,-,Avg,-,Avg,-,Data that has been (computed) was calculated from measured columns.
Time Interval (Minutes):,5,-,-,-,-,Units:,W/m^2,-,W/m^2,-,W/m^2,-,W/m^2,-,W/m^2,-,Watts,-,Watts,-,m/s,-,C,-,W/m^2,-,W/m^2,-,W/m^2,-,W/m^2,-,Date this file was created: 2018-4-9
Year//Month,2010//01,-,-,-,-,Column Notes:,AdjustedColumn,-,AdjustedColumn,-,CalculatedColumn,-,AdjustedColumn,-,AdjustedColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,-
-,-,-,-,-,-,-,After_Adjustments,-,-,-,-,-,After_Adjustments,-,After_Adjustments,-,-,-,-,-,-,-,-,-,Before_Adjustments,-,-,-,Before_Adjustments,-,Before_Adjustments,-,-
YYYY//MM//DD,Day of year,Time Sunrise (HH::MM:SS),Time Sunset (HH::MM:SS),Time Solar Noon (HH::MM:SS),Daily Total Energy ETR (kW h/m^2),Daily Total Energy ETRn (kW h/m^2),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh),Daily Total Uncertainty (U95%),Daily Total Energy (kWh),Daily Total Uncertainty (U95%),Average daily value,Maximum daily value,Minimum daily value,Maximum daily value,Average Nighttime Value,Standard Deviation Nighttime,Average Nighttime Value,Standard Deviation Nighttime,Average Nighttime Value,Standard Deviation Nighttime,Average Nighttime Value,Standard Deviation Nighttime,Assorted Daily Values (Rows 12 - 42)
2010//1//1,1,07::40:26,16::48:57,12::14:30,3.496,12.901,1.2530000000000001,3.136,1.55,9.33,0.303,3.138,0.91,3.137,0.9490000000000001,3.1390000000000002,1.639,31.391000000000002,19.830000000000002,3.83,1.0449305555555557,3.87,1.3900000000000001,12.02,0.,0.,0.,0.,0.,0.,0.,0.,-
2010//1//2,2,07::40:28,16::49:35,12::14:58,3.513,12.9,1.211,3.136,1.332,9.331,0.036000000000000004,3.1510000000000002,0.089,3.141,1.175,3.136,0.317,213.828,16.36,4.784,0.06517361111111111,1.07,-0.75,6.93,0.,0.,0.,0.,0.,0.,0.,0.,-
2010//1//3,3,07::40:29,16::50:21,12::15:25,3.532,12.9,0.984,3.136,1.048,9.335,0.016,3.055,0.067,3.1270000000000002,0.968,3.137,-1.315,-46.578,11.611,6.073,0.018194444444444447,0.42,-1.1400000000000001,4.25,0.,0.,0.,0.,0.,0.,0.,0.,-
2010//1//4,4,07::40:29,16::51:18,12::15:53,3.552,12.9,1.156,3.137,1.405,9.332,0.188,3.136,0.47100000000000003,3.138,0.968,3.137,0.5,114.333,17.536,4.603,0.07430555555555556,0.67,-0.44,8.28,0.,0.,0.,0.,0.,0.,0.,0.,-
2010//1//5,5,07::40:26,16::52:36,12::16:19,3.573,12.901,1.679,3.136,2.133,9.334,0.41100000000000003,3.136,1.045,3.138,1.268,3.136,4.227,15.456,28.262,3.108,0.10010416666666666,0.78,4.71,12.64,0.,0.,0.,0.,0.,0.,0.,0.,-
2010//1//6,6,07::40:22,16::53:44,12::16:46,3.595,13.02,0.614,3.138,0.595,9.332,0.,100,0.005,3.041,0.614,3.138,-3.924,-12.071,4.7620000000000005,14.406,0.015451388888888893,0.31,7.61,11.39,0.,0.,0.,0.,0.,0.,0.,0.,-
2010//1//7,7,07::40:15,16::54:26,12::17:12,3.619,13.022,1.472,3.138,1.7650000000000001,9.334,0.244,3.136,0.643,3.137,1.229,3.136,2.622,26.475,23.055,3.678,0.8544097222222222,3.18,5.48,14.52,0.,0.,0.,0.,0.,0.,0.,0.,-
2010//1//8,8,07::40:07,16::55:17,12::17:37,3.644,13.024000000000001,0.677,3.137,0.71,9.332,0.008,3.033,0.027,3.101,0.669,3.138,-3.341,-13.689,6.6240000000000006,9.,1.366527777777778,3.71,6.69,14.030000000000001,0.,0.,0.,0.,0.,0.,0.,0.,-
2010//1//9,9,07::39:56,16::56:21,12::18:02,3.6710000000000003,13.028,1.186,3.138,1.371,9.33,0.125,3.14,0.455,3.136,1.061,3.137,0.437,151.373,16.403,4.68,0.36201388888888886,3.18,5.41,14.4,0.,0.,0.,0.,0.,0.,0.,0.,-
2010//1//10,10,07::39:43,16::57:48,12::18:26,3.6990000000000003,13.032,1.115,3.138,1.227,9.329,0.064,3.154,0.181,3.132,1.051,3.137,-0.328,-164.329,14.945,4.358,1.470902777777778,4.71,3.06,15.63,0.,0.,0.,0.,0.,0.,0.,0.,-
2010//1//11,11,07::39:27,16::58:55,12::18:50,3.728,13.155000000000001,1.494,3.137,1.917,9.33,0.424,3.137,1.102,3.138,1.07,3.136,2.537,25.752,23.31,3.779,3.0299999999999994,5.19,10.08,18.990000000000002,0.,0.,0.,0.,0.,0.,0.,0.,-
2010//1//12,12,07::39:07,16::59:44,12::19:13,3.759,13.162,1.754,3.136,2.411,9.334,0.754,3.137,1.865,3.136,1.,3.136,5.191,11.013,31.706,2.973,2.241770833333333,7.47,8.290000000000001,13.75,0.,0.,0.,0.,0.,0.,0.,0.,-
2010//1//13,13,07::38:43,17::00:44,12::19:35,3.791,13.17,1.047,3.137,1.143,9.331,0.05,3.164,0.122,3.145,0.997,3.136,-0.986,-57.15,13.256,5.431,0.2894097222222222,2.88,3.79,10.92,0.,0.,0.,0.,0.,0.,0.,0.,-
2010//1//14,14,07::38:13,17::02:05,12::19:57,3.8240000000000003,13.18,1.867,3.136,2.36,9.332,0.618,3.1390000000000002,1.915,3.137,1.248,3.138,5.612,12.515,31.307000000000002,3.126,0.6763541666666666,4.14,0.48,13.48,0.,0.,0.,0.,0.,0.,0.,0.,-
2010//1//15,15,07::37:35,17::03:37,12::20:18,3.858,13.194,2.27,3.137,3.211,9.333,1.058,3.136,2.837,3.137,1.213,3.136,8.67,8.478,42.168,2.6710000000000003,2.1730902777777774,5.24,3.8200000000000003,16.43,0.,0.,0.,0.,0.,0.,0.,0.,-
2010//1//16,16,07::36:57,17::04:26,12::20:39,3.894,13.312000000000001,1.599,3.137,2.009,9.334,0.375,3.1390000000000002,0.972,3.136,1.224,3.136,3.839,16.806,26.293,3.228,1.8778819444444446,4.17,6.29,14.97,0.,0.,0.,0.,0.,0.,0.,0.,-
2010//1//17,17,07::36:20,17::05:26,12::20:59,3.931,13.337,0.961,3.137,1.044,9.335,0.045,3.107,0.125,3.138,0.916,3.1390000000000002,-1.534,-38.331,11.465,6.567,2.4994444444444444,5.72,4.76,12.32,0.,0.,0.,0.,0.,0.,0.,0.,-
2010//1//18,18,07::35:58,17::06:44,12::21:18,3.97,13.344,1.103,3.138,1.18,9.332,0.05,3.148,0.125,3.133,1.053,3.138,-0.663,-71.443,13.453,5.502,3.7125694444444446,8.38,6.140000000000001,11.57,0.,0.,0.,0.,0.,0.,0.,0.,-
2010//1//19,19,07::35:32,17::08:22,12::21:36,4.009,13.352,1.313,3.138,1.486,9.334,0.2,3.133,0.549,3.134,1.114,3.136,0.153,389.651,17.811,4.292,4.174479166666667,13.01,6.0600000000000005,9.56,0.,0.,0.,0.,0.,0.,0.,0.,-
2010//1//20,20,07::35:02,17::09:19,12::21:54,4.05,13.479000000000001,1.02,3.137,1.006,9.333,0.,100,0.,100,1.02,3.137,-1.6640000000000001,-37.300000000000004,10.994,6.687,3.7743055555555554,10.42,5.51,7.84,0.,0.,0.,0.,0.,0.,0.,0.,-
2010//1//21,21,07::34:26,17::10:20,12::22:11,4.0920000000000005,13.49,2.0420000000000003,3.137,2.699,9.332,0.804,3.1350000000000002,1.97,3.138,1.238,3.138,7.9510000000000005,8.833,35.778,3.086,1.9194791666666673,5.11,3.93,9.43,0.,0.,0.,0.,0.,0.,0.,0.,-
2010//1//22,22,07::33:42,17::11:39,12::22:27,4.135,13.505,1.986,3.137,2.712,9.333,0.883,3.136,2.1670000000000003,3.137,1.103,3.138,7.534,8.997,35.008,3.016,0.15003472222222222,1.6300000000000001,-0.84,8.96,0.,0.,0.,0.,0.,0.,0.,0.,-
2010//1//23,23,07::32:44,17::13:21,12::22:42,4.179,13.525,1.655,3.136,2.184,9.333,0.5720000000000001,3.136,1.436,3.138,1.083,3.137,4.236,16.773,28.03,3.349,0.4694444444444444,3.18,-1.77,10.3,0.,0.,0.,0.,0.,0.,0.,0.,-
2010//1//24,24,07::31:43,17::14:19,12::22:57,4.225,13.645,0.494,3.1350000000000002,0.49,9.334,0.,100,0.,100,0.494,3.1350000000000002,-4.495,-6.904,3.434,18.312,3.8180902777777783,5.99,4.74,7.16,0.,0.,0.,0.,0.,0.,0.,0.,-
2010//1//25,25,07::31:02,17::15:22,12::23:10,4.271,13.677,1.108,3.138,1.135,9.328,0.008,3.251,0.022,3.128,1.1,3.137,-0.962,-61.972,13.134,5.285,2.6966319444444444,5.5600000000000005,5.5,9.77,0.,0.,0.,0.,0.,0.,0.,0.,-
2010//1//26,26,07::30:25,17::16:45,12::23:23,4.319,13.688,1.81,3.137,2.1350000000000002,9.332,0.241,3.136,0.5660000000000001,3.1350000000000002,1.569,3.137,4.756,14.767,28.474,3.301,0.20166666666666666,1.76,2.29,8.83,0.,0.,0.,0.,0.,0.,0.,0.,-
2010//1//27,27,07::29:42,17::18:28,12::23:36,4.368,13.701,2.467,3.138,3.336,9.332,0.968,3.136,2.434,3.138,1.5,3.137,10.431000000000001,6.890000000000001,44.697,2.6510000000000002,1.1513888888888888,3.7600000000000002,-2.09,11.21,0.,0.,0.,0.,0.,0.,0.,0.,-
2010//1//28,28,07::28:48,17::19:25,12::23:47,4.418,13.837,2.327,3.137,3.157,9.333,1.077,3.136,2.482,3.136,1.25,3.137,10.32,7.2010000000000005,43.752,2.713,2.2220833333333334,3.97,6.59,13.25,0.,0.,0.,0.,0.,0.,0.,0.,-
2010//1//29,29,07::27:34,17::20:30,12::23:57,4.469,13.862,1.467,3.138,1.679,9.334,0.138,3.141,0.297,3.1350000000000002,1.329,3.137,2.013,29.616,21.094,3.807,1.6529166666666666,5.33,6.390000000000001,12.98,0.,0.,0.,0.,0.,0.,0.,0.,-
2010//1//30,30,07::26:22,17::21:58,12::24:07,4.521,13.886000000000001,1.389,3.137,1.506,9.332,0.059000000000000004,3.126,0.149,3.136,1.33,3.137,1.08,56.713,18.525000000000002,4.634,0.16374999999999998,1.07,3.0100000000000002,9.41,0.,0.,0.,0.,0.,0.,0.,0.,-
