Station ID Number:,94040,-,-.1,-.2,-.3,Type of Measurement:,GHI,GHI_Flag,GHI_Tilt,GHI_Tilt_Flag,DrHI_Calc,DrHI_Calc_Flag,DNI,DNI_Flag,DHI,DHI_Flag,PV_Power,PV_Power_Flag,PV_Power.1,PV_Power_Flag.1,Wind_Speed,Wind_Speed_Flag,TEMPERATURE,TEMPERATURE_Flag,GHI_original,GHI_original_Flag,GHI_Tilt_original,GHI_Tilt_original_Flag,DNI_original,DNI_original_Flag,DHI_original,DHI_original_Flag,NOTES
Station Name:,ASO,-,-,-,-,Element:,1000,-,1160,-,2000,-,2010,-,3000,-,5161,-,5162,-,9210,-,9300,-,1000_original,-,1160_original,-,2010_original,-,3000_original,-,Contact Info: http://solardat.uoregon.edu
Station Location:,Ashland_Oregon_USA,-,-,-,-,Instrument Serial Number:,RSP(PY35965_GHI),-,LICOR(PY35962),-,RSP(PY35965_DNI),-,RSP(PY35965_DNI),-,RSP(PY35965_DHI),-,PV5kw,-,PV15kw,-,WS,-,TEMP,-,RSP(PY35965_GHI),-,LICOR(PY35962),-,RSP(PY35965_DNI),-,RSP(PY35965_DHI),-,Element description at: http://solardat.uoregon.edu/DataElementNumbers.html
Latitude:,42.19441,-,-,-,-,Instrument Shorthand Name:,RSP,-,GHI_TILT,-,,-,RSP,-,RSP,-,PV5kw,-,PV15kw,-,WS,-,TEMP(ASO),-,RSP,-,GHI_TILT,-,RSP,-,RSP,-,Flag description at: http://solardat.uoregon.edu/QualityControlFlags.html
Longitude (+ East):,-122.69814,-,-,-,-,Responsivity:,10.328600000000002,microV/(W/m^2),9.439430000000002,microV/(W/m^2),,-,10.328600000000002,microV/(W/m^2),10.328600000000002,microV/(W/m^2),160.,Varies,2.7777800000000004,Varies,1308.9005200000001,microV?/m/s,1000.0000000000001,microV?/C,10.328600000000002,microV/(W/m^2),9.439430000000002,microV/(W/m^2),10.328600000000002,microV/(W/m^2),10.328600000000002,microV/(W/m^2),Data has been calibrated using the responsivity values listed 
Altitude (m):,594.,-,-,-,-,Estimated Uncertainty (U95%):,3.137,-,9.332,-,3.137,-,3.137,-,3.137,-,1.999,-,2.191,-,4.383,-,2.2,-,5,-,9.332,-,10,-,30,-,The phrase (_original) means the data has not had the nighttime offset subtracted.
Time Zone (+ East):,-8.,-,-,-,-,Sample Method:,Avg,-,Avg,-,-,-,Avg,-,Avg,-,Avg,-,Avg,-,Avg,-,Avg,-,Avg,-,Avg,-,Avg,-,Avg,-,Data that has been (computed) was calculated from measured columns.
Time Interval (Minutes):,5,-,-,-,-,Units:,W/m^2,-,W/m^2,-,W/m^2,-,W/m^2,-,W/m^2,-,Watts,-,Watts,-,m/s,-,C,-,W/m^2,-,W/m^2,-,W/m^2,-,W/m^2,-,Date this file was created: 2018-4-9
Year//Month,2011//01,-,-,-,-,Column Notes:,AdjustedColumn,-,AdjustedColumn,-,CalculatedColumn,-,AdjustedColumn,-,AdjustedColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,-
-,-,-,-,-,-,-,After_Adjustments,-,-,-,-,-,After_Adjustments,-,After_Adjustments,-,-,-,-,-,-,-,-,-,Before_Adjustments,-,-,-,Before_Adjustments,-,Before_Adjustments,-,-
YYYY//MM//DD,Day of year,Time Sunrise (HH::MM:SS),Time Sunset (HH::MM:SS),Time Solar Noon (HH::MM:SS),Daily Total Energy ETR (kW h/m^2),Daily Total Energy ETRn (kW h/m^2),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh),Daily Total Uncertainty (U95%),Daily Total Energy (kWh),Daily Total Uncertainty (U95%),Average daily value,Maximum daily value,Minimum daily value,Maximum daily value,Average Nighttime Value,Standard Deviation Nighttime,Average Nighttime Value,Standard Deviation Nighttime,Average Nighttime Value,Standard Deviation Nighttime,Average Nighttime Value,Standard Deviation Nighttime,Assorted Daily Values (Rows 12 - 42)
2011//1//1,1,07::40:24,16::48:49,12::14:23,3.492,12.901,2.435,3.137,4.089,9.332,2.074,3.136,6.271,3.137,0.361,3.1390000000000002,12.333,5.165,54.033,2.353,2.469548611111111,5.1000000000000005,0.12,6.32,0.,0.,0.,0.,0.,0.,0.,0.,-
2011//1//2,2,07::40:28,16::49:25,12::14:51,3.509,12.9,2.403,3.451,4.017,10.372,2.047,3.431,6.282,3.642,0.356,3.561,11.488,5.6160000000000005,52.323,2.516,0.19413194444444443,2.33,-3.99,5.28,0.,0.,0.,0.,0.,0.,0.,0.,-
2011//1//3,3,07::40:29,16::50:09,12::15:19,3.527,12.9,1.674,3.136,2.371,9.332,0.721,3.137,2.262,3.138,0.9530000000000001,3.1350000000000002,2.22,25.751,28.635,2.943,0.08909722222222222,0.77,-4.32,4.44,0.,0.,0.,0.,0.,0.,0.,0.,-
2011//1//4,4,07::40:29,16::51:03,12::15:46,3.547,12.9,1.225,3.137,1.3780000000000001,9.33,0.048,3.136,0.216,3.138,1.177,3.137,-0.01,-6451.667,15.704,4.8950000000000005,0.09993055555555556,1.1500000000000001,-5.57,-0.32,0.,0.,0.,0.,0.,0.,0.,0.,-
2011//1//5,5,07::40:27,16::52:15,12::16:13,3.567,12.9,1.616,3.136,2.193,9.333,0.454,3.1390000000000002,1.191,3.136,1.161,3.138,4.314,15.334,28.45,3.119,0.14454861111111109,1.58,-3.77,4.42,0.,0.,0.,0.,0.,0.,0.,0.,-
2011//1//6,6,07::40:23,16::53:32,12::16:39,3.589,12.901,2.1550000000000002,3.137,3.235,9.331,1.183,3.138,3.474,3.137,0.972,3.137,7.517,9.235,41.31,2.661,0.0670486111111111,0.5700000000000001,-3.8200000000000003,2.38,0.,0.,0.,0.,0.,0.,0.,0.,-
2011//1//7,7,07::40:17,16::54:16,12::17:05,3.613,13.021,1.3780000000000001,3.138,1.686,9.333,0.246,3.137,0.796,3.138,1.1320000000000001,3.138,0.726,96.74000000000001,20.254,3.898,0.09031249999999999,1.26,-6.83,1.68,0.,0.,0.,0.,0.,0.,0.,0.,-
2011//1//8,8,07::40:09,16::55:04,12::17:31,3.638,13.024000000000001,0.878,3.137,0.934,9.331,0.018000000000000002,3.061,0.065,3.158,0.86,3.1390000000000002,-2.123,-24.235,10.133000000000001,6.609,0.11274305555555555,0.93,-1.68,3.88,0.,0.,0.,0.,0.,0.,0.,0.,-
2011//1//9,9,07::39:59,16::56:04,12::17:56,3.664,13.027000000000001,1.557,3.137,2.253,9.334,0.801,3.138,1.955,3.138,0.756,3.136,5.154,11.884,29.523,3.157,0.12833333333333333,1.19,-3.3000000000000003,5.32,0.,0.,0.,0.,0.,0.,0.,0.,-
2011//1//10,10,07::39:46,16::57:28,12::18:20,3.692,13.031,2.62,3.137,4.08,9.331,1.864,3.137,5.339,3.137,0.756,3.136,13.581,5.472,54.804,2.446,0.43638888888888894,4.25,-6.75,6.99,0.,0.,0.,0.,0.,0.,0.,0.,-
2011//1//11,11,07::39:31,16::58:44,12::18:44,3.721,13.154,0.807,3.1390000000000002,0.852,9.327,0.002,2.774,0.007,3.1270000000000002,0.806,3.136,-2.656,-19.064,8.34,7.736,2.4913194444444446,5.3,-2.46,7.48,0.,0.,0.,0.,0.,0.,0.,0.,-
2011//1//12,12,07::39:12,16::59:31,12::19:07,3.751,13.16,1.031,3.137,1.103,9.33,0.03,3.113,0.07,3.1470000000000002,1.0010000000000001,3.138,-1.249,-50.347,12.271,5.8870000000000005,1.0779513888888888,4.92,4.63,11.200000000000001,0.,0.,0.,0.,0.,0.,0.,0.,-
2011//1//13,13,07::38:49,17::00:28,12::19:30,3.783,13.168000000000001,1.8840000000000001,3.137,2.499,9.333,0.731,3.137,1.979,3.136,1.153,3.138,5.769,10.626,32.76,2.936,1.2550694444444443,5.25,4.5600000000000005,14.18,0.,0.,0.,0.,0.,0.,0.,0.,-
2011//1//14,14,07::38:21,17::01:42,12::19:52,3.8160000000000003,13.177,0.935,3.137,1.0170000000000001,9.331,0.029,3.148,0.08,3.142,0.906,3.137,-1.6580000000000001,-35.464,11.263,6.149,0.11055555555555555,1.32,3.19,10.91,0.,0.,0.,0.,0.,0.,0.,0.,-
2011//1//15,15,07::37:45,17::03:16,12::20:13,3.85,13.19,1.111,3.138,1.245,9.33,0.055,3.115,0.127,3.1430000000000002,1.057,3.136,-0.263,-189.417,15.063,4.957,0.09156249999999999,0.88,3.58,10.47,0.,0.,0.,0.,0.,0.,0.,0.,-
2011//1//16,16,07::37:06,17::04:13,12::20:34,3.8850000000000002,13.312000000000001,0.5720000000000001,3.138,0.589,9.331,0.,100,0.011,3.174,0.5720000000000001,3.136,-4.194,-7.399,4.215,17.244,0.06298611111111112,1.44,8.14,12.22,0.,0.,0.,0.,0.,0.,0.,0.,-
2011//1//17,17,07::36:27,17::05:10,12::20:54,3.922,13.31,1.171,3.137,1.419,9.334,0.2,3.136,0.5,3.136,0.971,3.137,0.13,477.43600000000004,16.623,4.839,0.15013888888888888,1.6300000000000001,2.2600000000000002,11.89,0.,0.,0.,0.,0.,0.,0.,0.,-
2011//1//18,18,07::36:03,17::06:22,12::21:13,3.96,13.342,1.401,3.136,1.573,9.333,0.195,3.136,0.687,3.138,1.206,3.136,1.581,41.324,19.554000000000002,4.329,0.0651388888888889,1.16,0.43,7.62,0.,0.,0.,0.,0.,0.,0.,0.,-
2011//1//19,19,07::35:38,17::08:00,12::21:32,3.999,13.349,1.485,3.136,1.853,9.331,0.331,3.14,1.075,3.137,1.153,3.138,0.9520000000000001,69.485,20.722,3.9610000000000003,0.07697916666666667,0.74,-0.05,9.84,0.,0.,0.,0.,0.,0.,0.,0.,-
2011//1//20,20,07::35:09,17::09:06,12::21:50,4.04,13.476,2.334,3.137,3.543,9.331,1.719,3.137,4.37,3.137,0.615,3.137,8.261000000000001,7.612,44.693,2.686,0.08114583333333333,1.01,-0.81,10.84,0.,0.,0.,0.,0.,0.,0.,0.,-
2011//1//21,21,07::34:35,17::10:03,12::22:07,4.081,13.487,1.661,3.137,2.078,9.334,0.418,3.14,1.064,3.137,1.243,3.136,4.281,15.643,27.323,3.463,0.11107638888888888,1.1500000000000001,-0.86,9.89,0.,0.,0.,0.,0.,0.,0.,0.,-
2011//1//22,22,07::33:54,17::11:17,12::22:23,4.124,13.5,2.883,3.138,4.4590000000000005,9.332,2.391,3.136,6.6770000000000005,3.137,0.493,3.136,13.596,5.106,57.701,2.384,0.16010416666666666,1.12,-0.52,11.19,0.,0.,0.,0.,0.,0.,0.,0.,-
2011//1//23,23,07::33:00,17::12:57,12::22:38,4.168,13.519,2.024,3.137,2.644,9.333,0.6950000000000001,3.136,1.619,3.138,1.329,3.138,6.393,11.369,34.230000000000004,3.005,0.06083333333333333,0.6,-1.23,11.290000000000001,0.,0.,0.,0.,0.,0.,0.,0.,-
2011//1//24,24,07::31:57,17::14:06,12::22:53,4.213,13.645,2.565,3.137,3.769,9.333,1.6560000000000001,3.138,4.493,3.137,0.908,3.1390000000000002,10.111,7.027,47.682,2.539,0.1714930555555555,1.27,0.85,14.46,0.,0.,0.,0.,0.,0.,0.,0.,-
2011//1//25,25,07::31:10,17::15:05,12::23:07,4.26,13.674,2.545,3.137,3.588,9.331,1.422,3.137,3.5580000000000003,3.137,1.123,3.137,11.607000000000001,6.473,48.388,2.621,0.17309027777777775,1.34,-1.27,12.94,0.,0.,0.,0.,0.,0.,0.,0.,-
2011//1//26,26,07::30:35,17::16:22,12::23:20,4.307,13.684000000000001,2.356,3.136,3.12,9.331,0.885,3.137,2.228,3.137,1.47,3.138,9.596,8.17,41.227000000000004,2.697,0.14319444444444443,1.1400000000000001,-1.56,10.94,0.,0.,0.,0.,0.,0.,0.,0.,-
2011//1//27,27,07::29:53,17::18:04,12::23:33,4.355,13.697000000000001,2.978,3.229,4.577,9.455,2.564,3.218,6.862,3.325,0.41400000000000003,3.298,14.238,4.933,58.436,2.407,0.11229166666666665,0.8200000000000001,-0.67,14.63,0.,0.,0.,0.,0.,0.,0.,0.,-
2011//1//28,28,07::29:02,17::19:11,12::23:44,4.405,13.831,2.938,3.137,4.525,9.331,2.467,3.137,6.372,3.137,0.47200000000000003,3.1350000000000002,14.136000000000001,4.968,56.329,2.4010000000000002,0.12381944444444443,0.88,-0.01,15.06,0.,0.,0.,0.,0.,0.,0.,0.,-
2011//1//29,29,07::27:54,17::20:12,12::23:55,4.456,13.854000000000001,2.363,3.137,3.119,9.331,0.913,3.137,2.565,3.137,1.45,3.138,8.854000000000001,9.039,39.93,2.779,0.17812499999999998,1.02,1.3,11.01,0.,0.,0.,0.,0.,0.,0.,0.,-
