Station ID Number:,94040,-,-.1,-.2,-.3,Type of Measurement:,GHI,GHI_Flag,GHI_Tilt,GHI_Tilt_Flag,DrHI_Calc,DrHI_Calc_Flag,DNI,DNI_Flag,DHI,DHI_Flag,PV_Power,PV_Power_Flag,PV_Power.1,PV_Power_Flag.1,Wind_Speed,Wind_Speed_Flag,TEMPERATURE,TEMPERATURE_Flag,GHI_original,GHI_original_Flag,GHI_Tilt_original,GHI_Tilt_original_Flag,DNI_original,DNI_original_Flag,DHI_original,DHI_original_Flag,NOTES
Station Name:,ASO,-,-,-,-,Element:,1000,-,1160,-,2000,-,2010,-,3000,-,5161,-,5162,-,9210,-,9300,-,1000_original,-,1160_original,-,2010_original,-,3000_original,-,Contact Info: http://solardat.uoregon.edu
Station Location:,Ashland_Oregon_USA,-,-,-,-,Instrument Serial Number:,RSP(PY35965_GHI),-,LICOR(PY35962),-,RSP(PY35965_DNI),-,RSP(PY35965_DNI),-,RSP(PY35965_DHI),-,PV5kw,-,PV15kw,-,WS,-,TEMP,-,RSP(PY35965_GHI),-,LICOR(PY35962),-,RSP(PY35965_DNI),-,RSP(PY35965_DHI),-,Element description at: http://solardat.uoregon.edu/DataElementNumbers.html
Latitude:,42.19441,-,-,-,-,Instrument Shorthand Name:,RSP,-,GHI_TILT,-,,-,RSP,-,RSP,-,PV5kw,-,PV15kw,-,WS,-,TEMP(ASO),-,RSP,-,GHI_TILT,-,RSP,-,RSP,-,Flag description at: http://solardat.uoregon.edu/QualityControlFlags.html
Longitude (+ East):,-122.69814,-,-,-,-,Responsivity:,10.328600000000002,microV/(W/m^2),9.439430000000002,microV/(W/m^2),,-,10.328600000000002,microV/(W/m^2),10.328600000000002,microV/(W/m^2),160.,Varies,2.7777800000000004,Varies,1308.9005200000001,microV?/m/s,1000.0000000000001,microV?/C,10.328600000000002,microV/(W/m^2),9.439430000000002,microV/(W/m^2),10.328600000000002,microV/(W/m^2),10.328600000000002,microV/(W/m^2),Data has been calibrated using the responsivity values listed 
Altitude (m):,594.,-,-,-,-,Estimated Uncertainty (U95%):,3.137,-,9.332,-,3.137,-,3.137,-,3.137,-,1.999,-,2.191,-,4.383,-,2.2,-,5,-,9.332,-,10,-,30,-,The phrase (_original) means the data has not had the nighttime offset subtracted.
Time Zone (+ East):,-8.,-,-,-,-,Sample Method:,Avg,-,Avg,-,-,-,Avg,-,Avg,-,Avg,-,Avg,-,Avg,-,Avg,-,Avg,-,Avg,-,Avg,-,Avg,-,Data that has been (computed) was calculated from measured columns.
Time Interval (Minutes):,5,-,-,-,-,Units:,W/m^2,-,W/m^2,-,W/m^2,-,W/m^2,-,W/m^2,-,Watts,-,Watts,-,m/s,-,C,-,W/m^2,-,W/m^2,-,W/m^2,-,W/m^2,-,Date this file was created: 2018-4-3
Year//Month,2006//01,-,-,-,-,Column Notes:,AdjustedColumn,-,AdjustedColumn,-,CalculatedColumn,-,AdjustedColumn,-,AdjustedColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,-
-,-,-,-,-,-,-,After_Adjustments,-,-,-,-,-,After_Adjustments,-,After_Adjustments,-,-,-,-,-,-,-,-,-,Before_Adjustments,-,-,-,Before_Adjustments,-,Before_Adjustments,-,-
YYYY//MM//DD,Day of year,Time Sunrise (HH::MM:SS),Time Sunset (HH::MM:SS),Time Solar Noon (HH::MM:SS),Daily Total Energy ETR (kW h/m^2),Daily Total Energy ETRn (kW h/m^2),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh),Daily Total Uncertainty (U95%),Daily Total Energy (kWh),Daily Total Uncertainty (U95%),Average daily value,Maximum daily value,Minimum daily value,Maximum daily value,Average Nighttime Value,Standard Deviation Nighttime,Average Nighttime Value,Standard Deviation Nighttime,Average Nighttime Value,Standard Deviation Nighttime,Average Nighttime Value,Standard Deviation Nighttime,Assorted Daily Values (Rows 12 - 42)
2006//1//1,1,07::40:26,16::48:56,12::14:29,3.496,12.901,0.53,3.1350000000000002,0.501,9.34,0.001,1.961,0.003,3.2840000000000003,0.529,3.137,-4.019,-8.738,5.257,9.787,1.6861458333333335,6.28,2.98,8.94,0.,0.,0.,0.,0.,0.,0.,0.,-
2006//1//2,2,07::40:29,16::49:34,12::14:57,3.513,12.9,1.083,3.138,1.164,9.333,0.041,3.134,0.11,3.145,1.042,3.138,-0.49,-133.333,14.261000000000001,5.533,0.01916666666666667,0.33,-1.42,6.22,0.,0.,0.,0.,0.,0.,0.,0.,-
2006//1//3,3,07::40:30,16::50:20,12::15:25,3.531,12.899000000000001,0.774,3.138,0.812,9.329,0.07200000000000001,3.153,0.191,3.1310000000000002,0.7020000000000001,3.136,-2.478,-12.524000000000001,9.172,7.372,0.9904861111111111,4.53,-0.9400000000000001,7.62,0.,0.,0.,0.,0.,0.,0.,0.,-
2006//1//4,4,07::40:29,16::51:17,12::15:52,3.551,12.9,1.715,3.137,2.181,9.333,0.513,3.137,1.578,3.137,1.202,3.137,3.88,17.47,27.564,3.411,2.5886805555555554,6.29,-0.87,13.77,0.,0.,0.,0.,0.,0.,0.,0.,-
2006//1//5,5,07::40:27,16::52:34,12::16:19,3.572,12.9,1.9180000000000001,3.137,2.487,9.331,0.585,3.1350000000000002,1.6520000000000001,3.137,1.333,3.137,5.838,12.73,31.814,3.032,3.567986111111111,5.66,13.02,17.28,0.,0.,0.,0.,0.,0.,0.,0.,-
2006//1//6,6,07::40:23,16::53:43,12::16:46,3.594,13.02,1.544,3.137,1.819,9.332,0.23,3.141,0.715,3.138,1.314,3.136,2.775,24.721,23.214000000000002,3.608,0.4944097222222222,3.22,3.04,15.870000000000001,0.,0.,0.,0.,0.,0.,0.,0.,-
2006//1//7,7,07::40:16,16::54:25,12::17:11,3.618,13.021,0.905,3.137,1.012,9.329,0.124,3.1310000000000002,0.449,3.1390000000000002,0.781,3.138,-1.97,-24.044,11.26,6.271,0.4240625,3.3000000000000003,2.08,10.47,0.,0.,0.,0.,0.,0.,0.,0.,-
2006//1//8,8,07::40:08,16::55:16,12::17:37,3.6430000000000002,13.024000000000001,1.358,3.138,1.472,9.332,0.053,3.137,0.156,3.1310000000000002,1.305,3.138,0.967,72.63,18.705000000000002,4.218,0.07753472222222221,1.19,0.22,8.74,0.,0.,0.,0.,0.,0.,0.,0.,-
2006//1//9,9,07::39:57,16::56:20,12::18:02,3.67,13.027000000000001,0.985,3.136,0.996,9.328,0.006,3.233,0.015,3.1790000000000003,0.979,3.136,-1.727,-28.373,11.344,6.407,0.49013888888888896,5.14,1.55,11.57,0.,0.,0.,0.,0.,0.,0.,0.,-
2006//1//10,10,07::39:44,16::57:46,12::18:26,3.698,13.032,0.6950000000000001,3.138,0.707,9.329,0.,100,0.003,3.535,0.6950000000000001,3.138,-3.374,-16.943,6.595,11.145,2.974270833333333,6.28,7.92,11.44,0.,0.,0.,0.,0.,0.,0.,0.,-
2006//1//11,11,07::39:28,16::58:54,12::18:50,3.727,13.155000000000001,1.825,3.138,2.415,9.332,0.6980000000000001,3.1350000000000002,1.879,3.138,1.1280000000000001,3.137,5.848,12.289,31.261,3.203,0.46576388888888887,1.99,1.6600000000000001,10.040000000000001,0.,0.,0.,0.,0.,0.,0.,0.,-
2006//1//12,12,07::39:09,16::59:42,12::19:13,3.758,13.161,0.674,3.137,0.617,9.325000000000001,0.,100,0.001,4.638,0.674,3.137,-3.348,-13.904,6.892,9.361,1.2335763888888889,6.2,1.32,10.48,0.,0.,0.,0.,0.,0.,0.,0.,-
2006//1//13,13,07::38:45,17::00:42,12::19:35,3.79,13.169,1.082,3.136,1.137,9.334,0.053,3.153,0.14400000000000002,3.128,1.028,3.138,-0.804,-66.024,13.475,5.784,2.0601736111111113,5.13,5.92,11.81,0.,0.,0.,0.,0.,0.,0.,0.,-
2006//1//14,14,07::38:15,17::02:03,12::19:57,3.823,13.179,0.674,3.138,0.601,9.329,0.,100,0.002,2.737,0.674,3.138,-3.399,-12.254,6.7410000000000005,9.328,0.20333333333333334,1.17,1.21,7.43,0.,0.,0.,0.,0.,0.,0.,0.,-
2006//1//15,15,07::37:37,17::03:36,12::20:18,3.857,13.193,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.17350694444444445,2.0300000000000002,0.06,7.13,0.,0.,0.,0.,0.,0.,0.,0.,-
2006//1//16,16,07::36:59,17::04:25,12::20:39,3.8930000000000002,13.312000000000001,1.312,3.137,1.429,9.333,0.09,3.122,0.199,3.1430000000000002,1.223,3.136,1.077,54.596000000000004,18.316,3.9450000000000003,0.7977083333333332,4.25,0.62,8.540000000000001,0.,0.,0.,0.,0.,0.,0.,0.,-
2006//1//17,17,07::36:21,17::05:24,12::20:59,3.93,13.31,0.619,3.1350000000000002,0.606,9.334,0.002,3.035,0.006,3.116,0.617,3.1350000000000002,-3.737,-8.96,5.803,9.429,2.5044097222222224,5.74,3.,9.32,0.,0.,0.,0.,0.,0.,0.,0.,-
2006//1//18,18,07::35:59,17::06:42,12::21:18,3.968,13.343,0.978,3.138,1.0190000000000001,9.333,0.092,3.154,0.231,3.1350000000000002,0.886,3.137,-1.345,-34.002,12.264000000000001,5.872,0.02965277777777778,0.68,1.78,6.18,0.,0.,0.,0.,0.,0.,0.,0.,-
2006//1//19,19,07::35:33,17::08:20,12::21:36,4.008,13.351,1.9180000000000001,3.136,2.22,9.334,0.321,3.136,0.888,3.138,1.597,3.137,5.156,13.622,30.202,3.064,0.03475694444444445,0.47000000000000003,1.08,8.96,0.,0.,0.,0.,0.,0.,0.,0.,-
2006//1//20,20,07::35:03,17::09:18,12::21:54,4.048,13.478,0.671,3.138,0.731,9.334,0.097,3.146,0.332,3.1350000000000002,0.5740000000000001,3.137,-3.536,-7.16,7.059,6.896,0.12131944444444444,1.56,0.33,5.98,0.,0.,0.,0.,0.,0.,0.,0.,-
2006//1//21,21,07::34:28,17::10:18,12::22:11,4.09,13.49,2.12,3.138,2.653,9.333,0.798,3.138,1.923,3.137,1.322,3.137,8.457,8.402000000000001,36.659,2.887,0.11697916666666666,1.41,-0.92,5.57,0.,0.,0.,0.,0.,0.,0.,0.,-
2006//1//22,22,07::33:44,17::11:37,12::22:27,4.134,13.504,2.822,3.137,4.089,9.333,2.109,3.137,6.008,3.137,0.713,3.137,14.113,5.324,52.759,2.478,0.10381944444444445,0.9500000000000001,-2.61,6.19,0.,0.,0.,0.,0.,0.,0.,0.,-
2006//1//23,23,07::32:47,17::13:18,12::22:42,4.178,13.524000000000001,2.308,3.138,3.1870000000000003,9.333,1.1280000000000001,3.137,2.859,3.137,1.18,3.138,9.527000000000001,7.2010000000000005,41.881,2.622,0.3759027777777778,4.12,-3.5300000000000002,11.3,0.,0.,0.,0.,0.,0.,0.,0.,-
2006//1//24,24,07::31:45,17::14:18,12::22:57,4.223,13.645,3.043,3.169,4.604,9.431000000000001,2.589,3.169,7.023000000000001,3.17,0.454,3.17,16.411,4.49,57.701,2.419,2.454305555555555,5.64,5.61,16.07,0.,0.,0.,0.,0.,0.,0.,0.,-
2006//1//25,25,07::31:03,17::15:20,12::23:11,4.2700000000000005,13.676,1.817,3.137,2.187,9.334,0.628,3.1350000000000002,1.905,3.137,1.189,3.137,5.259,12.268,29.175,3.2560000000000002,0.5920833333333334,4.59,0.1,12.15,0.,0.,0.,0.,0.,0.,0.,0.,-
2006//1//26,26,07::30:27,17::16:42,12::23:24,4.317,13.687000000000001,1.2550000000000001,3.137,1.32,9.334,0.124,3.1430000000000002,0.495,3.1350000000000002,1.131,3.136,0.335,221.841,16.002,5.611,0.8191319444444444,5.21,0.6900000000000001,7.69,0.,0.,0.,0.,0.,0.,0.,0.,-
2006//1//27,27,07::29:44,17::18:26,12::23:36,4.366,13.701,1.6620000000000001,3.137,2.328,9.333,0.426,3.134,0.9410000000000001,3.1350000000000002,1.237,3.136,6.603,10.884,33.027,3.1,0.12229166666666666,1.8900000000000001,0.97,8.24,0.,0.,0.,0.,0.,0.,0.,0.,-
2006//1//28,28,07::28:50,17::19:23,12::23:47,4.416,13.836,1.341,3.137,1.592,9.332,0.258,3.14,0.585,3.1390000000000002,1.083,3.137,1.7670000000000001,32.352000000000004,20.398,3.96,0.9419791666666667,5.42,2.21,9.81,0.,0.,0.,0.,0.,0.,0.,0.,-
2006//1//29,29,07::27:37,17::20:28,12::23:58,4.4670000000000005,13.861,0.836,3.136,0.8190000000000001,9.335,0.009000000000000001,2.993,0.044,3.112,0.8270000000000001,3.138,-2.766,-18.896,8.362,8.399000000000001,0.8093402777777778,5.09,1.34,10.76,0.,0.,0.,0.,0.,0.,0.,0.,-
