Station ID Number:,94170,-,-,-,-,Type of Measurement:,GHI,GHI_Flag,DrHI_Calc,DrHI_Calc_Flag,DNI,DNI_Flag,DHI_Calc,DHI_Calc_Flag,TEMPERATURE,TEMPERATURE_Flag,GHI_withNO,GHI_withNO_Flag,DNI_withNO,DNI_withNO_Flag,NOTES
Station Name:,BUO,-,-,-,-,Element:,1000,-,2000,-,2010,-,3000,-,9300,-,1000_withNO,-,2010_withNO,-,Contact Info: http://solardat.uoregon.edu
Station Location:,Burns_Oregon_USA,-,-,-,-,Instrument Serial Number:,PSP(17846F3),-,NIP(17829E6),-,NIP(17829E6),-,Computed from GHI and DNI,-,T10,-,PSP(17846F3),-,NIP(17829E6),-,Element description at: http://solardat.uoregon.edu/DataElementNumbers.html
Latitude:,43.519197,-,-,-,-,Instrument Shorthand Name:,P4,-,NA,-,N3,-,NA,-,T10,-,P4,-,N3,-,Flag description at: http://solardat.uoregon.edu/QualityControlFlags.html
Longitude (+ East):,-119.021623,-,-,-,-,Responsivity:,7.2904,microV/(W/m^2),NA,-,8.2511,microV/(W/m^2),NA,-,1000.,microV?/C,7.2904,microV/(W/m^2),8.2511,microV/(W/m^2),Data has been calibrated using the responsivity values listed 
Altitude (m):,1260.,-,-,-,-,Estimated Uncertainty (U95%):,2.895,-,2.737,-,2.737,-,3.984,-,2.2,-,2.895,-,2.737,-,The phrase (_withNO) means the data has not had the nighttime offset subtracted.
Time Zone (+ East):,-8.,-,-,-,-,Sample Method:,Avg,-,-,-,Avg,-,-,-,Avg,-,Avg,-,Avg,-,Data that has been (computed) was calculated from measured columns.
Time Interval (Minutes):,5,-,-,-,-,Units:,W/m^2,-,W/m^2,-,W/m^2,-,W/m^2,-,C,-,W/m^2,-,W/m^2,-,Date file was created: 2017-3-30
Year//Month,2000//05,-,-,-,-,Column Notes:,-,-,-,-,-,-,-,-,-,-,-,-,-,-,This file was created using code: Check data (2017-03-27).nb
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Day of month,Day of year,Time Sunrise (HH::MM:SS),Time Sunset (HH::MM:SS),Time Solar Noon (HH::MM:SS),Daily Total Energy ETR (kW h/m^2),Daily Total Energy ETRn (kW h/m^2),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Minimum daily value,Maximum daily value,Average Nighttime Value,Standard Deviation Nighttime,Average Nighttime Value,Standard Deviation Nighttime,Assorted Daily Values (Rows 12 - 42)
1,122,04::49:06,18::58:21,11::53:05,10.388,18.906,7.409,3.807,6.0680000000000005,2.771,8.809000000000001,2.7600000000000002,1.342,16.4,5.72,23.95,-8.8045,2.1562,-0.4637,0.5661,-
2,123,04::47:21,18::59:15,11::52:59,10.438,19.045,7.577,3.719,5.434,2.7560000000000002,8.325,2.745,2.1430000000000002,10.389,4.37,19.31,-8.3483,1.0516,-0.3244,0.4032,-
3,124,04::45:59,19::00:10,11::52:53,10.487,19.069,4.159,5.72,1.5250000000000001,3.052,3.0380000000000003,2.87,2.634,8.722,6.18,17.740000000000002,-7.0875,0.7966000000000001,-0.1862,0.2586,-
4,125,04::44:58,19::01:20,11::52:47,10.534,19.083000000000002,5.414,4.75,1.911,2.942,2.441,2.8850000000000002,3.503,6.732,4.61,13.85,-8.0433,1.4351,-0.1257,0.4056,-
5,126,04::43:40,19::02:52,11::52:42,10.581,19.102,7.381,3.769,4.977,2.7640000000000002,7.599,2.745,2.404,9.368,2.5100000000000002,14.68,-8.085700000000001,1.189,-0.2175,0.26,-
6,127,04::41:57,19::03:59,11::52:38,10.628,19.231,3.908,5.789,0.309,4.744,0.494,3.911,3.599,6.563,3.29,11.540000000000001,-6.8703,1.491,-0.0465,0.0888,-
7,128,04::40:49,19::04:49,11::52:34,10.673,19.259,4.845,4.9910000000000005,1.11,3.037,1.933,2.8850000000000002,3.735,6.413,4.79,13.35,-6.9821,1.6393,0.2174,0.24600000000000002,-
8,129,04::39:51,19::05:51,11::52:31,10.717,19.272000000000002,6.462,4.178,3.513,2.825,5.163,2.786,2.954,7.555,5.58,16.59,-6.1294,1.1179000000000001,0.0978,0.2692,-
9,130,04::38:38,19::07:14,11::52:28,10.761000000000001,19.29,6.55,4.087,3.815,2.778,5.654,2.762,2.735,8.312,5.05,14.85,-7.7107,1.3848,-0.06570000000000001,0.18430000000000002,-
10,131,04::37:02,19::08:39,11::52:26,10.803,19.306,5.14,4.7780000000000005,1.7530000000000001,2.896,3.136,2.814,3.387,7.158,0.84,7.05,-7.6188,0.9674,-0.0392,0.10070000000000001,-
11,132,04::35:56,19::09:26,11::52:25,10.845,19.444,4.327,5.634,1.28,3.15,2.608,2.918,3.047,7.722,-1.4000000000000001,8.8,-7.2312,1.044,-0.2346,0.519,-
12,133,04::35:05,19::10:20,11::52:24,10.885,19.454,6.65,4.039,3.037,2.835,4.474,2.791,3.613,6.6290000000000004,-4.13,11.71,-6.2358,1.2643,-0.2177,0.3093,-
13,134,04::34:03,19::11:28,11::52:24,10.925,19.468,4.825,5.0120000000000005,0.613,3.759,0.712,3.59,4.212,5.88,5.91,16.2,-6.826300000000001,1.5243,-0.1149,0.2252,-
14,135,04::32:42,19::12:56,11::52:24,10.964,19.490000000000002,5.9990000000000006,4.421,3.865,2.794,5.869,2.765,2.134,10.64,4.17,17.94,-6.617900000000001,1.2613,-0.30060000000000003,0.3423,-
15,136,04::31:20,19::13:59,11::52:25,11.001,19.597,7.336,4.042,5.656,2.854,7.813,2.846,1.681,13.625,5.48,19.87,-7.2377,1.9349,0.0369,0.35300000000000004,-
16,137,04::30:38,19::14:46,11::52:26,11.038,19.631,5.2,4.926,2.533,2.869,4.1610000000000005,2.816,2.6670000000000003,8.945,8.63,18.38,-9.749500000000001,1.1882000000000001,-0.0038,0.27,-
17,138,04::29:50,19::15:41,11::52:28,11.074,19.64,8.065,3.694,6.518,2.751,9.921,2.743,1.546,14.898,6.13,17.84,-9.2613,0.5353,-0.1738,0.3598,-
18,139,04::28:53,19::16:53,11::52:31,11.109,19.653,8.296,3.613,6.531,2.748,10.09,2.739,1.764,13.057,3.2600000000000002,21.03,-7.6417,0.7787000000000001,-0.1345,0.35150000000000003,-
19,140,04::27:42,19::18:16,11::52:34,11.142,19.672,7.767,3.835,5.678,2.762,8.686,2.746,2.089,11.378,9.42,23.68,-9.0647,1.6440000000000001,-0.23390000000000002,0.3819,-
20,141,04::26:31,19::19:07,11::52:37,11.175,19.78,8.152000000000001,3.714,6.164,2.75,9.247,2.74,1.988,11.779,8.040000000000001,27.66,-8.1514,0.8201,-0.4339,0.321,-
21,142,04::25:50,19::19:53,11::52:41,11.207,19.809,8.192,3.6750000000000003,6.565,2.7560000000000002,9.453,2.745,1.627,14.235,9.11,28.740000000000002,-9.187100000000001,2.1183,-0.529,0.2596,-
22,143,04::25:12,19::20:46,11::52:46,11.238,19.815,8.112,3.714,6.558,2.751,9.584,2.743,1.553,14.996,11.950000000000001,25.330000000000002,-8.554,1.8771,-0.21180000000000002,0.2873,-
23,144,04::24:30,19::21:53,11::52:51,11.267,19.823,6.662,4.032,3.746,2.801,7.1370000000000005,2.762,2.916,8.393,9.,24.7,-8.510200000000001,0.663,-0.3781,0.3881,-
24,145,04::23:42,19::23:10,11::52:57,11.296,19.834,8.127,3.731,6.08,2.7560000000000002,9.057,2.744,2.047,11.314,7.3100000000000005,24.03,-7.9413,1.4489,-0.3768,0.3108,-
25,146,04::22:44,19::24:02,11::53:03,11.324,19.959,5.236,4.837,1.162,3.225,1.59,3.0300000000000002,4.074,6.072,8.32,19.79,-7.426500000000001,1.0507,-0.21250000000000002,0.4067,-
26,147,04::21:48,19::24:42,11::53:10,11.35,19.957,7.269,3.972,4.257,2.791,5.981,2.771,3.012,7.864,7.7700000000000005,21.080000000000002,-7.6131,1.0903,-0.3327,0.3013,-
27,148,04::21:07,19::25:28,11::53:17,11.376,19.981,2.849,8.275,0.092,10.821,0.343,4.714,2.758,8.653,11.36,20.84,-7.397200000000001,1.3307,-0.098,0.36300000000000004,-
28,149,04::20:41,19::26:23,11::53:25,11.4,19.984,7.631,3.7960000000000003,4.665,2.778,7.018,2.761,2.966,8.094,8.4,20.7,-8.200000000000001,1.7868000000000002,-0.23070000000000002,0.14980000000000002,-
29,150,04::20:13,19::27:33,11::53:33,11.424,19.988,8.244,3.715,6.159,2.751,9.671,2.746,2.085,11.471,6.58,17.35,-8.6753,0.5824,-0.3749,0.40990000000000004,-
30,151,04::19:44,19::28:36,11::53:41,11.446,19.992,5.291,4.873,1.96,2.993,3.584,2.864,3.331,7.364,1.8900000000000001,10.19,-7.588500000000001,1.0071,-0.3148,0.3448,-
31,152,04::19:13,19::29:11,11::53:50,11.467,20.108,7.523000000000001,3.8320000000000003,5.1160000000000005,2.7600000000000002,8.875,2.747,2.407,10.189,-1.34,16.47,-8.0929,1.0146,-0.32270000000000004,0.34650000000000003,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
year.fractionofyear,dayofyear.fractionofday,YYYY-MM-DD--HH:MM:SS,SZA,AZM,ETR (W/m^2),ETRn (W/m^2),GHI,GHI_Flag,DrHI_Calc,DrHI_Calc_Flag,DNI,DNI_Flag,DHI_Calc,DHI_Calc_Flag,TEMPERATURE,TEMPERATURE_Flag,GHI_withNO,GHI_withNO_Flag,DNI_withNO,DNI_withNO_Flag,Data_Begins_Next_Row
2000.3306105798424,122.00347222222221,2000-05-01--00:05:00,121.22508,2.63837,0,0.,1.07,12,0.14,72,0.14,12,1.07,72,11.06,11,-7.73,11,-0.32,11,-
2000.3306200667882,122.00694444444444,2000-05-01--00:10:00,121.17115000000001,4.04738,0,0.,1.16,12,0.19,72,0.19,12,1.16,72,11.08,11,-7.640000000000001,11,-0.27,11,-
2000.3306295537343,122.01041666666666,2000-05-01--00:15:00,121.09500000000001,5.45403,0,0.,1.98,12,0.19,72,0.19,12,1.98,72,11.32,11,-6.82,11,-0.27,11,-
2000.3306390406801,122.01388888888889,2000-05-01--00:20:00,120.99672000000001,6.857500000000001,0,0.,1.3900000000000001,12,0.39,72,0.39,12,1.3900000000000001,72,11.1,11,-7.41,11,-0.07,11,-
2000.3306485276262,122.0173611111111,2000-05-01--00:25:00,120.87641,8.25702,0,0.,2.52,12,0.28,72,0.28,12,2.52,72,11.16,11,-6.28,11,-0.18,11,-
2000.3306580145722,122.02083333333333,2000-05-01--00:30:00,120.73422000000001,9.65183,0,0.,1.85,12,0.1,72,0.1,12,1.85,72,11.09,11,-6.95,11,-0.36,11,-
2000.330667501518,122.02430555555554,2000-05-01--00:35:00,120.57031,11.041200000000002,0,0.,1.28,12,0.07,72,0.07,12,1.28,72,10.790000000000001,11,-7.5200000000000005,11,-0.39,11,-
2000.3306769884641,122.02777777777777,2000-05-01--00:40:00,120.38487,12.424410000000002,0,0.,1.82,12,0.12,72,0.12,12,1.82,72,10.8,11,-6.98,11,-0.34,11,-
2000.33068647541,122.03125,2000-05-01--00:45:00,120.17810000000001,13.800770000000002,0,0.,2.29,12,0.19,72,0.19,12,2.29,72,10.92,11,-6.51,11,-0.27,11,-
2000.330695962356,122.03472222222221,2000-05-01--00:50:00,119.95024000000001,15.169630000000002,0,0.,2.48,12,0.04,72,0.04,12,2.48,72,10.700000000000001,11,-6.32,11,-0.42,11,-
2000.330705449302,122.03819444444444,2000-05-01--00:55:00,119.70153,16.53037,0,0.,2.5300000000000002,12,0.13,72,0.13,12,2.5300000000000002,72,10.63,11,-6.2700000000000005,11,-0.33,11,-
2000.330714936248,122.04166666666666,2000-05-01--01:00:00,119.43224000000001,17.8824,0,0.,2.73,12,0.11,72,0.11,12,2.73,72,10.71,11,-6.07,11,-0.35000000000000003,11,-
2000.330724423194,122.04513888888889,2000-05-01--01:05:00,119.14266,19.225170000000002,0,0.,2.46,12,0.17,72,0.17,12,2.46,72,10.65,11,-6.34,11,-0.29,11,-
2000.3307339101398,122.0486111111111,2000-05-01--01:10:00,118.83308000000001,20.55818,0,0.,2.5300000000000002,12,-0.12,72,-0.12,12,2.5300000000000002,72,10.4,11,-6.2700000000000005,11,-0.58,11,-
2000.3307433970858,122.05208333333333,2000-05-01--01:15:00,118.50383000000001,21.880940000000002,0,0.,1.6400000000000001,12,-0.7000000000000001,72,-0.7000000000000001,12,1.6400000000000001,72,9.66,11,-7.16,11,-1.16,11,-
