Station ID Number:,94170,-,-,-,-,Type of Measurement:,GHI,GHI_Flag,DrHI_Calc,DrHI_Calc_Flag,DNI,DNI_Flag,DHI_Calc,DHI_Calc_Flag,TEMPERATURE,TEMPERATURE_Flag,GHI_withNO,GHI_withNO_Flag,DNI_withNO,DNI_withNO_Flag,NOTES
Station Name:,BUO,-,-,-,-,Element:,1000,-,2000,-,2010,-,3000,-,9300,-,1000_withNO,-,2010_withNO,-,Contact Info: http://solardat.uoregon.edu
Station Location:,Burns_Oregon_USA,-,-,-,-,Instrument Serial Number:,PSP(17846F3),-,NIP(17829E6),-,NIP(17829E6),-,Computed from GHI and DNI,-,T10,-,PSP(17846F3),-,NIP(17829E6),-,Element description at: http://solardat.uoregon.edu/DataElementNumbers.html
Latitude:,43.519197,-,-,-,-,Instrument Shorthand Name:,P4,-,NA,-,N3,-,NA,-,T10,-,P4,-,N3,-,Flag description at: http://solardat.uoregon.edu/QualityControlFlags.html
Longitude (+ East):,-119.021623,-,-,-,-,Responsivity:,7.2904,microV/(W/m^2),NA,-,8.2511,microV/(W/m^2),NA,-,1000.,microV?/C,7.2904,microV/(W/m^2),8.2511,microV/(W/m^2),Data has been calibrated using the responsivity values listed 
Altitude (m):,1260.,-,-,-,-,Estimated Uncertainty (U95%):,2.895,-,2.737,-,2.737,-,3.984,-,2.2,-,2.895,-,2.737,-,The phrase (_withNO) means the data has not had the nighttime offset subtracted.
Time Zone (+ East):,-8.,-,-,-,-,Sample Method:,Avg,-,-,-,Avg,-,-,-,Avg,-,Avg,-,Avg,-,Data that has been (computed) was calculated from measured columns.
Time Interval (Minutes):,5,-,-,-,-,Units:,W/m^2,-,W/m^2,-,W/m^2,-,W/m^2,-,C,-,W/m^2,-,W/m^2,-,Date file was created: 2017-3-30
Year//Month,2000//04,-,-,-,-,Column Notes:,-,-,-,-,-,-,-,-,-,-,-,-,-,-,This file was created using code: Check data (2017-03-27).nb
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Day of month,Day of year,Time Sunrise (HH::MM:SS),Time Sunset (HH::MM:SS),Time Solar Noon (HH::MM:SS),Daily Total Energy ETR (kW h/m^2),Daily Total Energy ETRn (kW h/m^2),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Minimum daily value,Maximum daily value,Average Nighttime Value,Standard Deviation Nighttime,Average Nighttime Value,Standard Deviation Nighttime,Assorted Daily Values (Rows 12 - 42)
1,92,05::37:36,18::22:49,11::59:45,8.554,17.325,5.938,3.9,4.545,2.7680000000000002,7.861,2.742,1.3940000000000001,14.156,1.1,19.81,-7.4287,1.2213,-0.2713,0.9169,-
2,93,05::35:50,18::23:57,11::59:28,8.624,17.468,6.404,3.724,5.857,2.745,10.543000000000001,2.738,0.547,35.845,3.13,20.82,-8.103200000000001,1.3511,-0.4596,0.7476,-
3,94,05::34:22,18::24:51,11::59:10,8.693,17.491,6.414,3.745,5.774,2.769,10.058,2.761,0.64,30.833000000000002,-1.04,25.87,-7.3383,1.1283,-0.555,0.5631,-
4,95,05::32:11,18::25:57,11::58:53,8.762,17.524,6.197,3.794,5.12,2.7600000000000002,8.898,2.744,1.077,18.322,1.3900000000000001,21.71,-8.0762,1.6439000000000001,-0.4796,0.8444,-
5,96,05::30:38,18::27:29,11::58:35,8.831,17.556,6.4190000000000005,3.87,5.184,2.758,8.353,2.745,1.236,16.372,-3.16,16.35,-7.4078,1.1007,-0.1943,0.3214,-
6,97,05::29:06,18::28:46,11::58:18,8.898,17.694,5.328,4.263,2.207,2.876,3.523,2.8120000000000003,3.121,6.67,0.54,13.290000000000001,-7.774900000000001,1.2509000000000001,-0.2642,0.36050000000000004,-
7,98,05::26:52,18::29:38,11::58:02,8.966,17.72,6.746,3.6550000000000002,5.886,2.748,10.397,2.74,0.861,23.065,-4.11,17.1,-7.786700000000001,1.7161000000000002,-0.4112,0.5303,-
8,99,05::25:27,18::30:41,11::57:45,9.033,17.756,4.4750000000000005,4.914,2.353,2.906,4.312,2.819,2.122,9.596,-1.71,17.16,-8.2096,1.3130000000000002,-0.38320000000000004,0.5236000000000001,-
9,100,05::23:53,18::32:04,11::57:29,9.099,17.782,3.4050000000000002,6.032,0.6980000000000001,3.649,1.3,3.182,2.707,7.675,4.75,13.280000000000001,-7.2058,1.0511000000000001,-0.2412,0.4847,-
10,101,05::21:38,18::33:36,11::57:13,9.165000000000001,17.916,6.812,3.7,5.908,2.766,10.003,2.759,0.905,22.36,0.48,18.61,-7.6126000000000005,1.2114,-0.6455000000000001,0.7026,-
11,102,05::20:20,18::34:26,11::56:57,9.23,17.955000000000002,6.478,3.782,4.673,2.757,7.708,2.744,1.805,11.211,0.99,22.32,-6.7046,1.3669,-0.42310000000000003,0.5522,-
12,103,05::18:44,18::35:25,11::56:42,9.295,17.98,4.586,4.901,1.616,2.931,2.282,2.856,2.97,7.147,5.51,20.7,-7.580900000000001,1.8194000000000001,-0.06770000000000001,0.42200000000000004,-
13,104,05::16:30,18::36:43,11::56:26,9.359,17.998,4.538,4.985,2.591,2.8930000000000002,3.993,2.841,1.947,10.223,3.36,13.25,-7.2824,1.3064,-0.11760000000000001,0.3476,-
14,105,05::15:17,18::38:19,11::56:12,9.422,18.038,4.772,4.667,2.008,2.8970000000000002,3.92,2.814,2.7640000000000002,7.715,0.93,12.81,-7.2651,0.9895,-0.1109,0.2914,-
15,106,05::13:42,18::39:14,11::55:57,9.485,18.176000000000002,4.252,5.34,1.613,3.081,2.204,2.975,2.6390000000000002,7.843,3.45,10.22,-7.0178,0.9842000000000001,-0.2159,0.317,-
16,107,05::11:31,18::40:11,11::55:43,9.547,18.193,4.457,5.102,1.7550000000000001,2.908,2.598,2.826,2.703,7.832,3.42,13.86,-8.744,1.7364000000000002,-0.0585,0.21980000000000002,-
17,108,05::10:19,18::41:23,11::55:30,9.608,18.232,5.707,4.385,3.336,2.875,4.3260000000000005,2.837,2.372,8.719,3.31,17.580000000000002,-7.5722000000000005,0.8951,-0.1723,0.2235,-
18,109,05::08:48,18::42:58,11::55:16,9.669,18.256,3.521,6.418,0.906,3.332,1.256,3.106,2.616,8.271,6.5,17.16,-9.361500000000001,1.5696,0.0543,0.34700000000000003,-
19,110,05::06:40,18::44:03,11::55:03,9.729000000000001,18.388,6.686,3.845,4.865,2.759,7.682,2.746,1.821,11.389000000000001,2.97,16.11,-8.7911,0.8118000000000001,-0.1782,0.2452,-
20,111,05::05:26,18::44:57,11::54:51,9.788,18.424,5.452,4.3420000000000005,2.34,2.907,3.61,2.831,3.112,7.054,6.05,18.51,-7.597300000000001,0.8214,-0.2833,0.3088,-
21,112,05::04:01,18::46:05,11::54:39,9.846,18.446,7.001,3.7840000000000003,5.785,2.763,8.924,2.75,1.216,17.158,3.14,20.92,-7.4394,0.6301,-0.233,0.1898,-
22,113,05::01:59,18::47:38,11::54:27,9.904,18.47,5.3420000000000005,4.489,2.024,2.968,3.101,2.871,3.318,6.633,1.92,12.96,-8.4268,0.9162,-0.2019,0.273,-
23,114,05::00:39,18::48:52,11::54:16,9.961,18.614,6.1000000000000005,4.158,2.551,2.824,4.027,2.779,3.549,6.409,-0.85,10.02,-8.363800000000001,1.3537000000000001,-0.1492,0.20070000000000002,-
24,115,04::59:22,18::49:44,11::54:06,10.017,18.633,6.957,3.822,4.586,2.767,7.192,2.753,2.371,9.128,-3.,12.46,-7.5949,1.1534,-0.1651,0.2761,-
25,116,04::57:29,18::50:47,11::53:55,10.073,18.665,3.654,5.89,0.274,5.22,0.522,3.871,3.38,6.563,4.16,13.68,-6.7982000000000005,1.2632,-0.1908,0.3106,-
26,117,04::55:58,18::52:13,11::53:46,10.127,18.689,6.534,3.858,3.4370000000000003,2.797,5.795,2.759,3.096,7.469,-0.41000000000000003,19.04,-8.148900000000001,1.6172,-0.2879,0.2974,-
27,118,04::54:49,18::53:40,11::53:37,10.181000000000001,18.818,4.8340000000000005,4.969,2.146,2.942,3.761,2.84,2.688,8.265,5.66,22.240000000000002,-9.7225,1.2102000000000002,-0.2741,0.49410000000000004,-
28,119,04::53:17,18::54:30,11::53:28,10.234,18.842,7.298,3.8240000000000003,5.55,2.766,8.658,2.749,1.748,12.369,0.02,11.35,-8.9753,0.8056000000000001,-0.2049,0.262,-
29,120,04::51:22,18::55:29,11::53:20,10.286,18.85,7.987,3.5780000000000003,7.2410000000000005,2.747,11.774000000000001,2.741,0.747,28.94,-1.53,12.92,-7.340000000000001,0.8012,-0.4526,0.43820000000000003,-
30,121,04::50:22,18::56:46,11::53:12,10.338000000000001,18.888,7.779,3.591,6.968,2.747,11.290000000000001,2.74,0.811,26.501,0.7000000000000001,22.06,-7.2195,1.2529000000000001,-0.3511,0.3139,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
year.fractionofyear,dayofyear.fractionofday,YYYY-MM-DD--HH:MM:SS,SZA,AZM,ETR (W/m^2),ETRn (W/m^2),GHI,GHI_Flag,DrHI_Calc,DrHI_Calc_Flag,DNI,DNI_Flag,DHI_Calc,DHI_Calc_Flag,TEMPERATURE,TEMPERATURE_Flag,GHI_withNO,GHI_withNO_Flag,DNI_withNO,DNI_withNO_Flag,Data_Begins_Next_Row
2000.2486433667275,92.00347222222221,2000-04-01--00:05:00,131.76314000000002,0.8649300000000001,0,0.,0.47000000000000003,12,-0.31,72,-0.31,12,0.47000000000000003,72,5.01,11,-6.96,11,-0.58,11,-
2000.2486528536735,92.00694444444444,2000-04-01--00:10:00,131.7349,2.5348300000000004,0,0.,-0.1,12,-0.29,72,-0.29,12,-0.1,72,4.86,11,-7.53,11,-0.56,11,-
2000.2486623406196,92.01041666666666,2000-04-01--00:15:00,131.68027,4.20248,0,0.,0.67,12,-0.04,72,-0.04,12,0.67,72,4.93,11,-6.76,11,-0.31,11,-
2000.2486718275654,92.01388888888889,2000-04-01--00:20:00,131.59936000000002,5.86645,0,0.,0.99,12,0.35000000000000003,72,0.35000000000000003,12,0.99,72,5.21,11,-6.44,11,0.08,11,-
2000.2486813145115,92.0173611111111,2000-04-01--00:25:00,131.49228000000002,7.525360000000001,0,0.,1.4000000000000001,12,0.45,72,0.45,12,1.4000000000000001,72,5.63,11,-6.03,11,0.18,11,-
2000.2486908014573,92.02083333333333,2000-04-01--00:30:00,131.35924,9.177840000000002,0,0.,0.47000000000000003,12,-0.84,72,-0.84,12,0.47000000000000003,72,4.3500000000000005,11,-6.96,11,-1.11,11,-
2000.2487002884034,92.02430555555556,2000-04-01--00:35:00,131.20043,10.82257,0,0.,0.47000000000000003,12,-0.02,72,-0.02,12,0.47000000000000003,72,4.72,11,-6.96,11,-0.29,11,-
2000.2487097753492,92.02777777777777,2000-04-01--00:40:00,131.01613,12.458300000000001,0,0.,1.07,12,0.58,72,0.58,12,1.07,72,5.21,11,-6.36,11,0.31,11,-
2000.2487192622953,92.03125,2000-04-01--00:45:00,130.80664000000002,14.083810000000001,0,0.,0.87,12,0.5700000000000001,72,0.5700000000000001,12,0.87,72,5.5,11,-6.5600000000000005,11,0.3,11,-
2000.2487287492413,92.03472222222221,2000-04-01--00:50:00,130.57228,15.69795,0,0.,1.11,12,0.71,72,0.71,12,1.11,72,5.59,11,-6.32,11,0.44,11,-
2000.2487382361871,92.03819444444444,2000-04-01--00:55:00,130.31343,17.299660000000003,0,0.,1.11,12,1.22,72,1.22,12,1.11,72,6.0200000000000005,11,-6.32,11,0.9500000000000001,11,-
2000.2487477231332,92.04166666666666,2000-04-01--01:00:00,130.03048,18.88794,0,0.,1.58,12,0.78,72,0.78,12,1.58,72,6.22,11,-5.8500000000000005,11,0.51,11,-
2000.248757210079,92.04513888888889,2000-04-01--01:05:00,129.72386,20.461850000000002,0,0.,1.4000000000000001,12,0.66,72,0.66,12,1.4000000000000001,72,6.28,11,-6.03,11,0.39,11,-
2000.248766697025,92.0486111111111,2000-04-01--01:10:00,129.39401,22.020560000000003,0,0.,1.75,12,0.24,72,0.24,12,1.75,72,6.2700000000000005,11,-5.68,11,-0.03,11,-
2000.2487761839711,92.05208333333333,2000-04-01--01:15:00,129.04142000000002,23.56331,0,0.,1.43,12,0.2,72,0.2,12,1.43,72,6.3,11,-6.,11,-0.07,11,-
