Station ID Number:,94170,-,-,-,-,Type of Measurement:,GHI,GHI_Flag,DrHI_Calc,DrHI_Calc_Flag,DNI,DNI_Flag,DHI_Calc,DHI_Calc_Flag,TEMPERATURE,TEMPERATURE_Flag,GHI_withNO,GHI_withNO_Flag,DNI_withNO,DNI_withNO_Flag,NOTES
Station Name:,BUO,-,-,-,-,Element:,1000,-,2000,-,2010,-,3000,-,9300,-,1000_withNO,-,2010_withNO,-,Contact Info: http://solardat.uoregon.edu
Station Location:,Burns_Oregon_USA,-,-,-,-,Instrument Serial Number:,PSP(17846F3),-,NIP(17829E6),-,NIP(17829E6),-,Computed from GHI and DNI,-,T10,-,PSP(17846F3),-,NIP(17829E6),-,Element description at: http://solardat.uoregon.edu/DataElementNumbers.html
Latitude:,43.519197,-,-,-,-,Instrument Shorthand Name:,P4,-,NA,-,N3,-,NA,-,T10,-,P4,-,N3,-,Flag description at: http://solardat.uoregon.edu/QualityControlFlags.html
Longitude (+ East):,-119.021623,-,-,-,-,Responsivity:,7.2904,microV/(W/m^2),NA,-,8.2511,microV/(W/m^2),NA,-,1000.,microV?/C,7.2904,microV/(W/m^2),8.2511,microV/(W/m^2),Data has been calibrated using the responsivity values listed 
Altitude (m):,1260.,-,-,-,-,Estimated Uncertainty (U95%):,2.895,-,2.737,-,2.737,-,3.984,-,2.2,-,2.895,-,2.737,-,The phrase (_withNO) means the data has not had the nighttime offset subtracted.
Time Zone (+ East):,-8.,-,-,-,-,Sample Method:,Avg,-,-,-,Avg,-,-,-,Avg,-,Avg,-,Avg,-,Data that has been (computed) was calculated from measured columns.
Time Interval (Minutes):,5,-,-,-,-,Units:,W/m^2,-,W/m^2,-,W/m^2,-,W/m^2,-,C,-,W/m^2,-,W/m^2,-,Date file was created: 2017-3-30
Year//Month,2000//01,-,-,-,-,Column Notes:,-,-,-,-,-,-,-,-,-,-,-,-,-,-,This file was created using code: Check data (2017-03-27).nb
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Day of month,Day of year,Time Sunrise (HH::MM:SS),Time Sunset (HH::MM:SS),Time Solar Noon (HH::MM:SS),Daily Total Energy ETR (kW h/m^2),Daily Total Energy ETRn (kW h/m^2),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Minimum daily value,Maximum daily value,Average Nighttime Value,Standard Deviation Nighttime,Average Nighttime Value,Standard Deviation Nighttime,Assorted Daily Values (Rows 12 - 42)
1,1,07::30:11,16::29:14,11::59:32,3.2600000000000002,12.671000000000001,0.9460000000000001,10.764,0.047,12.201,0.258,4.3020000000000005,0.899,11.327,-13.56,0.12,-5.5437,1.5989,0.0736,0.626,-
2,2,07::30:14,16::29:55,12::00:00,3.2760000000000002,12.67,1.294,7.806,0.17200000000000001,5.166,0.728,3.277,1.122,9.078,-10.49,-0.01,-5.3436,0.8253,-0.0994,0.3427,-
3,3,07::30:15,16::30:44,12::00:28,3.294,12.67,1.157,8.958,0.006,73.82300000000001,0.021,21.128,1.151,9.005,-4.75,0.72,-5.7104,1.1616,0.0317,0.1178,-
4,4,07::30:14,16::31:49,12::00:56,3.313,12.67,1.625,6.335,0.729,3.0060000000000002,2.598,2.816,0.897,10.962,-4.62,4.33,-5.5488,1.8308,0.028,0.38070000000000004,-
5,5,07::30:11,16::33:08,12::01:23,3.333,12.671000000000001,1.826,5.735,0.685,3.1510000000000002,2.613,2.829,1.141,9.042,-11.31,1.42,-5.3180000000000005,1.0431000000000001,-0.2151,0.4318,-
6,6,07::30:06,16::34:03,12::01:49,3.354,12.790000000000001,1.986,5.216,1.124,2.861,3.71,2.761,0.862,11.884,-14.17,0.14,-4.1509,0.7507,-0.0115,0.1935,-
7,7,07::29:59,16::34:48,12::02:16,3.3770000000000002,12.792,1.234,8.325,0.013000000000000001,29.84,0.038,11.237,1.221,8.448,-4.03,1.71,-3.7373000000000003,0.8519,0.1222,0.127,-
8,8,07::29:50,16::35:45,12::02:41,3.402,12.795,2.2680000000000002,4.621,2.04,2.769,6.799,2.742,0.228,44.262,-3.,5.46,-5.1753,2.0494,0.0374,0.2989,-
9,9,07::29:38,16::37:00,12::03:06,3.428,12.799,1.383,7.311,0.41100000000000003,3.298,1.33,2.862,0.971,10.398,-1.05,5.92,-6.6854000000000005,1.6712,0.0114,0.16720000000000002,-
10,10,07::29:23,16::38:28,12::03:31,3.455,12.804,0.916,11.116,0.,100,0.001,367.172,0.916,11.116,-1.9000000000000001,4.74,-7.425000000000001,1.6598000000000002,-0.0129,0.2378,-
11,11,07::29:04,16::39:19,12::03:55,3.483,12.928,0.905,11.653,0.164,5.203,0.631,3.469,0.74,14.256,-7.42,4.28,-8.107000000000001,1.2205000000000001,-0.044700000000000004,0.4499,-
12,12,07::28:42,16::40:13,12::04:19,3.513,12.936,1.748,6.066,0.509,3.464,1.451,2.971,1.24,8.505,-12.43,-1.09,-5.1654,1.0987,-0.25620000000000004,0.5650000000000001,-
13,13,07::28:13,16::41:24,12::04:41,3.544,12.946,1.227,8.595,0.002,174.844,0.008,45.897,1.224,8.639,-7.24,5.24,-4.869000000000001,1.3548,0.09040000000000001,0.42210000000000003,-
14,14,07::27:37,16::42:58,12::05:04,3.577,12.959,1.497,7.244,0.04,10.855,0.107,5.418,1.457,7.674,-0.04,6.8100000000000005,-5.477600000000001,1.1555,0.0039000000000000003,0.6536000000000001,-
15,15,07::27:00,16::44:05,12::05:25,3.611,13.078,0.652,15.618,0.,100,0.,100,0.652,15.618,0.49,2.72,-4.8846,1.0428,0.156,0.202,-
16,16,07::26:21,16::45:00,12::05:46,3.646,13.076,2.32,4.621,1.881,2.7760000000000002,5.824,2.743,0.44,22.316,-1.5,5.88,-6.53,1.3553000000000002,0.0429,0.3705,-
17,17,07::26:00,16::46:12,12::06:06,3.682,13.11,1.2550000000000001,8.331,0.515,3.499,2.007,2.919,0.739,14.148,-5.93,3.04,-5.3199000000000005,1.1152,-0.2447,0.402,-
18,18,07::25:35,16::47:50,12::06:26,3.72,13.117,0.747,14.362,0.001,384.657,0.003,135.99,0.746,14.381,-4.37,1.36,-3.8338,0.7079000000000001,0.013900000000000001,0.1764,-
19,19,07::25:06,16::49:03,12::06:45,3.759,13.244,1.221,8.486,0.234,3.398,0.5650000000000001,2.991,0.987,10.413,-0.99,4.12,-4.9994000000000005,1.8753000000000002,0.1316,0.1165,-
20,20,07::24:31,16::50:01,12::07:03,3.799,13.256,1.841,5.742,0.603,3.311,2.1670000000000003,2.874,1.238,8.463000000000001,-2.5100000000000002,7.69,-4.7978000000000005,1.1560000000000001,-0.043500000000000004,0.4163,-
21,21,07::23:49,16::51:16,12::07:20,3.84,13.27,1.5150000000000001,7.081,0.129,5.7170000000000005,0.47000000000000003,3.333,1.3860000000000001,7.74,-4.9,3.04,-5.0641,0.9412,-0.1438,0.317,-
22,22,07::22:53,16::52:58,12::07:37,3.883,13.289,1.7610000000000001,6.168,0.444,3.58,1.443,2.968,1.317,8.258000000000001,-4.72,7.24,-5.5345,1.2086000000000001,-0.18780000000000002,0.388,-
23,23,07::21:51,16::54:09,12::07:52,3.927,13.413,1.02,10.25,0.006,66.242,0.016,26.648,1.0130000000000001,10.321,-5.17,1.,-4.6154,1.2316,0.0315,0.2912,-
24,24,07::21:05,16::55:11,12::08:07,3.972,13.443,0.58,17.713,0.,100,0.001,332.204,0.579,17.744,-0.42,2.19,-6.0474000000000006,1.6258000000000001,0.0442,0.057300000000000004,-
25,25,07::20:30,16::56:32,12::08:22,4.018,13.454,1.7630000000000001,6.244,0.5750000000000001,3.235,1.6420000000000001,2.892,1.188,9.241,-1.2,7.,-4.3314,1.0124,0.052700000000000004,0.2531,-
26,26,07::19:47,16::58:19,12::08:35,4.065,13.468,2.735,4.354,2.2640000000000002,2.7680000000000002,6.234,2.744,0.47300000000000003,23.065,-6.0200000000000005,1.95,-5.6367,1.0858,0.07400000000000001,0.3699,-
27,27,07::18:54,16::59:22,12::08:48,4.113,13.603,2.597,4.463,2.041,2.785,6.271,2.745,0.557,19.424,-8.59,3.75,-5.6042000000000005,0.7187,-0.27990000000000004,0.36610000000000004,-
28,28,07::17:42,17::00:29,12::08:59,4.163,13.628,2.907,4.072,2.73,2.758,7.986,2.739,0.181,55.253,-11.58,1.54,-5.3704,0.8073,-0.32480000000000003,0.2881,-
29,29,07::16:25,17::02:00,12::09:10,4.214,13.629,2.854,4.139,2.465,2.763,7.091,2.741,0.391,27.205000000000002,-12.450000000000001,0.5700000000000001,-6.7026,1.7388000000000001,-0.18630000000000002,0.1779,-
30,30,07::15:43,17::03:42,12::09:21,4.265,13.784,1.239,8.879,0.148,5.78,0.59,3.412,1.092,10.084,-12.1,-2.86,-5.9949,1.5648,-0.09920000000000001,0.45170000000000005,-
31,31,07::14:55,17::04:40,12::09:30,4.3180000000000005,13.8,2.693,4.625,1.564,2.883,3.5340000000000003,2.789,1.129,10.016,-6.32,3.8200000000000003,-5.845000000000001,2.1590000000000003,0.0523,0.0966,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
year.fractionofyear,dayofyear.fractionofday,YYYY-MM-DD--HH:MM:SS,SZA,AZM,ETR (W/m^2),ETRn (W/m^2),GHI,GHI_Flag,DrHI_Calc,DrHI_Calc_Flag,DNI,DNI_Flag,DHI_Calc,DHI_Calc_Flag,TEMPERATURE,TEMPERATURE_Flag,GHI_withNO,GHI_withNO_Flag,DNI_withNO,DNI_withNO_Flag,Data_Begins_Next_Row
2000.000009486946,1.003472222222222,2000-01-01--00:05:00,159.51437,2.09755,0,0.,0.43,12,0.48,72,0.48,12,0.43,72,-8.55,11,-5.11,11,0.55,11,-
2000.000018973892,1.0069444444444444,2000-01-01--00:10:00,159.45504000000003,5.374910000000001,0,0.,0.51,12,0.12,72,0.12,12,0.51,72,-8.64,11,-5.03,11,0.19,11,-
2000.0000284608382,1.0104166666666665,2000-01-01--00:15:00,159.34427000000002,8.628490000000001,0,0.,1.73,12,0.09,72,0.09,12,1.73,72,-8.790000000000001,11,-3.81,11,0.16,11,-
2000.000037947784,1.0138888888888888,2000-01-01--00:20:00,159.18292000000002,11.84463,0,0.,1.34,12,0.76,72,0.76,12,1.34,72,-8.46,11,-4.2,11,0.8300000000000001,11,-
2000.00004743473,1.0173611111111112,2000-01-01--00:25:00,158.97216,15.010760000000001,0,0.,0.99,12,0.,72,0.,12,0.99,72,-8.69,11,-4.55,11,0.07,11,-
2000.0000569216759,1.0208333333333333,2000-01-01--00:30:00,158.7135,18.11568,0,0.,1.01,12,-0.06,72,-0.06,12,1.01,72,-9.1,11,-4.53,11,0.01,11,-
2000.000066408622,1.0243055555555556,2000-01-01--00:35:00,158.4087,21.149780000000003,0,0.,1.05,12,0.38,72,0.38,12,1.05,72,-8.83,11,-4.49,11,0.45,11,-
2000.000075895568,1.0277777777777777,2000-01-01--00:40:00,158.05971000000002,24.105150000000002,0,0.,1.25,12,-0.56,72,-0.56,12,1.25,72,-10.4,11,-4.29,11,-0.49,11,-
2000.0000853825138,1.03125,2000-01-01--00:45:00,157.66868000000002,26.975610000000003,0,0.,1.25,12,0.11,72,0.11,12,1.25,72,-9.89,11,-4.29,11,0.18,11,-
2000.0000948694599,1.034722222222222,2000-01-01--00:50:00,157.23780000000002,29.756650000000004,0,0.,0.55,12,-0.58,72,-0.58,12,0.55,72,-10.5,11,-4.99,11,-0.51,11,-
2000.0001043564057,1.0381944444444444,2000-01-01--00:55:00,156.76938,32.44534,0,0.,0.17,12,-0.4,72,-0.4,12,0.17,72,-11.01,11,-5.37,11,-0.33,11,-
2000.0001138433518,1.0416666666666665,2000-01-01--01:00:00,156.26569,35.04016,0,0.,-0.1,12,0.13,72,0.13,12,-0.1,72,-10.93,11,-5.64,11,0.2,11,-
2000.0001233302976,1.0451388888888888,2000-01-01--01:05:00,155.72901000000002,37.540820000000004,0,0.,0.02,12,0.04,72,0.04,12,0.02,72,-10.84,11,-5.5200000000000005,11,0.11,11,-
2000.0001328172436,1.0486111111111112,2000-01-01--01:10:00,155.16155,39.94809,0,0.,-0.26,12,0.29,72,0.29,12,-0.26,72,-10.66,11,-5.8,11,0.36,11,-
2000.0001423041897,1.0520833333333333,2000-01-01--01:15:00,154.56546,42.26361000000001,0,0.,0.39,12,0.37,72,0.37,12,0.39,72,-10.44,11,-5.15,11,0.44,11,-
