Station ID Number:,94170,-,-,-,-,Type of Measurement:,GHI,GHI_Flag,DrHI_Calc,DrHI_Calc_Flag,DNI,DNI_Flag,DHI_Calc,DHI_Calc_Flag,TEMPERATURE,TEMPERATURE_Flag,GHI_withNO,GHI_withNO_Flag,DNI_withNO,DNI_withNO_Flag,NOTES
Station Name:,BUO,-,-,-,-,Element:,1000,-,2000,-,2010,-,3000,-,9300,-,1000_withNO,-,2010_withNO,-,Contact Info: http://solardat.uoregon.edu
Station Location:,Burns_Oregon_USA,-,-,-,-,Instrument Serial Number:,PSP(17846F3),-,NIP(17829E6),-,NIP(17829E6),-,Computed from GHI and DNI,-,T10,-,PSP(17846F3),-,NIP(17829E6),-,Element description at: http://solardat.uoregon.edu/DataElementNumbers.html
Latitude:,43.519197,-,-,-,-,Instrument Shorthand Name:,P4,-,NA,-,N3,-,NA,-,T10,-,P4,-,N3,-,Flag description at: http://solardat.uoregon.edu/QualityControlFlags.html
Longitude (+ East):,-119.021623,-,-,-,-,Responsivity:,7.2904,microV/(W/m^2),NA,-,8.2511,microV/(W/m^2),NA,-,1000.,microV?/C,7.2904,microV/(W/m^2),8.2511,microV/(W/m^2),Data has been calibrated using the responsivity values listed 
Altitude (m):,1260.,-,-,-,-,Estimated Uncertainty (U95%):,2.895,-,2.737,-,2.737,-,3.984,-,2.2,-,2.895,-,2.737,-,The phrase (_withNO) means the data has not had the nighttime offset subtracted.
Time Zone (+ East):,-8.,-,-,-,-,Sample Method:,Avg,-,-,-,Avg,-,-,-,Avg,-,Avg,-,Avg,-,Data that has been (computed) was calculated from measured columns.
Time Interval (Minutes):,5,-,-,-,-,Units:,W/m^2,-,W/m^2,-,W/m^2,-,W/m^2,-,C,-,W/m^2,-,W/m^2,-,Date file was created: 2017-3-30
Year//Month,2000//07,-,-,-,-,Column Notes:,-,-,-,-,-,-,-,-,-,-,-,-,-,-,This file was created using code: Check data (2017-03-27).nb
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Day of month,Day of year,Time Sunrise (HH::MM:SS),Time Sunset (HH::MM:SS),Time Solar Noon (HH::MM:SS),Daily Total Energy ETR (kW h/m^2),Daily Total Energy ETRn (kW h/m^2),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Minimum daily value,Maximum daily value,Average Nighttime Value,Standard Deviation Nighttime,Average Nighttime Value,Standard Deviation Nighttime,Assorted Daily Values (Rows 12 - 42)
1,183,04::20:05,19::39:48,-,11.584,20.204,5.9270000000000005,5.433,3.541,2.8850000000000002,5.2540000000000004,2.813,2.386,12.097,9.8,23.93,-8.2867,1.1139000000000001,-0.2625,0.4395,-
2,184,04::20:31,19::39:38,12::00:03,11.57,20.194,8.331,4.079,6.628,2.774,9.454,2.753,1.703,16.77,7.3100000000000005,23.72,-9.1663,1.3903,-0.37270000000000003,0.315,-
3,185,04::20:56,19::39:27,12::00:14,11.555,20.185,8.676,3.993,7.471,2.763,11.016,2.744,1.205,23.953,5.86,17.75,-7.848800000000001,2.0859,-0.32170000000000004,0.38680000000000003,-
4,186,04::21:23,19::39:15,12::00:25,11.539,20.150000000000002,8.346,4.005,6.011,2.7680000000000002,8.994,2.741,2.336,12.192,3.86,21.38,-6.933800000000001,2.2129000000000003,0.0269,0.3129,-
5,187,04::22:11,19::39:01,12::00:35,11.522,20.150000000000002,4.263,6.496,0.464,4.602,0.656,3.976,3.799,7.418,7.72,19.55,-7.2674,1.599,-0.0368,0.30920000000000003,-
6,188,04::23:07,19::38:47,12::00:46,11.504,20.137,7.406000000000001,4.36,4.659,2.831,6.546,2.786,2.747,10.341000000000001,9.13,22.38,-7.767,0.6944,-0.0204,0.24200000000000002,-
7,189,04::23:56,19::38:23,12::00:55,11.485,20.009,6.7780000000000005,4.595,4.05,2.807,6.154,2.775,2.728,10.427,7.78,27.43,-8.4158,1.7803,-0.3498,0.314,-
8,190,04::24:38,19::37:51,12::01:05,11.465,19.995,6.559,4.806,4.23,2.86,5.703,2.814,2.329,12.004,9.92,24.76,-7.425800000000001,1.0773000000000001,-0.081,0.6322,-
9,191,04::25:16,19::37:12,12::01:14,11.444,19.982,8.694,3.8320000000000003,7.631,2.7960000000000003,12.069,2.778,1.064,25.7,6.3100000000000005,26.16,-8.3406,1.2027,-0.4576,0.3728,-
10,192,04::25:49,19::36:32,12::01:23,11.422,19.971,8.657,3.855,7.88,2.757,12.02,2.741,0.777,35.388,10.13,28.810000000000002,-9.201500000000001,0.8301000000000001,-0.4812,0.33990000000000004,-
11,193,04::26:23,19::35:56,12::01:31,11.398,19.935,8.085,4.166,6.938,2.7720000000000002,9.974,2.7520000000000002,1.147,24.900000000000002,8.52,31.76,-8.682500000000001,2.0627,-0.3637,0.9401,-
12,194,04::27:24,19::35:22,12::01:39,11.374,19.937,8.067,3.998,6.859,2.763,10.401,2.745,1.209,22.869,11.06,33.14,-8.7743,1.488,-0.7287,1.0801,-
13,195,04::28:31,19::34:51,12::01:46,11.349,19.916,8.759,3.8040000000000003,7.808,2.7520000000000002,12.104000000000001,2.74,0.9510000000000001,29.392,8.05,31.01,-10.653,1.3894,-0.4242,1.0141,-
14,196,04::29:25,19::34:21,12::01:53,11.322000000000001,19.898,8.733,3.825,7.958,2.75,12.336,2.739,0.776,36.021,9.52,28.51,-10.523100000000001,1.1144,-0.4209,0.3703,-
15,197,04::30:10,19::33:53,12::02:00,11.295,19.883,7.41,4.218,4.494,2.823,6.844,2.773,2.916,10.125,9.700000000000001,27.89,-9.9067,1.0838,-0.47440000000000004,0.6551,-
16,198,04::30:50,19::33:11,12::02:06,11.267,19.761,5.07,5.964,1.722,3.242,2.206,3.115,3.348,8.588000000000001,10.63,28.86,-9.8835,0.7862,-0.4167,0.3421,-
17,199,04::31:31,19::32:11,12::02:11,11.237,19.727,6.8020000000000005,4.635,5.165,2.857,6.689,2.83,1.6380000000000001,16.508,13.27,29.78,-8.961500000000001,1.2642,-0.26180000000000003,0.3894,-
18,200,04::32:43,19::31:11,12::02:16,11.207,19.724,8.085,3.99,6.714,2.771,9.754,2.75,1.371,19.945,9.4,28.580000000000002,-8.6348,1.4409,-0.41140000000000004,0.5,-
19,201,04::33:54,19::30:22,12::02:20,11.176,19.701,7.932,4.055,6.871,2.7680000000000002,10.424,2.749,1.062,25.891000000000002,9.290000000000001,30.93,-8.8607,1.6843000000000001,-0.6895,0.9139,-
20,202,04::34:48,19::29:39,12::02:24,11.144,19.684,8.272,3.9650000000000003,7.413,2.782,11.095,2.7640000000000002,0.859,32.187,9.08,32.230000000000004,-9.2032,1.3442,-0.5591,0.8513000000000001,-
21,203,04::35:34,19::29:01,12::02:27,11.11,19.67,7.634,4.2780000000000005,5.789,2.786,8.14,2.759,1.845,15.15,11.75,35.37,-9.618400000000001,1.7509000000000001,-0.8834000000000001,1.0735000000000001,-
22,204,04::36:15,19::28:12,12::02:30,11.076,19.548000000000002,8.233,3.927,7.298,2.75,11.36,2.742,0.935,29.57,12.44,30.330000000000002,-10.8353,1.2094,-0.4,0.6656000000000001,-
23,205,04::37:24,19::26:55,12::02:32,11.041,19.524,8.474,3.86,7.706,2.753,12.228,2.741,0.769,34.176,9.950000000000001,28.92,-10.8834,1.0891,-0.4536,0.3652,-
24,206,04::38:44,19::25:47,12::02:34,11.005,19.501,8.391,3.8810000000000002,7.599,2.759,11.984,2.7560000000000002,0.792,34.909,8.09,30.63,-10.1795,1.1635,-0.449,0.5144000000000001,-
25,207,04::39:44,19::24:53,12::02:35,10.968,19.482,8.324,3.916,7.53,2.754,11.837,2.741,0.795,34.969,11.8,31.69,-11.337900000000001,0.6673,-0.4692,0.34290000000000004,-
26,208,04::40:33,19::24:06,12::02:35,10.93,19.468,7.352,4.321,6.117,2.798,9.503,2.773,1.235,22.264,11.72,30.57,-11.0031,0.8492000000000001,-0.38480000000000003,0.4928,-
27,209,04::41:16,19::23:10,12::02:35,10.892,19.346,8.244,3.9450000000000003,7.533,2.75,11.797,2.74,0.711,39.1,9.49,29.87,-9.6294,0.8067000000000001,-0.3373,0.5528000000000001,-
28,210,04::42:30,19::21:41,12::02:34,10.852,19.323,8.236,3.932,7.414000000000001,2.771,11.592,2.757,0.8220000000000001,33.451,11.65,34.76,-11.3522,1.6199000000000001,-0.4005,0.24130000000000001,-
29,211,04::43:52,19::20:28,12::02:32,10.811,19.298000000000002,8.113,3.9450000000000003,7.176,2.7560000000000002,11.154,2.741,0.9380000000000001,29.314,15.81,37.03,-12.3621,0.5846,-0.44430000000000003,0.3063,-
30,212,04::44:53,19::19:30,12::02:30,10.77,19.28,5.415,5.287,1.83,3.076,2.769,2.894,3.585,7.688,16.82,33.33,-10.637400000000001,1.6248,-0.23800000000000002,0.7495,-
31,213,04::45:43,19::18:41,12::02:28,10.728,19.266000000000002,7.192,4.2700000000000005,5.361,2.785,8.052,2.7520000000000002,1.831,15.017,15.950000000000001,36.15,-10.6922,2.0548,-0.4848,0.7794000000000001,-
-,-,-,-,12::02:24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
year.fractionofyear,dayofyear.fractionofday,YYYY-MM-DD--HH:MM:SS,SZA,AZM,ETR (W/m^2),ETRn (W/m^2),GHI,GHI_Flag,DrHI_Calc,DrHI_Calc_Flag,DNI,DNI_Flag,DHI_Calc,DHI_Calc_Flag,TEMPERATURE,TEMPERATURE_Flag,GHI_withNO,GHI_withNO_Flag,DNI_withNO,DNI_withNO_Flag,Data_Begins_Next_Row
2000.497277246509,183.0034722222222,2000-07-01--00:05:00,113.38770000000001,0.6377,0,0.,1.1400000000000001,12,0.27,72,0.27,12,1.1400000000000001,72,15.120000000000001,11,-7.15,11,0.01,11,-
2000.497286733455,183.00694444444443,2000-07-01--00:10:00,113.36794,1.8902900000000002,0,0.,1.41,12,0.26,72,0.26,12,1.41,72,15.25,11,-6.88,11,0.,11,-
2000.4972962204008,183.01041666666666,2000-07-01--00:15:00,113.32837,3.14204,0,0.,0.44,12,-0.03,72,-0.03,12,0.44,72,14.82,11,-7.8500000000000005,11,-0.29,11,-
2000.4973057073469,183.01388888888889,2000-07-01--00:20:00,113.26902000000001,4.39241,0,0.,0.7000000000000001,12,-0.5700000000000001,72,-0.5700000000000001,12,0.7000000000000001,72,14.46,11,-7.59,11,-0.8300000000000001,11,-
2000.497315194293,183.01736111111111,2000-07-01--00:25:00,113.18996000000001,5.64083,0,0.,0.8300000000000001,12,-0.18,72,-0.18,12,0.8300000000000001,72,14.35,11,-7.46,11,-0.44,11,-
2000.4973246812388,183.02083333333331,2000-07-01--00:30:00,113.09126,6.886780000000001,0,0.,2.,12,-0.14,72,-0.14,12,2.,72,14.38,11,-6.29,11,-0.4,11,-
2000.4973341681848,183.02430555555554,2000-07-01--00:35:00,112.97300000000001,8.129710000000001,0,0.,1.55,12,0.08,72,0.08,12,1.55,72,14.5,11,-6.74,11,-0.18,11,-
2000.4973436551306,183.02777777777777,2000-07-01--00:40:00,112.83529000000001,9.369110000000001,0,0.,2.5,12,0.37,72,0.37,12,2.5,72,14.66,11,-5.79,11,0.11,11,-
2000.4973531420767,183.03125,2000-07-01--00:45:00,112.67825,10.604460000000001,0,0.,1.92,12,0.8300000000000001,72,0.8300000000000001,12,1.92,72,15.15,11,-6.37,11,0.5700000000000001,11,-
2000.4973626290227,183.0347222222222,2000-07-01--00:50:00,112.50202000000002,11.835270000000001,0,0.,1.16,12,0.65,72,0.65,12,1.16,72,15.18,11,-7.13,11,0.39,11,-
2000.4973721159686,183.03819444444443,2000-07-01--00:55:00,112.30677000000001,13.06107,0,0.,1.34,12,0.87,72,0.87,12,1.34,72,15.41,11,-6.95,11,0.61,11,-
2000.4973816029146,183.04166666666666,2000-07-01--01:00:00,112.09265,14.281400000000001,0,0.,0.75,12,0.26,72,0.26,12,0.75,72,15.31,11,-7.54,11,0.,11,-
2000.4973910898605,183.04513888888889,2000-07-01--01:05:00,111.85985000000001,15.49581,0,0.,-0.22,12,0.29,72,0.29,12,-0.22,72,15.25,11,-8.51,11,0.03,11,-
2000.4974005768065,183.04861111111111,2000-07-01--01:10:00,111.60858,16.7039,0,0.,0.02,12,0.21,72,0.21,12,0.02,72,15.17,11,-8.27,11,-0.05,11,-
