Station ID Number:,94170,-,-,-,-,Type of Measurement:,GHI,GHI_Flag,DrHI_Calc,DrHI_Calc_Flag,DNI,DNI_Flag,DHI_Calc,DHI_Calc_Flag,TEMPERATURE,TEMPERATURE_Flag,GHI_withNO,GHI_withNO_Flag,DNI_withNO,DNI_withNO_Flag,NOTES
Station Name:,BUO,-,-,-,-,Element:,1000,-,2000,-,2010,-,3000,-,9300,-,1000_withNO,-,2010_withNO,-,Contact Info: http://solardat.uoregon.edu
Station Location:,Burns_Oregon_USA,-,-,-,-,Instrument Serial Number:,PSP(17846F3),-,NIP(17829E6),-,NIP(17829E6),-,Computed from GHI and DNI,-,T10,-,PSP(17846F3),-,NIP(17829E6),-,Element description at: http://solardat.uoregon.edu/DataElementNumbers.html
Latitude:,43.519197,-,-,-,-,Instrument Shorthand Name:,P4,-,NA,-,N3,-,NA,-,T10,-,P4,-,N3,-,Flag description at: http://solardat.uoregon.edu/QualityControlFlags.html
Longitude (+ East):,-119.021623,-,-,-,-,Responsivity:,7.2904,microV/(W/m^2),NA,-,8.2511,microV/(W/m^2),NA,-,1000.,microV?/C,7.2904,microV/(W/m^2),8.2511,microV/(W/m^2),Data has been calibrated using the responsivity values listed 
Altitude (m):,1260.,-,-,-,-,Estimated Uncertainty (U95%):,2.895,-,2.737,-,2.737,-,3.984,-,2.2,-,2.895,-,2.737,-,The phrase (_withNO) means the data has not had the nighttime offset subtracted.
Time Zone (+ East):,-8.,-,-,-,-,Sample Method:,Avg,-,-,-,Avg,-,-,-,Avg,-,Avg,-,Avg,-,Data that has been (computed) was calculated from measured columns.
Time Interval (Minutes):,5,-,-,-,-,Units:,W/m^2,-,W/m^2,-,W/m^2,-,W/m^2,-,C,-,W/m^2,-,W/m^2,-,Date file was created: 2017-3-30
Year//Month,2000//08,-,-,-,-,Column Notes:,-,-,-,-,-,-,-,-,-,-,-,-,-,-,This file was created using code: Check data (2017-03-27).nb
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Day of month,Day of year,Time Sunrise (HH::MM:SS),Time Sunset (HH::MM:SS),Time Solar Noon (HH::MM:SS),Daily Total Energy ETR (kW h/m^2),Daily Total Energy ETRn (kW h/m^2),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Minimum daily value,Maximum daily value,Average Nighttime Value,Standard Deviation Nighttime,Average Nighttime Value,Standard Deviation Nighttime,Assorted Daily Values (Rows 12 - 42)
1,214,04::46:31,19::17:09,12::02:21,10.685,19.121,7.774,4.007,6.581,2.7760000000000002,10.149000000000001,2.746,1.194,22.807000000000002,16.07,34.300000000000004,-9.2879,1.5986,-0.42450000000000004,0.5099,-
2,215,04::47:57,19::15:42,12::02:16,10.641,19.117,8.237,3.9,7.351,2.778,11.673,2.7600000000000002,0.886,30.909,11.17,34.730000000000004,-10.0073,1.5172,-0.8373,0.6147,-
3,216,04::49:13,19::14:36,12::02:11,10.596,19.094,6.674,4.563,4.585,2.884,6.737,2.795,2.09,13.177,9.52,34.69,-8.9219,1.8821,-0.4716,0.8972,-
4,217,04::50:11,19::13:42,12::02:05,10.55,19.078,7.386,4.124,5.6530000000000005,2.8000000000000003,8.562,2.765,1.733,15.713000000000001,10.700000000000001,32.49,-8.6457,1.5672000000000001,-0.3704,0.8001,-
5,218,04::51:00,19::12:03,12::01:59,10.504,18.955000000000002,7.82,3.9370000000000003,7.055,2.763,11.355,2.74,0.765,34.993,10.72,32.38,-8.6103,1.3016,-0.3783,0.7936000000000001,-
6,219,04::52:02,19::10:32,12::01:52,10.456,18.927,7.2490000000000006,4.253,5.934,2.802,8.978,2.7600000000000002,1.316,20.459,9.99,32.45,-10.1259,1.4794,-0.6951,0.8156,-
7,220,04::53:31,19::09:24,12::01:45,10.408,18.91,7.921,3.862,7.277,2.766,11.762,2.743,0.645,39.834,11.3,32.660000000000004,-9.5789,1.5274,-0.7164,0.7655000000000001,-
8,221,04::54:39,19::08:20,12::01:37,10.359,18.78,7.573,4.115,6.156,2.837,9.658,2.789,1.417,19.001,11.34,35.15,-9.955400000000001,1.0437,-0.7732,0.8340000000000001,-
9,222,04::55:34,19::06:28,12::01:28,10.309000000000001,18.766000000000002,7.516,4.078,6.354,2.774,10.11,2.749,1.163,23.283,15.41,33.02,-10.938600000000001,1.0669,-0.42150000000000004,0.3225,-
10,223,04::56:20,19::05:03,12::01:19,10.259,18.756,7.417,4.133,6.5120000000000005,2.79,9.698,2.758,0.905,29.580000000000002,11.92,28.89,-9.8453,1.0617,-0.2725,0.8196,-
11,224,04::57:44,19::03:57,12::01:09,10.208,18.731,7.67,3.994,6.704,2.763,11.007,2.74,0.966,27.871000000000002,5.78,28.29,-9.254900000000001,1.3354000000000001,-0.4939,0.7952,-
12,225,04::59:06,19::02:25,12::00:59,10.155,18.596,7.675,3.93,6.631,2.765,10.857000000000001,2.74,1.044,25.347,8.51,31.900000000000002,-9.7211,1.6089,-0.6272,0.5169,-
13,226,05::00:07,19::00:37,12::00:48,10.103,18.580000000000002,7.393,4.024,6.2410000000000005,5.502,10.346,5.4830000000000005,1.153,22.817,8.31,28.25,-9.454500000000001,1.1169,-0.6293000000000001,0.6642,-
14,227,05::00:58,18::59:21,12::00:36,10.049,18.568,7.672000000000001,3.936,7.071,3.3810000000000002,11.666,3.5700000000000003,0.602,42.424,7.04,28.29,-8.3453,1.4258000000000002,-0.4434,0.9860000000000001,-
15,228,05::01:59,18::58:04,12::00:24,9.995000000000001,18.43,7.694,3.907,7.121,2.765,11.787,2.742,0.5740000000000001,44.493,9.15,27.03,-9.7276,0.9326000000000001,-0.4358,0.5872,-
16,229,05::03:30,18::56:05,12::00:12,9.94,18.415,7.562,3.924,6.932,2.765,11.505,2.741,0.631,41.205,10.19,29.97,-9.845,0.6338,-0.5149,0.301,-
17,230,05::04:39,18::54:39,11::59:59,9.884,18.396,7.413,4.049,6.621,2.859,10.828,2.835,0.792,33.412,10.09,30.29,-10.1845,1.1238000000000001,-0.42310000000000003,0.6469,-
18,231,05::05:35,18::53:31,11::59:45,9.828,18.272000000000002,7.424,3.9490000000000003,6.759,2.766,11.26,2.743,0.665,38.867,7.79,25.87,-10.1952,1.354,-0.4752,0.5162,-
19,232,05::06:21,18::51:25,11::59:31,9.771,18.262,6.791,4.157,5.345,2.7760000000000002,9.409,2.744,1.446,17.768,3.94,23.64,-9.2074,1.4380000000000002,-0.316,0.4565,-
20,233,05::07:46,18::49:51,11::59:17,9.714,18.238,7.293,3.97,6.565,2.761,11.071,2.738,0.729,34.4,5.69,22.68,-9.135,1.1683000000000001,-0.43710000000000004,0.4204,-
21,234,05::09:08,18::48:40,11::59:02,9.655,18.215,7.162,4.034,6.415,5.494,10.798,5.478,0.747,34.601,6.2,27.05,-8.9564,1.0553000000000001,-0.47750000000000004,0.6588,-
22,235,05::10:10,18::46:36,11::58:46,9.596,18.089,7.061,4.077,6.259,3.553,10.213000000000001,3.721,0.802,31.844,5.64,32.54,-8.025400000000001,1.2702,-0.6045,0.892,-
23,236,05::11:00,18::44:56,11::58:31,9.537,18.078,6.67,4.275,5.487,2.799,8.463000000000001,2.761,1.182,21.737000000000002,7.29,33.18,-9.689300000000001,2.5819,-0.20900000000000002,1.5822,-
24,237,05::12:02,18::43:43,11::58:14,9.476,18.052,6.779,4.216,5.397,2.864,8.756,2.813,1.3820000000000001,18.48,10.41,29.810000000000002,-8.982700000000001,1.7772000000000001,-0.3629,1.3772,-
25,238,05::13:33,18::41:38,11::57:58,9.416,17.925,6.765000000000001,4.134,5.47,2.785,8.978,2.745,1.296,19.587,5.0600000000000005,31.04,-8.8719,1.6133000000000002,-0.6711,1.0585,-
26,239,05::14:42,18::39:55,11::57:41,9.354000000000001,17.908,6.936,4.0360000000000005,6.353,2.766,10.769,2.746,0.583,43.279,7.890000000000001,28.02,-9.660400000000001,1.5490000000000002,-0.4888,0.8552000000000001,-
27,240,05::15:37,18::38:40,11::57:23,9.292,17.895,6.8790000000000004,4.037,6.259,2.766,10.714,2.741,0.62,38.959,5.17,27.68,-9.251100000000001,1.7726000000000002,-0.5469,0.7864,-
28,241,05::16:23,18::36:31,11::57:05,9.23,17.775000000000002,6.817,3.993,5.977,2.7760000000000002,10.313,2.7600000000000002,0.841,28.172,5.13,29.98,-8.9722,1.6112000000000002,-0.47800000000000004,0.7915000000000001,-
29,242,05::17:50,18::34:49,11::56:47,9.166,17.751,6.648000000000001,4.148,5.265,2.799,8.869,2.766,1.383,18.244,6.51,28.310000000000002,-9.1351,1.495,-0.5125000000000001,0.6082000000000001,-
30,243,05::19:11,18::33:34,11::56:29,9.103,17.617,6.188,4.347,4.562,2.787,7.779,2.746,1.6260000000000001,15.517,6.65,26.490000000000002,-8.8103,1.2976,-0.5476,1.2378,-
31,244,05::20:11,18::31:18,11::56:10,9.038,17.603,5.7620000000000005,4.672,3.309,2.88,5.1530000000000005,2.766,2.452,10.165000000000001,5.7700000000000005,24.7,-8.2845,1.3027,-0.2777,0.8355,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
year.fractionofyear,dayofyear.fractionofday,YYYY-MM-DD--HH:MM:SS,SZA,AZM,ETR (W/m^2),ETRn (W/m^2),GHI,GHI_Flag,DrHI_Calc,DrHI_Calc_Flag,DNI,DNI_Flag,DHI_Calc,DHI_Calc_Flag,TEMPERATURE,TEMPERATURE_Flag,GHI_withNO,GHI_withNO_Flag,DNI_withNO,DNI_withNO_Flag,Data_Begins_Next_Row
2000.581976700061,214.0034722222222,2000-08-01--00:05:00,118.56422,0.031090000000000003,0,0.,0.36,12,0.11,72,0.11,12,0.36,72,20.51,11,-8.93,11,-0.31,11,-
2000.5819861870068,214.00694444444443,2000-08-01--00:10:00,118.55389000000001,1.3854700000000002,0,0.,1.08,12,0.02,72,0.02,12,1.08,72,20.3,11,-8.21,11,-0.4,11,-
2000.5819956739529,214.01041666666666,2000-08-01--00:15:00,118.52213,2.73916,0,0.,1.34,12,0.05,72,0.05,12,1.34,72,20.14,11,-7.95,11,-0.37,11,-
2000.5820051608987,214.01388888888889,2000-08-01--00:20:00,118.46899,4.09144,0,0.,0.96,12,-0.42,72,-0.42,12,0.96,72,19.81,11,-8.33,11,-0.84,11,-
2000.5820146478447,214.01736111111111,2000-08-01--00:25:00,118.39451000000001,5.4416,0,0.,0.35000000000000003,12,-0.45,72,-0.45,12,0.35000000000000003,72,19.43,11,-8.94,11,-0.87,11,-
2000.5820241347908,214.02083333333331,2000-08-01--00:30:00,118.29878000000001,6.78896,0,0.,0.97,12,-0.12,72,-0.12,12,0.97,72,19.45,11,-8.32,11,-0.54,11,-
2000.5820336217366,214.02430555555554,2000-08-01--00:35:00,118.18190000000001,8.13283,0,0.,0.99,12,0.21,72,0.21,12,0.99,72,19.6,11,-8.3,11,-0.21,11,-
2000.5820431086827,214.02777777777777,2000-08-01--00:40:00,118.04399000000001,9.47254,0,0.,1.25,12,0.05,72,0.05,12,1.25,72,19.46,11,-8.040000000000001,11,-0.37,11,-
2000.5820525956285,214.03125,2000-08-01--00:45:00,117.88520000000001,10.807440000000001,0,0.,1.12,12,0.07,72,0.07,12,1.12,72,19.41,11,-8.17,11,-0.35000000000000003,11,-
2000.5820620825746,214.0347222222222,2000-08-01--00:50:00,117.70570000000001,12.13691,0,0.,0.8200000000000001,12,0.31,72,0.31,12,0.8200000000000001,72,19.38,11,-8.47,11,-0.11,11,-
2000.5820715695206,214.03819444444443,2000-08-01--00:55:00,117.50567000000001,13.46033,0,0.,0.84,12,0.17,72,0.17,12,0.84,72,19.330000000000002,11,-8.45,11,-0.25,11,-
2000.5820810564664,214.04166666666666,2000-08-01--01:00:00,117.28531000000001,14.777120000000002,0,0.,1.1400000000000001,12,0.31,72,0.31,12,1.1400000000000001,72,19.47,11,-8.15,11,-0.11,11,-
2000.5820905434125,214.04513888888889,2000-08-01--01:05:00,117.04485000000001,16.086740000000002,0,0.,1.16,12,0.16,72,0.16,12,1.16,72,19.21,11,-8.13,11,-0.26,11,-
2000.5821000303583,214.04861111111111,2000-08-01--01:10:00,116.78452000000001,17.388650000000002,0,0.,1.3800000000000001,12,0.26,72,0.26,12,1.3800000000000001,72,19.240000000000002,11,-7.91,11,-0.16,11,-
