Station ID Number:,94170,-,-,-,-,Type of Measurement:,GHI,GHI_Flag,DrHI_Calc,DrHI_Calc_Flag,DNI,DNI_Flag,DHI_Calc,DHI_Calc_Flag,TEMPERATURE,TEMPERATURE_Flag,GHI_withNO,GHI_withNO_Flag,DNI_withNO,DNI_withNO_Flag,NOTES
Station Name:,BUO,-,-,-,-,Element:,1000,-,2000,-,2010,-,3000,-,9300,-,1000_withNO,-,2010_withNO,-,Contact Info: http://solardat.uoregon.edu
Station Location:,Burns_Oregon_USA,-,-,-,-,Instrument Serial Number:,PSP(17846F3),-,NIP(17829E6),-,NIP(17829E6),-,Computed from GHI and DNI,-,T10,-,PSP(17846F3),-,NIP(17829E6),-,Element description at: http://solardat.uoregon.edu/DataElementNumbers.html
Latitude:,43.519197,-,-,-,-,Instrument Shorthand Name:,P4,-,NA,-,N3,-,NA,-,T10,-,P4,-,N3,-,Flag description at: http://solardat.uoregon.edu/QualityControlFlags.html
Longitude (+ East):,-119.021623,-,-,-,-,Responsivity:,7.2904,microV/(W/m^2),NA,-,8.2511,microV/(W/m^2),NA,-,1000.,microV?/C,7.2904,microV/(W/m^2),8.2511,microV/(W/m^2),Data has been calibrated using the responsivity values listed 
Altitude (m):,1260.,-,-,-,-,Estimated Uncertainty (U95%):,2.895,-,2.737,-,2.737,-,3.984,-,2.2,-,2.895,-,2.737,-,The phrase (_withNO) means the data has not had the nighttime offset subtracted.
Time Zone (+ East):,-8.,-,-,-,-,Sample Method:,Avg,-,-,-,Avg,-,-,-,Avg,-,Avg,-,Avg,-,Data that has been (computed) was calculated from measured columns.
Time Interval (Minutes):,5,-,-,-,-,Units:,W/m^2,-,W/m^2,-,W/m^2,-,W/m^2,-,C,-,W/m^2,-,W/m^2,-,Date file was created: 2017-3-30
Year//Month,2000//02,-,-,-,-,Column Notes:,-,-,-,-,-,-,-,-,-,-,-,-,-,-,This file was created using code: Check data (2017-03-27).nb
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Day of month,Day of year,Time Sunrise (HH::MM:SS),Time Sunset (HH::MM:SS),Time Solar Noon (HH::MM:SS),Daily Total Energy ETR (kW h/m^2),Daily Total Energy ETRn (kW h/m^2),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Minimum daily value,Maximum daily value,Average Nighttime Value,Standard Deviation Nighttime,Average Nighttime Value,Standard Deviation Nighttime,Assorted Daily Values (Rows 12 - 42)
1,32,07::13:53,17::05:53,12::09:38,4.372,13.82,1.5070000000000001,7.711,0.194,4.856,0.406,3.693,1.313,8.832,0.1,8.45,-5.302700000000001,0.7863,-0.006900000000000001,0.277,-
2,33,07::12:27,17::07:37,12::09:46,4.4270000000000005,13.848,2.595,4.672,1.42,2.831,3.734,2.7560000000000002,1.175,10.092,-2.77,9.02,-5.8584000000000005,0.9244,-0.3412,0.4188,-
3,34,07::11:12,17::08:59,12::09:53,4.482,13.991,2.637,4.7010000000000005,1.592,2.79,4.6610000000000005,2.746,1.045,11.18,-3.6,5.99,-7.0274,1.2963,0.008400000000000001,0.4712,-
4,35,07::10:22,17::10:02,12::09:59,4.539,14.006,2.681,4.7780000000000005,1.805,2.842,4.024,2.778,0.876,13.669,-3.11,8.97,-6.259600000000001,1.3236,0.0034000000000000002,0.2548,-
5,36,07::09:21,17::11:23,12::10:04,4.597,14.026,2.469,5.074,1.52,2.847,3.46,2.7800000000000002,0.9490000000000001,12.495000000000001,-0.27,7.63,-5.015000000000001,1.1078000000000001,0.047900000000000005,0.19690000000000002,-
6,37,07::07:57,17::13:12,12::10:09,4.655,14.054,2.793,4.488,1.701,2.836,4.063,2.7560000000000002,1.092,10.772,-2.71,8.99,-5.3241000000000005,1.0939,-0.0668,0.47890000000000005,-
7,38,07::06:21,17::14:19,12::10:13,4.715,14.204,1.928,6.351,0.383,3.618,0.836,3.092,1.545,7.8100000000000005,-2.61,7.79,-4.744000000000001,0.7237,-0.16390000000000002,0.4055,-
8,39,07::05:28,17::15:26,12::10:15,4.775,14.219,1.127,10.607000000000001,0.063,8.671,0.209,4.316,1.064,11.235,-1.94,7.47,-5.0296,0.9256000000000001,-0.16740000000000002,0.49520000000000003,-
9,40,07::04:22,17::16:58,12::10:18,4.836,14.24,3.072,4.289,2.101,2.798,4.969,2.75,0.971,12.311,-2.02,12.02,-5.3783,0.9168000000000001,-0.22110000000000002,0.43460000000000004,-
10,41,07::02:49,17::18:41,12::10:19,4.898,14.388,1.942,6.2540000000000004,0.159,5.5520000000000005,0.44,3.571,1.7830000000000001,6.862,-3.94,7.5200000000000005,-4.9229,1.0817,-0.0921,0.24880000000000002,-
11,42,07::01:14,17::19:39,12::10:19,4.961,14.42,1.238,9.524000000000001,0.045,7.6240000000000006,0.10300000000000001,4.692,1.194,9.884,0.03,4.93,-5.6398,1.1857,0.22840000000000002,0.2756,-
12,43,07::00:15,17::20:52,12::10:19,5.025,14.437000000000001,1.734,6.883,0.179,4.8100000000000005,0.8160000000000001,3.145,1.556,7.456,-3.97,3.97,-5.4493,0.9592,0.07300000000000001,0.4597,-
13,44,06::58:59,17::22:35,12::10:18,5.089,14.461,1.81,6.657,0.023,17.198,0.095,6.005,1.7870000000000001,6.923,-4.14,2.35,-5.2159,1.4196,0.0575,0.1082,-
14,45,06::57:10,17::23:57,12::10:16,5.154,14.607000000000001,1.889,6.773000000000001,0.504,3.475,1.2530000000000001,3.02,1.385,9.018,0.38,7.86,-6.9714,1.7127000000000001,0.0103,0.1379,-
15,46,06::55:51,17::24:59,12::10:14,5.22,14.639000000000001,2.323,5.601,0.556,3.366,1.166,2.978,1.7670000000000001,7.1290000000000004,-2.84,6.13,-5.701300000000001,1.1734,-0.1449,0.2472,-
16,47,06::54:42,17::26:17,12::10:11,5.287,14.66,1.768,6.978,0.027,27.04,0.058,12.997,1.741,7.086,-3.35,4.07,-5.5468,0.7495,-0.1945,0.2601,-
17,48,06::53:06,17::28:04,12::10:07,5.354,14.691,3.799,3.8930000000000002,-,-,-,-,-,-,-3.44,6.58,-7.628,0.9531000000000001,-0.1932,0.5127,-
18,49,06::51:16,17::29:12,12::10:02,5.421,14.844000000000001,3.92,3.7520000000000002,-,-,-,-,-,-,-8.36,9.3,-6.4177,1.0735000000000001,-0.5089,0.5844,-
19,50,06::50:10,17::30:17,12::09:57,5.49,14.864,3.95,3.725,3.761,2.751,9.161,2.739,0.192,58.773,-8.26,7.930000000000001,-6.2175,1.6796,-0.1749,0.2556,-
20,51,06::48:43,17::31:42,12::09:51,5.559,14.891,1.351,9.131,0.022,18.547,0.046,9.446,1.328,9.301,-0.54,3.92,-5.6506,1.2935,0.0853,0.1592,-
21,52,06::46:41,17::33:29,12::09:44,5.628,14.913,1.434,9.023,0.262,3.105,0.6920000000000001,2.845,1.172,11.137,-3.24,6.48,-5.7708,1.1722000000000001,0.2262,0.3569,-
22,53,06::45:29,17::34:25,12::09:37,5.698,15.069,1.002,12.553,0.05,7.2250000000000005,0.09,5.0200000000000005,0.9520000000000001,13.212,-3.87,9.23,-6.241700000000001,1.2773,0.22870000000000001,0.3556,-
23,54,06::44:05,17::35:32,12::09:29,5.769,15.095,2.044,6.348,0.158,5.8340000000000005,0.291,4.2010000000000005,1.8860000000000001,7.0280000000000005,-3.64,3.23,-6.4522,1.0099,0.0385,0.2296,-
24,55,06::42:03,17::37:03,12::09:21,5.84,15.125,3.442,4.253,2.314,2.781,5.58,2.75,1.1280000000000001,11.301,-5.18,4.54,-5.8942000000000005,0.6904,-0.2513,0.3375,-
25,56,06::40:40,17::38:40,12::09:12,5.9110000000000005,15.276,2.6590000000000003,5.255,1.196,2.976,3.047,2.825,1.463,9.257,-8.64,5.09,-5.4556000000000004,0.8632000000000001,-0.1897,0.2869,-
26,57,06::39:17,17::39:36,12::09:02,5.9830000000000005,15.301,1.788,7.327,0.001,189.94,0.001,195.876,1.7870000000000001,7.509,-0.24,2.32,-6.616300000000001,2.2249000000000003,0.0819,0.0936,-
27,58,06::37:15,17::40:44,12::08:52,6.055,15.335,1.752,7.369,0.045,11.5,0.096,6.602,1.706,7.627,0.8,8.120000000000001,-5.6505,1.5336,0.1061,0.37770000000000004,-
28,59,06::35:45,17::42:19,12::08:41,6.127,15.368,3.106,4.5440000000000005,1.12,2.947,2.876,2.8000000000000003,1.986,6.815,-2.09,6.9,-6.2796,0.9567,-0.1772,0.38720000000000004,-
29,60,06::34:22,17::43:46,12::08:29,6.2,15.509,2.571,5.263,0.72,3.156,1.851,2.9050000000000002,1.851,7.306,-2.32,8.620000000000001,-6.4017,1.6740000000000002,-0.06470000000000001,0.35760000000000003,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
year.fractionofyear,dayofyear.fractionofday,YYYY-MM-DD--HH:MM:SS,SZA,AZM,ETR (W/m^2),ETRn (W/m^2),GHI,GHI_Flag,DrHI_Calc,DrHI_Calc_Flag,DNI,DNI_Flag,DHI_Calc,DHI_Calc_Flag,TEMPERATURE,TEMPERATURE_Flag,GHI_withNO,GHI_withNO_Flag,DNI_withNO,DNI_withNO_Flag,Data_Begins_Next_Row
2000.084708940498,32.00347222222222,2000-02-01--00:05:00,153.69358000000003,356.18412,0,0.,-1.6400000000000001,12,0.01,72,0.01,12,-1.6400000000000001,72,0.12,11,-6.94,11,0.,11,-
2000.084718427444,32.00694444444444,2000-02-01--00:10:00,153.73165,358.87835,0,0.,-1.3800000000000001,12,0.01,72,0.01,12,-1.3800000000000001,72,0.11,11,-6.68,11,0.,11,-
2000.08472791439,32.010416666666664,2000-02-01--00:15:00,153.72709,1.5755400000000002,0,0.,-1.03,12,0.01,72,0.01,12,-1.03,72,0.11,11,-6.33,11,0.,11,-
2000.084737401336,32.013888888888886,2000-02-01--00:20:00,153.6799,4.2682,0,0.,-1.05,12,0.01,72,0.01,12,-1.05,72,0.12,11,-6.3500000000000005,11,0.,11,-
2000.0847468882819,32.01736111111111,2000-02-01--00:25:00,153.59032000000002,6.948910000000001,0,0.,-0.88,12,0.01,72,0.01,12,-0.88,72,0.1,11,-6.18,11,0.,11,-
2000.084756375228,32.02083333333333,2000-02-01--00:30:00,153.45879000000002,9.61048,0,0.,-1.36,12,0.03,72,0.03,12,-1.36,72,0.1,11,-6.66,11,0.02,11,-
2000.0847658621738,32.02430555555556,2000-02-01--00:35:00,153.28596000000002,12.246120000000001,0,0.,-1.09,12,0.01,72,0.01,12,-1.09,72,0.1,11,-6.390000000000001,11,0.,11,-
2000.0847753491198,32.02777777777778,2000-02-01--00:40:00,153.07263,14.849480000000002,0,0.,-0.91,12,0.01,72,0.01,12,-0.91,72,0.11,11,-6.21,11,0.,11,-
2000.0847848360659,32.03125,2000-02-01--00:45:00,152.81978,17.41479,0,0.,-1.55,12,0.01,72,0.01,12,-1.55,72,0.11,11,-6.8500000000000005,11,0.,11,-
2000.0847943230117,32.03472222222222,2000-02-01--00:50:00,152.52854000000002,19.93694,0,0.,-1.1300000000000001,12,0.02,72,0.02,12,-1.1300000000000001,72,0.13,11,-6.43,11,0.01,11,-
2000.0848038099577,32.03819444444444,2000-02-01--00:55:00,152.20014,22.41149,0,0.,-1.25,12,0.01,72,0.01,12,-1.25,72,0.14,11,-6.55,11,0.,11,-
2000.0848132969036,32.041666666666664,2000-02-01--01:00:00,151.83594000000002,24.83472,0,0.,-1.6,12,0.01,72,0.01,12,-1.6,72,0.12,11,-6.9,11,0.,11,-
2000.0848227838496,32.045138888888886,2000-02-01--01:05:00,151.43734,27.20362,0,0.,-1.07,12,0.01,72,0.01,12,-1.07,72,0.12,11,-6.37,11,0.,11,-
2000.0848322707955,32.04861111111111,2000-02-01--01:10:00,151.00582,29.515870000000003,0,0.,-1.44,12,0.01,72,0.01,12,-1.44,72,0.11,11,-6.74,11,0.,11,-
2000.0848417577415,32.05208333333333,2000-02-01--01:15:00,150.54287000000002,31.769790000000004,0,0.,-1.35,12,0.01,72,0.01,12,-1.35,72,0.11,11,-6.65,11,0.,11,-
