Station ID Number:,94170,-,-,-,-,Type of Measurement:,GHI,GHI_Flag,DrHI_Calc,DrHI_Calc_Flag,DNI,DNI_Flag,DHI_Calc,DHI_Calc_Flag,TEMPERATURE,TEMPERATURE_Flag,GHI_withNO,GHI_withNO_Flag,DNI_withNO,DNI_withNO_Flag,NOTES
Station Name:,BUO,-,-,-,-,Element:,1000,-,2000,-,2010,-,3000,-,9300,-,1000_withNO,-,2010_withNO,-,Contact Info: http://solardat.uoregon.edu
Station Location:,Burns_Oregon_USA,-,-,-,-,Instrument Serial Number:,PSP(17846F3),-,NIP(17829E6),-,NIP(17829E6),-,Computed from GHI and DNI,-,T10,-,PSP(17846F3),-,NIP(17829E6),-,Element description at: http://solardat.uoregon.edu/DataElementNumbers.html
Latitude:,43.519197,-,-,-,-,Instrument Shorthand Name:,P4,-,NA,-,N3,-,NA,-,T10,-,P4,-,N3,-,Flag description at: http://solardat.uoregon.edu/QualityControlFlags.html
Longitude (+ East):,-119.021623,-,-,-,-,Responsivity:,7.2904,microV/(W/m^2),NA,-,8.2511,microV/(W/m^2),NA,-,1000.,microV?/C,7.2904,microV/(W/m^2),8.2511,microV/(W/m^2),Data has been calibrated using the responsivity values listed 
Altitude (m):,1260.,-,-,-,-,Estimated Uncertainty (U95%):,2.895,-,2.737,-,2.737,-,3.984,-,2.2,-,2.895,-,2.737,-,The phrase (_withNO) means the data has not had the nighttime offset subtracted.
Time Zone (+ East):,-8.,-,-,-,-,Sample Method:,Avg,-,-,-,Avg,-,-,-,Avg,-,Avg,-,Avg,-,Data that has been (computed) was calculated from measured columns.
Time Interval (Minutes):,5,-,-,-,-,Units:,W/m^2,-,W/m^2,-,W/m^2,-,W/m^2,-,C,-,W/m^2,-,W/m^2,-,Date file was created: 2017-3-30
Year//Month,2000//12,-,-,-,-,Column Notes:,-,-,-,-,-,-,-,-,-,-,-,-,-,-,This file was created using code: Check data (2017-03-27).nb
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Day of month,Day of year,Time Sunrise (HH::MM:SS),Time Sunset (HH::MM:SS),Time Solar Noon (HH::MM:SS),Daily Total Energy ETR (kW h/m^2),Daily Total Energy ETRn (kW h/m^2),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Minimum daily value,Maximum daily value,Average Nighttime Value,Standard Deviation Nighttime,Average Nighttime Value,Standard Deviation Nighttime,Assorted Daily Values (Rows 12 - 42)
1,336,07::10:37,16::19:45,11::45:23,3.4410000000000003,12.826,1.991,4.916,1.296,2.837,4.172,2.754,0.6950000000000001,14.037,-5.66,3.2800000000000002,-6.3375,1.1731,-0.2843,0.34450000000000003,-
2,337,07::11:22,16::19:32,11::45:46,3.415,12.786,1.847,5.447,0.855,2.949,2.968,2.751,0.993,10.091000000000001,-8.13,6.37,-5.4107,0.9172,-0.07010000000000001,0.44470000000000004,-
3,338,07::12:45,16::19:20,11::46:10,3.39,12.784,1.891,5.303,0.896,3.008,2.672,2.786,0.995,9.978,-8.06,5.8500000000000005,-4.9983,0.5584,-0.1242,0.4022,-
4,339,07::14:02,16::19:11,11::46:34,3.367,12.758000000000001,2.063,4.763,1.733,2.828,5.3950000000000005,2.748,0.33,29.302,-6.44,7.71,-5.2353000000000005,0.7291000000000001,0.0853,0.648,-
5,340,07::14:59,16::19:05,11::46:59,3.344,12.739,2.057,4.767,1.679,2.799,5.442,2.743,0.378,25.352,-6.16,9.3,-4.966600000000001,0.7468,0.0959,0.6227,-
6,341,07::15:44,16::18:59,11::47:25,3.323,12.725,1.846,5.264,1.586,2.817,5.205,2.743,0.26,37.191,-5.98,7.05,-5.2247,0.8721,-0.1315,0.5336000000000001,-
7,342,07::16:26,16::18:56,11::47:51,3.3040000000000003,12.687,1.941,5.165,1.19,2.821,3.863,2.744,0.752,12.973,-8.86,5.72,-5.2686,0.7101000000000001,0.6043000000000001,0.3945,-
8,343,07::17:39,16::18:55,11::48:17,3.286,12.687,1.7650000000000001,5.525,1.068,2.948,3.0060000000000002,2.778,0.6970000000000001,13.873000000000001,-7.54,4.9,-4.0894,0.7951,0.2039,0.33480000000000004,-
9,344,07::18:49,16::18:55,11::48:44,3.269,12.663,0.482,20.42,0.,100,0.002,265.46500000000003,0.482,20.42,-6.21,3.59,-5.3933,1.3831,-0.14020000000000002,0.6475000000000001,-
10,345,07::19:42,16::18:57,11::49:11,3.254,12.645,1.7570000000000001,5.696,1.154,2.99,3.717,2.801,0.602,16.062,-7.43,1.23,-5.7386,1.4578,-0.0244,0.44920000000000004,-
11,346,07::20:24,16::19:00,11::49:39,3.24,12.632,0.879,10.804,0.01,72.613,0.027,28.667,0.869,10.929,-7.94,-2.3000000000000003,-6.626200000000001,1.6878000000000002,-0.052700000000000004,0.2466,-
12,347,07::20:59,16::19:05,11::50:07,3.227,12.621,1.272,7.534,0.013000000000000001,47.447,0.065,10.435,1.2590000000000001,7.633,-7.63,-3.72,-5.083,1.3989,0.08170000000000001,0.1194,-
13,348,07::21:41,16::19:13,11::50:36,3.216,12.588000000000001,0.894,10.913,0.001,718.318,0.004,191.291,0.893,10.925,-6.66,1.67,-5.5708,1.8871,-0.083,0.3647,-
14,349,07::22:40,16::19:22,11::51:04,3.206,12.587,1.044,9.427,0.005,85.886,0.017,25.72,1.04,9.483,-2.52,3.52,-8.027800000000001,1.2697,-0.0429,0.4761,-
15,350,07::23:37,16::19:33,11::51:33,3.198,12.567,2.016,4.888,1.688,2.805,5.904,2.744,0.328,28.427,-8.84,3.2,-6.9421,2.1018,-0.09090000000000001,0.5588000000000001,-
16,351,07::24:21,16::19:47,11::52:03,3.1910000000000003,12.552,1.215,8.03,0.024,22.929000000000002,0.109,6.66,1.19,8.246,-6.8500000000000005,5.25,-4.9688,2.4707000000000003,0.18380000000000002,0.8083,-
17,352,07::24:57,16::20:04,11::52:32,3.185,12.540000000000001,2.14,4.616,1.984,2.775,6.9590000000000005,2.742,0.156,61.984,-13.94,1.8,-7.336,1.8776000000000002,-0.325,0.6954,-
18,353,07::25:27,16::20:24,11::53:02,3.181,12.531,2.1270000000000002,4.589,1.849,2.832,6.3500000000000005,2.918,0.278,34.472,-16.41,1.25,-4.4637,1.1445,0.0027,0.5712,-
19,354,07::25:52,16::20:48,11::53:31,3.178,12.523,1.2770000000000001,7.572,0.10400000000000001,6.936,0.40700000000000003,3.689,1.172,8.255,-7.3100000000000005,2.87,-4.4187,1.4287,0.11860000000000001,0.35500000000000004,-
20,355,07::26:14,16::21:17,11::54:01,3.177,12.516,1.067,9.143,0.008,58.559000000000005,0.029,17.661,1.059,9.212,-2.7,2.4,-4.4888,1.2211,0.1336,0.228,-
21,356,07::26:49,16::21:54,11::54:31,3.177,12.488,1.168,8.249,-,-,-,-,-,-,-6.19,1.21,-5.3660000000000005,1.8311000000000002,0.0091,0.28500000000000003,-
22,357,07::27:24,16::22:39,11::55:01,3.1790000000000003,12.49,1.102,8.633000000000001,-,-,-,-,-,-,-5.11,6.8500000000000005,-4.2064,1.1039,0.1814,0.3677,-
23,358,07::28:02,16::23:22,11::55:31,3.181,12.478,0.79,12.021,-,-,-,-,-,-,-4.21,1.61,-6.580900000000001,1.5851000000000002,-0.1956,0.309,-
24,359,07::28:33,16::23:55,11::56:01,3.186,12.585,1.937,5.1290000000000004,-,-,-,-,-,-,-13.,0.74,-6.423500000000001,1.5656,-0.2762,0.786,-
25,360,07::28:57,16::24:22,11::56:30,3.192,12.577,1.635,5.986,-,-,-,-,-,-,-16.29,-1.7,-4.5258,1.0030000000000001,-0.3098,0.7403000000000001,-
26,361,07::29:17,16::24:53,11::57:00,3.1990000000000003,12.571,1.795,5.332,-,-,-,-,-,-,-14.05,0.5700000000000001,-4.462400000000001,1.1191,-0.1753,0.8195,-
27,362,07::29:33,16::25:31,11::57:29,3.208,12.565,1.651,5.915,-,-,-,-,-,-,-9.51,-0.28,-4.643400000000001,1.1376,-0.0916,0.498,-
28,363,07::29:46,16::26:18,11::57:59,3.218,12.561,1.947,5.121,1.1380000000000001,2.951,3.73,2.767,0.81,11.939,-12.34,4.49,-4.5479,0.9313,0.1447,0.48760000000000003,-
29,364,07::29:56,16::27:20,11::58:28,3.229,12.558,1.249,7.811,0.019,32.238,0.054,12.337,1.23,7.95,-11.35,-4.37,-4.3941,1.502,0.11860000000000001,0.5729000000000001,-
30,365,07::30:04,16::28:23,11::58:57,3.242,12.555,1.197,8.222,0.002,277.177,0.005,120.24000000000001,1.195,8.244,-11.05,-5.18,-4.4009,1.0001,0.0454,0.0918,-
31,366,07::30:09,16::29:05,11::59:25,3.2560000000000002,12.671000000000001,1.12,8.788,0.001,484.084,0.003,163.964,1.119,8.799,-13.07,-4.6000000000000005,-4.679600000000001,0.7289,0.1236,0.1288,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
year.fractionofyear,dayofyear.fractionofday,YYYY-MM-DD--HH:MM:SS,SZA,AZM,ETR (W/m^2),ETRn (W/m^2),GHI,GHI_Flag,DrHI_Calc,DrHI_Calc_Flag,DNI,DNI_Flag,DHI_Calc,DHI_Calc_Flag,TEMPERATURE,TEMPERATURE_Flag,GHI_withNO,GHI_withNO_Flag,DNI_withNO,DNI_withNO_Flag,Data_Begins_Next_Row
2000.9153100333942,336.00347222222223,2000-12-01--00:05:00,158.04949000000002,10.791810000000002,0,0.,-0.62,12,0.,72,0.,12,-0.62,72,-0.8,11,-6.96,11,-0.28,11,-
2000.9153195203403,336.0069444444444,2000-12-01--00:10:00,157.85667,13.83913,0,0.,-0.72,12,-0.01,72,-0.01,12,-0.72,72,-0.89,11,-7.0600000000000005,11,-0.29,11,-
2000.9153290072861,336.01041666666663,2000-12-01--00:15:00,157.61743,16.83512,0,0.,-1.08,12,0.36,72,0.36,12,-1.08,72,-0.8,11,-7.42,11,0.08,11,-
2000.9153384942322,336.01388888888886,2000-12-01--00:20:00,157.33328,19.77092,0,0.,-1.17,12,0.24,72,0.24,12,-1.17,72,-0.8200000000000001,11,-7.51,11,-0.04,11,-
2000.915347981178,336.0173611111111,2000-12-01--00:25:00,157.00592,22.639010000000003,0,0.,-0.61,12,-0.07,72,-0.07,12,-0.61,72,-0.98,11,-6.95,11,-0.35000000000000003,11,-
2000.915357468124,336.0208333333333,2000-12-01--00:30:00,156.63722,25.433290000000003,0,0.,-1.3,12,0.13,72,0.13,12,-1.3,72,-0.96,11,-7.640000000000001,11,-0.15,11,-
2000.91536695507,336.02430555555554,2000-12-01--00:35:00,156.22915,28.14909,0,0.,-1.58,12,0.28,72,0.28,12,-1.58,72,-0.9500000000000001,11,-7.92,11,0.,11,-
2000.915376442016,336.02777777777777,2000-12-01--00:40:00,155.78377,30.783030000000004,0,0.,-1.68,12,0.28,72,0.28,12,-1.68,72,-0.9,11,-8.02,11,0.,11,-
2000.915385928962,336.03125,2000-12-01--00:45:00,155.30315000000002,33.33301,0,0.,-1.48,12,0.23,72,0.23,12,-1.48,72,-0.9400000000000001,11,-7.82,11,-0.05,11,-
2000.9153954159078,336.03472222222223,2000-12-01--00:50:00,154.78939000000003,35.79805,0,0.,-1.52,12,0.3,72,0.3,12,-1.52,72,-0.96,11,-7.86,11,0.02,11,-
2000.9154049028539,336.0381944444444,2000-12-01--00:55:00,154.24453000000003,38.178110000000004,0,0.,-1.43,12,0.18,72,0.18,12,-1.43,72,-0.99,11,-7.7700000000000005,11,-0.1,11,-
2000.9154143897997,336.04166666666663,2000-12-01--01:00:00,153.67059,40.47401,0,0.,-1.28,12,0.2,72,0.2,12,-1.28,72,-1.,11,-7.62,11,-0.08,11,-
2000.9154238767458,336.04513888888886,2000-12-01--01:05:00,153.0695,42.687250000000006,0,0.,-1.46,12,0.3,72,0.3,12,-1.46,72,-0.97,11,-7.8,11,0.02,11,-
2000.9154333636918,336.0486111111111,2000-12-01--01:10:00,152.44315,44.81987,0,0.,-1.69,12,0.3,72,0.3,12,-1.69,72,-0.96,11,-8.03,11,0.02,11,-
2000.9154428506376,336.0520833333333,2000-12-01--01:15:00,151.79329,46.87433,0,0.,-1.84,12,0.15,72,0.15,12,-1.84,72,-1.03,11,-8.18,11,-0.13,11,-
2000.9154523375837,336.05555555555554,2000-12-01--01:20:00,151.12161,48.85343,0,0.,-1.62,12,0.07,72,0.07,12,-1.62,72,-1.19,11,-7.96,11,-0.21,11,-
