Station ID Number:,94169,-,-,-,-,Type of Measurement:,GHI,GHI_Flag,DrHI_Calc,DrHI_Calc_Flag,DNI,DNI_Flag,DHI_Calc,DHI_Calc_Flag,Temperature,Temperature_Flag,GHI_original,GHI_original_Flag,DNI_original,DNI_original_Flag,NOTES
Station Name:,HEO,-,-,-,-,Element:,1000,-,2000,-,2010,-,3000,-,9300,-,1000_original,-,2010_original,-,Contact Info: http://solardat.uoregon.edu
Station Location:,Hermiston_Oregon_USA,-,-,-,-,Instrument Serial Number:,PSP(17854F3),-,NIP(17668E6),-,NIP(17668E6),-,Computed from GHI and DNI,-,TEMP(HEO),-,PSP(17854F3),-,NIP(17668E6),-,File format description at: http://solardat.uoregon.edu/download/Papers/Structure_of_a_comprehensive_solar_radiation_dataset_ASES_2017_Final.pdf
Latitude:,45.818441,-,-,-,-,Instrument Shorthand Name:,PSP5,-,-,-,NIP4,-,-,-,TEMP(HEO),-,PSP5,-,NIP4,-,Flag description at: http://solardat.uoregon.edu/QualityControlFlags.html
Longitude (+ East):,-119.284721,-,-,-,-,Responsivity:,7.444,microV/(W/m^2),-,-,8.72,microV/(W/m^2),-,-,36.11111,microV?/C,7.444,microV/(W/m^2),8.72,microV/(W/m^2),Data has been calibrated using the responsivity values listed 
Altitude (m):,188,-,-,-,-,Estimated Uncertainty (U95%):,2.8,-,2.53,-,2.53,-,3.774,-,2.2,-,2.8,-,2.53,-,The phrase (_original) means the data has not had the nighttime offset subtracted (or any other adjustments).
Time Zone (+ East):,-8,-,-,-,-,Sample Method:,Avg,-,-,-,Avg,-,-,-,Avg,-,Avg,-,Avg,-,Data that has been (computed) was calculated from measured columns.
Time Interval (Minutes):,5,-,-,-,-,Units:,W/m^2,-,W/m^2,-,W/m^2,-,W/m^2,-,C,-,W/m^2,-,W/m^2,-,Date this file was created: 2019-6-27
Year//Month,1980//10,-,-,-,-,Column Notes:,AdjustedColumn,-,CalculatedColumn,-,AdjustedColumn,-,CalculatedColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,This file was created using code: AAA Check data (2019-06-26).nb
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SZA horizon boundaries (East/West): 88/89
Day of month,Day of year,Time Sunrise (HH::MM:SS),Time Sunset (HH::MM:SS),Time Solar Noon (HH::MM:SS),Daily Total Energy ETR (kW h/m^2),Daily Total Energy ETRn (kW h/m^2),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Minimum daily value,Maximum daily value,Average Nighttime Value,Standard Deviation Nighttime,Average Nighttime Value,Standard Deviation Nighttime,Assorted Daily Values (Rows 12 - 42)
1,275,05::56:20,17::35:35,11::46:37,6.537,15.759,4.609,2.869,3.924,2.822,8.21,2.574,0.685,9.665,5.86,26.91,0.1445,0.9757,2.0519,0.9632,-
2,276,05::57:58,17::34:02,11::46:18,6.462,15.731,4.492,2.874,3.714,2.872,7.71,2.583,0.779,8.498,4.1,28.68,0.4794,1.1205,2.3533,1.0985,-
3,277,05::59:27,17::31:56,11::45:59,6.388,15.594,4.355,2.871,3.61,2.858,7.603,2.57,0.745,8.763,5.67,30.93,0.4303,0.5897,2.3231,0.7805,-
4,278,06::00:32,17::29:56,11::45:41,6.313,15.578,4.451,2.869,3.844,2.835,8.34,2.57,0.608,10.737,8.31,35.63,0.7435,1.0981,2.6271,1.2855,-
5,279,06::01:28,17::28:34,11::45:23,6.239,15.429,4.354,2.872,3.665,2.835,7.969,2.56,0.689,9.475,9.29,32.49,0.8844,1.0709,2.3525,1.1014,-
6,280,06::03:13,17::26:07,11::45:06,6.165,15.422,4.11,2.876,3.26,2.932,6.984,2.58,0.851,7.563,8.8,35.04,0.9371,0.9861,2.3774,0.9911,-
7,281,06::04:38,17::24:26,11::44:49,6.091,15.399,4.036,2.874,3.141,2.966,6.822,2.592,0.895,7.14,9.39,34.55,1.2064,0.8873,2.7007,0.9521,-
8,282,06::05:42,17::22:46,11::44:32,6.017,15.27,3.976,2.887,2.949,3.012,6.362,2.626,1.027,6.429,6.06,27.79,0.0888,1.645,2.1667,1.5877,-
9,283,06::06:46,17::20:30,11::44:16,5.944,15.238,4.263,2.877,3.596,2.863,8.071,2.577,0.667,9.65,1.65,23.98,-0.1778,1.2812,2.0882,1.1806,-
10,284,06::08:32,17::19:01,11::44:00,5.871,15.223,3.85,2.883,2.724,3.049,5.738,2.634,1.126,5.715,0.28,24.66,0.2118,0.8026,2.0368,0.7822,-
11,285,06::09:53,17::17:01,11::43:44,5.798,15.088,2.215,2.956,0.369,13.921,1.224,5.451,1.846,4.632,2.73,19.28,0.2693,0.7604,2.1163,0.6536,-
12,286,06::10:55,17::15:04,11::43:30,5.726,15.073,1.894,3.206,0.282,18.196,0.937,6.669,1.612,5.307,7.63,19.57,1.3949,1.0748,2.522,0.8667,-
13,287,06::12:10,17::13:43,11::43:15,5.653,15.046,1.184,3.511,0.032,95.972,0.062,49.534,1.151,6.104,8.31,15.56,1.4784,0.4986,2.5644,0.5004,-
14,288,06::13:55,17::11:28,11::43:02,5.582,14.908,1.189,3.478,0.008,326.043,0.035,74.524,1.181,5.902,8.9,14.38,1.6232,0.5677,2.7723,0.6192,-
15,289,06::15:10,17::09:44,11::42:48,5.51,14.888,1.725,3.254,0.368,13.497,0.908,6.482,1.358,5.518,6.06,17.12,1.144,1.1088,2.4946,0.8909,-
16,290,06::16:10,17::08:24,11::42:36,5.439,14.76,3.663,2.894,2.916,2.926,6.786,2.591,0.748,8.297,2.73,20.75,0.0453,0.8758,2.2368,0.7594,-
17,291,06::17:43,17::06:07,11::42:24,5.369,14.733,3.625,2.89,2.959,2.931,7.001,2.575,0.667,9.167,1.85,22.61,0.152,1.0218,2.3975,0.9705,-
18,292,06::19:21,17::04:32,11::42:12,5.299,14.704,3.372,2.911,2.427,3.289,5.429,2.761,0.946,6.547,5.08,23.98,-0.0777,0.7656,1.8966,0.7291,-
19,293,06::20:31,17::03:08,11::42:01,5.23,14.572,3.291,2.905,2.438,3.171,5.808,2.604,0.853,7.222,2.54,23.29,-0.0853,0.6373,2.0287,0.753,-
20,294,06::21:32,17::00:56,11::41:51,5.161,14.535,1.853,2.964,0.369,11.416,1.348,4.26,1.484,4.881,2.93,18.3,0.9076,1.066,2.3495,0.8401,-
21,295,06::23:22,16::59:27,11::41:42,5.093,14.523,3.578,2.895,2.872,2.918,7.04,2.569,0.706,8.661,3.03,20.06,-0.2652,1.1608,2.1466,0.7139,-
22,296,06::24:49,16::58:03,11::41:33,5.025,14.384,3.412,2.889,2.693,3.043,6.823,2.576,0.719,8.504,-0.89,18.59,-0.6377,1.4736,2.1992,1.3688,-
23,297,06::25:54,16::55:56,11::41:25,4.958,14.367,3.137,2.88,1.842,3.505,4.59,2.625,1.295,4.956,-3.73,16.14,-0.478,0.6377,2.2366,0.646,-
24,298,06::27:13,16::54:29,11::41:17,4.891,14.338,1.876,3.079,0.235,17.186,0.571,7.384,1.642,4.775,-1.09,14.19,0.7328,1.5236,2.5964,1.1468,-
25,299,06::29:01,16::53:10,11::41:10,4.825,14.197,2.315,2.992,0.866,6.282,2.379,3.544,1.448,5.126,4.98,17.91,0.8144,0.7839,2.2435,0.5187,-
26,300,06::30:17,16::51:06,11::41:04,4.76,14.175,2.431,2.953,0.819,6.059,2.163,3.478,1.612,4.759,3.03,16.34,0.2119,0.7801,2.1598,0.4489,-
27,301,06::31:17,16::49:39,11::40:59,4.696,14.16,2.224,2.966,0.768,7.254,1.925,3.992,1.456,4.759,1.56,17.03,-0.2712,0.9576,2.3542,0.6846,-
28,302,06::33:04,16::48:32,11::40:54,4.632,14.012,2.026,3.054,-,-,-,-,-,-,-0.99,14.09,0.0593,1.0405,2.4609,0.8834,-
