Station ID Number:,94169,-,-,-,-,Type of Measurement:,GHI,GHI_Flag,DrHI_Calc,DrHI_Calc_Flag,DNI,DNI_Flag,DHI_Calc,DHI_Calc_Flag,Temperature,Temperature_Flag,GHI_original,GHI_original_Flag,DNI_original,DNI_original_Flag,NOTES
Station Name:,HEO,-,-,-,-,Element:,1000,-,2000,-,2010,-,3000,-,9300,-,1000_original,-,2010_original,-,Contact Info: http://solardat.uoregon.edu
Station Location:,Hermiston_Oregon_USA,-,-,-,-,Instrument Serial Number:,PSP(17854F3),-,NIP(17668E6),-,NIP(17668E6),-,Computed from GHI and DNI,-,TEMP(HEO),-,PSP(17854F3),-,NIP(17668E6),-,File format description at: http://solardat.uoregon.edu/download/Papers/Structure_of_a_comprehensive_solar_radiation_dataset_ASES_2017_Final.pdf
Latitude:,45.818441,-,-,-,-,Instrument Shorthand Name:,PSP5,-,-,-,NIP4,-,-,-,TEMP(HEO),-,PSP5,-,NIP4,-,Flag description at: http://solardat.uoregon.edu/QualityControlFlags.html
Longitude (+ East):,-119.284721,-,-,-,-,Responsivity:,7.444,microV/(W/m^2),-,-,8.72,microV/(W/m^2),-,-,36.11111,microV?/C,7.444,microV/(W/m^2),8.72,microV/(W/m^2),Data has been calibrated using the responsivity values listed 
Altitude (m):,188,-,-,-,-,Estimated Uncertainty (U95%):,2.8,-,2.53,-,2.53,-,3.774,-,2.2,-,2.8,-,2.53,-,The phrase (_original) means the data has not had the nighttime offset subtracted (or any other adjustments).
Time Zone (+ East):,-8,-,-,-,-,Sample Method:,Avg,-,-,-,Avg,-,-,-,Avg,-,Avg,-,Avg,-,Data that has been (computed) was calculated from measured columns.
Time Interval (Minutes):,5,-,-,-,-,Units:,W/m^2,-,W/m^2,-,W/m^2,-,W/m^2,-,C,-,W/m^2,-,W/m^2,-,Date this file was created: 2019-6-27
Year//Month,1980//12,-,-,-,-,Column Notes:,AdjustedColumn,-,CalculatedColumn,-,AdjustedColumn,-,CalculatedColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,This file was created using code: AAA Check data (2019-06-26).nb
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SZA horizon boundaries (East/West): 88/89
Day of month,Day of year,Time Sunrise (HH::MM:SS),Time Sunset (HH::MM:SS),Time Solar Noon (HH::MM:SS),Daily Total Energy ETR (kW h/m^2),Daily Total Energy ETRn (kW h/m^2),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Minimum daily value,Maximum daily value,Average Nighttime Value,Standard Deviation Nighttime,Average Nighttime Value,Standard Deviation Nighttime,Assorted Daily Values (Rows 12 - 42)
1,336,07::19:30,16::13:34,11::46:25,3.041,12.327,1.283,3.128,0.402,10.499,1.297,4.128,0.881,6.181,-3.14,9.68,0.112,1.254,2.6117,1.031,-
2,337,07::20:28,16::13:06,11::46:48,3.014,12.308,0.489,4.661,0.002,688.85,0.007,196.814,0.487,10.675,3.51,13.89,1.0667,1.5988,2.8425,1.577,-
3,338,07::21:14,16::12:43,11::47:12,2.99,12.265,0.685,4.036,0.017,142.436,0.058,41.748,0.668,8.014,5.37,14.09,1.1428,1.1085,2.5065,0.9357,-
4,339,07::22:36,16::12:20,11::47:36,2.966,12.266,1.419,3.212,0.757,5.509,2.304,3.312,0.662,8.051,0.87,11.64,-0.0387,1.0996,2.4485,0.7305,-
5,340,07::23:58,16::12:00,11::48:01,2.944,12.238,0.938,3.364,0.138,28.107,0.434,10.196,0.8,6.542,-1.38,10.76,-0.2181,0.6558,2.2287,0.4945,-
6,341,07::24:57,16::11:45,11::48:26,2.923,12.218,0.556,4.278,0.002,834.97,0.006,285.281,0.554,9.315,-6.76,0.38,-0.5343,1.5399,2.4405,0.9647,-
7,342,07::25:44,16::11:34,11::48:52,2.903,12.203,0.843,3.443,0.001,2296.167,0.006,389.653,0.842,6.237,-10.19,-2.26,-1.6539,0.9995,2.3585,0.5015,-
8,343,07::26:30,16::11:28,11::49:19,2.885,12.165,1.397,3.102,0.676,6.015,2.552,3.101,0.721,7.34,-10.88,3.32,-2.2426,0.5897,2.5761,0.623,-
9,344,07::27:44,16::11:24,11::49:46,2.868,12.163,0.777,3.515,0.001,1168.958,0.006,194.826,0.776,6.734,-11.17,-1.09,-0.6895,2.5483,3.2541,2.1178,-
10,345,07::28:54,16::11:24,11::50:13,2.852,12.138,0.611,4.027,0.002,1148.084,0.008,292.239,0.609,8.298,-6.18,4.4,0.4016,2.1536,2.9244,1.8463,-
11,346,07::29:46,16::11:27,11::50:41,2.838,12.121,1.465,3.107,0.986,4.881,3.53,2.841,0.48,10.632,-0.01,16.05,-0.2213,0.8077,2.1711,0.5538,-
12,347,07::30:28,16::11:33,11::51:09,2.826,12.108,1.219,3.243,0.264,16.48,0.799,6.31,0.955,5.915,-1.18,12.03,-0.2866,0.9236,2.3842,0.6765,-
13,348,07::31:03,16::11:43,11::51:37,2.814,12.097,1.636,3.033,0.63,6.11,2.326,2.923,1.007,5.831,-5,9.19,-0.5816,1.7885,2.7001,1.3185,-
14,349,07::31:50,16::11:57,11::52:06,2.804,12.065,0.731,3.648,0.009,296.878,0.034,78.585,0.722,7.139,-2.16,7.14,1.0059,1.8176,2.8364,1.5491,-
15,350,07::32:50,16::12:17,11::52:35,2.796,12.06,1.639,3.046,1.301,3.782,4.641,2.668,0.339,14.918,1.36,17.51,0.2103,0.8057,2.5255,0.9456,-
16,351,07::33:45,16::12:39,11::53:04,2.788,12.041,0.376,5.598,0.001,2337.916,0.003,807.138,0.376,13.572,1.07,3.71,0.7137,1.0882,2.5835,1.0671,-
17,352,07::34:27,16::13:03,11::53:33,2.783,12.026,0.352,5.927,0.001,2797.149,0.002,1398.575,0.352,14.367,-0.11,2.24,0.5484,0.2358,2.4929,0.2057,-
18,353,07::35:00,16::13:29,11::54:03,2.778,12.015,0.236,8.845,0,100,0.001,1461.197,0.236,21.429,0.77,2.63,0.5215,0.2347,2.47,0.208,-
19,354,07::35:29,16::13:52,11::54:33,2.775,12.123,0.344,6.067,0.001,2922.395,0.002,1502.946,0.343,14.744,0.97,3.12,0.4309,0.221,2.5843,0.2096,-
20,355,07::35:53,16::14:10,11::55:02,2.774,12.116,0.474,4.526,0.001,2797.149,0.004,741.036,0.473,10.692,1.56,5.18,0.5887,0.5382,2.6474,0.5271,-
21,356,07::36:13,16::14:31,11::55:32,2.774,12.08,0.573,4.642,0.015,108.546,0.049,33.228,0.557,9.39,2.24,7.53,0.6764,0.2407,2.5443,0.2446,-
22,357,07::36:47,16::14:56,11::56:02,2.775,12.081,1.058,3.399,0.359,10.06,1.254,4.371,0.699,7.42,3.12,17.22,0.2666,0.795,2.3924,0.4129,-
23,358,07::37:20,16::15:26,11::56:32,2.778,12.083,0.649,3.823,0.005,642.927,0.031,107.738,0.644,7.822,5.96,12.52,0.3443,0.4535,2.2442,0.3672,-
24,359,07::37:53,16::16:02,11::57:02,2.782,12.075,0.31,6.729,0,100,0.002,1356.826,0.31,16.313,5.18,8.8,0.8264,0.4856,2.4377,0.311,-
25,360,07::38:21,16::16:48,11::57:32,2.787,12.065,0.753,4.1,0.222,9.967,0.694,4.36,0.531,9.887,6.16,20.26,1.6574,0.6369,2.7535,0.6461,-
26,361,07::38:43,16::17:46,11::58:01,2.794,12.057,0.469,4.668,0.001,1711.688,0.004,427.922,0.468,10.514,9.49,20.06,1.2887,0.6528,2.3409,0.3986,-
27,362,07::39:00,16::18:40,11::58:31,2.802,12.051,0.958,3.306,0.22,16.712,1.177,4.518,0.737,6.913,5.37,17.71,0.2731,1.0952,2.3723,0.7848,-
28,363,07::39:14,16::19:13,11::59:00,2.812,12.164,1.78,2.971,1.486,3.41,5.579,2.576,0.294,16.888,0.97,18.69,-0.4778,0.8158,2.1566,0.6731,-
