Day of month,Day of year,Time Sunrise (HH::MM:SS),Time Sunset (HH::MM:SS),Time Solar Noon (HH::MM:SS),Daily Total Energy ETR (kW h/m^2),Daily Total Energy ETRn (kW h/m^2),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),-,-,-,-,Assorted Daily Values (Rows 12 - 42)
23,83,05::56:26,18::11:31,12::03:32,7.531000000000001,15.824,4.272,2.8000000000000003,-,-,-,-,-,-,-,-,-,-,-
24,84,05::54:31,18::12:52,12::03:14,7.607,15.858,4.798,2.8000000000000003,-,-,-,-,-,-,-,-,-,-,-
25,85,05::52:35,18::14:13,12::02:56,7.683,15.893,5.509,2.8000000000000003,-,-,-,-,-,-,-,-,-,-,-
26,86,05::50:40,18::15:34,12::02:38,7.759,15.928,2.592,2.8000000000000003,-,-,-,-,-,-,-,-,-,-,-
27,87,05::48:44,18::16:55,12::02:19,7.835,15.962,4.1370000000000005,2.8000000000000003,2.579,2.5300000000000002,4.712,2.5300000000000002,1.577,3.774,-,-,-,-,-
28,88,05::46:47,18::18:17,12::02:01,7.91,15.997,3.6790000000000003,2.8000000000000003,1.346,2.531,3.524,2.5300000000000002,2.347,3.773,-,-,-,-,-
29,89,05::44:50,18::19:40,12::01:44,7.986,16.032,1.351,2.8000000000000003,0.08700000000000001,2.531,0.192,2.5300000000000002,1.288,3.774,-,-,-,-,-
30,90,05::42:52,18::21:04,12::01:26,8.061,16.067,4.412,2.8000000000000003,2.654,2.5300000000000002,5.3870000000000005,2.5300000000000002,1.784,3.774,-,-,-,-,-
31,91,05::40:53,18::22:29,12::01:08,8.136000000000001,16.103,3.849,2.8000000000000003,1.346,2.529,1.989,2.5300000000000002,2.508,3.775,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
year.fractionofyear,dayofyear.fractionofday,YYYY-MM-DD--HH:MM:SS,SZA,AZM,ETR (W/m^2),ETRn (W/m^2),GHI,GHI_Flag,DrHI_Calc,DrHI_Calc_Flag,DNI,DNI_Flag,DHI_Calc,DHI_Calc_Flag,GHI_original,GHI_original_Flag,DNI_original,DNI_original_Flag,Data_Begins_Next_Row
1980.1640482695811,61.041666666666664,1980-03-01--01:00:00,141.39482,8.159120000000001,0,0.,0.,12,0.,72,0.,12,0.,72,NA,11,NA,11,-
1980.164162112933,61.08333333333333,1980-03-01--02:00:00,137.88911000000002,30.58566,0,0.,0.,12,0.,72,0.,12,0.,72,NA,11,NA,11,-
1980.1642759562844,61.125,1980-03-01--03:00:00,131.14627000000002,49.2663,0,0.,0.,12,0.,72,0.,12,0.,72,NA,11,NA,11,-
1980.164389799636,61.166666666666664,1980-03-01--04:00:00,122.38202000000001,64.32841,0,0.,0.,12,0.,72,0.,12,0.,72,NA,11,NA,11,-
