Station ID Number:,94169,-,-,-,-,Type of Measurement:,GHI,GHI_Flag,DrHI_Calc,DrHI_Calc_Flag,DNI,DNI_Flag,DHI_Calc,DHI_Calc_Flag,GHI_original,GHI_original_Flag,DNI_original,DNI_original_Flag,NOTES
Station Name:,HEO,-,-,-,-,Element:,1000,-,2000,-,2010,-,3000,-,1000_original,-,2010_original,-,Contact Info: http://solardat.uoregon.edu
Station Location:,Hermiston_Oregon_USA,-,-,-,-,Instrument Serial Number:,PSP(17854F3),-,NIP(17668E6),-,NIP(17668E6),-,Computed from GHI and DNI,-,PSP(17854F3),-,NIP(17668E6),-,File format description at: http://solardat.uoregon.edu/download/Papers/Structure_of_a_comprehensive_solar_radiation_dataset_ASES_2017_Final.pdf
Latitude:,45.818441,-,-,-,-,Instrument Shorthand Name:,PSP5,-,-,-,NIP4,-,-,-,PSP5,-,NIP4,-,Flag description at: http://solardat.uoregon.edu/QualityControlFlags.html
Longitude (+ East):,-119.284721,-,-,-,-,Responsivity:,7.444000000000001,microV/(W/m^2),-,-,8.72,microV/(W/m^2),-,-,7.444000000000001,microV/(W/m^2),8.72,microV/(W/m^2),Data has been calibrated using the responsivity values listed 
Altitude (m):,188.,-,-,-,-,Estimated Uncertainty (U95%):,2.8000000000000003,-,2.5300000000000002,-,2.5300000000000002,-,3.774,-,2.8000000000000003,-,2.5300000000000002,-,The phrase (_original) means the data has not had the nighttime offset subtracted (or any other adjustments).
Time Zone (+ East):,-8.,-,-,-,-,Sample Method:,Avg,-,-,-,Avg,-,-,-,Avg,-,Avg,-,Data that has been (computed) was calculated from measured columns.
Time Interval (Minutes):,60,-,-,-,-,Units:,W/m^2,-,W/m^2,-,W/m^2,-,W/m^2,-,W/m^2,-,W/m^2,-,Date this file was created: 2019-6-26
Year//Month,1980//01,-,-,-,-,Column Notes:,AdjustedColumn,-,CalculatedColumn,-,AdjustedColumn,-,CalculatedColumn,-,MeasuredColumn,-,MeasuredColumn,-,This file was created using code: AAA Check data (2019-06-26).nb
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SZA horizon boundaries (East/West): 88/89
Day of month,Day of year,Time Sunrise (HH::MM:SS),Time Sunset (HH::MM:SS),Time Solar Noon (HH::MM:SS),Daily Total Energy ETR (kW h/m^2),Daily Total Energy ETRn (kW h/m^2),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),-,-,-,-,Assorted Daily Values (Rows 12 - 42)
1,1,07::42:01,16::19:25,12::00:34,2.817,10.986,1.449,2.8000000000000003,1.044,2.529,3.625,2.5300000000000002,0.406,3.777,-,-,-,-,-
2,2,07::42:03,16::20:28,12::01:02,2.832,10.985,0.343,2.8000000000000003,0.,100,0.,100,0.343,3.774,-,-,-,-,-
3,3,07::42:02,16::21:35,12::01:30,2.848,10.986,0.8250000000000001,2.8000000000000003,0.032,2.533,0.136,2.5300000000000002,0.793,3.774,-,-,-,-,-
4,4,07::41:57,16::22:46,12::01:57,2.865,10.987,0.304,2.8000000000000003,0.,100,0.,100,0.304,3.774,-,-,-,-,-
5,5,07::41:50,16::24:02,12::02:24,2.883,10.99,0.785,2.8000000000000003,0.29,2.532,0.836,2.5300000000000002,0.496,3.773,-,-,-,-,-
6,6,07::41:40,16::25:23,12::02:51,2.903,10.994,1.449,2.8000000000000003,0.766,2.531,3.142,2.5300000000000002,0.769,3.773,-,-,-,-,-
7,7,07::41:26,16::26:52,12::03:17,2.9250000000000003,10.999,0.772,2.8000000000000003,0.019,2.533,0.053,2.5300000000000002,0.754,3.774,-,-,-,-,-
8,8,07::41:10,16::28:32,12::03:42,2.947,11.004,0.195,2.8000000000000003,0.,100,0.,100,0.195,3.774,-,-,-,-,-
9,9,07::40:50,16::30:25,12::04:07,2.971,11.011000000000001,0.154,2.8000000000000003,0.,100,0.,100,0.154,3.774,-,-,-,-,-
10,10,07::40:28,16::31:55,12::04:32,2.997,12.427,2.149,2.8000000000000003,1.5,2.531,5.303,2.5300000000000002,0.655,3.7720000000000002,-,-,-,-,-
11,11,07::40:02,16::32:49,12::04:56,3.027,12.436,1.058,2.8000000000000003,0.012,2.633,0.08,2.5300000000000002,1.046,3.7720000000000002,-,-,-,-,-
12,12,07::39:34,16::33:45,12::05:19,3.059,12.447000000000001,1.014,2.8000000000000003,0.233,2.529,0.646,2.5300000000000002,0.781,3.774,-,-,-,-,-
13,13,07::39:02,16::34:44,12::05:42,3.092,12.458,0.8210000000000001,2.8000000000000003,0.055,2.549,0.185,2.5300000000000002,0.768,3.7720000000000002,-,-,-,-,-
14,14,07::38:26,16::35:45,12::06:04,3.126,12.47,0.6920000000000001,2.8000000000000003,0.037,2.5260000000000002,0.34700000000000003,2.5300000000000002,0.655,3.774,-,-,-,-,-
15,15,07::37:48,16::36:48,12::06:26,3.162,12.484,1.356,2.8000000000000003,0.47700000000000004,2.532,1.723,2.5300000000000002,0.897,3.7720000000000002,-,-,-,-,-
16,16,07::37:06,16::37:53,12::06:47,3.1990000000000003,12.498000000000001,0.5760000000000001,2.8000000000000003,0.,100,0.,100,0.5760000000000001,3.774,-,-,-,-,-
17,17,07::36:20,16::39:00,12::07:07,3.238,12.515,1.816,2.8000000000000003,1.154,2.529,3.653,2.5300000000000002,0.6880000000000001,3.7760000000000002,-,-,-,-,-
18,18,07::35:30,16::40:09,12::07:27,3.278,12.532,0.85,2.8000000000000003,0.322,2.533,1.299,2.5300000000000002,0.548,3.771,-,-,-,-,-
19,19,07::34:36,16::41:20,12::07:45,3.319,12.551,2.351,2.8000000000000003,1.693,2.5300000000000002,5.335,2.5300000000000002,0.658,3.774,-,-,-,-,-
20,20,07::33:36,16::42:32,12::08:03,3.362,12.572000000000001,1.333,2.8000000000000003,0.34700000000000003,2.528,1.2,2.5300000000000002,1.0110000000000001,3.775,-,-,-,-,-
