"Station ID Number:","94169","-","-","-","-","Type of Measurement:","GHI","GHI_Flag","DrHI_Calc","DrHI_Calc_Flag","DNI","DNI_Flag","DHI_Calc","DHI_Calc_Flag","Temperature","Temperature_Flag","GHI_original","GHI_original_Flag","DNI_original","DNI_original_Flag","NOTES"
"Station Name:","HEO","-","-","-","-","Element:",1000,"-",2000,"-",2010,"-",3000,"-",9300,"-","1000_original","-","2010_original","-","Contact Info: http://solardat.uoregon.edu"
"Station Location:","Hermiston_Oregon_USA","-","-","-","-","Instrument Serial Number:","PSP(17854F3)","-","NIP(17668E6)","-","NIP(17668E6)","-","Computed from GHI and DNI","-","TEMP(HEO)","-","PSP(17854F3)","-","NIP(17668E6)","-","File format description at: http://solardat.uoregon.edu/download/Papers/Structure_of_a_comprehensive_solar_radiation_dataset_ASES_2017_Final.pdf"
"Latitude:",45.818441,"-","-","-","-","Instrument Shorthand Name:","PSP5","-","-","-","NIP4","-","-","-","TEMP(HEO)","-","PSP5","-","NIP4","-","Flag description at: http://solardat.uoregon.edu/QualityControlFlags.html"
"Longitude (+ East):",-119.284721,"-","-","-","-","Responsivity:",7.444000000000001,"microV/(W/m^2)","-","-",8.72,"microV/(W/m^2)","-","-",40.34,"microV?/C",7.444000000000001,"microV/(W/m^2)",8.72,"microV/(W/m^2)","Data has been calibrated using the responsivity values listed "
"Altitude (m):",188.,"-","-","-","-","Estimated Uncertainty (U95%):",2.8000000000000003,"-",2.5300000000000002,"-",2.5300000000000002,"-",3.774,"-",2.2,"-",2.8000000000000003,"-",2.5300000000000002,"-","The phrase (_original) means the data has not had the nighttime offset subtracted (or any other adjustments)."
"Time Zone (+ East):",-8.,"-","-","-","-","Sample Method:","Avg","-","-","-","Avg","-","-","-","Avg","-","Avg","-","Avg","-","Data that has been (computed) was calculated from measured columns."
"Time Interval (Minutes):",5,"-","-","-","-","Units:","W/m^2","-","W/m^2","-","W/m^2","-","W/m^2","-","C","-","W/m^2","-","W/m^2","-","Date this file was created: 2019-9-11"
"Year//Month","1980//04","-","-","-","-","Column Notes:","AdjustedColumn","-","CalculatedColumn","-","AdjustedColumn","-","CalculatedColumn","-","MeasuredColumn","-","MeasuredColumn","-","MeasuredColumn","-","This file was created using code: AAA Check data (2019-09-10).nb"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","SZA horizon boundaries (East/West): 88/89"
"Day of month","Day of year","Time Sunrise (HH::MM:SS)","Time Sunset (HH::MM:SS)","Time Solar Noon (HH::MM:SS)","Daily Total Energy ETR (kW h/m^2)","Daily Total Energy ETRn (kW h/m^2)","Daily Total Energy (kWh/m^2)","Daily Total Uncertainty (U95%)","Daily Total Energy (kWh/m^2)","Daily Total Uncertainty (U95%)","Daily Total Energy (kWh/m^2)","Daily Total Uncertainty (U95%)","Daily Total Energy (kWh/m^2)","Daily Total Uncertainty (U95%)","Minimum daily value","Maximum daily value","Average Nighttime Value","Standard Deviation Nighttime","Average Nighttime Value","Standard Deviation Nighttime","Assorted Daily Values (Rows 12 - 42)"
1,92,"05::37:08","18::25:03","12::00:51",8.254,17.362000000000002,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
2,93,"05::35:29","18::26:22","12::00:33",8.328,17.397000000000002,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
3,94,"05::33:44","18::28:06","12::00:16",8.401,17.427,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
4,95,"05::31:20","18::29:13","11::59:58",8.474,17.584,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
5,96,"05::29:56","18::30:16","11::59:41",8.546,17.605,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
6,97,"05::27:55","18::31:39","11::59:24",8.618,17.641000000000002,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
7,98,"05::25:54","18::33:24","11::59:07",8.689,17.676000000000002,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
8,99,"05::24:23","18::34:23","11::58:50",8.76,17.813,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
9,100,"05::22:06","18::35:29","11::58:34",8.83,17.845,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
10,101,"05::20:30","18::36:57","11::58:18",8.9,17.88,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
11,102,"05::18:50","18::38:38","11::58:02",8.969,18.02,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
12,103,"05::16:27","18::39:34","11::57:47",9.037,18.04,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
13,104,"05::15:07","18::40:42","11::57:31",9.105,18.083000000000002,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
14,105,"05::13:19","18::42:17","11::57:16",9.173,18.113,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
15,106,"05::11:10","18::43:47","11::57:02",9.239,18.264,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
16,107,"05::09:48","18::44:44","11::56:48",9.305,18.284,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
17,108,"05::07:51","18::45:56","11::56:34",9.371,18.317,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
18,109,"05::05:57","18::47:36","11::56:21",9.435,18.35,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
19,110,"05::04:34","18::48:57","11::56:08",9.499,18.483,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
20,111,"05::02:32","18::49:55","11::55:55",9.563,18.518,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
21,112,"05::00:50","18::51:10","11::55:43",9.625,18.546,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
22,113,"04::59:27","18::52:52","11::55:31",9.687,18.567,"-","-","-","-","-","-","-","-",10.33,18.04,-1.5521,2.3969,-0.041600000000000005,2.5563000000000002,"-"
23,114,"04::57:25","18::54:05","11::55:20",9.748,18.713,5.944,2.801,2.939,2.5300000000000002,4.579,2.5300000000000002,3.005,3.7760000000000002,8.75,20.23,-1.4228,1.8775000000000002,-0.2626,1.8086,"-"
24,115,"04::55:49","18::55:06","11::55:09",9.808,18.740000000000002,7.074,2.8000000000000003,5.284,2.5300000000000002,9.05,2.5300000000000002,1.7910000000000001,3.774,6.3,18.13,-1.8299,2.0162,-0.35000000000000003,1.9012,"-"
25,116,"04::54:28","18::56:23","11::54:59",9.868,18.76,7.19,2.8000000000000003,5.773,2.5300000000000002,9.404,2.5300000000000002,1.418,3.774,0.43,21.37,-1.9994,2.1198,-0.7471,2.1927000000000003,"-"
26,117,"04::52:31","18::58:07","11::54:49",9.926,18.794,7.103,2.8000000000000003,5.854,2.5300000000000002,9.549,2.5300000000000002,1.249,3.775,4.55,29.,-1.0185,1.5343,-0.6187,1.2561,"-"
27,118,"04::50:54","18::59:14","11::54:40",9.984,18.932000000000002,7.127,2.8000000000000003,5.699,2.5300000000000002,9.145,2.5300000000000002,1.428,3.774,7.26,30.490000000000002,-0.0883,2.2270000000000003,0.0434,1.9983000000000002,"-"
28,119,"04::49:38","19::00:15","11::54:31",10.041,18.95,4.931,2.801,3.095,2.5300000000000002,4.57,2.5300000000000002,1.837,3.7760000000000002,10.77,26.89,0.8217,2.1538,0.10210000000000001,2.0712,"-"
29,120,"04::47:53","19::01:36","11::54:23",10.098,18.979,7.437,2.8000000000000003,5.851,2.5420000000000003,9.385,2.571,1.586,3.829,5.51,17.69,-0.9087000000000001,1.3675000000000002,-0.0071,1.5948,"-"
30,121,"04::46:06","19::03:19","11::54:15",10.153,19.009,5.8420000000000005,2.827,3.411,2.5300000000000002,5.303,2.532,2.431,3.83,4.98,17.95,-0.7156,1.8276000000000001,0.33430000000000004,2.0289,"-"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
