Station ID Number:,94169,-,-,-,-,Type of Measurement:,GHI,GHI_Flag,DrHI_Calc,DrHI_Calc_Flag,DNI,DNI_Flag,DHI_Calc,DHI_Calc_Flag,Temperature,Temperature_Flag,GHI_original,GHI_original_Flag,DNI_original,DNI_original_Flag,NOTES
Station Name:,HEO,-,-,-,-,Element:,1000,-,2000,-,2010,-,3000,-,9300,-,1000_original,-,2010_original,-,Contact Info: http://solardat.uoregon.edu
Station Location:,Hermiston_Oregon_USA,-,-,-,-,Instrument Serial Number:,PSP(17854F3),-,NIP(17668E6),-,NIP(17668E6),-,Computed from GHI and DNI,-,TEMP(HEO),-,PSP(17854F3),-,NIP(17668E6),-,File format description at: http://solardat.uoregon.edu/download/Papers/Structure_of_a_comprehensive_solar_radiation_dataset_ASES_2017_Final.pdf
Latitude:,45.818441,-,-,-,-,Instrument Shorthand Name:,PSP5,-,-,-,NIP4,-,-,-,TEMP(HEO),-,PSP5,-,NIP4,-,Flag description at: http://solardat.uoregon.edu/QualityControlFlags.html
Longitude (+ East):,-119.284721,-,-,-,-,Responsivity:,7.444,microV/(W/m^2),-,-,8.72,microV/(W/m^2),-,-,36.11111,microV?/C,7.444,microV/(W/m^2),8.72,microV/(W/m^2),Data has been calibrated using the responsivity values listed 
Altitude (m):,188,-,-,-,-,Estimated Uncertainty (U95%):,2.8,-,2.53,-,2.53,-,3.774,-,2.2,-,2.8,-,2.53,-,The phrase (_original) means the data has not had the nighttime offset subtracted (or any other adjustments).
Time Zone (+ East):,-8,-,-,-,-,Sample Method:,Avg,-,-,-,Avg,-,-,-,Avg,-,Avg,-,Avg,-,Data that has been (computed) was calculated from measured columns.
Time Interval (Minutes):,5,-,-,-,-,Units:,W/m^2,-,W/m^2,-,W/m^2,-,W/m^2,-,C,-,W/m^2,-,W/m^2,-,Date this file was created: 2019-6-27
Year//Month,1980//11,-,-,-,-,Column Notes:,AdjustedColumn,-,CalculatedColumn,-,AdjustedColumn,-,CalculatedColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,This file was created using code: AAA Check data (2019-06-26).nb
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SZA horizon boundaries (East/West): 88/89
Day of month,Day of year,Time Sunrise (HH::MM:SS),Time Sunset (HH::MM:SS),Time Solar Noon (HH::MM:SS),Daily Total Energy ETR (kW h/m^2),Daily Total Energy ETRn (kW h/m^2),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Minimum daily value,Maximum daily value,Average Nighttime Value,Standard Deviation Nighttime,Average Nighttime Value,Standard Deviation Nighttime,Assorted Daily Values (Rows 12 - 42)
1,306,06::38:52,16::42:14,11::40:44,4.385,13.793,0.876,3.9,-,-,-,-,-,-,6.55,20.45,1.3035,1.1272,2.5012,0.8752,-
2,307,06::40:12,16::40:33,11::40:43,4.325,13.77,2.033,2.995,-,-,-,-,-,-,9,20.16,1.0117,0.9749,2.3632,0.6395,-
3,308,06::41:13,16::39:23,11::40:44,4.266,13.753,0.764,3.655,-,-,-,-,-,-,8.7,13.5,1.3459,0.4164,2.3977,0.3594,-
4,309,06::42:58,16::38:16,11::40:45,4.208,13.605,0.838,3.508,-,-,-,-,-,-,4.89,12.23,1.2848,0.6192,2.4602,0.3733,-
5,310,06::44:34,16::36:28,11::40:47,4.151,13.575,0.475,5.117,-,-,-,-,-,-,10.37,12.52,1.8538,1.0255,2.6077,0.8098,-
6,311,06::45:43,16::35:08,11::40:49,4.095,13.555,0.544,4.73,-,-,-,-,-,-,9.98,16.63,1.7905,0.4321,2.6111,0.5021,-
7,312,06::46:58,16::34:07,11::40:53,4.039,13.521,1.898,3.209,-,-,-,-,-,-,9.49,21.04,1.0972,0.8523,2.5628,0.653,-
8,313,06::48:50,16::32:57,11::40:57,3.985,13.381,2.427,2.969,1.788,3.324,4.945,2.693,0.64,8.987,6.55,18.98,0.3755,0.8263,2.3929,0.5634,-
9,314,06::50:10,16::31:19,11::41:02,3.932,13.357,1.138,3.179,0.27,12.114,1.36,3.767,0.869,6.658,3.12,13.99,-0.1968,0.9119,2.4295,0.7114,-
10,315,06::51:11,16::30:07,11::41:08,3.879,13.34,2.576,2.927,2.166,3.031,6.39,2.57,0.41,13.494,-0.11,16.83,-0.9922,0.7807,2.0233,0.7399,-
11,316,06::52:53,16::29:12,11::41:15,3.828,13.307,0.74,3.831,0.002,1633.248,0.006,558.199,0.738,7.71,-0.3,6.75,0.2104,1.0706,2.5944,0.6221,-
12,317,06::54:30,16::28:15,11::41:23,3.777,13.16,1.227,3.161,0.09,43.186,0.454,9.691,1.137,5.421,1.26,9.68,0.9071,0.8458,2.5866,0.6725,-
13,318,06::55:39,16::26:45,11::41:32,3.728,13.139,0.568,4.623,0.001,2356.839,0.003,799.396,0.567,9.871,1.26,6.84,0.902,0.9032,2.6139,0.7733,-
14,319,06::56:51,16::25:34,11::41:41,3.68,13.103,0.49,4.823,0.001,2067.403,0.004,558.199,0.489,11.22,1.56,4.89,0.8513,1.0317,2.5933,0.8414,-
15,320,06::58:41,16::24:40,11::41:51,3.633,13.081,0.521,4.731,0.002,351.458,0.005,140.583,0.516,10.594,0.77,4.98,0.8139,0.4246,2.7111,0.6934,-
16,321,07::00:02,16::23:56,11::42:02,3.587,13.056,1.276,3.121,0.051,72.967,0.162,23.226,1.225,5.072,0.68,5.67,0.8177,0.3625,2.6682,0.3504,-
17,322,07::01:03,16::22:58,11::42:14,3.542,12.921,1.137,3.296,-,-,-,-,-,-,-0.7,10.07,0.78,0.7487,2.4784,0.3315,-
18,323,07::02:32,16::21:42,11::42:27,3.499,12.892,1.753,3.041,-,-,-,-,-,-,1.85,14.87,0.5611,0.5455,2.711,0.5169,-
19,324,07::04:14,16::20:42,11::42:41,3.456,12.859,1.85,3.103,1.291,4.202,3.703,2.975,0.559,9.657,1.75,18.1,0.2243,0.6446,2.598,0.4456,-
20,325,07::05:24,16::19:56,11::42:55,3.415,12.837,0.551,4.392,0.002,1509.204,0.007,437.108,0.549,9.825,3.51,8.31,0.9736,0.3944,2.4402,0.2674,-
21,326,07::06:21,16::19:18,11::43:11,3.374,12.794,0.383,5.922,0.002,1653.922,0.009,376.727,0.381,13.916,3.71,18.69,1.0737,0.4994,2.2674,0.5137,-
22,327,07::08:07,16::18:46,11::43:27,3.335,12.784,1.603,3.073,0.476,9.351,1.531,3.919,1.127,5.446,-0.6,12.82,-0.0944,1.2749,2.2975,1.0359,-
23,328,07::09:34,16::17:54,11::43:43,3.298,12.639,0.903,3.608,0.034,66.887,0.085,27.212,0.869,6.759,-1.09,7.72,0.2522,1.732,2.729,1.2687,-
24,329,07::10:37,16::16:57,11::44:01,3.261,12.619,2.033,2.929,1.288,4.004,4.039,2.797,0.745,7.212,-4.51,11.35,-0.1512,1.3166,2.8767,1.0305,-
25,330,07::11:40,16::16:08,11::44:19,3.226,12.581,1.341,3.128,0.511,8.44,1.887,3.73,0.83,6.675,-2.26,14.09,-0.3346,1.164,2.38,0.8502,-
26,331,07::13:21,16::15:30,11::44:39,3.192,12.565,0.396,5.759,0,100,0.002,1033.701,0.396,13.389,-2.56,9.49,0.7151,0.5045,2.6168,0.5878,-
27,332,07::14:40,16::14:59,11::44:58,3.159,12.539,1.215,3.336,0.25,14.959,0.696,6.526,0.965,6.164,1.75,16.73,0.1419,0.7137,2.2332,0.4152,-
28,333,07::15:39,16::14:34,11::45:19,3.128,12.521,0.894,3.316,0.051,69.724,0.251,14.527,0.844,6.358,0.68,10.56,-0.2877,0.9085,2.0909,0.7261,-
29,334,07::16:38,16::14:12,11::45:40,3.097,12.482,1.327,3.201,0.494,8.933,1.732,3.954,0.833,6.573,0.77,15.65,-0.3796,1.0124,2.242,0.6589,-
