Station ID Number:,94169,-,-,-,-,Type of Measurement:,GHI,GHI_Flag,DrHI_Calc,DrHI_Calc_Flag,DNI,DNI_Flag,DHI_Calc,DHI_Calc_Flag,Temperature,Temperature_Flag,GHI_original,GHI_original_Flag,DNI_original,DNI_original_Flag,NOTES
Station Name:,HEO,-,-,-,-,Element:,1000,-,2000,-,2010,-,3000,-,9300,-,1000_original,-,2010_original,-,Contact Info: http://solardat.uoregon.edu
Station Location:,Hermiston_Oregon_USA,-,-,-,-,Instrument Serial Number:,PSP(17854F3),-,NIP(17668E6),-,NIP(17668E6),-,Computed from GHI and DNI,-,TEMP(HEO),-,PSP(17854F3),-,NIP(17668E6),-,File format description at: http://solardat.uoregon.edu/download/Papers/Structure_of_a_comprehensive_solar_radiation_dataset_ASES_2017_Final.pdf
Latitude:,45.818441,-,-,-,-,Instrument Shorthand Name:,PSP5,-,-,-,NIP4,-,-,-,TEMP(HEO),-,PSP5,-,NIP4,-,Flag description at: http://solardat.uoregon.edu/QualityControlFlags.html
Longitude (+ East):,-119.284721,-,-,-,-,Responsivity:,7.444,microV/(W/m^2),-,-,8.72,microV/(W/m^2),-,-,36.11111,microV?/C,7.444,microV/(W/m^2),8.72,microV/(W/m^2),Data has been calibrated using the responsivity values listed 
Altitude (m):,188,-,-,-,-,Estimated Uncertainty (U95%):,2.8,-,2.53,-,2.53,-,3.774,-,2.2,-,2.8,-,2.53,-,The phrase (_original) means the data has not had the nighttime offset subtracted (or any other adjustments).
Time Zone (+ East):,-8,-,-,-,-,Sample Method:,Avg,-,-,-,Avg,-,-,-,Avg,-,Avg,-,Avg,-,Data that has been (computed) was calculated from measured columns.
Time Interval (Minutes):,5,-,-,-,-,Units:,W/m^2,-,W/m^2,-,W/m^2,-,W/m^2,-,C,-,W/m^2,-,W/m^2,-,Date this file was created: 2019-6-27
Year//Month,1980//07,-,-,-,-,Column Notes:,AdjustedColumn,-,CalculatedColumn,-,AdjustedColumn,-,CalculatedColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,This file was created using code: AAA Check data (2019-06-26).nb
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SZA horizon boundaries (East/West): 88/89
Day of month,Day of year,Time Sunrise (HH::MM:SS),Time Sunset (HH::MM:SS),Time Solar Noon (HH::MM:SS),Daily Total Energy ETR (kW h/m^2),Daily Total Energy ETRn (kW h/m^2),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Minimum daily value,Maximum daily value,Average Nighttime Value,Standard Deviation Nighttime,Average Nighttime Value,Standard Deviation Nighttime,Assorted Daily Values (Rows 12 - 42)
1,183,04::11:46,19::49:42,12::01:01,11.524,20.498,8.444,2.875,7.065,2.673,10.631,2.563,1.379,6.138,8.7,36.41,0.833,1.0036,1.5041,1.1217,-
2,184,04::12:31,19::49:31,12::01:12,11.509,20.497,4.132,3.114,0.72,8.956,0.925,7.22,3.412,4.492,16.44,31.02,1.4051,0.8731,1.6341,0.8543,-
3,185,04::13:22,19::49:19,12::01:23,11.493,20.478,5.817,3.009,2.353,3.161,3.89,2.826,3.464,4.538,12.42,28.38,0.8563,0.7385,1.7566,0.763,-
4,186,04::14:06,19::49:05,12::01:34,11.476,20.462,5.626,3.031,1.813,4.307,2.318,3.781,3.813,4.389,13.7,27.21,0.3724,0.8987,1.6521,0.6104,-
5,187,04::14:45,19::48:51,12::01:44,11.457,20.448,8.089,2.874,6.333,2.73,9.739,2.589,1.757,5.719,10.27,28.77,0.6374,0.7422,1.7931,0.8768,-
6,188,04::15:20,19::48:26,12::01:54,11.438,20.326,8.229,2.869,6.493,2.69,10.028,2.562,1.736,5.66,13.3,32.2,0.8546,0.4537,1.5026,0.382,-
7,189,04::15:52,19::47:53,12::02:04,11.417,20.315,7.528,2.882,4.356,2.847,7.015,2.618,3.172,4.339,11.15,38.27,0.82,0.6275,1.1198,0.7171,-
8,190,04::16:30,19::47:14,12::02:13,11.396,20.28,6.656,2.947,4.687,2.948,6.758,2.711,1.97,5.106,16.05,40.03,1.3566,1.0808,1.5829,1.187,-
9,191,04::17:29,19::46:33,12::02:22,11.373,20.281,7.838,2.982,5.812,2.744,8.025,2.661,2.027,4.845,17.71,34.65,2.3076,0.6304,2.5159,1.1088,-
10,192,04::18:36,19::45:55,12::02:30,11.349,20.258,8.102,2.894,6.586,2.718,9.771,2.597,1.517,5.587,15.16,29.26,1.379,1.325,2.1945,1.1798,-
11,193,04::19:28,19::45:20,12::02:38,11.324,20.24,6.929,2.91,4.309,3.03,6.234,2.801,2.62,4.596,11.93,31.42,0.9798,1.2212,1.8402,1.1717,-
12,194,04::20:13,19::44:48,12::02:46,11.298,20.225,7.788,2.887,5.728,2.759,8.603,2.619,2.061,4.822,13.11,31.91,1.2549,1.2111,1.9637,1.0039,-
13,195,04::20:52,19::44:18,12::02:53,11.27,20.212,7.91,2.9,6.21,2.631,9.221,2.557,1.7,5.594,15.36,34.84,1.2948,1.0983,2.0623,1.0778,-
14,196,04::21:40,19::43:48,12::02:59,11.242,20.179,7.38,2.921,4.766,2.922,6.645,2.76,2.614,4.697,18.49,31.71,1.8284,1.0657,2.0504,0.7134,-
15,197,04::22:54,19::42:57,12::03:05,11.213,20.062,8.367,2.876,7.245,2.648,11.295,2.553,1.122,7.466,16.93,34.55,0.9393,0.5684,1.9882,0.7108,-
16,198,04::24:03,19::41:53,12::03:11,11.182,20.039,6.813,3.38,4.087,3.411,7.172,2.954,2.726,5.43,15.46,34.16,0.9732,1.4432,1.7691,1.1791,-
17,199,04::24:57,19::40:55,12::03:16,11.15,20.022,8.208,2.879,6.852,2.645,10.291,2.557,1.355,6.079,15.16,33.67,0.8023,0.6365,1.9155,1.0049,-
18,200,04::25:43,19::40:07,12::03:20,11.118,20.008,7.214,2.902,4.038,3.045,5.957,2.804,3.176,4.494,15.07,35.63,2.0528,0.9198,2.1902,1.0344,-
19,201,04::26:31,19::39:24,12::03:24,11.084,19.972,7.977,2.879,6.715,2.67,10.287,2.563,1.262,6.534,18.69,35.72,1.2537,0.9562,1.9394,0.7346,-
20,202,04::27:52,19::38:46,12::03:27,11.049,19.967,7.957,2.874,6.871,2.673,10.751,2.557,1.086,7.552,15.65,38.27,1.2522,0.672,1.8896,0.7753,-
21,203,04::29:07,19::37:37,12::03:30,11.013,19.833,7.982,2.868,6.9,2.678,10.814,2.56,1.082,7.499,15.36,42.09,1.6214,0.947,1.8035,0.7623,-
22,204,04::30:04,19::36:17,12::03:32,10.977,19.815,7.794,2.883,6.275,2.693,9.611,2.565,1.519,5.57,19.86,40.81,1.9351,0.9239,1.9616,1.0707,-
23,205,04::30:53,19::35:15,12::03:34,10.939,19.801,7.775,2.889,5.16,2.771,7.364,2.622,2.615,4.385,21.43,35.04,1.6486,0.8492,2.0016,0.6729,-
24,206,04::31:53,19::34:24,12::03:35,10.9,19.769,7.704,2.886,5.348,2.723,7.95,2.576,2.356,4.489,16.73,37.09,1.1555,0.8013,2.2098,0.8275,-
25,207,04::33:21,19::33:37,12::03:36,10.86,19.644,7.49,2.881,5.209,2.756,7.765,2.581,2.281,4.499,18.89,39.64,1.2175,1.1978,2.1719,1.0267,-
26,208,04::34:32,19::32:08,12::03:36,10.819,19.622,7.629,2.878,5.713,2.72,8.665,2.572,1.916,4.847,15.36,40.81,0.9882,1.076,1.6509,0.9336,-
27,209,04::35:28,19::30:46,12::03:35,10.778,19.606,7.834,2.874,6.561,2.686,10.236,2.568,1.274,6.351,15.26,42.38,1.0471,0.9911,1.8625,0.9378,-
28,210,04::36:16,19::29:43,12::03:33,10.735,19.566,7.706,2.879,6.242,2.697,9.684,2.563,1.464,5.608,15.46,43.16,1.4632,0.9838,2.1945,1.1533,-
