Day of month,Day of year,Time Sunrise (HH::MM:SS),Time Sunset (HH::MM:SS),Time Solar Noon (HH::MM:SS),Daily Total Energy ETR (kW h/m^2),Daily Total Energy ETRn (kW h/m^2),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Minimum daily value,Maximum daily value,Average Nighttime Value,Standard Deviation Nighttime,Average Nighttime Value,Standard Deviation Nighttime,Assorted Daily Values (Rows 12 - 42)
20,264,05::42:42,17::57:09,11::50:21,7.361,16.416,4.448,2.952,2.955,3.247,4.924,2.909,1.493,5.389,11.35,23,1.0909,0.9461,2.5068,0.7128,-
21,265,05::44:14,17::55:01,11::50:00,7.287,16.391,5.232,2.878,4.156,2.792,8.249,2.566,1.076,6.483,10.17,23.88,0.2962,0.6377,2.3771,0.7796,-
22,266,05::45:20,17::53:35,11::49:39,7.212,16.262,3.984,2.947,1.702,4.142,3.559,3.133,2.283,4.767,5.18,27.6,0.5374,1.0501,2.2343,0.8217,-
23,267,05::46:15,17::51:04,11::49:18,7.137,16.251,5.045,2.88,4.29,2.782,8.461,2.579,0.755,8.88,10.47,29.56,0.9093,1.1194,2.4068,0.8685,-
24,268,05::47:43,17::49:21,11::48:57,7.062,16.227,5.036,2.875,4.292,2.784,8.664,2.567,0.744,9.072,6.65,29.46,0.2787,1.0623,2.2351,1.0655,-
25,269,05::49:15,17::47:32,11::48:36,6.987,16.089,4.69,2.894,3.38,3.004,6.518,2.639,1.31,5.627,4.3,27.01,0.4198,0.9822,2.2783,0.9556,-
26,270,05::50:22,17::45:15,11::48:16,6.912,16.074,4.233,2.922,2.685,3.295,5.014,2.805,1.548,5.119,8.02,29.56,1.0155,0.9036,2.2015,0.8741,-
27,271,05::51:16,17::43:46,11::47:56,6.837,16.062,4.2,2.933,2.996,2.887,5.641,2.632,1.204,5.684,7.72,32,1.5356,0.9313,2.4932,0.9503,-
28,272,05::52:48,17::41:24,11::47:36,6.762,15.924,4.624,2.903,3.442,2.968,6.819,2.653,1.183,5.893,12.42,28.97,0.5813,0.673,2.2372,0.7986,-
29,273,05::54:19,17::39:35,11::47:16,6.687,15.899,4.636,2.891,3.788,2.853,7.543,2.585,0.848,7.746,9.19,33.96,1.1087,0.9276,2.6025,1.0169,-
30,274,05::55:26,17::37:57,11::46:56,6.612,15.77,3.801,2.918,1.602,4.151,3.312,2.954,2.199,4.412,9.88,28.09,0.9813,1.007,2.1362,1.0729,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
year.fractionofyear,dayofyear.fractionofday,YYYY-MM-DD--HH:MM:SS,SZA,AZM,ETR (W/m^2),ETRn (W/m^2),GHI,GHI_Flag,DrHI_Calc,DrHI_Calc_Flag,DNI,DNI_Flag,DHI_Calc,DHI_Calc_Flag,Temperature,Temperature_Flag,GHI_original,GHI_original_Flag,DNI_original,DNI_original_Flag,Data_Begins_Next_Row
1980.666676,245.0034722,1980-09-01--00:05:00,125.97675,1.65324,0,0,NA,99,NA,99,NA,99,NA,99,15.56,99,1.26,99,3.92,99,-
1980.666686,245.0069444,1980-09-01--00:10:00,125.94124,3.18168,0,0,-0.95,12,0.17,72,0.17,12,-0.95,72,15.07,11,0.31,11,2.71,11,-
1980.666695,245.0104167,1980-09-01--00:15:00,125.88254,4.70812,0,0,-0.48,12,-0.23,72,-0.23,12,-0.48,72,15.16,11,0.78,11,2.31,11,-
1980.666705,245.0138889,1980-09-01--00:20:00,125.80071,6.23158,0,0,-0.48,12,0.17,72,0.17,12,-0.48,72,15.07,11,0.78,11,2.71,11,-
1980.666714,245.0173611,1980-09-01--00:25:00,125.69587,7.75113,0,0,-0.48,12,-0.23,72,-0.23,12,-0.48,72,15.07,11,0.78,11,2.31,11,-
1980.666724,245.0208333,1980-09-01--00:30:00,125.56817,9.2658,0,0,-0.48,12,0.17,72,0.17,12,-0.48,72,15.07,11,0.78,11,2.71,11,-
1980.666733,245.0243056,1980-09-01--00:35:00,125.41776,10.77471,0,0,-0.48,12,-0.23,72,-0.23,12,-0.48,72,14.97,11,0.78,11,2.31,11,-
1980.666743,245.0277778,1980-09-01--00:40:00,125.24485,12.27697,0,0,-0.48,12,0.17,72,0.17,12,-0.48,72,15.07,11,0.78,11,2.71,11,-
1980.666752,245.03125,1980-09-01--00:45:00,125.04965,13.77172,0,0,-0.95,12,-0.63,72,-0.63,12,-0.95,72,14.97,11,0.31,11,1.91,11,-
1980.666762,245.0347222,1980-09-01--00:50:00,124.83243,15.25818,0,0,-0.95,12,-0.23,72,-0.23,12,-0.95,72,14.77,11,0.31,11,2.31,11,-
1980.666771,245.0381944,1980-09-01--00:55:00,124.59346,16.73557,0,0,-0.48,12,0.57,72,0.57,12,-0.48,72,14.97,11,0.78,11,3.11,11,-
1980.666781,245.0416667,1980-09-01--01:00:00,124.33303,18.20318,0,0,-0.48,12,0.17,72,0.17,12,-0.48,72,14.97,11,0.78,11,2.71,11,-
1980.66679,245.0451389,1980-09-01--01:05:00,124.05146,19.66032,0,0,NA,99,NA,99,NA,99,NA,99,15.46,99,1.26,99,4.32,99,-
1980.666799,245.0486111,1980-09-01--01:10:00,123.74909,21.10638,0,0,0,12,0.17,72,0.17,12,0,72,15.07,11,1.26,11,2.71,11,-
1980.666809,245.0520833,1980-09-01--01:15:00,123.42627,22.54078,0,0,-0.95,12,-0.23,72,-0.23,12,-0.95,72,14.87,11,0.31,11,2.31,11,-
1980.666818,245.0555556,1980-09-01--01:20:00,123.08337,23.96299,0,0,-0.48,12,-0.23,72,-0.23,12,-0.48,72,14.87,11,0.78,11,2.31,11,-
