Station ID Number:,94169,-,-,-,-,Type of Measurement:,GHI,GHI_Flag,DrHI_Calc,DrHI_Calc_Flag,DNI,DNI_Flag,DHI_Calc,DHI_Calc_Flag,Temperature,Temperature_Flag,GHI_original,GHI_original_Flag,DNI_original,DNI_original_Flag,NOTES
Station Name:,HEO,-,-,-,-,Element:,1000,-,2000,-,2010,-,3000,-,9300,-,1000_original,-,2010_original,-,Contact Info: http://solardat.uoregon.edu
Station Location:,Hermiston_Oregon_USA,-,-,-,-,Instrument Serial Number:,PSP(17854F3),-,NIP(17668E6),-,NIP(17668E6),-,Computed from GHI and DNI,-,TEMP(HEO),-,PSP(17854F3),-,NIP(17668E6),-,File format description at: http://solardat.uoregon.edu/download/Papers/Structure_of_a_comprehensive_solar_radiation_dataset_ASES_2017_Final.pdf
Latitude:,45.818441,-,-,-,-,Instrument Shorthand Name:,PSP5,-,-,-,NIP4,-,-,-,TEMP(HEO),-,PSP5,-,NIP4,-,Flag description at: http://solardat.uoregon.edu/QualityControlFlags.html
Longitude (+ East):,-119.284721,-,-,-,-,Responsivity:,7.444,microV/(W/m^2),-,-,8.72,microV/(W/m^2),-,-,36.11111,microV?/C,7.444,microV/(W/m^2),8.72,microV/(W/m^2),Data has been calibrated using the responsivity values listed 
Altitude (m):,188,-,-,-,-,Estimated Uncertainty (U95%):,2.8,-,2.53,-,2.53,-,3.774,-,2.2,-,2.8,-,2.53,-,The phrase (_original) means the data has not had the nighttime offset subtracted (or any other adjustments).
Time Zone (+ East):,-8,-,-,-,-,Sample Method:,Avg,-,-,-,Avg,-,-,-,Avg,-,Avg,-,Avg,-,Data that has been (computed) was calculated from measured columns.
Time Interval (Minutes):,5,-,-,-,-,Units:,W/m^2,-,W/m^2,-,W/m^2,-,W/m^2,-,C,-,W/m^2,-,W/m^2,-,Date this file was created: 2019-6-26
Year//Month,1980//06,-,-,-,-,Column Notes:,AdjustedColumn,-,CalculatedColumn,-,AdjustedColumn,-,CalculatedColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,This file was created using code: AAA Check data (2019-06-26).nb
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SZA horizon boundaries (East/West): 88/89
Day of month,Day of year,Time Sunrise (HH::MM:SS),Time Sunset (HH::MM:SS),Time Solar Noon (HH::MM:SS),Daily Total Energy ETR (kW h/m^2),Daily Total Energy ETRn (kW h/m^2),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Minimum daily value,Maximum daily value,Average Nighttime Value,Standard Deviation Nighttime,Average Nighttime Value,Standard Deviation Nighttime,Assorted Daily Values (Rows 12 - 42)
1,153,04::11:00,19::39:16,11::54:58,11.407,20.412,6.722,3.074,3.45,3.148,4.515,2.95,3.272,4.472,9.19,21.14,0.939,1.2159,1.044,0.8166,-
2,154,04::10:38,19::39:54,11::55:08,11.428,20.414,7.733,2.89,4.882,2.773,7.378,2.689,2.852,4.339,7.82,20.84,0.1495,0.4017,0.9929,0.3809,-
3,155,04::10:15,19::40:36,11::55:18,11.449,20.417,7.614,2.872,5.499,2.735,8.253,2.64,2.115,4.663,8.12,22.51,-0.0905,1.0085,0.991,0.9586,-
4,156,04::09:53,19::41:26,11::55:28,11.468,20.419,8.375,2.86,6.717,2.674,10.245,2.621,1.658,4.971,6.65,26.52,-0.15,1.2233,1.213,1.5958,-
5,157,04::09:30,19::42:27,11::55:39,11.485,20.422,6.709,2.939,3.477,3.048,4.291,2.922,3.233,4.277,9.19,24.17,0.5644,1.6335,1.2254,1.6426,-
6,158,04::09:08,19::43:21,11::55:50,11.502,20.425,6.444,2.881,2.73,3.314,4.448,2.922,3.714,4.162,10.86,25.84,1.1697,0.8433,1.2659,0.9541,-
7,159,04::08:46,19::44:00,11::56:01,11.517,20.538,5.762,2.909,2.104,3.459,3.776,2.981,3.658,4.168,11.44,27.99,0.7192,0.9937,1.0274,1.011,-
8,160,04::08:25,19::44:28,11::56:12,11.531,20.54,7.887,2.875,6.133,2.658,8.598,2.594,1.754,4.787,9.58,33.28,1.2549,1.4979,1.1022,1.6257,-
9,161,04::08:05,19::44:57,11::56:24,11.544,20.543,6.747,2.896,2.772,3.186,4.649,2.811,3.975,4.217,15.07,27.01,1.0114,1.3541,1.5695,1.3134,-
10,162,04::07:46,19::45:28,11::56:36,11.556,20.545,7.227,3.193,4.522,2.995,6.555,2.841,2.706,4.961,12.62,29.07,0.6541,0.5519,1.2524,0.8606,-
11,163,04::07:30,19::46:02,11::56:48,11.567,20.547,5.616,2.941,2.596,3.132,3.809,2.848,3.021,4.268,14.58,27.7,1.04,0.3643,1.1438,0.3249,-
12,164,04::07:19,19::46:38,11::57:01,11.576,20.543,1.458,3.973,0.003,566.347,0.004,451.308,1.455,5.858,11.74,16.83,1.5392,0.5533,1.4808,0.5696,-
13,165,04::07:11,19::47:19,11::57:13,11.584,20.539,5.74,2.919,2.656,3.375,4.496,2.976,3.085,4.4,10.27,20.94,1.1711,0.9652,1.56,1.0336,-
14,166,04::07:06,19::47:56,11::57:26,11.591,20.535,3.507,3.08,0.625,7.591,1.469,4.548,2.883,4.407,9.98,23.09,1.9637,0.9226,1.5254,0.5612,-
15,167,04::07:04,19::48:28,11::57:39,11.597,20.531,5.983,2.937,2.9,3.327,4.667,3.042,3.083,4.478,14.38,28.19,1.426,0.7571,1.0894,0.7646,-
16,168,04::07:06,19::48:51,11::57:52,11.601,20.637,7.95,2.916,6.529,2.646,9.18,2.587,1.421,5.313,11.54,32.98,1.332,0.7607,1.746,1.1642,-
17,169,04::07:10,19::49:05,11::58:05,11.605,20.634,8.539,2.858,6.975,2.626,10.647,2.562,1.564,5.152,11.54,29.85,1.2514,0.941,1.78,1.2421,-
18,170,04::07:17,19::49:19,11::58:18,11.607,20.631,8.224,2.866,6.445,2.648,9.509,2.56,1.779,4.841,10.66,31.91,0.3917,0.7531,1.7569,0.9677,-
19,171,04::07:26,19::49:31,11::58:31,11.608,20.628,8.087,2.873,6.037,2.7,8.484,2.597,2.051,4.467,12.33,34.65,0.9151,1.383,1.8029,1.307,-
20,172,04::07:41,19::49:42,11::58:44,11.607,20.621,7.402,2.904,4.54,2.83,6.215,2.696,2.862,4.273,13.79,33.96,0.8926,0.5324,1.2544,0.6098,-
21,173,04::07:59,19::49:51,11::58:57,11.606,20.612,7.56,2.881,4.3,2.769,6.076,2.615,3.26,4.148,16.93,31.81,1.3744,0.8288,1.4435,0.332,-
22,174,04::08:18,19::49:59,11::59:10,11.603,20.602,4.361,3.015,0.875,6.084,1.169,5.027,3.487,4.247,14.77,24.86,1.6803,0.5822,1.325,0.6801,-
23,175,04::08:39,19::50:05,11::59:23,11.599,20.593,8.577,2.863,6.719,2.689,9.715,2.597,1.858,4.529,11.64,26.42,0.3932,0.5965,1.4429,0.6354,-
24,176,04::09:00,19::50:09,11::59:36,11.594,20.583,5.944,2.938,1.765,3.573,2.364,3.123,4.18,4.118,10.17,30.63,1.1553,0.7026,1.6688,0.7693,-
25,177,04::09:21,19::50:11,11::59:48,11.587,20.573,5.48,2.95,2.396,3.518,3.316,3.13,3.084,4.344,13.3,22.41,1.5754,0.7634,1.8023,0.7209,-
26,178,04::09:43,19::50:11,12::00:01,11.58,20.564,3.099,3.119,0.339,11.422,0.486,8.559,2.761,4.435,10.66,23.09,0.8597,1.3259,1.8717,1.1233,-
27,179,04::10:04,19::50:09,12::00:13,11.571,20.555,8.514,2.852,6.412,2.67,9.67,2.573,2.102,4.579,11.84,27.7,0.6111,0.7974,1.7492,1.1874,-
28,180,04::10:26,19::50:05,12::00:26,11.561,20.545,8.501,2.852,6.974,2.616,10.777,2.543,1.527,5.16,8.7,32.4,0.6242,1.2435,1.5806,1.2905,-
