Station ID Number:,94169,-,-,-,-,Type of Measurement:,GHI,GHI_Flag,DrHI_Calc,DrHI_Calc_Flag,DNI,DNI_Flag,DHI_Calc,DHI_Calc_Flag,Temperature,Temperature_Flag,GHI_original,GHI_original_Flag,DNI_original,DNI_original_Flag,NOTES
29,181,04::10:47,19::49:59,12::00:38,11.55,20.537,8.774,2.853,6.874,2.645,10.225,2.559,1.9,4.446,14.48,29.26,0.3228,0.7513,1.4689,1.0896,-
30,182,04::11:09,19::49:52,12::00:49,11.537,20.528,8.606,2.858,7.224,2.63,10.905,2.557,1.382,5.339,9.49,32.4,0.22,0.6459,1.425,0.6578,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
year.fractionofyear,dayofyear.fractionofday,YYYY-MM-DD--HH:MM:SS,SZA,AZM,ETR (W/m^2),ETRn (W/m^2),GHI,GHI_Flag,DrHI_Calc,DrHI_Calc_Flag,DNI,DNI_Flag,DHI_Calc,DHI_Calc_Flag,Temperature,Temperature_Flag,GHI_original,GHI_original_Flag,DNI_original,DNI_original_Flag,Data_Begins_Next_Row
1980.41531,153.0034722,1980-06-01--00:05:00,112.0539,1.89926,0,0,NA,99,NA,99,NA,99,NA,99,19.08,99,5.96,99,4.72,99,-
1980.41532,153.0069444,1980-06-01--00:10:00,112.01505,3.14804,0,0,-0.16,12,-1.14,72,-1.14,12,-0.16,72,17.22,11,0.78,11,-0.1,11,-
1980.415329,153.0104167,1980-06-01--00:15:00,111.95724,4.39554,0,0,-0.16,12,0.87,72,0.87,12,-0.16,72,17.42,11,0.78,11,1.91,11,-
1980.415338,153.0138889,1980-06-01--00:20:00,111.88052,5.64125,0,0,0.78,12,0.46,72,0.46,12,0.78,72,17.32,11,1.72,11,1.5,11,-
1980.415348,153.0173611,1980-06-01--00:25:00,111.78496,6.88471,0,0,0.78,12,0.06,72,0.06,12,0.78,72,17.32,11,1.72,11,1.1,11,-
1980.415357,153.0208333,1980-06-01--00:30:00,111.67064,8.12541,0,0,0.32,12,-0.34,72,-0.34,12,0.32,72,17.22,11,1.26,11,0.7,11,-
1980.415367,153.0243056,1980-06-01--00:35:00,111.53766,9.36289,0,0,0.32,12,-0.34,72,-0.34,12,0.32,72,17.12,11,1.26,11,0.7,11,-
1980.415376,153.0277778,1980-06-01--00:40:00,111.38613,10.59669,0,0,-0.16,12,-0.34,72,-0.34,12,-0.16,72,17.03,11,0.78,11,0.7,11,-
1980.415386,153.03125,1980-06-01--00:45:00,111.21617,11.82637,0,0,0.78,12,0.06,72,0.06,12,0.78,72,17.12,11,1.72,11,1.1,11,-
1980.415395,153.0347222,1980-06-01--00:50:00,111.02794,13.05149,0,0,0.32,12,0.46,72,0.46,12,0.32,72,17.22,11,1.26,11,1.5,11,-
1980.415405,153.0381944,1980-06-01--00:55:00,110.82158,14.27164,0,0,0.78,12,-0.34,72,-0.34,12,0.78,72,17.12,11,1.72,11,0.7,11,-
1980.415414,153.0416667,1980-06-01--01:00:00,110.59727,15.48641,0,0,0.32,12,-0.34,72,-0.34,12,0.32,72,17.12,11,1.26,11,0.7,11,-
1980.415424,153.0451389,1980-06-01--01:05:00,110.35519,16.69543,0,0,NA,99,NA,99,NA,99,NA,99,18.3,99,5.02,99,3.92,99,-
1980.415433,153.0486111,1980-06-01--01:10:00,110.09553,17.89833,0,0,0.32,12,-0.34,72,-0.34,12,0.32,72,16.93,11,1.26,11,0.7,11,-
1980.415443,153.0520833,1980-06-01--01:15:00,109.8185,19.09478,0,0,0.32,12,-0.34,72,-0.34,12,0.32,72,16.83,11,1.26,11,0.7,11,-
1980.415452,153.0555556,1980-06-01--01:20:00,109.5243,20.28445,0,0,0.32,12,-0.34,72,-0.34,12,0.32,72,16.63,11,1.26,11,0.7,11,-
1980.415462,153.0590278,1980-06-01--01:25:00,109.21317,21.46703,0,0,0.78,12,-0.34,72,-0.34,12,0.78,72,16.63,11,1.72,11,0.7,11,-
1980.415471,153.0625,1980-06-01--01:30:00,108.88534,22.64226,0,0,0.32,12,-0.34,72,-0.34,12,0.32,72,16.63,11,1.26,11,0.7,11,-
1980.415481,153.0659722,1980-06-01--01:35:00,108.54104,23.80987,0,0,0.78,12,-0.74,72,-0.74,12,0.78,72,16.44,11,1.72,11,0.3,11,-
1980.41549,153.0694444,1980-06-01--01:40:00,108.18054,24.96963,0,0,0.78,12,0.06,72,0.06,12,0.78,72,16.54,11,1.72,11,1.1,11,-
1980.4155,153.0729167,1980-06-01--01:45:00,107.80407,26.12132,0,0,0.78,12,0.06,72,0.06,12,0.78,72,16.44,11,1.72,11,1.1,11,-
1980.415509,153.0763889,1980-06-01--01:50:00,107.41192,27.26476,0,0,0.78,12,-0.34,72,-0.34,12,0.78,72,16.54,11,1.72,11,0.7,11,-
1980.415519,153.0798611,1980-06-01--01:55:00,107.00433,28.39977,0,0,0.78,12,-0.34,72,-0.34,12,0.78,72,16.34,11,1.72,11,0.7,11,-
1980.415528,153.0833333,1980-06-01--02:00:00,106.58158,29.52621,0,0,0.78,12,0.06,72,0.06,12,0.78,72,16.44,11,1.72,11,1.1,11,-
1980.415538,153.0868056,1980-06-01--02:05:00,106.14395,30.64395,0,0,NA,99,NA,99,NA,99,NA,99,17.51,99,5.5,99,5.13,99,-
1980.415547,153.0902778,1980-06-01--02:10:00,105.6917,31.75288,0,0,0.78,12,-0.34,72,-0.34,12,0.78,72,16.24,11,1.72,11,0.7,11,-
1980.415557,153.09375,1980-06-01--02:15:00,105.22513,32.85292,0,0,0.78,12,-0.34,72,-0.34,12,0.78,72,16.14,11,1.72,11,0.7,11,-
1980.415566,153.0972222,1980-06-01--02:20:00,104.74451,33.944,0,0,0.78,12,-0.34,72,-0.34,12,0.78,72,16.05,11,1.72,11,0.7,11,-
1980.415576,153.1006944,1980-06-01--02:25:00,104.25011,35.02609,0,0,0.32,12,-0.34,72,-0.34,12,0.32,72,16.05,11,1.26,11,0.7,11,-
1980.415585,153.1041667,1980-06-01--02:30:00,103.74223,36.09914,0,0,0.32,12,-0.74,72,-0.74,12,0.32,72,15.75,11,1.26,11,0.3,11,-
1980.415595,153.1076389,1980-06-01--02:35:00,103.22113,37.16316,0,0,0.32,12,-0.34,72,-0.34,12,0.32,72,15.65,11,1.26,11,0.7,11,-
1980.415604,153.1111111,1980-06-01--02:40:00,102.6871,38.21815,0,0,0.78,12,-0.74,72,-0.74,12,0.78,72,15.56,11,1.72,11,0.3,11,-
1980.415614,153.1145833,1980-06-01--02:45:00,102.14041,39.26414,0,0,0.32,12,-0.74,72,-0.74,12,0.32,72,15.36,11,1.26,11,0.3,11,-
1980.415623,153.1180556,1980-06-01--02:50:00,101.58132,40.30117,0,0,-0.16,12,-0.74,72,-0.74,12,-0.16,72,15.07,11,0.78,11,0.3,11,-
1980.415633,153.1215278,1980-06-01--02:55:00,101.01009,41.3293,0,0,-0.16,12,-0.34,72,-0.34,12,-0.16,72,14.97,11,0.78,11,0.7,11,-
1980.415642,153.125,1980-06-01--03:00:00,100.427,42.3486,0,0,-0.16,12,-1.14,72,-1.14,12,-0.16,72,14.68,11,0.78,11,-0.1,11,-
1980.415652,153.1284722,1980-06-01--03:05:00,99.83227,43.35915,0,0,NA,99,NA,99,NA,99,NA,99,15.65,99,2.19,99,3.92,99,-
1980.415661,153.1319444,1980-06-01--03:10:00,99.22614,44.36106,0,0,-0.16,12,-0.34,72,-0.34,12,-0.16,72,14.38,11,0.78,11,0.7,11,-
1980.415671,153.1354167,1980-06-01--03:15:00,98.60882,45.35444,0,0,-0.16,12,-0.34,72,-0.34,12,-0.16,72,14.28,11,0.78,11,0.7,11,-
1980.41568,153.1388889,1980-06-01--03:20:00,97.9805,46.3394,0,0,-0.16,12,0.06,72,0.06,12,-0.16,72,14.38,11,0.78,11,1.1,11,-
1980.41569,153.1423611,1980-06-01--03:25:00,97.34133,47.3161,0,0,-0.16,12,0.06,72,0.06,12,-0.16,72,14.28,11,0.78,11,1.1,11,-
1980.415699,153.1458333,1980-06-01--03:30:00,96.69141,48.28467,0,0,-0.16,12,0.06,72,0.06,12,-0.16,72,14.38,11,0.78,11,1.1,11,-
1980.415708,153.1493056,1980-06-01--03:35:00,96.03076,49.24527,0,0,-0.16,12,0.06,72,0.06,12,-0.16,72,14.48,11,0.78,11,1.1,11,-
1980.415718,153.1527778,1980-06-01--03:40:00,95.35925,50.19806,0,0,-0.16,12,-0.34,72,-0.34,12,-0.16,72,14.38,11,0.78,11,0.7,11,-
1980.415727,153.15625,1980-06-01--03:45:00,94.67655,51.14323,0,0,-0.16,12,0.06,72,0.06,12,-0.16,72,14.28,11,0.78,11,1.1,11,-
1980.415737,153.1597222,1980-06-01--03:50:00,93.98187,52.08095,0,0,0.32,12,0.06,72,0.06,12,0.32,72,14.48,11,1.26,11,1.1,11,-
1980.415746,153.1631944,1980-06-01--03:55:00,93.27356,53.01141,0,0,0.78,12,0.46,72,0.46,12,0.78,72,14.58,11,1.72,11,1.5,11,-
1980.415756,153.1666667,1980-06-01--04:00:00,92.5479,53.93483,0,0,0.78,12,0.06,72,0.06,12,0.78,72,14.68,11,1.72,11,1.1,11,-
1980.415765,153.1701389,1980-06-01--04:05:00,91.79532,54.85139,0,0,NA,99,NA,99,NA,99,NA,99,15.95,99,6.91,99,5.93,99,-
1980.415775,153.1736111,1980-06-01--04:10:00,90.98333,55.76131,0,0,1.73,12,-0.34,72,-0.34,12,1.73,72,14.68,11,2.67,11,0.7,11,-
1980.415784,153.1770833,1980-06-01--04:15:00,89.96478,56.66482,0.24,392.26,2.67,92,0,92,-0.34,92,2.67,92,14.58,11,3.61,91,0.7,91,-
1980.415794,153.1805556,1980-06-01--04:20:00,89.34337,57.56215,15.15,1322.02,4.08,92,0,92,-0.34,92,4.08,92,14.58,11,5.02,91,0.7,91,-
1980.415803,153.1840278,1980-06-01--04:25:00,88.68734,58.45351,30.29,1322.02,6.43,92,0,92,0.06,92,6.43,92,14.58,11,7.37,91,1.1,91,-
1980.415813,153.1875,1980-06-01--04:30:00,88.00354,59.33915,46.06,1322.01,9.26,92,0.02,92,0.46,92,9.24,92,14.68,11,10.2,91,1.5,91,-
1980.415822,153.1909722,1980-06-01--04:35:00,87.29777,60.21931,62.33,1322.01,12.09,12,0,72,0.06,12,12.09,72,14.68,11,13.03,11,1.1,11,-
1980.415832,153.1944444,1980-06-01--04:40:00,86.57471,61.09425,78.99,1322.01,15.86,12,0.03,72,0.46,12,15.83,72,14.87,11,16.8,11,1.5,11,-
1980.415841,153.1979167,1980-06-01--04:45:00,85.8377,61.96421,95.95,1322.01,20.1,12,0.03,72,0.46,12,20.07,72,14.97,11,21.04,11,1.5,11,-
1980.415851,153.2013889,1980-06-01--04:50:00,85.08775,62.82946,113.2,1322.01,22.93,12,0.01,72,0.06,12,22.92,72,15.07,11,23.87,11,1.1,11,-
1980.41586,153.2048611,1980-06-01--04:55:00,84.32803,63.69025,130.66,1322.01,22.45,12,0.01,72,0.06,12,22.44,72,15.07,11,23.39,11,1.1,11,-
1980.41587,153.2083333,1980-06-01--05:00:00,83.55888,64.54686,148.31,1322.01,23.39,12,0.28,72,2.48,12,23.11,72,15.16,11,24.33,11,3.52,11,-
1980.415879,153.2118056,1980-06-01--05:05:00,82.78174,65.39956,166.11,1322,NA,99,NA,99,NA,99,NA,99,15.85,99,28.1,99,4.32,99,-
1980.415889,153.2152778,1980-06-01--05:10:00,81.9973,66.24863,184.05,1322,26.69,12,-0.05,72,-0.34,12,26.69,72,14.97,11,27.63,11,0.7,11,-
1980.415898,153.21875,1980-06-01--05:15:00,81.20612,67.09435,202.11,1322,25.75,12,-0.24,72,-1.55,12,25.75,72,14.68,11,26.69,11,-0.51,11,-
1980.415908,153.2222222,1980-06-01--05:20:00,80.40871,67.93702,220.27,1322,24.81,12,-0.39,72,-2.35,12,24.81,72,13.89,11,25.75,11,-1.31,11,-
1980.415917,153.2256944,1980-06-01--05:25:00,79.60547,68.77693,238.52,1322,26.69,12,0.23,72,1.27,12,26.46,72,13.89,11,27.63,11,2.31,11,-
1980.415927,153.2291667,1980-06-01--05:30:00,78.79677,69.61438,256.85,1322,29.99,12,0.32,72,1.67,12,29.67,72,13.89,11,30.93,11,2.71,11,-
1980.415936,153.2326389,1980-06-01--05:35:00,77.98295,70.44968,275.24,1322,38.94,12,0.26,72,1.27,12,38.68,72,13.99,11,39.88,11,2.31,11,-
1980.415946,153.2361111,1980-06-01--05:40:00,77.1643,71.28314,293.69,1322,41.29,12,0.28,72,1.27,12,41.01,72,13.99,11,42.23,11,2.31,11,-
1980.415955,153.2395833,1980-06-01--05:45:00,76.3411,72.11509,312.18,1321.99,53.54,12,0.49,72,2.07,12,53.05,72,14.09,11,54.48,11,3.11,11,-
1980.415965,153.2430556,1980-06-01--05:50:00,75.5136,72.94584,330.7,1321.99,69.56,12,0.32,72,1.27,12,69.24,72,14.19,11,70.5,11,2.31,11,-
1980.415974,153.2465278,1980-06-01--05:55:00,74.68203,73.77573,349.24,1321.99,70.03,12,0.02,72,0.06,12,70.01,72,14.19,11,70.97,11,1.1,11,-
1980.415984,153.25,1980-06-01--06:00:00,73.84664,74.60511,367.79,1321.99,75.69,12,0.02,72,0.06,12,75.67,72,14.19,11,76.63,11,1.1,11,-
1980.415993,153.2534722,1980-06-01--06:05:00,73.00762,75.43431,386.34,1321.99,NA,99,NA,99,NA,99,NA,99,15.26,99,79.45,99,5.13,99,-
1980.416003,153.2569444,1980-06-01--06:10:00,72.16521,76.26371,404.89,1321.99,64.38,12,0.27,72,0.87,12,64.11,72,13.99,11,65.32,11,1.91,11,-
1980.416012,153.2604167,1980-06-01--06:15:00,71.31959,77.09367,423.42,1321.99,75.21,12,0.15,72,0.46,12,75.06,72,13.7,11,76.15,11,1.5,11,-
1980.416022,153.2638889,1980-06-01--06:20:00,70.47097,77.92456,441.92,1321.98,81.34,12,0.29,72,0.87,12,81.05,72,13.7,11,82.28,11,1.91,11,-
1980.416031,153.2673611,1980-06-01--06:25:00,69.61955,78.75678,460.38,1321.98,74.74,12,0.16,72,0.46,12,74.58,72,13.6,11,75.68,11,1.5,11,-
1980.416041,153.2708333,1980-06-01--06:30:00,68.76552,79.59071,478.8,1321.98,80.39,12,-0.12,72,-0.34,12,80.39,72,13.4,11,81.33,11,0.7,11,-
1980.41605,153.2743056,1980-06-01--06:35:00,67.90907,80.42678,497.17,1321.98,83.22,12,-0.13,72,-0.34,12,83.22,72,13.11,11,84.16,11,0.7,11,-
1980.41606,153.2777778,1980-06-01--06:40:00,67.05038,81.2654,515.47,1321.98,78.98,12,0.02,72,0.06,12,78.96,72,13.01,11,79.92,11,1.1,11,-
1980.416069,153.28125,1980-06-01--06:45:00,66.18965,82.10701,533.7,1321.98,78.98,12,0.19,72,0.46,12,78.79,72,13.01,11,79.92,11,1.5,11,-
1980.416078,153.2847222,1980-06-01--06:50:00,65.32707,82.95206,551.84,1321.98,105.83,12,0.19,72,0.46,12,105.64,72,13.11,11,106.77,11,1.5,11,-
1980.416088,153.2881944,1980-06-01--06:55:00,64.46283,83.80102,569.9,1321.97,123.26,12,0.2,72,0.46,12,123.06,72,13.21,11,124.2,11,1.5,11,-
1980.416097,153.2916667,1980-06-01--07:00:00,63.59711,84.65436,587.86,1321.97,110.55,12,0.2,72,0.46,12,110.35,72,13.21,11,111.49,11,1.5,11,-
1980.416107,153.2951389,1980-06-01--07:05:00,62.73011,85.51259,605.7,1321.97,NA,99,NA,99,NA,99,NA,99,NA,99,NA,99,NA,99,-
1980.416116,153.2986111,1980-06-01--07:10:00,61.86203,86.37624,623.44,1321.97,NA,99,NA,99,NA,99,NA,99,NA,99,NA,99,NA,99,-
1980.416126,153.3020833,1980-06-01--07:15:00,60.99305,87.24583,641.04,1321.97,NA,99,NA,99,NA,99,NA,99,NA,99,NA,99,NA,99,-
1980.416135,153.3055556,1980-06-01--07:20:00,60.12338,88.12192,658.52,1321.97,NA,99,NA,99,NA,99,NA,99,NA,99,NA,99,NA,99,-
1980.416145,153.3090278,1980-06-01--07:25:00,59.25322,89.00511,675.85,1321.97,NA,99,NA,99,NA,99,NA,99,NA,99,NA,99,NA,99,-
1980.416154,153.3125,1980-06-01--07:30:00,58.38279,89.89599,693.03,1321.96,NA,99,NA,99,NA,99,NA,99,NA,99,NA,99,NA,99,-
1980.416164,153.3159722,1980-06-01--07:35:00,57.51229,90.79521,710.05,1321.96,NA,99,NA,99,NA,99,NA,99,NA,99,NA,99,NA,99,-
1980.416173,153.3194444,1980-06-01--07:40:00,56.64194,91.70343,726.91,1321.96,NA,99,NA,99,NA,99,NA,99,NA,99,NA,99,NA,99,-
1980.416183,153.3229167,1980-06-01--07:45:00,55.77196,92.62133,743.59,1321.96,NA,99,NA,99,NA,99,NA,99,NA,99,NA,99,NA,99,-
1980.416192,153.3263889,1980-06-01--07:50:00,54.9026,93.54964,760.08,1321.96,NA,99,NA,99,NA,99,NA,99,NA,99,NA,99,NA,99,-
1980.416202,153.3298611,1980-06-01--07:55:00,54.03408,94.48913,776.39,1321.96,NA,99,NA,99,NA,99,NA,99,NA,99,NA,99,NA,99,-
1980.416211,153.3333333,1980-06-01--08:00:00,53.16666,95.44058,792.5,1321.96,NA,99,NA,99,NA,99,NA,99,NA,99,NA,99,NA,99,-
1980.416221,153.3368056,1980-06-01--08:05:00,52.30059,96.40482,808.4,1321.96,NA,99,NA,99,NA,99,NA,99,14.58,99,192.5,99,1.1,99,-
1980.41623,153.3402778,1980-06-01--08:10:00,51.43614,97.38274,824.09,1321.95,200.98,12,0.04,72,0.06,12,200.94,72,14.48,11,201.92,11,1.1,11,-
1980.41624,153.34375,1980-06-01--08:15:00,50.5736,98.37525,839.55,1321.95,221.71,12,0.55,72,0.87,12,221.16,72,14.38,11,222.65,11,1.91,11,-
1980.416249,153.3472222,1980-06-01--08:20:00,49.71324,99.38332,854.79,1321.95,184.97,12,0.3,72,0.46,12,184.67,72,14.28,11,185.91,11,1.5,11,-
1980.416259,153.3506944,1980-06-01--08:25:00,48.85538,100.40796,869.79,1321.95,227.37,12,1.1,72,1.67,12,226.27,72,14.38,11,228.31,11,2.71,11,-
1980.416268,153.3541667,1980-06-01--08:30:00,48.00034,101.45024,884.55,1321.95,241.49,12,4.08,72,6.1,12,237.41,72,14.68,11,242.43,11,7.14,11,-
1980.416278,153.3576389,1980-06-01--08:35:00,47.14846,102.51129,899.06,1321.95,226.42,12,1.96,72,2.88,12,224.46,72,14.97,11,227.36,11,3.92,11,-
1980.416287,153.3611111,1980-06-01--08:40:00,46.30008,103.59228,913.31,1321.95,220.3,12,2.27,72,3.28,12,218.03,72,14.97,11,221.24,11,4.32,11,-
1980.416297,153.3645833,1980-06-01--08:45:00,45.45559,104.69446,927.29,1321.94,176.96,12,0.32,72,0.46,12,176.64,72,14.87,11,177.9,11,1.5,11,-
1980.416306,153.3680556,1980-06-01--08:50:00,44.61537,105.81914,941.01,1321.94,161.89,12,0.9,72,1.27,12,160.99,72,14.68,11,162.83,11,2.31,11,-
1980.416316,153.3715278,1980-06-01--08:55:00,43.77984,106.9677,954.45,1321.94,200.51,12,1.49,72,2.07,12,199.02,72,14.77,11,201.45,11,3.11,11,-
1980.416325,153.375,1980-06-01--09:00:00,42.94946,108.14159,967.6,1321.94,202.39,12,1.52,72,2.07,12,200.87,72,14.97,11,203.33,11,3.11,11,-
1980.416335,153.3784722,1980-06-01--09:05:00,42.12467,109.34234,980.46,1321.94,NA,99,NA,99,NA,99,NA,99,14.97,99,195.33,99,1.91,99,-
1980.416344,153.3819444,1980-06-01--09:10:00,41.30599,110.57154,993.03,1321.94,240.08,12,0.95,72,1.27,12,239.13,72,14.97,11,241.02,11,2.31,11,-
