Station ID Number:,94169,-,-,-,-,Type of Measurement:,GHI,GHI_Flag,DrHI_Calc,DrHI_Calc_Flag,DNI,DNI_Flag,DHI_Calc,DHI_Calc_Flag,Temperature,Temperature_Flag,GHI_original,GHI_original_Flag,DNI_original,DNI_original_Flag,NOTES
Station Name:,HEO,-,-,-,-,Element:,1000,-,2000,-,2010,-,3000,-,9300,-,1000_original,-,2010_original,-,Contact Info: http://solardat.uoregon.edu
Station Location:,Hermiston_Oregon_USA,-,-,-,-,Instrument Serial Number:,PSP(17854F3),-,NIP(17668E6),-,NIP(17668E6),-,Computed from GHI and DNI,-,TEMP(HEO),-,PSP(17854F3),-,NIP(17668E6),-,File format description at: http://solardat.uoregon.edu/download/Papers/Structure_of_a_comprehensive_solar_radiation_dataset_ASES_2017_Final.pdf
Latitude:,45.818441,-,-,-,-,Instrument Shorthand Name:,PSP5,-,-,-,NIP4,-,-,-,TEMP(HEO),-,PSP5,-,NIP4,-,Flag description at: http://solardat.uoregon.edu/QualityControlFlags.html
Longitude (+ East):,-119.284721,-,-,-,-,Responsivity:,7.444,microV/(W/m^2),-,-,8.72,microV/(W/m^2),-,-,36.11111,microV?/C,7.444,microV/(W/m^2),8.72,microV/(W/m^2),Data has been calibrated using the responsivity values listed 
Altitude (m):,188,-,-,-,-,Estimated Uncertainty (U95%):,2.8,-,2.53,-,2.53,-,3.774,-,2.2,-,2.8,-,2.53,-,The phrase (_original) means the data has not had the nighttime offset subtracted (or any other adjustments).
Time Zone (+ East):,-8,-,-,-,-,Sample Method:,Avg,-,-,-,Avg,-,-,-,Avg,-,Avg,-,Avg,-,Data that has been (computed) was calculated from measured columns.
Time Interval (Minutes):,5,-,-,-,-,Units:,W/m^2,-,W/m^2,-,W/m^2,-,W/m^2,-,C,-,W/m^2,-,W/m^2,-,Date this file was created: 2019-6-27
Year//Month,1980//08,-,-,-,-,Column Notes:,AdjustedColumn,-,CalculatedColumn,-,AdjustedColumn,-,CalculatedColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,This file was created using code: AAA Check data (2019-06-26).nb
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SZA horizon boundaries (East/West): 88/89
Day of month,Day of year,Time Sunrise (HH::MM:SS),Time Sunset (HH::MM:SS),Time Solar Noon (HH::MM:SS),Daily Total Energy ETR (kW h/m^2),Daily Total Energy ETRn (kW h/m^2),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Minimum daily value,Maximum daily value,Average Nighttime Value,Standard Deviation Nighttime,Average Nighttime Value,Standard Deviation Nighttime,Assorted Daily Values (Rows 12 - 42)
1,214,04::41:02,19::24:40,12::03:22,10.555,19.397,7.859,2.868,6.785,2.657,10.685,2.545,1.074,7.402,19.67,34.94,1.3412,0.7441,2.3169,0.6407,-
2,215,04::42:15,19::23:43,12::03:18,10.508,19.37,-,-,-,-,-,-,-,-,19.57,24.07,1.2545,0.6666,2.4519,0.544,-
3,216,04::43:48,19::22:00,12::03:13,10.46,19.236,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,217,04::44:57,19::20:27,12::03:07,10.41,19.217,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,218,04::45:52,19::19:18,12::03:01,10.361,19.202,-,-,-,-,-,-,-,-,16.14,28.38,0.7355,0.2553,1.9603,0.2704,-
6,219,04::46:58,19::18:02,12::02:54,10.31,19.062,7.451,2.884,6.192,2.705,9.638,2.59,1.259,6.245,11.54,32.49,0.6402,0.6433,1.6325,0.6539,-
7,220,04::48:35,19::16:09,12::02:47,10.258,19.044,7.501,2.869,6.278,2.697,9.942,2.577,1.223,6.363,10.66,33.86,0.6289,1.5048,1.4789,1.0032,-
8,221,04::49:48,19::14:46,12::02:39,10.206,19.023,6.686,2.896,3.914,3.003,5.688,2.747,2.772,4.296,11.54,36.02,1.6368,1.2253,1.8817,1.1683,-
9,222,04::50:45,19::13:41,12::02:30,10.152,19.008,7.12,2.87,5.51,2.756,8.527,2.599,1.61,4.979,13.6,37.49,1.2181,0.805,1.6846,0.7621,-
10,223,04::51:47,19::11:43,12::02:21,10.099,18.866,6.492,2.894,4.287,2.853,6.533,2.654,2.205,4.749,12.13,39.74,1.4987,0.9327,1.6121,0.7399,-
11,224,04::53:26,19::10:06,12::02:12,10.044,18.851,6.092,2.913,3.546,3.092,5.384,2.805,2.546,4.464,18.49,41.11,1.9244,0.67,1.8126,0.4679,-
12,225,04::54:42,19::08:55,12::02:01,9.988,18.83,6.876,2.876,4.796,2.804,7.288,2.601,2.081,4.451,20.35,38.07,1.4609,0.8553,2.0528,0.8252,-
13,226,04::55:41,19::07:06,12::01:51,9.932,18.704,6.873,2.872,5.194,2.777,8.093,2.597,1.679,4.859,16.83,38.66,1.3877,0.6755,2.0787,0.6663,-
14,227,04::56:40,19::05:18,12::01:39,9.875,18.671,6.497,2.879,3.936,3.017,5.895,2.723,2.561,4.267,18.2,33.67,1.3059,0.5533,1.9528,0.3708,-
15,228,04::58:19,19::04:02,12::01:27,9.816,18.66,7.058,2.877,5.539,2.75,8.581,2.612,1.519,5.099,15.46,30.73,1.4713,0.6494,2.009,0.6718,-
16,229,04::59:38,19::02:16,12::01:15,9.758,18.527,6.884,2.884,5.461,2.735,8.655,2.59,1.423,5.415,15.65,32.69,1.2178,0.4246,1.986,0.5131,-
17,230,05::00:38,19::00:21,12::01:02,9.699,18.512,3.316,3.012,0.402,12.697,1.069,5.572,2.915,4.319,16.44,26.72,1.7765,1.1802,1.9988,1.0378,-
18,231,05::01:35,18::59:01,12::00:49,9.639,18.479,3.38,3.016,0.364,14.038,0.669,8.19,3.016,4.313,14.09,24.37,1.635,1.4332,1.9831,1.0056,-
19,232,05::03:15,18::57:11,12::00:35,9.578,18.359,6.883,2.875,5.808,2.697,9.445,2.578,1.075,6.911,13.99,32.3,1.9914,0.8992,2.1563,0.6794,-
20,233,05::04:35,18::55:15,12::00:20,9.516,18.336,7.02,2.866,5.978,2.684,10.016,2.57,1.043,7.081,15.07,33.08,0.9318,1.3088,1.8918,1.1081,-
21,234,05::05:36,18::53:55,12::00:06,9.454,18.321,6.911,2.869,5.914,2.69,9.772,2.577,0.996,7.371,8.41,34.55,0.8673,1.1831,1.4673,1.1171,-
22,235,05::06:31,18::51:54,11::59:50,9.392,18.177,6.67,2.876,5.36,2.763,8.604,2.591,1.31,5.671,10.27,36.02,1.3254,1.2172,2.0978,1.2705,-
23,236,05::08:11,18::50:02,11::59:35,9.328,18.169,6.771,2.874,5.818,2.682,9.856,2.554,0.953,7.749,16.24,34.06,1.2588,0.709,2.1081,0.6248,-
24,237,05::09:33,18::48:43,11::59:18,9.264,18.147,6.619,2.871,5.542,2.714,9.252,2.566,1.077,6.776,12.03,33.18,0.9611,1.288,1.6163,1.2109,-
25,238,05::10:34,18::46:29,11::59:02,9.2,18.021,6.593,2.868,5.445,2.685,9.431,2.554,1.148,6.665,6.94,33.57,0.9528,0.8968,1.9318,0.8919,-
26,239,05::11:27,18::44:44,11::58:45,9.135,17.986,6.32,2.891,4.812,2.803,7.781,2.631,1.509,5.379,9.19,35.23,1.6535,1.4491,2.429,1.0459,-
27,240,05::13:07,18::43:19,11::58:28,9.069,17.87,6.694,2.878,5.236,2.728,8.896,2.591,1.458,5.454,14.19,26.42,0.8294,0.4877,2.4341,0.6436,-
28,241,05::14:30,18::40:58,11::58:10,9.003,17.847,6.638,2.881,5.344,2.714,8.893,2.579,1.294,5.703,9.88,25.54,0.1573,0.6426,2.3723,0.8131,-
29,242,05::15:32,18::39:22,11::57:52,8.936,17.832,6.156,2.868,3.827,2.856,6.655,2.601,2.329,4.465,4.59,27.89,0.4976,0.8413,1.9402,0.8848,-
