Station_ID_Number:,94040,-,-,-,-,Type_of_Measurement:,GHI,GTI(15:180),DrHI_Calc,DNI,DHI,PV_Power,PV_Power,Wind_Speed,Temperature
Station_Name:,ASO,-,-,-,-,Element:,1000,1160,2000,2010,3000,5161,5162,9210,9300
Station_Location:,Ashland_Oregon_USA,-,-,-,-,Instrument_Serial_Number:,RSP(PY35563_GHI),LICOR(PY22981),RSP(PY35563_DNI),RSP(PY35563_DNI),RSP(PY35563_DHI),PV5kw(ASO),PV15kw(ASO),WindSpeed(ASO),Temperature(ASO)
Latitude_(+North):,42.19441,-,-,-,-,Instrument_Shorthand_Name:,RSP,GTI(15:180),-,RSP,RSP,PV5kw(ASO),PV15kw(ASO),WS(ASO),TEMP(ASO)
Longitude_(+East):,-122.698158,-,-,-,-,Responsivity:,9.8322,9.586300000000001,-,9.8322,9.8322,160.,2.7777800000000004,1308.9005200000001,1000.0000000000001
Altitude_(m):,594.,-,+-3_Degrees,+-7.5_Degrees,-,Estimated_Uncertainty_(U95%):,3.125,3.362,3.125,3.125,3.125,1.999,2.191,4.383,2.2
Time_Zone_(+East):,-8,-,DNI_WeightedSZA,Middle_of_hour,-,Sample_Method:,Avg,Avg,-,Avg,Avg,Avg,Avg,Avg,Avg
Time_Interval_(Minutes):,1,-,-,-,-,Units:,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,Watts,Watts,m/s,C
Year//Month,2020//11,-,-,-,-,Column_Notes:,AdjustedColumn,AdjustedColumn,CalculatedColumn,AdjustedColumn,AdjustedColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn
year.fractionofyear,dayofyear.fractionofday,YYYY-MM-DD--HH:MM:SS,SZA,AZM,ETR_(W/m^2),ETRn_(W/m^2),GHI,GTI(15:180),DrHI_Calc,DNI,DHI,PV_Power,PV_Power,Wind_Speed,Temperature
2020.835951730419,306.9583333333333,2020-11-01--23:00:00,147.16,319.85,0.0,0.0,-0.0,0.0,0.0,0.0,-0.01,-264.7,0.0,0.0243,8.25
2020.8360655737706,307.0,2020-11-01--24:00:00,152.2,347.05,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-247.78,0.0,0.007,7.46
2020.8361794171221,307.04166666666663,2020-11-02--01:00:00,151.7,18.15,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-233.27,0.0,0.0425,6.66
2020.8362932604737,307.0833333333333,2020-11-02--02:00:00,145.92,44.06,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-249.32,0.0,0.0137,6.31
2020.8364071038254,307.125,2020-11-02--03:00:00,136.99,62.54,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-264.42,0.0,0.0037,5.34
2020.836520947177,307.16666666666663,2020-11-02--04:00:00,126.61,76.17,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-243.42,0.0,0.006,5.04
2020.8366347905285,307.2083333333333,2020-11-02--05:00:00,115.63,87.25,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-256.33,0.0,0.0092,4.42
2020.83674863388,307.25,2020-11-02--06:00:00,104.55,97.21,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-245.75,0.0,0.0052,3.83
2020.8368624772315,307.29166666666663,2020-11-02--07:00:00,88.6,106.95,4.66,276.78,2.42,2.45,0.0,0.0,2.42,-244.43,0.0,0.0005,3.64
2020.836976320583,307.3333333333333,2020-11-02--08:00:00,82.31,117.18,162.59,1383.91,86.55,150.53,57.22,378.66,29.33,-203.08,316.33,0.0012,5.44
2020.8370901639346,307.375,2020-11-02--09:00:00,73.86,128.49,380.33,1383.94,259.86,402.95,211.46,764.84,48.4,1101.47,2011.57,0.0198,10.69
2020.8372040072861,307.41666666666663,2020-11-02--10:00:00,66.19,141.44,557.31,1383.97,400.79,599.7,344.07,853.13,56.72,2382.97,4690.15,0.4642,12.48
2020.8373178506376,307.4583333333333,2020-11-02--11:00:00,60.54,156.33,680.19,1384.0,497.22,730.17,431.5,877.92,65.72,3012.87,6252.25,0.4867,14.09
2020.8374316939892,307.5,2020-11-02--12:00:00,57.66,172.89,740.41,1384.03,543.32,792.97,471.47,881.3,71.86,3256.73,6790.18,0.4007,16.53
2020.8375455373407,307.54166666666663,2020-11-02--13:00:00,57.98,190.04,733.8,1384.06,540.65,790.58,469.48,885.5,71.17,3205.33,6671.42,0.5568,18.49
2020.8376593806925,307.5833333333333,2020-11-02--14:00:00,61.46,206.35,660.83,1384.09,475.4,701.33,403.24,843.78,72.16,2793.87,5528.55,0.8582,20.01
2020.837773224044,307.625,2020-11-02--15:00:00,67.56,220.88,526.49,1384.12,356.88,532.81,279.52,734.94,77.36,1917.1,3249.37,0.645,21.0
2020.8378870673955,307.66666666666663,2020-11-02--16:00:00,75.53,233.5,340.19,1384.15,195.44,310.91,147.23,561.65,48.21,818.1,791.68,0.4508,21.14
2020.838000910747,307.7083333333333,2020-11-02--17:00:00,83.59,244.56,116.98,1384.18,18.0,18.0,0.0,0.0,18.0,-226.08,0.0,0.2288,17.02
2020.8381147540986,307.75,2020-11-02--18:00:00,90.0,254.63,0.0,23.07,0.4,0.44,0.0,0.0,0.36,-257.12,0.0,0.0763,13.65
2020.83822859745,307.79166666666663,2020-11-02--19:00:00,106.56,264.33,0.0,0.0,-0.06,0.0,0.0,0.0,-0.11,-245.27,0.0,0.1233,11.81
2020.8383424408016,307.8333333333333,2020-11-02--20:00:00,117.67,274.37,0.0,0.0,-0.02,0.0,0.0,0.0,-0.06,-251.32,0.0,0.0602,10.52
2020.8384562841532,307.875,2020-11-02--21:00:00,128.6,285.73,0.0,0.0,-0.02,0.0,0.0,0.0,-0.05,-248.85,0.0,0.0342,9.2
2020.8385701275047,307.91666666666663,2020-11-02--22:00:00,138.85,299.96,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,-240.17,0.0,0.0247,8.42
