Station ID Number:,94040,-,-,-,-,Type of Measurement:,GHI,GTI(15:180),DrHI_Calc,DNI,DHI,PV_Power,PV_Power,Wind_Speed,Temperature
Station Name:,ASO,-,-,-,-,Element:,1000,1160,2000,2010,3000,5161,5162,9210,9300
Station Location:,Ashland_Oregon_USA,-,-,-,-,Instrument Serial Number:,RSP(PY35563_GHI),LICOR(PY22981),RSP(PY35563_DNI),RSP(PY35563_DNI),RSP(PY35563_DHI),PV5kw(ASO),PV15kw(ASO),WindSpeed(ASO),Temperature(ASO)
Latitude:,42.19441,-,-,-,-,Instrument Shorthand Name:,RSP,GTI(15:180),-,RSP,RSP,PV5kw(ASO),PV15kw(ASO),WS(ASO),TEMP(ASO)
Longitude (+ East):,-122.698158,-,-,-,-,Responsivity:,9.8322,9.586300000000001,-,9.8322,9.8322,160.,2.7777800000000004,1308.9005200000001,1000.0000000000001
Altitude (m):,594.,-,+-3_Degrees,+-7.5_Degrees,-,Estimated Uncertainty (U95%):,3.125,3.362,3.125,3.125,3.125,1.999,2.191,4.383,2.2
Time Zone (+ East):,-8.,-,DNI_WeightedSZA,Middle_of_hour,-,Sample Method:,Avg,Avg,-,Avg,Avg,Avg,Avg,Avg,Avg
Time Interval (Minutes):,1,-,-,-,-,Units:,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,Watts,Watts,m/s,C
Year//Month,2020//04,-,-,-,-,Column Notes:,AdjustedColumn,AdjustedColumn,CalculatedColumn,AdjustedColumn,AdjustedColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn
year.fractionofyear,dayofyear.fractionofday,YYYY-MM-DD--HH:MM:SS,SZA,AZM,ETR (W/m^2),ETRn (W/m^2),GHI,GTI(15:180),DrHI_Calc,DNI,DHI,PV_Power,PV_Power,Wind_Speed,Temperature
2020.2512522768673,92.95833333333333,2020-04-01--23:00:00,127.01,326.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-241.82,0.0,0.1158,2.58
2020.2513661202188,93.0,2020-04-01--24:00:00,131.57,345.02,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-253.07,0.0,0.0042,2.35
2020.2514799635703,93.04166666666666,2020-04-02--01:00:00,132.51,5.15,0.0,0.0,-0.02,0.0,0.0,0.0,-0.15,-231.47,0.0,0.0123,1.92
2020.2515938069218,93.08333333333333,2020-04-02--02:00:00,129.63,24.64,0.0,0.0,-0.02,0.0,0.0,0.0,-0.15,-263.05,0.0,0.0,1.9
2020.2517076502734,93.125,2020-04-02--03:00:00,123.51,41.67,0.0,0.0,-0.02,0.0,0.0,0.0,-0.15,-228.58,0.0,0.0048,1.12
2020.251821493625,93.16666666666666,2020-04-02--04:00:00,115.13,55.89,0.0,0.0,-0.02,0.0,0.0,0.0,-0.15,-241.7,0.0,0.0008,0.85
2020.2519353369764,93.20833333333333,2020-04-02--05:00:00,105.31,67.92,0.0,0.0,-0.02,0.0,0.0,0.0,-0.15,-251.98,0.0,0.0,0.17
2020.252049180328,93.25,2020-04-02--06:00:00,89.04,78.58,1.96,181.48,1.39,1.26,0.0,0.0,1.31,-250.57,0.0,0.0002,-0.38
2020.2521630236797,93.29166666666666,2020-04-02--07:00:00,82.14,88.66,156.35,1361.09,43.89,41.84,4.11,23.47,39.78,-221.4,113.98,0.014,-0.09
2020.2522768670312,93.33333333333333,2020-04-02--08:00:00,72.19,98.91,410.34,1361.06,251.94,268.27,167.1,498.43,84.84,341.78,2224.07,0.0977,2.01
