Station ID Number:,94040,-,-.1,-.2,-.3,Type of Measurement:,GHI,GHI_Tilt(15:180),DrHI_Calc,DNI,DHI,PV_Power,PV_Power.1,Wind_Speed,Temperature
Station Name:,ASO,-,-,-,-,Element:,1000,1160,2000,2010,3000,5161,5162,9210,9300
Station Location:,Ashland_Oregon_USA,-,-,-,-,Instrument Serial Number:,RSP(PY35563_GHI),LICOR(PY22981),RSP(PY35563_DNI),RSP(PY35563_DNI),RSP(PY35563_DHI),PV5kw(ASO),PV15kw(ASO),WindSpeed(ASO),Temperature(ASO)
Latitude:,42.19441,-,-,-,-,Instrument Shorthand Name:,RSP,GHI_TILT,-,RSP,RSP,PV5kw(ASO),PV15kw(ASO),WS(ASO),TEMP(ASO)
Longitude (+ East):,-122.698158,-,-,-,-,Responsivity:,9.8322,9.586300000000001,-,9.8322,9.8322,160.,2.7777800000000004,1308.9005200000001,1000.0000000000001
Altitude (m):,594.,-,+-3_Degrees,+-7.5_Degrees,-,Estimated Uncertainty (U95%):,5,3.362,10,10,30,1.999,2.191,4.383,2.2
Time Zone (+ East):,-8.,-,DNI_WeightedSZA,Middle_of_hour,-,Sample Method:,Avg,Avg,-,Avg,Avg,Avg,Avg,Avg,Avg
Time Interval (Minutes):,1,-,-,-,-,Units:,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,Watts,Watts,m/s,C
Year//Month,2019//01,-,-,-,-,Column Notes:,AdjustedColumn,AdjustedColumn,CalculatedColumn,AdjustedColumn,AdjustedColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Year//Month,Start_Time(HHMM),End_Time(HHMM),Average_SZA,Average_AZM,Hourly_Average_ETR,Hourly_Average_ETRn,GHI,GHI_Tilt(15:180),DrHI_Calc,DNI,DHI,PV_Power,PV_Power.1,Wind_Speed,Temperature
2019//02,400,500,120.0,80.0,0.0,0.0,0.01,0.0,0.0,0.0,-0.01,-217.81,0.0,0.54,1.26
2019//02,500,600,109.0,90.0,0.0,0.0,0.01,0.0,0.0,0.0,-0.01,-216.97,0.0,0.6,1.17
2019//02,600,700,96.0,100.0,0.364,35.409,0.24,0.18,0.0,0.0,0.22,-215.85,0.0,0.59,1.08
2019//02,700,800,84.0,110.0,90.592,1157.093,19.31,19.64,2.35,20.71,16.95,-198.29,23.66,0.44,0.95
2019//02,800,900,76.0,121.0,319.031,1395.319,84.41,94.69,18.05,73.7,66.36,45.58,473.91,0.51,1.43
2019//02,900,1000,68.0,133.0,522.676,1395.296,175.97,208.32,47.37,120.87,128.6,653.86,1682.86,0.68,2.5
2019//02,1000,1100,61.0,147.0,677.281,1395.273,270.0,327.67,78.98,158.91,191.02,1153.93,2810.16,1.09,3.66
2019//02,1100,1200,56.0,164.0,771.965,1395.25,323.57,389.95,93.84,166.09,229.73,1576.68,3686.0,1.08,4.54
2019//02,1200,1300,55.0,181.0,800.21,1395.225,333.6,409.99,116.7,201.12,216.91,1709.42,4028.5,1.04,4.99
2019//02,1300,1400,57.0,199.0,760.087,1395.202,305.64,370.73,114.28,205.33,191.36,1514.41,3641.41,1.11,5.28
2019//02,1400,1500,62.0,215.0,654.361,1395.177,251.61,297.41,80.66,166.89,170.95,1098.12,2639.64,0.92,5.45
2019//02,1500,1600,69.0,229.0,490.349,1395.155,172.0,205.43,56.86,157.1,115.14,639.32,1345.23,0.85,5.33
2019//02,1600,1700,78.0,241.0,279.733,1395.131,72.08,75.64,11.94,47.52,60.14,15.37,274.59,0.82,4.78
2019//02,1700,1800,85.0,252.0,58.625,952.53,11.46,11.0,0.0,0.0,11.46,-222.92,6.76,0.73,3.96
2019//02,1800,1900,99.0,261.0,0.0,0.0,0.03,0.03,0.0,0.0,0.01,-228.05,0.0,0.55,3.3
2019//02,1900,2000,110.0,271.0,0.0,0.0,-0.01,0.0,0.0,0.0,-0.04,-230.85,0.0,0.56,2.96
2019//02,2000,2100,121.0,282.0,0.0,0.0,-0.01,0.0,0.0,0.0,-0.03,-230.62,0.0,0.6,2.77
2019//02,2100,2200,132.0,295.0,0.0,0.0,-0.01,0.0,0.0,0.0,-0.03,-228.59,0.0,0.53,2.5
2019//02,2200,2300,141.0,311.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.02,-229.99,0.0,0.44,2.32
2019//02,2300,2400,148.0,334.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,-231.19,0.0,0.51,2.05
2019//03,0,100,140.0,4.0,0.0,0.0,0.01,0.0,0.0,0.0,-0.01,-247.02,0.0,0.34,4.38
2019//03,100,200,137.0,26.0,0.0,0.0,0.01,0.0,0.0,0.0,-0.01,-246.78,0.0,0.28,3.88
2019//03,200,300,130.0,45.0,0.0,0.0,0.01,0.0,0.0,0.0,-0.0,-248.89,0.0,0.34,3.72
2019//03,300,400,121.0,60.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,-249.2,0.0,0.35,3.58
2019//03,400,500,111.0,72.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,-244.94,0.0,0.35,3.37
2019//03,500,600,100.0,83.0,0.012,3.574,0.1,0.06,0.0,0.0,0.09,-245.02,0.0,0.43,3.06
2019//03,600,700,86.0,93.0,55.736,854.156,13.79,13.92,0.35,3.47,13.44,-229.95,12.61,0.57,2.99
2019//03,700,800,78.0,103.0,282.267,1375.103,104.13,114.51,43.18,199.47,60.95,55.47,687.79,0.58,4.0
2019//03,800,900,68.0,114.0,520.905,1375.07,252.29,291.68,119.32,313.21,132.97,1034.87,2640.71,0.85,5.71
2019//03,900,1000,58.0,127.0,722.994,1375.039,407.07,489.92,235.88,441.82,171.19,2190.54,5196.16,1.14,7.3
2019//03,1000,1100,50.0,143.0,874.186,1375.006,512.68,627.25,316.45,498.6,196.23,2872.16,6763.86,1.33,8.86
2019//03,1100,1200,45.0,162.0,964.084,1374.973,589.03,717.9,375.44,534.88,213.59,3297.54,7686.29,1.6,10.23
