Station ID Number:,94040,-,-.1,-.2,-.3,Type of Measurement:,GHI,GTI(15:180),DrHI_Calc,DNI,DHI,PV_Power,PV_Power.1,Wind_Speed,Temperature
Station Name:,ASO,-,-,-,-,Element:,1000,1160,2000,2010,3000,5161,5162,9210,9300
Station Location:,Ashland_Oregon_USA,-,-,-,-,Instrument Serial Number:,RSP(PY35563_GHI),LICOR(PY22981),RSP(PY35563_DNI),RSP(PY35563_DNI),RSP(PY35563_DHI),PV5kw(ASO),PV15kw(ASO),WindSpeed(ASO),Temperature(ASO)
Latitude:,42.19441,-,-,-,-,Instrument Shorthand Name:,RSP,GTI(15:180),-,RSP,RSP,PV5kw(ASO),PV15kw(ASO),WS(ASO),TEMP(ASO)
Longitude (+ East):,-122.698158,-,-,-,-,Responsivity:,9.8322,9.5863,-,9.8322,9.8322,160,2.77778,1308.90052,1000
Altitude (m):,594,-,+-3_Degrees,+-7.5_Degrees,-,Estimated Uncertainty (U95%):,3.125,3.362,3.125,3.125,3.125,1.999,2.191,4.383,2.2
Time Zone (+ East):,-8,-,DNI_WeightedSZA,Middle_of_hour,-,Sample Method:,Avg,Avg,-,Avg,Avg,Avg,Avg,Avg,Avg
Time Interval (Minutes):,1,-,-,-,-,Units:,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,Watts,Watts,m/s,C
Year//Month,2020//01,-,-,-,-,Column Notes:,AdjustedColumn,AdjustedColumn,CalculatedColumn,AdjustedColumn,AdjustedColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Year//Month,Start_Time(HHMM),End_Time(HHMM),Average_SZA,Average_AZM,Hourly_Average_ETR,Hourly_Average_ETRn,GHI,GTI(15:180),DrHI_Calc,DNI,DHI,PV_Power,PV_Power.1,Wind_Speed,Temperature
2020//01,0,100,158.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04,-247.7,0.0,0.41,4.55
2020//01,100,200,154.0,40.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.05,-246.81,0.0,0.32,4.11
2020//01,200,300,145.0,62.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.05,-245.18,0.0,0.23,3.63
2020//01,300,400,135.0,77.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.05,-245.48,0.0,0.22,3.48
2020//01,400,500,124.0,88.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.06,-244.27,0.0,0.23,3.3
2020//01,500,600,113.0,98.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.07,-244.11,0.0,0.13,3.23
2020//01,600,700,102.0,107.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.08,-245.37,0.0,0.1,3.23
2020//01,700,800,88.0,117.0,16.639,545.151,2.01,3.55,0.0,0.29,3.46,-241.61,0.0,0.17,3.25
2020//01,800,900,82.0,127.0,191.464,1406.687,44.15,52.33,6.13,35.96,40.38,-211.35,129.31,0.09,3.49
2020//01,900,1000,74.0,139.0,384.293,1406.678,123.29,152.61,29.16,107.36,97.53,30.84,983.73,0.29,4.76
2020//01,1000,1100,68.0,152.0,529.515,1406.67,185.21,240.23,58.38,151.45,131.45,335.96,2033.98,0.53,5.91
2020//01,1100,1200,64.0,167.0,616.307,1406.662,249.48,326.11,87.69,198.37,166.01,544.21,3097.37,0.6,6.83
2020//01,1200,1300,63.0,182.0,638.614,1406.655,252.01,329.64,82.73,181.97,175.57,508.4,3288.43,0.69,7.57
2020//01,1300,1400,65.0,198.0,594.892,1406.646,239.64,318.82,92.34,219.79,150.39,434.81,3139.84,0.76,8.04
2020//01,1400,1500,70.0,212.0,488.175,1406.638,191.09,252.97,68.48,192.03,122.69,295.1,2137.94,0.95,8.44
2020//01,1500,1600,76.0,225.0,325.997,1406.629,101.42,124.88,20.77,82.19,80.66,-44.8,695.82,0.91,8.27
2020//01,1600,1700,84.0,236.0,122.706,1339.23,28.31,29.74,1.3,6.59,26.06,-229.18,30.84,0.7,7.63
2020//01,1700,1800,92.0,246.0,2.88,151.025,1.31,1.27,0.0,0.0,1.03,-246.38,0.0,0.49,6.86
2020//01,1800,1900,105.0,256.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,-246.9,0.0,0.52,6.23
2020//01,1900,2000,116.0,265.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,-249.92,0.0,0.56,5.81
2020//01,2000,2100,127.0,275.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,-249.64,0.0,0.79,5.59
2020//01,2100,2200,138.0,288.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,-248.3,0.0,0.66,5.27
2020//01,2200,2300,148.0,304.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03,-248.61,0.0,0.53,4.98
2020//01,2300,2400,156.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03,-246.39,0.0,0.41,4.74
2020//02,0,100,150.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03,-247.52,0.0,0.16,2.65
2020//02,100,200,147.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04,-246.05,0.0,0.15,2.19
2020//02,200,300,140.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03,-248.71,0.0,0.2,1.82
2020//02,300,400,130.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03,-245.6,0.0,0.14,1.55
2020//02,400,500,120.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04,-245.45,0.0,0.28,1.53
