Station ID Number:,94040,-,-.1,-.2,-.3,Type of Measurement:,GHI,GHI_Tilt,DrHI_Calc,DNI,DHI,PV_Power,PV_Power.1,Wind_Speed,TEMPERATURE
Station Name:,ASO,-,-,-,-,Element:,1000,1160,2000,2010,3000,5161,5162,9210,9300
Station Location:,Ashland_Oregon_USA,-,-,-,-,Instrument Serial Number:,RSP(PY21090_GHI),LICOR(PY35962),RSP(PY21090_DNI),RSP(PY21090_DNI),RSP(PY21090_DHI),PV5kw,PV15kw,WS,TEMP
Latitude:,42.19441,-,-,-,-,Instrument Shorthand Name:,RSP,GHI_TILT,,RSP,RSP,PV5kw,PV15kw,WS,TEMP(ASO)
Longitude (+ East):,-122.69814,-,-,-,-,Responsivity:,9.0111,9.439430000000002,,9.0111,9.0111,160.,2.7777800000000004,1308.9005200000001,1000.0000000000001
Altitude (m):,594.,-,+-3_Degrees,+-7.5_Degrees,-,Estimated Uncertainty (U95%):,3.343,9.332,3.343,3.343,3.343,1.999,2.191,4.383,2.2
Time Zone (+ East):,-8.,-,DNI_WeightedSZA,Middle_of_hour,-,Sample Method:,Avg,Avg,-,Avg,Avg,Avg,Avg,Avg,Avg
Time Interval (Minutes):,5,-,-,-,-,Units:,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,Watts,Watts,m/s,C
Year//Month,2012//01,-,-,-,-,Column Notes:,AdjustedColumn,AdjustedColumn,CalculatedColumn,AdjustedColumn,AdjustedColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Year//Month,Start_Time(HHMM),End_Time(HHMM),Average_SZA,Average_AZM,Hourly_Average_ETR,Hourly_Average_ETRn,GHI,GHI_Tilt,DrHI_Calc,DNI,DHI,PV_Power,PV_Power.1,Wind_Speed,TEMPERATURE
2012//01,0,100,158.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-252.27,0.0,0.41,2.25
2012//01,100,200,154.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-251.78,0.0,0.45,2.04
2012//01,200,300,146.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-251.15,0.0,0.44,1.96
2012//01,300,400,135.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-248.66,0.0,0.52,1.88
2012//01,400,500,124.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-247.72,0.0,0.61,1.81
2012//01,500,600,113.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-248.19,0.0,0.57,1.65
2012//01,600,700,102.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-247.52,0.0,0.63,1.81
2012//01,700,800,88.0,116.0,16.415,505.345,4.12,4.39,0.05,1.32,4.05,-249.29,1.46,0.65,2.02
2012//01,800,900,82.0,127.0,192.132,1413.095,59.67,71.9,17.28,122.8,42.39,-5.45,502.39,0.53,2.27
2012//01,900,1000,74.0,138.0,385.827,1413.087,149.99,212.37,61.23,225.66,88.76,752.94,2351.35,0.63,3.27
2012//01,1000,1100,68.0,152.0,531.703,1413.08,237.15,326.85,102.28,276.84,134.87,1413.53,4335.47,0.66,4.62
2012//01,1100,1200,64.0,166.0,618.885,1413.072,310.29,435.47,151.57,348.53,158.73,2017.69,5967.14,0.82,5.53
2012//01,1200,1300,63.0,182.0,641.289,1413.063,335.06,477.41,187.09,418.14,147.97,2238.39,6537.41,0.87,6.13
2012//01,1300,1400,65.0,197.0,597.37,1413.055,317.71,451.46,175.35,421.15,142.37,1768.49,5910.92,0.89,6.86
2012//01,1400,1500,70.0,212.0,490.172,1413.047,234.02,331.06,116.81,344.2,117.21,586.86,3591.4,0.9,7.54
2012//01,1500,1600,76.0,225.0,327.264,1413.039,125.46,175.69,50.72,215.58,74.73,53.25,1188.1,0.77,7.65
2012//01,1600,1700,84.0,236.0,123.038,1344.571,25.28,26.73,0.72,3.97,24.56,-218.53,52.05,0.67,6.68
2012//01,1700,1800,92.0,246.0,2.836,151.715,1.24,1.1,0.0,0.01,1.24,-251.28,0.0,0.56,5.45
2012//01,1800,1900,105.0,256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-253.03,0.0,0.59,4.57
2012//01,1900,2000,116.0,265.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-253.34,0.0,0.6,3.99
2012//01,2000,2100,127.0,275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-253.91,0.0,0.69,3.76
2012//01,2100,2200,138.0,287.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-252.54,0.0,0.53,3.3
2012//01,2200,2300,148.0,304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-253.35,0.0,0.42,3.02
2012//01,2300,2400,156.0,329.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-252.64,0.0,0.38,2.57
2012//02,0,100,151.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-251.84,0.0,0.58,4.07
2012//02,100,200,147.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-252.84,0.0,0.54,3.83
2012//02,200,300,140.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-249.51,0.0,0.48,3.5
2012//02,300,400,131.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-249.48,0.0,0.51,3.29
