Time_Zone_(+East):,-8.,Sample Method:,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,-,-,-,-,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg
Time_Interval_(Minutes):,5,Units:,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,Watts,Watts,Watts,Watts,Watts,Watts,Watts,Watts,m/s,m/s,m/s,m/s,C,C,C,C
Years:,2007-2014,Column Notes:,AdjustedColumn,AdjustedColumn,AdjustedColumn,AdjustedColumn,AdjustedColumn,AdjustedColumn,AdjustedColumn,AdjustedColumn,CalculatedColumn,CalculatedColumn,CalculatedColumn,CalculatedColumn,AdjustedColumn,AdjustedColumn,AdjustedColumn,AdjustedColumn,AdjustedColumn,AdjustedColumn,AdjustedColumn,AdjustedColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn
-,-,-,After_Adjustments,After_Adjustments,After_Adjustments,After_Adjustments,-,-,-,-,-,-,-,-,After_Adjustments,After_Adjustments,After_Adjustments,After_Adjustments,After_Adjustments,After_Adjustments,After_Adjustments,After_Adjustments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MM/YY,Day Of Year,measurement:,Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh),Daily Total Energy (kWh),Daily Total Energy (kWh),Daily Total Energy (kWh),Daily Total Energy (kWh),Daily Total Energy (kWh),Daily Total Energy (kWh),Daily Total Energy (kWh),Average daily value,Average daily value,Average daily value,Average daily value,Minimum daily value,Minimum daily value,Minimum daily value,Minimum daily value
01//15,15,-,1.111,2.771,2.1125,2.427,1.245,4.317,3.0685000000000002,3.6375,0.055,2.343,1.2635,1.448,0.127,6.785,3.5820000000000003,4.035,0.424,1.31,0.8492500000000001,0.872,-0.263,14.246,7.0203750000000005,7.9435,15.063,56.93,38.67175,47.2335,0.02972222222222223,2.1730902777777774,0.5465277777777777,0.2375347222222222,-7.08,3.8200000000000003,-2.68375,-3.76
01//16,16,-,0.5720000000000001,2.817,2.0095,2.2830000000000004,0.589,4.406,2.91675,3.3655,0.0,2.384,1.217125,1.248,0.011,6.746,3.451,3.4135,0.383,1.289,0.79225,0.7095,-4.194,13.855,6.77625,8.681000000000001,4.215,57.319,36.318125,39.84,0.06298611111111112,1.8778819444444446,0.3151953125,0.09118055555555556,-6.86,8.14,-2.6587500000000004,-5.640000000000001
01//17,17,-,0.961,2.886,2.0957500000000002,2.3785,1.044,4.437,3.0255,3.4575,0.045,2.476,1.3102500000000001,1.32,0.125,7.051,3.71075,3.7235,0.384,1.374,0.785375,0.8295,-3.594,13.726,7.052625,10.329,11.465,56.222,36.23225,41.4435,0.07388888888888889,2.4994444444444444,0.4960503472222222,0.13272569444444443,-7.65,4.76,-3.005,-4.575
01//18,18,-,0.318,2.945,2.054125,2.5170000000000003,0.352,4.555,2.982625,3.698,0.0,2.552,1.37075,1.719,0.002,7.2780000000000005,3.855125,4.6815,0.318,1.206,0.683625,0.5335,-5.1850000000000005,15.291,7.0045,8.5805,1.639,58.99,37.409875,46.227999999999994,0.056076388888888884,3.7125694444444446,1.3159331597222224,0.14147569444444447,-4.86,11.76,0.5437500000000001,-1.23
01//19,19,-,0.555,2.97,2.06275,2.2344999999999997,0.581,4.567,2.947,3.117,0.0,2.556,1.294875,1.323,0.002,7.227,3.5816250000000003,3.5005,0.389,1.153,0.7678750000000001,0.7325,-4.172,15.642,6.747,6.7965,4.174,58.993,36.715,41.614999999999995,0.07697916666666667,4.174479166666667,1.0418142361111111,0.14899305555555556,-4.46,6.0600000000000005,-0.38375000000000004,-1.73
01//20,20,-,0.491,3.0140000000000002,2.10275,2.38,0.503,4.609,3.066875,3.5435,0.0,2.62,1.4568750000000001,1.699,0.0,7.399,3.98775,4.300000000000001,0.389,1.116,0.645875,0.5525,-4.51,16.45,6.647375,6.527500000000001,3.2720000000000002,58.141,37.368875,44.8595,0.0809375,3.7743055555555554,0.8432118055555555,0.15909722222222222,-5.36,5.51,-0.6537500000000002,-1.8250000000000002
01//21,21,-,1.069,3.0260000000000002,2.1681250000000003,2.2475,1.109,4.627,3.05125,3.0774999999999997,0.012,2.636,1.315375,1.266,0.031,7.382000000000001,3.5380000000000003,3.3295,0.391,1.2510000000000001,0.852875,0.891,-1.321,16.609,7.729500000000001,6.1530000000000005,12.168000000000001,59.918,38.676125,39.661500000000004,0.03940972222222222,2.7535416666666666,0.7178993055555556,0.1848611111111111,-5.66,3.93,-1.8125,-1.025
01//22,22,-,1.243,3.012,2.30125,2.4935,1.359,4.644,3.273375,3.4715,0.028,2.601,1.431875,1.5945,0.07,7.238,3.954625,4.3175,0.41000000000000003,1.453,0.86925,0.8295,0.40800000000000003,16.629,8.86125,7.4085,16.974,63.352000000000004,41.725125,44.041,0.06166666666666666,3.193159722222222,0.9315928819444445,0.20494791666666667,-4.2700000000000005,3.68,-1.21875,-0.8049999999999999
01//23,23,-,1.532,2.985,2.378625,2.576,1.62,4.714,3.44125,3.8665,0.07,2.599,1.52225,1.856,0.17300000000000001,7.140000000000001,4.01075,4.8995,0.385,1.462,0.85625,0.788,1.8760000000000001,16.6,9.555125,9.5875,20.107,60.881,43.992125,50.083,0.06083333333333333,3.3786805555555555,1.205546875,0.4783854166666666,-3.85,6.83,0.55375,-0.51
01//24,24,-,0.494,2.967,1.834875,1.8715,0.49,4.634,2.516625,2.428,0.0,2.507,1.00975,0.7035,0.0,6.88,2.690125,1.678,0.429,1.354,0.825,0.8215,-4.495,16.277,4.416,4.7075,3.434,57.902,30.435000000000002,29.841500000000003,0.15722222222222224,3.8180902777777783,1.334474826388889,0.3346875,-3.31,9.88,2.6475,2.305
01//25,25,-,0.741,3.015,1.828,1.564,0.716,4.687,2.430375,1.8570000000000002,0.0,2.5,0.87175,0.2535,0.0,6.7860000000000005,2.310625,0.6739999999999999,0.438,1.311,0.956125,1.1065,-3.216,16.539,4.6457500000000005,2.9625000000000004,6.588,58.664,30.32975,23.5225,0.09135416666666665,2.796076388888889,0.8366883680555556,0.1553472222222222,-3.59,5.96,1.46625,1.44
01//26,26,-,1.083,3.0540000000000003,2.06475,2.083,1.1260000000000001,4.724,2.71475,2.6275000000000004,0.044,2.623,0.913375,0.5840000000000001,0.093,7.031000000000001,2.3875,1.484,0.431,1.569,1.1512499999999999,1.1715,-0.913,17.066,6.020625,5.2275,12.476,53.49,33.93025,34.850500000000004,0.09822916666666666,2.7971527777777774,0.5155078125,0.19592013888888887,-3.5500000000000003,7.8,0.30874999999999997,-0.44
