Time_Zone_(+East):,-8.,Sample Method:,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,-,-,-,-,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg
Time_Interval_(Minutes):,5,Units:,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,Watts,Watts,Watts,Watts,Watts,Watts,Watts,Watts,m/s,m/s,m/s,m/s,C,C,C,C
Years:,2007-2014,Column Notes:,AdjustedColumn,AdjustedColumn,AdjustedColumn,AdjustedColumn,AdjustedColumn,AdjustedColumn,AdjustedColumn,AdjustedColumn,CalculatedColumn,CalculatedColumn,CalculatedColumn,CalculatedColumn,AdjustedColumn,AdjustedColumn,AdjustedColumn,AdjustedColumn,AdjustedColumn,AdjustedColumn,AdjustedColumn,AdjustedColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn
-,-,-,After_Adjustments,After_Adjustments,After_Adjustments,After_Adjustments,-,-,-,-,-,-,-,-,After_Adjustments,After_Adjustments,After_Adjustments,After_Adjustments,After_Adjustments,After_Adjustments,After_Adjustments,After_Adjustments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MM/YY,Day Of Year,measurement:,Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh),Daily Total Energy (kWh),Daily Total Energy (kWh),Daily Total Energy (kWh),Daily Total Energy (kWh),Daily Total Energy (kWh),Daily Total Energy (kWh),Daily Total Energy (kWh),Average daily value,Average daily value,Average daily value,Average daily value,Minimum daily value,Minimum daily value,Minimum daily value,Minimum daily value
02//16,47,-,2.206,3.857,3.039,3.0460000000000003,2.504,5.364,3.977125,4.03,0.305,3.076,1.711375,1.8610000000000002,0.681,7.106,3.744,3.9175000000000004,0.714,2.0300000000000002,1.327625,1.2005,2.673,21.121,13.057125,13.812999999999999,31.302,68.795,49.880125,49.9795,0.12194444444444447,1.7851388888888888,0.4848828125,0.3040277777777778,-1.77,4.66,1.17375,0.215
02//17,48,-,2.408,4.082,3.305875,3.3665000000000003,2.911,5.682,4.399625,4.377000000000001,0.625,3.523,2.09075,2.1495,1.495,8.077,4.632625,4.6715,0.515,1.881,1.215,1.134,8.332,22.858,14.898375,14.699,36.608000000000004,72.37,55.561875,56.6775,0.23916666666666664,1.029097222222222,0.4818923611111111,0.33130208333333333,-1.86,2.59,0.03249999999999996,-0.175
02//18,49,-,2.06,4.157,3.32125,3.5635000000000003,2.2560000000000002,5.8580000000000005,4.3615,4.7165,0.18,3.672,1.9945000000000002,2.115,0.451,8.344,4.483874999999999,4.9105,0.485,2.436,1.326625,1.3955,4.979,23.706,14.942,15.006499999999999,27.830000000000002,75.371,55.468125,59.244,0.34569444444444447,1.6503472222222222,0.8005846218060395,0.617494737224158,-1.8900000000000001,2.96,0.007499999999999951,-0.47
02//19,50,-,1.447,4.081,2.802,2.8855000000000004,1.446,5.816,3.473125,3.387,0.0,3.464,1.252,0.7615000000000001,0.002,7.7620000000000005,2.72675,1.6795,0.618,2.438,1.55,1.6105,0.20500000000000002,23.283,10.311375,8.212,15.827,73.858,43.583,44.951499999999996,0.07798611111111112,2.752638888888889,0.5965711805555556,0.3123611111111111,-3.52,4.97,0.11999999999999998,-0.285
02//20,51,-,2.012,4.15,3.0053750000000004,2.9370000000000003,2.309,5.894,3.83175,3.699,0.272,3.498,1.496625,1.1015000000000001,0.79,7.711,3.156125,2.2355,0.652,2.177,1.50875,1.608,1.2730000000000001,23.68,12.852375,13.171,29.908,75.155,49.222,47.938500000000005,0.09819444444444445,0.5536458333333333,0.2936328125,0.2949131944444444,-1.44,2.72,0.33125000000000004,0.034999999999999996
02//21,52,-,0.8260000000000001,4.226,2.6545,2.6855,0.811,5.981,3.337,3.1814999999999998,0.0,3.54,1.26975,0.8200000000000001,0.009000000000000001,7.727,2.684,1.616,0.686,1.991,1.3847500000000001,1.6345,-4.202,24.150000000000002,10.41225,9.84,8.522,76.161,42.05075,40.837,0.030104166666666668,2.4029166666666666,0.7346006944444444,0.34446180555555556,-1.97,6.140000000000001,0.9850000000000001,0.8600000000000001
02//22,53,-,1.303,4.357,2.66,2.502,1.367,5.968,3.312875,2.976,0.0,3.864,1.22975,0.7765,0.001,8.402000000000001,2.4865000000000004,1.432,0.493,1.9040000000000001,1.430375,1.532,-6.156,23.877,9.347285714285714,6.5760000000000005,0.0,72.96300000000001,39.947625,37.698499999999996,0.012326388888888888,2.3040624999999997,0.7644878472222222,0.4502951388888889,-2.12,6.93,0.8312499999999999,-0.86
02//23,54,-,1.104,4.1770000000000005,2.8070000000000004,2.857,1.177,5.8580000000000005,3.4625000000000004,3.242,0.0,3.3850000000000002,1.289125,0.74,0.001,7.266,2.676625,1.5394999999999999,0.791,2.398,1.5177500000000002,1.549,-6.226,23.208000000000002,8.65575,6.0965,0.0,73.06700000000001,33.2015,26.5195,0.10420138888888891,2.618333333333333,0.9161588541666666,0.3454861111111111,-2.06,3.1,-0.1625,-0.5950000000000001
02//24,55,-,1.5050000000000001,4.388,2.8697500000000002,2.599,1.582,6.171,3.52575,2.9815,0.0,3.8000000000000003,1.25875,0.567,0.0,8.181000000000001,2.6608750000000003,1.1225,0.588,2.13,1.610875,1.8415,-6.15,24.458000000000002,9.149125,8.690999999999999,0.0,75.72500000000001,29.309125,29.073999999999998,0.13409722222222223,2.485138888888889,0.8983854166666667,0.405,-3.09,5.98,1.16375,1.8650000000000002
02//25,56,-,1.68,4.389,3.087125,3.1045,1.802,5.871,3.77775,3.7775,0.051000000000000004,3.477,1.38975,1.0705,0.166,7.203,2.877625,2.404,0.912,2.356,1.697375,1.6705,-6.176,22.538,10.660875,12.897,0.0,70.728,35.20125,40.123000000000005,0.21315972222222224,2.1039930555555557,0.6675173611111112,0.5146701388888888,-5.63,4.0600000000000005,0.4362500000000001,0.885
02//26,57,-,1.079,4.08,2.735875,2.5164999999999997,1.074,5.337,3.29775,2.954,0.0,2.73,1.171875,0.8935,0.012,5.484,2.263875,1.4585,1.078,1.934,1.56375,1.5945,-5.282,20.846,6.735125,3.163,0.0,69.42,25.08775,23.267000000000003,0.17020833333333332,3.3789930555555556,1.0321093749999999,0.37772569444444437,-10.33,9.06,0.10125000000000015,-0.6849999999999999
02//27,58,-,1.596,4.578,3.53425,3.9255000000000004,1.6300000000000001,6.322,4.50325,5.011,0.14200000000000002,4.033,2.1153750000000002,2.239,0.253,8.488,4.205,4.4785,0.545,2.134,1.4188749999999999,1.446,-3.501,26.801000000000002,15.20525,17.48,0.0,81.365,46.855125,59.0065,0.2539583333333333,1.0719444444444446,0.48225260416666665,0.36045138888888884,-2.74,4.68,-0.5512500000000001,-1.25
02//28,59,-,1.443,4.757,2.645625,2.216,1.54,6.255,3.156625,2.5555000000000003,0.003,3.845,0.982375,0.2465,0.011,7.924,2.020125,0.5125,0.912,2.579,1.663375,1.6285,0.672,26.413,9.0745,3.7,0.0,79.31,36.829625,31.230000000000004,0.15416666666666667,2.6298958333333338,1.1204644097222223,0.8655208333333335,-3.69,6.18,0.705,-0.145
03//01,60,-,1.5210000000000001,4.357,2.6553750000000003,2.5905,1.647,5.614,3.13275,2.911,0.0,2.916,0.896875,0.49350000000000005,0.0,5.808,1.719125,0.7945,1.441,2.113,1.7585,1.689,-1.7870000000000001,22.334,8.631,8.4175,13.929,53.432,35.567750000000004,36.825500000000005,0.04725694444444444,3.2611458333333334,1.239609375,0.5977951388888889,-1.62,11.02,3.78625,4.02
03//02,61,-,1.461,3.092,2.258875,2.169,1.408,3.541,2.5223750000000003,2.507,0.0,1.116,0.439875,0.35650000000000004,0.008,1.94,0.8955,0.7625,1.461,2.345,1.819125,1.76,-1.8,11.793000000000001,5.510625,5.720000000000001,18.107,42.279,29.503,30.002499999999998,0.0390625,1.2688541666666666,0.6249609374999999,0.6327256944444444,0.08,7.05,3.38125,3.1950000000000003
03//03,62,-,1.95,4.768,3.28825,3.1660000000000004,2.214,6.269,4.053375,3.752,0.303,4.014,1.7393750000000001,1.1525,0.537,7.98,3.456,2.181,0.754,2.05,1.548625,1.7085,4.611,27.668,13.867625,11.9695,24.46,83.513,51.9965,47.486999999999995,0.18597222222222223,1.262048611111111,0.6062456597222222,0.45243055555555556,-3.46,7.48,1.3575000000000002,1.215
03//04,63,-,1.667,4.703,3.468,3.8195,1.7750000000000001,6.238,4.22775,4.640000000000001,0.169,3.407,1.580625,1.475,0.278,6.913,3.07125,2.6929999999999996,1.291,2.489,1.8872499999999999,2.047,1.873,25.631,14.49325,13.803,20.61,77.477,54.4045,60.912,0.10322916666666665,1.2474305555555556,0.5819965277777778,0.3102951388888888,-2.31,5.21,0.5775,-0.07999999999999999
03//05,64,-,1.461,4.812,3.056375,3.066,1.472,6.388,3.6875,3.7075,0.0,3.823,1.364,1.1340000000000001,0.004,7.45,2.4995000000000003,1.8675,0.99,2.319,1.6925000000000001,1.8439999999999999,0.748,26.373,11.853,10.048000000000002,17.259,79.633,47.533500000000004,48.728,0.13857638888888887,2.2886458333333337,0.6260460069444445,0.3234375,-2.34,9.75,2.20125,0.815
03//06,65,-,2.1630000000000003,5.232,3.5965000000000003,3.56,2.327,6.923,4.321875,4.2275,0.202,4.642,1.7065000000000001,1.4140000000000001,0.327,9.349,3.4082500000000002,2.848,0.59,2.575,1.8900000000000001,2.0945,5.847,29.874000000000002,14.8435,12.207,29.197,88.97500000000001,54.812625000000004,54.044,0.1773611111111111,2.1025694444444443,0.763454861111111,0.6821006944444445,-3.31,4.37,1.17,1.315
03//07,66,-,1.695,5.0520000000000005,3.596625,3.7110000000000003,1.741,6.458,4.392625,4.3235,0.084,4.388,1.87125,1.0695,0.162,8.274000000000001,3.4965,2.234,0.664,2.71,1.7255,1.78,-0.8310000000000001,27.597,15.92425,16.162,21.813,79.848,56.438250000000004,57.0495,0.23170138888888886,0.875173611111111,0.4779123263888889,0.44199652777777776,-2.7600000000000002,2.83,-0.33375,-0.5
03//08,67,-,1.903,5.2700000000000005,3.331,2.7560000000000002,2.119,6.876,3.992125,3.043,0.026000000000000002,4.665,1.6643750000000002,0.577,0.048,9.271,3.1841250000000003,1.0394999999999999,0.604,2.5220000000000002,1.66625,1.8610000000000002,4.406,28.900000000000002,14.219000000000001,9.079,26.859,84.805,50.863,38.8995,0.12378472222222221,0.7575,0.3987282986111111,0.3871354166666667,-5.18,3.16,-1.0,-1.5350000000000001
03//09,68,-,1.314,5.364,3.801,3.8585,1.298,6.885,4.69125,4.7135,0.002,4.777,2.294,1.955,0.004,9.365,4.310625,3.0885,0.587,2.751,1.50675,1.4180000000000001,0.278,29.6,17.845,18.244500000000002,13.091000000000001,87.434,59.267125,62.082,0.13979166666666665,2.052048611111111,0.7809852430555555,0.5361979166666666,-3.75,7.65,1.35125,1.335
03//10,69,-,2.273,5.221,4.05625,4.12,2.561,6.914,4.999875,5.0600000000000005,0.46900000000000003,4.521,2.519,2.5375,0.72,8.728,4.65875,4.902,0.7000000000000001,2.214,1.537125,1.5665,6.782,28.346,19.674625,19.817,30.529,85.98100000000001,63.33025,64.7435,0.11027777777777777,1.0172916666666667,0.4255859375,0.37053819444444447,-2.04,1.94,0.27375,0.69
03//11,70,-,1.9160000000000001,5.442,4.28925,4.7245,2.121,6.9270000000000005,5.3185,5.974,0.112,4.847,2.7912500000000002,3.2190000000000003,0.17500000000000002,9.279,5.13725,5.878500000000001,0.595,2.448,1.497875,1.5055,3.983,30.237000000000002,20.966625,23.627000000000002,25.921,87.757,67.761875,74.019,0.20750000000000002,1.959340277777778,0.7840494791666667,0.46434027777777775,-5.29,4.2,0.74875,1.29
03//12,71,-,1.237,5.539,3.936125,4.138,1.327,7.0760000000000005,4.8075,4.9415,0.056,4.922,2.382625,2.1915,0.211,9.399000000000001,4.51125,4.2135,0.617,2.703,1.5535,1.4540000000000002,-0.659,29.722,18.027125,18.9585,13.541,88.12,59.712375,63.1595,0.2777777777777778,2.129965277777778,0.8844053819444445,0.5701909722222223,-2.54,7.3500000000000005,2.5375,1.715
03//13,72,-,2.328,5.338,4.0975,4.351,2.658,6.852,4.96575,5.056,0.528,4.356,2.222,2.0885,0.758,8.117,3.9951250000000003,3.8710000000000004,0.982,2.7640000000000002,1.875375,1.9395000000000002,7.506,28.385,19.147125,19.9155,35.247,86.46000000000001,63.817875,65.6595,0.25940972222222225,2.5076736111111106,0.8611979166666667,0.4023784722222222,-0.98,7.28,2.1037500000000002,1.4849999999999999
03//14,73,-,1.968,4.933,3.7545,3.7560000000000002,2.027,6.319,4.474375,4.5525,0.045,3.557,1.72225,1.371,0.124,6.16,3.03625,2.3165,1.268,2.86,2.032375,2.0170000000000003,3.607,26.558,15.3645,15.1565,25.106,83.227,53.187000000000005,53.017,0.21656249999999996,1.0107291666666667,0.5213628472222223,0.47534722222222225,-2.79,4.75,2.00375,2.875
03//15,74,-,1.408,5.405,3.68825,3.857,1.45,6.848,4.445125,4.676,0.002,4.6290000000000004,2.192875,1.952,0.004,8.314,4.0145,3.5955,0.776,2.322,1.4955,1.4415,0.657,28.236,16.258875,17.761000000000003,17.192,86.702,55.67475,58.812000000000005,0.23302083333333334,1.3998958333333333,0.6893619791666667,0.4970833333333333,-0.24,4.34,2.035,1.875
03//16,75,-,1.451,5.49,3.497375,3.234,1.548,6.763,4.128125,3.637,0.015,4.548,1.692625,0.926,0.021,8.487,3.071875,1.6085,0.88,2.396,1.80475,1.933,0.887,27.963,14.5345,12.3295,17.133,85.507,51.677125000000004,45.88550000000001,0.15256944444444442,2.025625,0.7394965277777777,0.48597222222222225,0.24,7.72,3.61625,3.6550000000000002
03//17,76,-,2.161,5.397,4.26125,4.508,2.497,6.707,5.081875,5.459,0.56,4.605,2.3995,2.406,0.797,8.589,4.238,4.2295,0.792,2.5220000000000002,1.862,2.0105,6.111,27.254,19.9415,22.3765,31.391000000000002,84.81,64.39875,70.1735,0.3237152777777778,1.6090972222222222,0.7758637152777778,0.6450520833333333,-0.79,4.92,2.3000000000000003,2.84
03//18,77,-,1.727,5.7940000000000005,4.5196250000000004,5.3725000000000005,1.871,7.256,5.554250000000001,6.611000000000001,0.003,5.112,3.104375,4.0435,0.006,9.296,5.5735,7.1080000000000005,0.682,2.499,1.415375,1.3485,2.819,30.973,21.945875,27.360500000000002,22.242,90.254,69.385875,81.892,0.13374999999999998,0.5638194444444444,0.36375,0.3583159722222222,-2.58,5.0600000000000005,0.23000000000000007,0.30500000000000005
03//19,78,-,2.486,5.78,4.074,3.6980000000000004,2.71,7.3340000000000005,4.86,4.234500000000001,0.626,4.872,2.2211250000000002,1.3635000000000002,1.029,8.602,3.809375,2.206,0.908,2.485,1.852625,2.064,6.989,30.419,18.334875,15.443000000000001,24.11,89.952,59.081,55.357,0.18802083333333336,1.1263194444444444,0.6067447916666667,0.49687500000000007,-2.74,5.72,1.7625,1.675
03//20,79,-,1.496,5.813,3.55975,3.42,1.5210000000000001,7.017,4.134125,3.8200000000000003,0.013000000000000001,4.627,1.618125,0.9995,0.031,7.8020000000000005,2.799125,1.739,1.186,2.884,1.941625,2.0295,1.0170000000000001,29.975,14.466625,12.8215,0.0,85.196,46.877250000000004,43.289500000000004,0.2592361111111111,1.6875694444444445,0.7969704861111111,0.7199652777777777,-3.36,3.12,1.735,2.675
03//21,80,-,2.648,5.963,4.04375,3.7355,2.815,7.315,4.734,4.3045,0.038,5.1000000000000005,2.055625,1.258,0.085,9.105,3.678,2.4219999999999997,0.791,2.609,1.988,2.3135000000000003,7.98,31.287,17.87875,15.6485,0.0,94.143,55.386875,56.073,0.30409722222222224,0.7780208333333333,0.5429210069444445,0.5110937500000001,-1.78,6.84,1.93625,1.7850000000000001
03//22,81,-,2.656,6.009,4.990875,5.414,3.0660000000000003,7.376,6.0043750000000005,6.5105,1.091,5.175,3.2555,3.5585000000000004,1.962,9.179,5.608375,6.0954999999999995,0.834,2.466,1.735125,1.6364999999999998,8.624,31.181,24.506,27.582500000000003,0.0,89.37,67.39875,83.3195,0.26944444444444443,1.9434722222222223,0.75265625,0.5713194444444445,-2.7600000000000002,2.66,0.04374999999999999,0.1
03//23,82,-,2.999,6.0200000000000005,4.99,5.458,3.315,7.351,5.940625,6.537,0.485,5.066,2.970625,3.665,0.738,8.913,5.146,6.484,0.9540000000000001,2.89,2.019375,1.9300000000000002,10.557,30.182000000000002,24.05375,27.335500000000003,0.0,92.313,70.080125,83.2675,0.27649305555555553,2.7837499999999995,0.6859635416666666,0.37831597222222224,-4.32,6.24,-0.0375,-0.8300000000000001
03//24,83,-,2.908,5.83,4.75425,5.177,3.211,7.255,5.657875,6.2305,0.297,4.3870000000000005,2.75975,3.1885000000000003,0.584,7.474,4.602875,5.1395,1.342,2.802,1.9945,2.0075,10.249,30.658,22.6465,25.831,0.0,87.58,60.892375,72.9135,0.40746527777777775,2.3774999999999995,0.9704253472222222,0.42734375,-2.48,6.16,1.6525,2.3449999999999998
03//25,84,-,1.111,5.3,3.01125,2.7720000000000002,1.127,6.493,3.3135,3.028,0.0,2.982,0.702125,0.36550000000000005,0.005,4.479,1.173125,0.565,1.111,2.9410000000000003,2.3087500000000003,2.3655,-6.062,14.629,6.330375,6.818,0.0,50.550000000000004,30.72275,32.963,0.20541666666666666,2.971319444444445,0.8339713541666667,0.4647569444444444,1.11,5.8100000000000005,3.4762500000000003,3.375
03//26,85,-,2.1,5.1450000000000005,3.7212500000000004,3.67,2.294,6.284,4.19175,3.9290000000000003,0.23700000000000002,2.71,1.18075,0.8795,0.383,4.63,1.981875,1.405,1.863,2.907,2.5402500000000003,2.5250000000000004,-6.043,24.472,13.735125,13.7795,0.0,76.248,50.24625,49.072,0.14777777777777776,0.97375,0.5308420138888889,0.5536284722222222,0.52,6.8100000000000005,3.20125,2.93
03//27,86,-,1.709,5.91,3.7422500000000003,3.617,1.7690000000000001,7.126,4.29025,3.9379999999999997,0.04,4.767,1.644625,0.7635,0.056,8.127,2.81175,1.4055,1.143,2.979,2.0976250000000003,2.069,-6.094,30.717000000000002,12.580625000000001,9.2775,0.0,90.74,46.505875,38.8335,0.41378472222222223,2.524791666666667,0.9988454861111112,0.6511111111111112,-0.34,4.75,1.90375,1.155
03//28,87,-,3.112,6.253,4.50875,4.612,3.17,7.5360000000000005,5.214125,5.4385,0.249,5.224,2.17925,2.1445,0.394,8.965,3.6145,3.1290000000000004,1.03,2.89,2.329625,2.5995,-6.056,33.253,18.319625000000002,20.9175,0.0,99.264,62.275000000000006,69.416,0.24024305555555556,2.4363194444444445,1.005763888888889,0.6329861111111111,-1.45,8.67,3.43125,3.465
03//29,88,-,1.678,6.275,3.831125,3.659,1.75,7.492,4.379875,4.179,0.023,5.349,1.74775,0.9145,0.04,9.102,2.874625,1.419,0.926,3.0420000000000003,2.083375,2.202,-6.09,31.564,12.95675,11.099499999999999,0.0,94.694,47.50775,43.1405,0.09836805555555556,1.1725,0.6153298611111111,0.4447048611111111,-2.17,5.86,2.03625,2.29
03//30,89,-,2.735,6.142,4.857875,5.488,3.005,7.394,5.657875,6.564500000000001,0.438,4.567,2.715875,3.5650000000000004,0.845,7.893,4.581375,5.859,1.438,2.999,2.141875,2.107,-6.062,31.952,20.644125,26.566,0.0,95.96600000000001,68.20175,83.5565,0.25461805555555556,2.950798611111111,0.7340581597222222,0.4231076388888888,-3.83,7.47,2.25875,2.24
03//31,90,-,1.844,6.549,4.265375000000001,4.269500000000001,1.792,7.687,4.866375000000001,4.861000000000001,0.002,5.2090000000000005,1.9777500000000001,1.4180000000000001,0.004,8.579,3.152,2.3265000000000002,0.9420000000000001,3.473,2.287625,2.1875,-6.0840000000000005,34.197,12.5195,11.220500000000001,0.0,100.44800000000001,54.85825,62.682500000000005,0.31083333333333335,1.985798611111111,0.8814279513888889,0.5984895833333334,-1.99,10.02,4.03,3.095
04//01,91,-,2.725,6.066,4.09225,3.782,3.023,7.2330000000000005,4.598375000000001,3.9835000000000003,0.046,4.464,1.582875,1.026,0.07200000000000001,7.059,2.467625,1.5845,1.5170000000000001,3.114,2.50925,2.622,-6.18,30.351,13.164625000000001,14.697,0.0,96.227,55.3025,51.968,0.27475694444444443,2.1226041666666666,0.6091623263888889,0.4234027777777778,-4.64,8.11,2.36625,3.85
04//02,92,-,2.286,6.5600000000000005,4.810875,5.3535,2.57,7.838,5.601375,6.2275,0.123,5.444,2.971875,3.1905,0.248,8.8,4.742,4.8415,1.048,2.444,1.838875,1.941,-6.186,33.847,17.743750000000002,25.4835,0.0,101.872,65.748375,77.112,0.37138888888888894,1.698576388888889,0.7284635416666667,0.5701736111111111,-3.69,8.55,2.43875,2.315
04//03,93,-,2.959,6.6850000000000005,4.887875,4.792,2.958,7.9270000000000005,5.569625,5.357,0.058,5.7010000000000005,2.3777500000000003,1.8120000000000003,0.08700000000000001,9.858,3.92,2.7225,0.983,3.644,2.510125,2.8225000000000002,-6.183,33.763,14.154,15.394,0.0,100.674,60.538375,65.6815,0.1732986111111111,0.9563194444444443,0.510407986111111,0.40008680555555554,-2.68,5.11,1.47875,1.17
04//04,94,-,3.318,6.9190000000000005,4.742625,3.9210000000000003,3.4050000000000002,8.381,5.39975,4.3325,0.468,6.111,2.599,1.478,0.8220000000000001,10.564,4.3576250000000005,2.366,0.808,2.869,2.1437500000000003,2.2345,-6.229,32.048,13.051625,14.4015,0.0,106.938,61.701875,54.4585,0.255,1.8369791666666666,0.8961458333333333,0.5938541666666668,-3.16,8.870000000000001,2.95375,3.24
04//05,95,-,2.7800000000000002,6.916,4.736875,4.53,2.903,8.304,5.4345,5.0855,0.389,6.015000000000001,2.6075,2.14,0.896,10.277000000000001,4.31275,3.295,0.8190000000000001,3.4,2.129375,2.2590000000000003,-6.208,31.115000000000002,13.279375,14.527000000000001,0.0,103.437,61.922625000000004,63.790000000000006,0.39795138888888887,1.9932291666666666,0.7327126736111111,0.5096875000000001,-1.43,6.25,3.2675,3.87
04//06,96,-,2.722,6.759,4.506125,4.156499999999999,2.886,8.012,5.095125,4.5954999999999995,0.027,5.833,2.28825,1.3875,0.054,9.499,3.646875,2.2405,0.925,3.025,2.2175,2.684,-6.174,29.763,11.682875000000001,11.0935,0.0,99.86500000000001,56.991,56.448499999999996,0.2874305555555556,0.5728472222222223,0.40706597222222224,0.3726909722222222,0.16,7.930000000000001,3.46375,1.79
04//07,97,-,2.2800000000000002,6.75,4.759875,4.676500000000001,2.258,7.83,5.447375,5.358499999999999,0.021,5.679,2.692125,2.432,0.028,9.383000000000001,4.3343750000000005,3.619,1.071,2.844,2.067625,2.054,-6.099,32.169000000000004,15.31075,15.987,0.0,97.238,55.486000000000004,55.226,0.2742708333333333,0.885625,0.5160286458333333,0.49223958333333334,-0.59,6.1000000000000005,2.105,2.085
04//08,98,-,3.604,6.433,5.300125,5.343500000000001,3.926,7.473,6.00375,6.0415,0.5680000000000001,4.356,2.5985,2.491,0.848,6.993,4.06975,4.1505,2.071,3.3040000000000003,2.701625,2.7185,-6.08,31.775000000000002,20.589875,23.947000000000003,0.0,96.296,66.06775,74.7375,0.4229513888888889,0.9860416666666667,0.6053776041666666,0.5080902777777778,-0.36,7.2700000000000005,2.8825,1.29
04//09,99,-,2.5500000000000003,6.87,5.563625,5.855,2.699,8.177,6.3855,6.769,0.11,5.9830000000000005,3.190125,3.141,0.146,9.975,5.2528749999999995,4.985,0.887,3.662,2.374,2.2685,-6.065,34.202,21.467,24.688499999999998,0.0,101.916,68.281625,76.599,0.3009722222222222,1.5973958333333331,0.6410243055555556,0.49539930555555556,-3.8200000000000003,5.57,2.39875,3.24
04//10,100,-,3.005,6.977,4.9190000000000005,5.0585,3.255,8.141,5.53975,5.709,0.126,5.921,2.3708750000000003,1.7770000000000001,0.229,9.333,3.59525,2.441,1.055,3.541,2.548,2.9219999999999997,-6.096,34.364,17.88625,19.182000000000002,0.0,104.46900000000001,60.54237500000001,63.998000000000005,0.35138888888888886,1.4257291666666667,0.6437152777777778,0.5450347222222223,0.29,8.66,3.25375,3.0250000000000004
04//11,101,-,2.43,7.023000000000001,4.985,4.941,2.665,7.9590000000000005,5.642625,5.5875,0.03,6.159,2.691,1.4555,0.054,10.259,4.304375,2.1405000000000003,0.804,3.6790000000000003,2.293875,2.5389999999999997,-6.091,34.837,20.280875,21.848,0.0,102.648,66.4135,72.398,0.3338888888888889,1.5804861111111113,0.8086848958333334,0.7287673611111111,1.6400000000000001,6.18,3.5425,3.66
04//12,102,-,3.352,7.266,5.561,6.089,3.724,8.253,6.28925,6.9905,0.41600000000000004,6.296,3.27775,3.4485,0.5650000000000001,10.565,5.235375,5.2524999999999995,0.8150000000000001,3.876,2.283,2.4444999999999997,-6.1160000000000005,34.393,22.190625,28.366500000000002,0.0,103.124,72.534875,89.4165,0.3107638888888889,1.3186458333333335,0.6439149305555556,0.5888194444444445,-1.93,4.66,2.22125,2.285
04//13,103,-,3.415,7.376,5.347625,5.271,3.719,8.344,6.0257499999999995,5.9415,0.31,6.572,3.15675,2.8205,0.385,10.887,4.9433750000000005,3.857,0.797,3.205,2.19075,2.4505,-6.128,33.752,20.519375,23.704,0.0,100.783,67.33325,74.866,0.24003472222222222,1.6497916666666668,0.9263802083333333,0.8733680555555556,-0.2,6.15,3.145,3.1950000000000003
04//14,104,-,2.303,6.089,4.52825,4.336,2.432,6.683,4.950875,4.585,0.132,3.4530000000000003,1.5235,0.8965000000000001,0.234,5.405,2.398125,1.6244999999999998,2.172,3.9410000000000003,3.00475,2.9065000000000003,-6.089,26.343,15.524000000000001,17.076,0.0,83.776,55.342125,59.349000000000004,0.4390277777777778,1.1297916666666667,0.6431857638888889,0.5774305555555556,0.24,5.92,2.81375,2.775
04//15,105,-,1.885,7.208,5.0672500000000005,5.3415,1.996,8.278,5.654625,6.021,0.0,5.871,2.8015000000000003,2.505,0.012,8.925,4.370875,4.1435,1.216,2.95,2.2655,2.444,-6.094,35.72,18.16025,19.0685,0.0,106.17,60.24075,59.404,0.37197916666666664,1.1558333333333333,0.7516883680555556,0.7330381944444445,0.02,7.140000000000001,3.25125,2.895
04//16,106,-,2.828,7.183,5.1675,5.259500000000001,2.997,7.978,5.72975,5.968,0.379,5.986,2.51725,2.1365000000000003,0.533,9.734,4.02425,3.3480000000000003,1.197,3.41,2.6505,2.581,-6.093,32.827,17.105249999999998,16.2975,0.0,93.794,58.004625000000004,56.0,0.3455555555555556,0.8390972222222222,0.5019357638888889,0.4747222222222222,-2.44,9.14,2.77625,2.81
