MM/DD,Day Of Year,measurement:,Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh),Daily Total Energy (kWh),Daily Total Energy (kWh),Daily Total Energy (kWh),Daily Total Energy (kWh),Daily Total Energy (kWh),Daily Total Energy (kWh),Daily Total Energy (kWh),Average daily value,Average daily value,Average daily value,Average daily value,Minimum daily value,Minimum daily value,Minimum daily value,Minimum daily value,Minimum daily value,Minimum daily value,Minimum daily value,Minimum daily value
01//31,31,-,0.443,3.278,2.179736842105263,2.165,0.42,4.851,2.6839411764705883,2.549,0.0,2.742,1.1130526315789473,0.611,0.0,7.1690000000000005,2.8097368421052633,1.347,0.418,1.774,1.0666315789473684,0.9400000000000001,-5.901,18.081,6.423894736842105,6.779,2.49,62.778,34.35926315789474,32.254,0.023055555555555555,1.5484722222222222,0.32662083333333336,0.22815972222222222,-5.37,8.73,-0.805,-0.8,-5.37,14.81,4.5555,4.44
02//01,32,-,0.858,3.354,2.0036,1.877,0.846,5.087,2.7063888888888887,2.591,0.002,2.94,0.9268500000000001,0.395,0.014,7.525,2.3187,1.0585,0.41400000000000003,1.554,1.0768,1.0915,-5.886,19.489,5.1049,5.459,5.0,62.198,31.1572,28.859,0.08277777777777778,1.5781944444444445,0.3806173611111111,0.2694270833333333,-4.48,4.6000000000000005,-0.12333333333333339,-0.37,-4.48,14.620000000000001,5.10475,4.87
02//02,33,-,0.803,3.266,2.3671,2.4635,0.767,4.807,3.2360555555555557,3.2984999999999998,0.001,2.778,1.24685,1.1360000000000001,0.004,6.752,3.0719,2.8165,0.47900000000000004,1.745,1.12035,1.1995,-5.896,18.103,7.6833,6.9275,6.854,63.032000000000004,38.4321,41.212500000000006,0.031006944444444445,3.0653125,0.7110263888888889,0.3105381944444444,-3.75,8.36,0.8405555555555555,-0.72,-3.75,18.72,6.09575,5.890000000000001
02//03,34,-,0.863,3.472,2.355578947368421,2.361,0.835,5.091,3.2988823529411766,3.13,0.0,2.923,1.321263157894737,0.852,0.0,7.352,3.2150000000000003,2.071,0.457,1.703,1.0343157894736843,0.99,-4.187,20.406,8.69778947368421,8.219,6.008,68.537,38.808052631578946,36.787,0.07190972222222221,2.8280208333333334,0.5755291666666666,0.28579861111111116,-3.44,7.8500000000000005,1.6177777777777778,0.9750000000000001,-3.44,20.94,6.40575,6.745
02//04,35,-,0.633,3.498,2.39745,2.372,0.631,5.099,3.2403333333333335,3.208,0.0,3.032,1.19185,0.8725,0.004,7.640000000000001,2.8484000000000003,2.156,0.466,1.798,1.2056,1.3195000000000001,-3.94,20.826,8.949473684210526,8.057,4.476,69.167,40.669000000000004,38.591,0.07069444444444445,2.9212847222222225,0.5828184027777777,0.2656597222222222,-3.39,7.18,1.3855555555555554,0.325,-5.17,18.080000000000002,5.926,5.67
02//05,36,-,1.2790000000000001,3.529,2.33405,2.335,1.3780000000000001,5.139,3.1764444444444444,3.0709999999999997,0.001,3.098,1.0707,0.748,0.003,7.748,2.5885000000000002,1.7825,0.431,1.735,1.26335,1.3115,-2.317,21.215,8.906263157894736,8.282,11.501,69.674,38.80721052631579,36.948,0.04274305555555554,2.6331597222222225,0.7394229166666667,0.40145833333333336,-4.2700000000000005,9.03,0.8377777777777777,-0.005000000000000001,-4.2700000000000005,15.120000000000001,5.79675,6.26
02//06,37,-,0.743,3.628,2.2568,2.3790000000000004,0.776,5.274,3.0235555555555558,3.2845,0.0,3.207,1.0784,0.8645,0.0,7.962,2.5613,1.8170000000000002,0.421,2.025,1.1784,1.255,-3.9650000000000003,22.213,7.643105263157895,7.3950000000000005,4.865,71.991,35.87342105263158,36.33,0.04876388888888888,3.950277777777779,1.0098090277777778,0.42669444444444443,-2.2600000000000002,7.74,1.5611111111111111,1.3,-3.23,18.97,6.3515,4.875
02//07,38,-,1.2630000000000001,3.7,2.5314,2.5300000000000002,1.28,5.377,3.3615555555555554,3.511,0.024,3.286,1.32305,1.1190000000000002,0.057,8.098,3.07755,2.7065,0.41300000000000003,1.994,1.2084000000000001,1.2455,0.136,22.472,9.8181,9.239,14.530000000000001,71.586,38.2787,35.3985,0.13600694444444444,2.545729166666667,0.7906041666666667,0.3156597222222222,-3.16,7.87,1.5105555555555557,1.415,-5.92,18.57,6.297750000000001,5.01
02//08,39,-,0.897,3.658,2.243,1.931,0.931,5.428,2.9296111111111114,2.495,0.0,3.184,1.0131000000000001,0.7625,0.0,7.683,2.45545,1.9245,0.449,1.827,1.2299,1.339,-4.027,21.969,7.32015,2.77,9.376,70.702,34.1092,24.066000000000003,0.029409722222222226,3.3634375000000003,0.7497305555555556,0.2744270833333333,-6.42,14.17,0.9100000000000001,0.05499999999999999,-6.42,23.330000000000002,5.83725,6.04
02//09,40,-,0.918,3.705,2.8578947368421055,3.271,0.912,5.355,3.963235294117647,4.448,0.002,3.2600000000000002,1.818578947368421,2.08,0.008,7.78,4.194,4.371,0.437,1.691,1.0395789473684212,1.041,-2.472,21.755,12.070526315789474,15.532,2.1470000000000002,70.614,47.483947368421056,56.802,0.10677083333333333,3.039826388888889,0.8958736111111112,0.3995798611111111,-5.74,8.57,0.19277777777777777,-0.45,-5.74,21.72,5.971,5.67
02//10,41,-,1.154,3.827,2.8029,2.973,1.203,5.514,3.722,3.8520000000000003,0.006,3.4,1.68515,1.5145,0.02,8.183,3.91215,3.1710000000000003,0.419,1.925,1.1177,1.233,-2.443,22.611,11.7196,12.387,8.797,73.70700000000001,45.14135,47.329,0.10482638888888889,2.947951388888889,0.9138177083333333,0.2693923611111111,-4.07,10.33,0.885,-0.495,-4.07,18.31,6.325,6.965
02//11,42,-,1.038,3.819,2.6544,2.7005,0.974,5.482,3.3693333333333335,3.3575,0.0,3.388,1.42055,1.1705,0.0,8.079,3.2689500000000002,2.7525,0.431,1.806,1.23395,1.3635000000000002,-6.181,22.916,9.08625,10.5105,6.588,72.991,40.99,41.503,0.04690972222222223,1.9140555555555554,0.644965625,0.32147569444444446,-3.68,7.58,0.44055555555555553,-0.20500000000000002,-3.68,18.38,5.89125,4.595000000000001
02//12,43,-,0.584,4.023,2.8352105263157896,2.936,0.58,5.774,3.853823529411765,3.79,0.0,3.595,1.7417894736842106,1.735,0.0,8.544,3.989684210526316,3.702,0.428,1.879,1.0932105263157894,1.201,-6.195,24.298000000000002,10.748368421052632,11.976,4.366,75.683,46.408157894736846,48.401,0.11618055555555556,3.9775694444444443,0.8328248263888889,0.2974479166666667,-4.57,8.370000000000001,0.6305555555555555,-0.33999999999999997,-4.57,19.82,6.61025,6.825
02//13,44,-,0.732,3.952,2.388894736842105,2.449,0.661,5.672,2.957,2.7640000000000002,0.0,3.44,1.1227894736842106,0.544,0.001,8.056000000000001,2.529684210526316,1.416,0.437,2.058,1.266,1.321,-3.736,24.315,6.30442105263158,4.11,5.726,77.025,32.74368421052632,32.145,0.09413194444444445,3.3064930555555554,0.7060265224358975,0.37460202991452995,-6.72,6.98,1.6461111111111113,2.1500000000000004,-6.72,17.32,6.4262500000000005,6.94
02//14,45,-,0.417,3.975,2.6667,2.9535,0.406,5.566,3.4323333333333332,3.8930000000000002,0.0,3.482,1.57325,1.6165,0.003,8.117,3.48345,3.2110000000000003,0.417,1.814,1.09355,1.0895000000000001,-4.929,24.212,10.9079,12.131,2.07,75.411,43.0217,43.283,0.059131944444444445,2.8667708333333333,0.7820815972222223,0.4441145833333333,-5.21,6.74,1.1327777777777777,0.07500000000000001,-5.21,18.73,6.5405,6.76
02//15,46,-,0.926,4.086,2.97675,3.283,0.9580000000000001,5.719,4.014777777777778,4.5225,0.0,3.492,1.6781,1.67,0.001,8.051,3.7544500000000003,3.8020000000000005,0.457,2.136,1.2985,1.4609999999999999,-2.1670000000000003,23.647000000000002,12.835700000000001,15.089,9.493,73.968,46.901,51.3815,0.09899305555555556,3.8876736111111114,1.1808475694444445,0.8116493055555556,-3.81,9.370000000000001,1.6833333333333333,1.345,-3.81,20.84,7.36425,8.015
02//16,47,-,0.979,4.121,2.90895,2.9805,1.046,5.837,3.8441111111111113,4.205500000000001,0.053,3.495,1.49005,1.2025000000000001,0.163,8.0,3.2777,2.787,0.626,2.242,1.41885,1.4585,-0.9500000000000001,22.405,12.1979,13.166,12.475,70.438,45.8823,43.7325,0.12194444444444447,3.1937499999999996,0.9145873149837794,0.31838541666666664,-7.32,6.17,1.6205555555555555,2.4450000000000003,-7.32,21.56,7.0265,6.005
02//17,48,-,0.874,4.082,2.86345,3.0940000000000003,0.838,5.747,3.6246666666666667,3.8185000000000002,0.0,3.523,1.62125,1.4305,0.002,8.077,3.56775,3.1465,0.515,1.9080000000000001,1.242,1.2645,-2.332,22.858,11.434800000000001,9.935500000000001,8.199,72.37,44.042950000000005,45.3305,0.09968749999999998,3.1537500000000005,0.8072928094660194,0.36738194444444444,-3.71,7.36,1.4894444444444446,1.585,-3.71,19.22,6.89275,5.955
02//18,49,-,1.762,4.157,3.07525,3.226,1.883,5.8580000000000005,3.7482222222222226,3.5335,0.12,3.672,1.6731500000000001,1.4375,0.28800000000000003,8.344,3.64915,3.061,0.485,2.436,1.40195,1.4485000000000001,2.948,23.706,12.974,11.995000000000001,18.152,75.371,48.34235,49.688500000000005,0.08270833333333333,2.358611111111111,0.8273197222604275,0.617494737224158,-1.8900000000000001,4.69,1.1527777777777777,1.06,-5.11,18.26,5.93675,5.220000000000001
02//19,50,-,1.0130000000000001,4.329,2.874,2.794,0.9570000000000001,6.033,3.506277777777778,3.375,0.0,3.798,1.4387,1.02,0.002,8.491,3.1258,2.2990000000000004,0.531,2.438,1.4353,1.568,-1.432,25.297,11.243500000000001,10.476500000000001,11.683,76.804,43.7384,42.3945,0.07798611111111112,2.752638888888889,0.7602729166666666,0.4152604166666667,-5.4,8.02,0.9155555555555555,0.65,-5.4,16.52,5.39475,5.37
02//20,51,-,1.537,4.352,2.9217894736842105,2.801,1.7790000000000001,5.97,3.793529411764706,3.519,0.003,3.67,1.397263157894737,0.85,0.005,8.101,2.99,1.6260000000000001,0.652,2.177,1.5244736842105264,1.592,1.245,25.292,11.876894736842106,10.96,14.281,77.135,45.15042105263158,38.739000000000004,0.08996527777777778,3.275034722222222,0.562859375,0.32166666666666666,-6.34,6.32,0.7977777777777778,0.034999999999999996,-6.34,17.78,6.187250000000001,5.965
02//21,52,-,0.8260000000000001,4.392,2.8073,2.6855,0.811,6.063,3.3377777777777777,2.8579999999999997,0.0,3.88,1.38215,0.811,0.009000000000000001,8.536,2.96995,1.755,0.511,1.991,1.4251,1.6345,-4.202,24.503,10.8684,10.0585,8.522,76.161,41.86295,38.7665,0.030104166666666668,2.4029166666666666,0.6450107638888889,0.36086805555555557,-4.67,6.140000000000001,1.0972222222222223,0.8600000000000001,-4.67,17.94,6.1005,5.605
02//22,53,-,1.063,4.497,3.0706,3.455,1.0170000000000001,6.173,3.710166666666667,3.7825,0.0,3.994,1.8830500000000001,1.6735,0.0,8.728,3.9341000000000004,3.067,0.493,2.087,1.1875,1.2334999999999998,-6.156,25.105,12.244789473684211,16.114,0.0,79.023,45.2794,54.1225,0.012326388888888888,2.3040624999999997,0.7072697916666667,0.5231770833333333,-3.73,6.93,0.7727777777777777,-0.135,-4.84,19.43,5.86475,5.105
02//23,54,-,1.104,4.62,3.1765,3.4135,1.177,6.327,4.080722222222223,4.3345,0.0,4.127,1.79665,1.6995,0.0,8.984,3.7375,3.5164999999999997,0.493,2.398,1.37975,1.5045000000000002,-6.226,25.381,12.20955,11.4595,0.0,76.444,43.4947,46.8755,0.10420138888888891,2.618333333333333,0.7023534722222222,0.37961805555555556,-3.7600000000000002,6.1000000000000005,0.11444444444444445,-1.225,-3.7600000000000002,19.73,5.8865,5.324999999999999
02//24,55,-,1.5050000000000001,4.617,3.2335000000000003,3.254,1.565,6.292,4.112166666666667,4.0665,0.0,3.993,1.8915,1.4425,0.0,8.534,3.9920500000000003,3.31,0.5730000000000001,2.13,1.3421,1.538,-6.15,25.916,13.12075,13.5725,0.0,81.641,44.2799,46.99250000000001,0.13409722222222223,3.184944444444445,0.9114260416666667,0.3922569444444445,-3.97,5.98,0.4094444444444445,0.47,-3.97,19.03,6.25725,5.25
02//25,56,-,0.862,4.73,3.3615500000000003,3.2885,1.802,6.389,4.375944444444444,4.148,0.0,4.082,2.0148,1.741,0.0,8.824,4.1628,3.5795000000000003,0.554,2.356,1.3467500000000001,1.1524999999999999,-6.176,28.116,14.186350000000001,15.108,0.0,84.803,47.05655,52.8125,0.21315972222222224,3.347048611111111,0.87176875,0.5343402777777777,-5.63,5.28,0.14500000000000002,-0.11,-5.63,22.330000000000002,6.21425,4.0200000000000005
02//26,57,-,0.503,4.684,2.94175,3.178,1.074,6.291,3.628888888888889,3.8420000000000005,0.0,4.13,1.5061,1.3744999999999998,0.0,8.821,3.0237000000000003,2.298,0.503,2.231,1.4355,1.5545,-5.282,27.782,9.4826,6.615500000000001,0.0,85.21900000000001,35.98765,28.7215,0.17020833333333332,4.039722222222222,0.98309375,0.43699652777777775,-10.33,9.06,0.41777777777777786,0.125,-10.33,18.26,5.8445,5.455
02//27,58,-,1.538,4.847,3.31155,3.4085,1.6300000000000001,6.404,4.151722222222222,4.1370000000000005,0.019,4.275,1.7871000000000001,1.4705,0.034,9.093,3.6704,2.6290000000000004,0.545,2.134,1.5245,1.7215,-3.501,27.998,13.703100000000001,13.199000000000002,0.0,85.633,46.86245,47.588499999999996,0.21368055555555554,3.0972916666666666,0.6444548611111112,0.3667708333333333,-4.79,7.66,0.5822222222222222,-0.425,-4.79,18.19,6.0920000000000005,6.640000000000001
02//28,59,-,1.443,4.7780000000000005,2.9364500000000002,2.7325,1.468,6.255,3.4374444444444445,3.1265,0.003,4.117,1.19855,0.607,0.009000000000000001,8.449,2.42465,1.1085,0.66,2.579,1.7378500000000001,1.8015,0.672,28.226,11.0401,8.7975,0.0,82.422,41.94145,38.93600000000001,0.11523611111111111,2.6298958333333338,0.8042048611111111,0.5955729166666667,-3.69,6.18,0.7227777777777777,0.68,-3.69,20.41,6.27675,5.82
03//01,60,-,1.3780000000000001,4.913,3.21435,3.076,1.343,6.549,3.9790555555555556,3.8105,0.0,4.32,1.6711500000000001,1.4135,0.0,8.926,3.28745,2.8315,0.593,2.226,1.5434,1.689,-1.7870000000000001,28.032,13.24825,12.163499999999999,13.929,87.243,46.13625,44.413,0.04725694444444444,3.285138888888889,1.076384375011111,0.6324930555555557,-3.62,11.02,1.5577777777777777,1.55,-3.62,20.26,6.883,6.51
03//02,61,-,1.206,5.042,3.15465,3.0090000000000003,1.184,6.564,3.718888888888889,3.5140000000000002,0.0,4.479,1.5662,1.1015000000000001,0.008,9.333,3.113,2.2095000000000002,0.5630000000000001,2.45,1.5884500000000001,1.639,-1.8,29.261,12.345650000000001,12.293500000000002,14.926,89.06400000000001,45.486200000000004,40.804500000000004,0.0390625,2.2080902777777776,0.7995947916722222,0.5369791666666667,-3.0100000000000002,7.05,1.6077777777777778,2.255,-3.0100000000000002,19.62,6.515,6.720000000000001
03//03,62,-,1.841,5.032,3.6444,4.0475,1.913,6.5280000000000005,4.360722222222222,4.931,0.01,4.465,2.1542,2.5515,0.017,9.232,4.26325,5.064,0.5670000000000001,2.1670000000000003,1.4901,1.645,3.161,28.314,16.1581,16.896,21.375,86.062,54.79025,59.691500000000005,0.18597222222222223,1.6608680555555555,0.6490114583222222,0.5258472222222224,-3.69,7.48,0.6472222222222223,0.675,-3.69,19.63,6.3605,6.37
03//04,63,-,1.479,5.0440000000000005,3.5611,3.787,1.426,6.588,4.165222222222222,4.2865,0.003,4.3340000000000005,1.87,1.475,0.01,8.752,3.6687000000000003,2.6875,0.6,2.508,1.691,1.8475000000000001,0.931,27.195,15.0066,14.799,17.683,81.45700000000001,52.24865,56.876,0.05809027777777778,4.820243055555555,0.8186638889111111,0.3706875002222222,-2.52,6.94,1.0422222222222224,-0.07999999999999999,-2.52,18.580000000000002,6.96875,6.23
03//05,64,-,1.224,5.018,3.17575,3.066,1.472,6.4910000000000005,3.8066666666666666,3.7075,0.0,4.392,1.5965,1.1340000000000001,0.0,8.839,3.07785,1.8675,0.585,2.646,1.57925,1.8345,-0.54,27.377,12.17115,10.048000000000002,10.1,84.615,46.14835,48.728,0.107909722,2.9789236111111115,0.6884531249888889,0.4165034722222223,-4.94,9.75,1.366111111111111,0.30000000000000004,-4.94,19.64,7.0945,6.18
03//06,65,-,1.193,5.232,3.32755,3.231,1.112,6.923,3.9906111111111113,3.645,0.0,4.642,1.60555,1.044,0.004,9.349,3.1965,2.207,0.59,2.871,1.722,1.806,-0.434,29.874000000000002,13.0702,11.3575,13.548,88.97500000000001,48.304100000000005,47.9055,0.08704861111111112,2.1025694444444443,0.5532545139,0.35265624999999995,-3.31,7.17,1.7133333333333334,1.695,-3.31,19.77,7.82325,6.23
03//07,66,-,1.478,5.121,3.6328,3.556,1.506,6.581,4.421722222222223,4.133000000000001,0.016,4.388,1.9334500000000001,1.571,0.039,8.274000000000001,3.64635,2.932,0.664,2.71,1.6996,1.8075,-0.8310000000000001,27.597,15.2592,15.114,16.369,83.279,53.3483,54.369,0.19902777777777778,1.464625,0.5274100694444445,0.44199652777777776,-2.7600000000000002,4.05,1.0794444444444444,1.5750000000000002,-2.7600000000000002,21.89,7.297,4.305
03//08,67,-,1.3820000000000001,6.148,3.71195,3.9725,1.353,7.389,4.6395,5.801500000000001,0.001,4.665,2.17155,2.093,0.023,9.271,4.08765,3.7345,0.604,2.5220000000000002,1.5402500000000001,1.5,0.447,29.505,16.504550000000002,18.232,16.766000000000002,92.121,55.35465,59.145,0.10277777777777776,1.7779999999999998,0.4330711805722222,0.33928819444444447,-5.18,7.08,0.9,0.845,-5.18,22.44,6.83725,6.6000000000000005
03//09,68,-,1.314,5.364,3.27245,3.2085,1.298,6.885,4.0151666666666666,4.0255,0.001,4.777,1.67505,0.948,0.003,9.365,3.2095000000000002,1.6764999999999999,0.587,2.751,1.59745,1.6135000000000002,-0.793,29.6,13.3737,11.917000000000002,13.091000000000001,87.434,47.5757,42.2335,0.07538194444444445,2.8445833333333335,0.6536250000166667,0.4898263888888889,-3.75,8.08,1.991111111111111,2.2,-3.75,25.560000000000002,7.56175,5.9350000000000005
03//10,69,-,2.062,5.221,3.75595,3.5375,1.947,6.914,4.534055555555556,4.218999999999999,0.016,4.521,2.0291,1.746,0.051000000000000004,8.728,3.7657,3.1535,0.7000000000000001,2.356,1.72675,1.7785000000000002,1.73,28.346,16.6493,15.951,20.334,85.98100000000001,54.9151,52.326,0.11027777777777777,3.2214583333333335,0.5949774305333333,0.3660937500000001,-2.04,6.62,1.791111111111111,0.9650000000000001,-2.04,21.61,8.1255,6.275
03//11,70,-,1.716,5.442,4.1923,4.7245,1.821,6.9270000000000005,4.959777777777778,5.516,0.112,4.847,2.7244,3.2190000000000003,0.17500000000000002,9.279,5.07685,5.878500000000001,0.58,2.721,1.46785,1.3625,2.602,30.237000000000002,19.26165,22.143,20.687,87.757,62.77985,64.40299999999999,0.1525347222222222,1.959340277777778,0.5709690972,0.37496874999999996,-5.29,6.78,2.2416666666666667,2.915,-5.29,25.11,9.08025,7.404999999999999
03//12,71,-,1.237,5.539,4.0743,4.544499999999999,1.327,7.0760000000000005,4.955,5.5575,0.056,4.922,2.49545,2.7039999999999997,0.211,9.399000000000001,4.74075,5.302,0.617,2.703,1.5789,1.4900000000000002,-0.659,29.722,18.244,18.9585,13.541,90.785,59.98205,58.838499999999996,0.1922222222222222,2.3422569444444448,0.9067697916611112,0.5257118055555556,-5.04,7.3500000000000005,2.318888888888889,2.5300000000000002,-5.04,22.56,9.246,7.300000000000001
03//13,72,-,0.803,5.722,3.91915,4.068,0.751,7.255,4.444388888888889,4.154,0.0,4.89,2.20045,1.562,0.001,9.33,4.06875,3.1185,0.708,2.7800000000000002,1.71855,1.729,-3.552,29.402,17.01255,15.23,3.902,90.635,57.8547,56.229,0.25940972222222225,3.4737500000000003,0.9686513889055556,0.5193854168333333,-2.95,7.59,2.6422222222222222,2.8049999999999997,-2.95,22.17,9.07425,7.4350000000000005
03//14,73,-,1.591,5.633,3.84195,3.918,1.6440000000000001,7.2010000000000005,4.355555555555556,4.3545,0.032,4.787,2.06485,1.811,0.048,9.062,3.73515,3.0665,0.7030000000000001,2.86,1.7771000000000001,1.7215,1.7850000000000001,29.241,16.04235,15.171500000000002,18.885,88.509,53.59715,55.844500000000004,0.21656249999999996,2.2122916666666668,0.6006375000222223,0.4256076388888889,-2.79,11.85,2.665,2.66,-3.34,21.03,8.44275,9.25
03//15,74,-,1.408,5.567,3.56265,3.2720000000000002,1.45,7.047,4.001666666666667,3.2855,0.001,4.944,1.8401,0.739,0.002,9.393,3.37905,1.2405,0.623,2.721,1.72265,1.796,0.657,28.368000000000002,14.59145,11.654,0.0,86.702,48.55875,44.689,0.22458333333333336,1.6946249999999996,0.5971836805388889,0.42942708333333335,-1.31,9.81,2.3583333333333334,1.385,-1.31,21.67,8.3585,7.915000000000001
03//16,75,-,1.451,5.5520000000000005,3.459,3.0935,1.548,6.91,3.9480555555555554,3.317,0.015,4.801,1.4489,0.8555,0.021,8.912,2.6505,1.4940000000000002,0.75,2.9,2.0100000000000002,2.035,0.11,29.421,13.4225,10.5475,0.0,90.015,45.9221,39.1845,0.15256944444444442,2.025625,0.57430520835,0.42470486111111116,-0.71,7.72,3.1044444444444443,3.245,-2.07,23.22,8.078,7.365
03//17,76,-,1.6540000000000001,5.668,4.1009,4.3695,1.446,7.013,4.776888888888889,5.0245,0.0,4.921,2.29435,2.089,0.009000000000000001,9.173,4.051,3.439,0.722,2.5220000000000002,1.8067,2.0215,2.906,29.505,17.9797,20.2175,0.0,90.354,55.403600000000004,60.328500000000005,0.009756944444444445,1.6090972222222222,0.5459447916555555,0.4598958333333334,-0.79,5.0600000000000005,2.3716666666666666,2.8,-1.3,22.61,7.78075,5.44
03//18,77,-,1.0190000000000001,5.7940000000000005,4.37845,5.034000000000001,1.871,7.256,5.405444444444445,6.1325,0.0,5.112,2.80615,3.0854999999999997,0.0,9.337,5.1442000000000005,5.541500000000001,0.659,2.994,1.5723500000000001,1.5260000000000002,-3.9170000000000003,30.973,20.27725,24.8345,0.0,90.254,62.17555,74.899,0.06746527777777778,1.077291667,0.4411861111277778,0.3583159722222222,-3.91,9.27,1.0344444444444445,0.5800000000000001,-3.91,23.56,7.90925,7.27
03//19,78,-,1.948,5.944,4.25225,4.4635,1.948,7.344,5.046611111111111,5.329,0.044,5.112,2.3887,2.147,0.195,9.191,4.1903,3.7359999999999998,0.833,2.683,1.86355,1.9809999999999999,3.5780000000000003,32.584,18.55995,17.6475,0.0,97.325,57.92575,58.4395,0.15749999999999997,2.8109722222222224,0.7430760416833333,0.521076388888889,-3.47,8.26,2.49,2.4050000000000002,-3.47,26.22,9.737,8.24
03//20,79,-,1.496,5.813,3.6287000000000003,3.394,1.5210000000000001,7.017,3.8905555555555558,3.2430000000000003,0.013000000000000001,5.091,1.56275,0.803,0.031,9.429,2.7104,1.465,0.631,3.087,2.06595,2.0655,1.0170000000000001,29.975,13.8636,12.446,0.0,85.196,46.58325,46.497,0.035763888888888894,1.8349305555555557,0.7973697916444444,0.7078263888888889,-3.36,9.67,3.2472222222222222,3.09,-3.36,24.28,9.29575,8.629999999999999
03//21,80,-,2.358,5.963,4.0874500000000005,4.265499999999999,2.478,7.315,4.526777777777778,4.3045,0.038,5.1000000000000005,2.15675,1.674,0.085,9.114,3.7529000000000003,3.1385,0.745,2.998,1.93055,1.9905,6.082,31.287,17.20955,16.832500000000003,0.0,94.143,52.5799,56.073,0.20104166666666667,1.5455555555555556,0.6013357638888889,0.5110937500000001,-1.78,7.390000000000001,3.6550000000000002,3.585,-1.78,23.39,9.53175,8.14
03//22,81,-,1.676,6.009,4.10595,4.4254999999999995,1.673,7.376,4.8421111111111115,5.099,0.002,5.175,2.1569000000000003,1.768,0.003,9.179,3.72705,3.025,0.834,2.849,1.949,1.9295,2.5420000000000003,31.181,17.593700000000002,17.049500000000002,0.0,89.37,53.25575,56.7475,0.26944444444444443,2.3330208333333338,0.9477670138777778,0.6356944444444446,-2.7600000000000002,8.08,2.3111111111111113,1.61,-2.7600000000000002,24.11,8.42,6.975
03//23,82,-,2.195,6.181,4.40465,4.5245,2.219,7.351,5.177944444444444,5.3085,0.253,5.066,2.4181,2.072,0.373,8.913,4.1545000000000005,3.596,0.856,2.89,1.9865000000000002,1.9995000000000003,-6.106,33.026,17.642300000000002,17.0325,0.0,98.496,53.32145,58.7905,0.22881944444444446,3.470034722222222,0.7800371528,0.4343888888888889,-4.32,8.0,1.8994444444444445,1.2000000000000002,-4.32,24.61,8.3315,7.78
03//24,83,-,2.082,5.83,4.43365,4.681,2.033,7.255,5.097833333333333,5.4325,0.0,4.3870000000000005,2.34695,2.48,0.001,7.474,3.87365,4.1285,1.342,2.948,2.0866,2.12,-6.063,30.658,18.89095,21.367,0.0,89.04,56.1794,63.037000000000006,0.16965277777777776,2.3774999999999995,0.9020753472222223,0.4683159722222222,-2.48,9.200000000000001,2.3577777777777778,2.52,-2.48,22.28,8.55875,9.135000000000002
03//25,84,-,1.111,5.723,3.44835,3.487,1.127,6.723,3.981055555555556,3.8165,0.0,4.396,1.18355,0.782,0.005,7.938,2.1242,1.4529999999999998,1.111,3.1,2.2645,2.25,-6.062,29.807000000000002,10.36525,10.519,0.0,92.676,39.676500000000004,40.308499999999995,0.20541666666666666,2.971319444444445,0.6789076389,0.48783680555555553,-1.09,6.51,3.132777777777778,3.5700000000000003,-1.09,18.87,7.8267500000000005,7.71
03//26,85,-,2.093,6.071,4.06005,4.228,2.116,7.381,4.609388888888889,4.765499999999999,0.04,5.322,1.73415,1.2255,0.064,9.32,2.9516,2.164,0.711,3.372,2.32585,2.4605,-6.118,31.618000000000002,14.769350000000001,15.073,0.0,99.298,51.443400000000004,51.0995,0.14777777777777776,1.4404166666666667,0.6467006944555556,0.56015625,-1.51,6.8100000000000005,2.8183333333333334,3.025,-1.51,24.22,7.9475,7.4350000000000005
03//27,86,-,1.709,6.079,3.9491,4.009,1.7690000000000001,7.245,4.350222222222222,3.9844999999999997,0.002,5.119,1.9989000000000001,1.3275000000000001,0.006,8.945,3.33445,2.1864999999999997,0.96,2.979,1.95035,2.018,-6.11,30.904,14.30175,13.8115,0.0,94.388,50.2445,48.54,0.13246527777777778,2.524791666666667,0.9602958333222222,0.6511111111111112,-1.21,7.22,2.102777777777778,1.5150000000000001,-1.21,23.830000000000002,7.83175,6.255
03//28,87,-,3.112,6.253,4.6403,4.552,3.17,7.5360000000000005,5.441888888888889,5.4385,0.249,5.277,2.4082500000000002,1.817,0.394,9.215,4.06545,3.2664999999999997,0.9,3.067,2.2322,2.454,-6.0920000000000005,33.253,18.62035,19.8525,0.0,99.828,60.42945,66.0145,0.17243055555555553,2.4363194444444445,0.8339673610944445,0.5257118055555555,-1.45,8.67,3.252222222222222,3.015,-1.45,19.84,9.101750000000001,9.07
