MM/DD,Day Of Year,measurement:,Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh/m^2),Daily Total Energy (kWh),Daily Total Energy (kWh),Daily Total Energy (kWh),Daily Total Energy (kWh),Daily Total Energy (kWh),Daily Total Energy (kWh),Daily Total Energy (kWh),Daily Total Energy (kWh),Average daily value,Average daily value,Average daily value,Average daily value,Minimum daily value,Minimum daily value,Minimum daily value,Minimum daily value,Minimum daily value,Minimum daily value,Minimum daily value,Minimum daily value
01//01,1,-,0.43,2.57,1.52745,1.4865,0.448,4.268,2.2227222222222225,1.8960000000000001,0.0,2.214,0.7528,0.43000000000000005,0.0,6.83,2.29895,1.351,0.35100000000000003,1.5250000000000001,0.77455,0.7444999999999999,-6.15,14.594,2.9444,1.667,2.083,54.033,25.2463,20.4095,0.013402777777777779,4.266527777777777,1.243251736111111,0.8802256944444444,-6.390000000000001,10.22,0.29833333333333334,-0.195,-6.390000000000001,17.29,4.49825,4.225
01//02,2,-,0.738,2.543,1.7405,1.8365,0.683,4.176,2.3943333333333334,2.2425,0.0,2.1510000000000002,0.9504,0.815,0.0,6.569,2.84175,2.3165,0.356,1.218,0.7901,0.8725,-5.873,14.172,4.1124,4.4585,0.0,52.323,28.59375,28.277,0.01916666666666667,3.283541666666667,0.7548975694444444,0.19418402777777777,-4.12,7.73,-0.04833333333333335,-0.745,-5.3100000000000005,19.93,4.60925,3.3600000000000003
01//03,3,-,0.398,2.367,1.4052105263157895,1.336,0.379,3.758,1.8838235294117647,1.53,0.0,1.903,0.5535789473684211,0.16,0.0,5.581,1.6618947368421053,0.47900000000000004,0.398,1.363,0.8515263157894737,0.9530000000000001,-5.825,12.832,1.7406842105263158,1.1360000000000001,0.0,45.106,20.320526315789476,17.802,0.018194444444444447,2.895416666666667,0.5215121527777778,0.2265625,-4.64,4.71,-0.6316666666666667,-1.165,-4.64,15.47,4.09175,3.765
01//04,4,-,0.687,2.493,1.6289,1.635,0.727,4.054,2.1927222222222222,1.8235000000000001,0.003,2.108,0.7503,0.4555,0.009000000000000001,6.346,2.2277,1.362,0.385,1.315,0.87865,0.9105,-5.892,14.294,2.9134,1.2965,0.0,53.405,23.78765,20.9465,0.03670138888888889,2.849791666666667,0.9963128472222222,0.3027395833333334,-6.640000000000001,8.86,-0.7650000000000001,-0.545,-6.640000000000001,16.04,4.178,3.135
01//05,5,-,0.655,2.58,1.5846,1.6025,0.651,4.214,2.2188333333333334,2.0564999999999998,0.004,2.212,0.65415,0.309,0.009000000000000001,6.663,1.9376,0.896,0.335,1.372,0.93035,0.9405000000000001,-5.921,13.842,2.13055,1.7095000000000002,0.196,52.675000000000004,22.11455,18.9215,0.10010416666666666,4.106666666666667,1.065127777777778,0.3990798611111111,-9.23,13.02,0.9677777777777777,-0.28500000000000003,-9.23,17.28,5.3492500000000005,4.890000000000001
01//06,6,-,0.602,2.583,1.48395,1.5975000000000001,0.551,4.225,1.958,1.9335,0.0,2.246,0.5779,0.264,0.002,6.83,1.70225,0.8049999999999999,0.337,1.385,0.90605,0.9405000000000001,-5.91,14.26,1.50815,-0.0705,0.538,54.896,21.04735,19.340500000000002,0.008958333333333334,3.960138888888889,0.8643003472222223,0.40638888888888886,-9.65,8.93,0.8366666666666667,0.995,-9.65,17.79,5.13825,4.53
01//07,7,-,0.47300000000000003,2.619,1.4435263157894738,1.3780000000000001,0.421,4.273,1.9742777777777778,1.717,0.0,2.27,0.5995789473684211,0.244,0.0,6.875,1.7609473684210526,0.643,0.34900000000000003,1.31,0.8478,0.915,-5.901,14.341000000000001,1.7127000000000001,-0.015500000000000014,2.483,54.5,22.13425,19.789,0.019444444444444445,4.167187500000001,0.9828013888888889,0.29060763888888885,-6.83,12.01,1.955,1.52,-6.83,16.88,5.52,5.154999999999999
01//08,8,-,0.451,2.472,1.2944,1.088,0.39,3.932,1.6739444444444445,1.2854999999999999,0.0,2.001,0.477,0.1565,0.0,5.892,1.3446,0.45499999999999996,0.451,1.305,0.8173,0.8250000000000001,-6.461,13.826,0.6224,-0.9455,0.0,52.216,19.0894,15.392500000000002,0.06327083333333333,3.690847222222222,0.9464784722222223,0.2814756944444444,-3.0500000000000003,6.88,1.521111111111111,1.2750000000000001,-3.0500000000000003,16.1,5.864,5.555
01//09,9,-,0.546,2.336,1.25945,1.0474999999999999,0.518,3.555,1.4087222222222222,1.053,0.0,1.617,0.3409,0.025500000000000002,0.0,4.638,0.9769,0.07400000000000001,0.546,1.2770000000000001,0.91835,0.8915,-5.875,11.568,0.4676499999999999,-1.5665,3.162,47.972,17.22,11.982,0.03118055555555556,3.2018402777777784,0.5947097222222223,0.3219270833333333,-4.0200000000000005,5.41,0.7999999999999999,0.73,-4.0200000000000005,15.950000000000001,5.11075,5.345000000000001
01//10,10,-,0.463,2.62,1.5561,1.391,0.451,4.248,1.9921666666666666,1.358,0.0,2.269,0.6475000000000001,0.259,0.003,6.582,1.86905,0.7000000000000001,0.34,1.343,0.9085500000000001,0.9760000000000001,-5.811,14.733,3.096,1.2075,0.28200000000000003,54.804,24.233800000000002,20.3225,0.03184027777777778,4.199583333333333,0.9789697916666666,0.34131944444444445,-6.75,7.92,0.7227777777777777,0.795,-6.75,15.63,5.165,3.425
