Station_ID_Number:,94040,Type of Measurement:,GHI Minimums,GHI Maximums,GHI Mean,GHI Median,GHI_Tilt Minimums,GHI_Tilt Maximums,GHI_Tilt Mean,GHI_Tilt Median,DrHI_Calc Minimums,DrHI_Calc Maximums,DrHI_Calc Mean,DrHI_Calc Median,DNI Minimums,DNI Maximums,DNI Mean,DNI Median,DHI Minimums,DHI Maximums,DHI Mean,DHI Median,PV_Power Minimums,PV_Power Maximums,PV_Power Mean,PV_Power Median,PV_Power.1 Minimums,PV_Power.1 Maximums,PV_Power.1 Mean,PV_Power.1 Median,Wind_Speed Minimums,Wind_Speed Maximums,Wind_Speed Mean,Wind_Speed Median,TEMPERATURE Minimums,TEMPERATURE Maximums,TEMPERATURE Mean,TEMPERATURE Median
Station_Name:,ASO,Element:,1000,1000,1000,1000,1160,1160,1160,1160,2000,2000,2000,2000,2010,2010,2010,2010,3000,3000,3000,3000,5161,5161,5161,5161,5162,5162,5162,5162,9210,9210,9210,9210,9300,9300,9300,9300
Station_Location:,Ashland_Oregon_USA,Instrument Serial Number:,RSP(PY35563_GHI),RSP(PY35563_GHI),RSP(PY35563_GHI),RSP(PY35563_GHI),LICOR(PY22981),LICOR(PY22981),LICOR(PY22981),LICOR(PY22981),RSP(PY35563_DNI),RSP(PY35563_DNI),RSP(PY35563_DNI),RSP(PY35563_DNI),RSP(PY35563_DNI),RSP(PY35563_DNI),RSP(PY35563_DNI),RSP(PY35563_DNI),RSP(PY35563_DHI),RSP(PY35563_DHI),RSP(PY35563_DHI),RSP(PY35563_DHI),PV5kw(ASO),PV5kw(ASO),PV5kw(ASO),PV5kw(ASO),PV15kw(ASO),PV15kw(ASO),PV15kw(ASO),PV15kw(ASO),WindSpeed(ASO),WindSpeed(ASO),WindSpeed(ASO),WindSpeed(ASO),TEMP,TEMP,TEMP,TEMP
Latitude_(+North):,42.19441,Instrument Shorthand Name:,RSP,RSP,RSP,RSP,GHI_TILT,GHI_TILT,GHI_TILT,GHI_TILT,-,-,-,-,RSP,RSP,RSP,RSP,RSP,RSP,RSP,RSP,PV5kw(ASO),PV5kw(ASO),PV5kw(ASO),PV5kw(ASO),PV15kw(ASO),PV15kw(ASO),PV15kw(ASO),PV15kw(ASO),WS(ASO),WS(ASO),WS(ASO),WS(ASO),TEMP(ASO),TEMP(ASO),TEMP(ASO),TEMP(ASO)
Longitude_(+East):,-122.698158,Responsivity:,9.8322,9.8322,9.8322,9.8322,9.58084,9.58084,9.58084,9.58084,-,-,-,-,9.8322,9.8322,9.8322,9.8322,9.8322,9.8322,9.8322,9.8322,160,160,160,160,2.77778,2.77778,2.77778,2.77778,1308.90052,1308.90052,1308.90052,1308.90052,1000.0000000000001,1000.0000000000001,1000.0000000000001,1000.0000000000001
Altitude_(m):,594.,Estimated Uncertainty (U95%):,3.125,3.125,3.125,3.125,3.177,3.177,3.177,3.177,3.125,3.125,3.125,3.125,3.125,3.125,3.125,3.125,3.125,3.125,3.125,3.125,1.999,1.999,1.999,1.999,2.191,2.191,2.191,2.191,4.383,4.383,4.383,4.383,2.2,2.2,2.2,2.2
Time_Zone_(+East):,-8.,Sample Method:,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,-,-,-,-,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg
Time_Interval_(Minutes):,1,Units:,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,Watts,Watts,Watts,Watts,Watts,Watts,Watts,Watts,m/s,m/s,m/s,m/s,C,C,C,C
Years:,2001-2020,Column Notes:,AdjustedColumn,AdjustedColumn,AdjustedColumn,AdjustedColumn,AdjustedColumn,AdjustedColumn,AdjustedColumn,AdjustedColumn,CalculatedColumn,CalculatedColumn,CalculatedColumn,CalculatedColumn,AdjustedColumn,AdjustedColumn,AdjustedColumn,AdjustedColumn,AdjustedColumn,AdjustedColumn,AdjustedColumn,AdjustedColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn,MeasuredColumn
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MM,HH,measurement:,GHI,GHI,GHI,GHI,GHI_Tilt,GHI_Tilt,GHI_Tilt,GHI_Tilt,DrHI_Calc,DrHI_Calc,DrHI_Calc,DrHI_Calc,DNI,DNI,DNI,DNI,DHI,DHI,DHI,DHI,PV_Power,PV_Power,PV_Power,PV_Power,PV_Power.1,PV_Power.1,PV_Power.1,PV_Power.1,Wind_Speed,Wind_Speed,Wind_Speed,Wind_Speed,TEMPERATURE,TEMPERATURE,TEMPERATURE,TEMPERATURE
01,01,-,-0.03,0.01,-0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04,0.0,-0.006500000000000001,0.0,-267.92,-244.35,-252.7375,-250.93,0.0,0.0,0.0,0.0,0.19,1.41,0.6685,0.645,0.23,7.06,3.310625,2.615
01,02,-,-0.03,0.01,-0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,0.0,-0.007,0.0,-267.81,-243.27,-252.737,-251.23000000000002,0.0,0.0,0.0,0.0,0.2,1.54,0.671,0.625,0.02,7.25,3.138125,2.425
01,03,-,-0.03,0.02,0.0005000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,0.02,-0.0055000000000000005,0.0,-267.09,-241.07,-251.744,-250.405,0.0,0.0,0.0,0.0,0.2,1.44,0.6715,0.635,-0.23,7.05,2.9699999999999998,2.34
01,04,-,-0.04,0.02,-0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,0.0,-0.007,0.0,-267.12,-240.34,-250.798,-249.285,0.0,0.0,0.0,0.0,0.19,1.39,0.6625,0.62,-0.58,6.64,2.764375,2.25
01,05,-,-0.03,0.02,-0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06,0.0,-0.0075,0.0,-264.87,-240.88,-249.096,-248.01,0.0,0.0,0.0,0.0,0.12,1.5,0.6575,0.6499999999999999,-1.14,6.41,2.5300000000000002,2.0949999999999998
01,06,-,-0.03,0.01,-0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07,0.0,-0.007500000000000001,0.0,-264.57,-238.85,-248.841,-247.745,0.0,0.0,0.0,0.0,0.13,1.45,0.642,0.58,-1.24,6.19,2.34875,1.88
01,07,-,-0.02,0.04,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08,0.03,-0.005,0.0,-262.47,-238.79,-248.187,-247.16000000000003,0.0,0.0,0.0,0.0,0.1,1.48,0.6505,0.605,-1.38,6.03,2.27625,1.7650000000000001
01,08,-,2.01,6.91,4.34,4.355,3.44,6.23,4.45875,4.335,0.0,1.74,0.4025,0.29000000000000004,0.29,22.46,6.275,5.7,3.29,5.17,4.0,4.04,-260.76,-240.49,-248.466,-249.41,0.0,7.3,1.839,1.21,0.08,1.5,0.652,0.605,-1.59,6.0,2.23125,1.7349999999999999
01,09,-,44.15,89.84,64.5925,63.75,54.93,116.52,82.5025,82.14500000000001,6.13,54.12,23.884,23.375,35.96,362.72,158.716,152.68,35.71,46.26,40.832,41.0,-240.68,90.24,-13.6545,2.275,129.31,922.26,549.81,534.8299999999999,0.08,1.62,0.6815,0.655,-0.33,6.49,2.889375,2.31
01,10,-,108.92,201.83,160.2725,157.395,141.52,282.17,224.445625,217.325,24.49,123.46,70.2975,66.38,85.12,435.99,253.255,237.405,72.7,104.18,90.1455,90.195,-241.93,1178.73,695.6025,751.23,983.73,3276.79,2377.4125,2426.775,0.17,1.62,0.769,0.69,0.71,7.42,3.956875,3.5949999999999998
01,11,-,173.49,296.5,241.7345,245.22,230.76,420.61,339.06375,337.80499999999995,46.69,198.03,115.625,121.465,122.49,511.1,304.4365,316.07,98.48,158.35,126.3415,125.00999999999999,-243.05,1906.98,1264.664,1364.255,2033.98,5651.71,4226.947,4308.735000000001,0.39,2.03,0.9420000000000001,0.85,1.85,8.3,5.05,4.859999999999999
01,12,-,221.78,355.57,295.8445,294.775,293.54,496.06,413.051875,429.605,64.15,239.26,146.446,147.68,143.24,532.29,332.121,335.595,116.31,190.38,149.6105,153.48000000000002,-242.21,2277.99,1622.1775,1789.8049999999998,3097.37,6851.03,5275.6735,5513.8,0.48,2.1,1.045,0.985,3.28,9.09,6.05625,5.925000000000001
01,13,-,234.42,367.61,315.869,321.955,300.03,522.74,441.72125,446.32,77.47,239.68,161.9045,162.87,172.03,509.31,354.615,355.51,124.44,183.44,154.279,153.66500000000002,-244.99,2567.97,1750.314,1955.79,3288.43,7487.51,5633.4165,5988.49,0.43,2.19,1.1239999999999999,1.045,4.35,9.77,6.926875,6.5600000000000005
01,14,-,220.79,363.88,290.8845,292.49,277.89,526.58,401.19375,420.325,58.9,236.68,149.8205,157.95999999999998,135.47,555.55,350.921,366.885,111.48,166.6,141.217,143.06,-245.55,2361.2,1501.7315,1609.49,3139.84,7351.37,5051.878,5121.48,0.43,2.09,1.1025,1.0750000000000002,5.18,10.35,7.593125,7.105
